epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.399222,1.204499,48057984,48057984,27.068252563476562,101700
1,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.195494,1.2306561,48057984,96115968,26.423048496246338,101700
2,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1872257,1.2101806,48057984,144173952,26.497010946273804,101700
3,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.186786,1.2078934,48057984,192231936,26.483646631240845,101700
4,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1589916,1.2151835,48057984,240289920,26.68159770965576,101700
5,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1905946,1.2107733,48057984,288347904,26.60873794555664,101700
6,0.47619047619047616,0.0,0.47619047619047616,0.16129032258064516,0.3072196620583717,0.47619047619047616,0.25,0.47619047619047616,0.47619047619047616,0.11904761904761904,0.22675736961451246,0.0,0.47619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.183339,1.2061198,48057984,336405888,26.93211603164673,101700
7,0.5076190476190476,0.0991910392034846,0.5076190476190476,0.24226219971567747,0.38808722777172716,0.5076190476190476,0.2935,0.5076190476190476,0.5076190476190476,0.26044736821422115,0.36815845544713055,0.0,0.5044760400210637,0.0,0.5373134328358209,0.0,0.958,0.0,0.216,0.0,1.1576613,1.1923822,48057984,384463872,26.911794900894165,101700
8,0.5152380952380953,0.10251889168765738,0.5152380952380953,0.2411673291610284,0.3886818174495779,0.5152380952380953,0.29425,0.5152380952380953,0.5152380952380953,0.2957931638913234,0.4018509244188473,0.0,0.504601226993865,0.0,0.6785714285714286,0.0,0.987,0.0,0.19,0.0,1.1518563,1.1147748,48057984,432521856,27.040128231048584,101700
9,0.5952380952380952,0.31359353970390313,0.5952380952380952,0.33709689798787307,0.4936377194394798,0.5952380952380952,0.39675000000000005,0.5952380952380952,0.5952380952380952,0.2952719369908865,0.4243193029807559,0.0,0.6010533245556287,0.0,0.5800344234079173,0.0,0.913,0.0,0.674,0.0,1.1065102,1.0338688,48057984,480579840,26.727253437042236,101700
10,0.5961904761904762,0.3573439191627572,0.5961904761904762,0.3674669043769925,0.5191931950383005,0.5961904761904762,0.4325,0.5961904761904762,0.5961904761904762,0.446802493536518,0.5819656701317958,0.0,0.6570458404074703,0.6170212765957447,0.5131428571428571,0.0,0.774,0.058,0.898,0.0,1.0453064,0.96089256,48057984,528637824,26.84627604484558,101700
11,0.5495238095238095,0.33189843618631254,0.5495238095238095,0.3872936776535915,0.51979249079033,0.5495238095238095,0.4365,0.5495238095238095,0.5495238095238095,0.41584247764529103,0.5691446254171255,0.0,0.7270375161707633,0.5021459227467812,0.43418647166361973,0.0,0.562,0.234,0.95,0.0,0.93117374,1.0649898,48057984,576695808,26.813615560531616,101700
12,0.6438095238095238,0.4228182987323167,0.6438095238095238,0.4192399907566503,0.5789194047944842,0.6438095238095238,0.46125,0.6438095238095238,0.6438095238095238,0.47940380579315606,0.6167346533899096,0.0,0.6726703210649961,0.6538461538461539,0.5910987482614742,0.0,0.859,0.136,0.85,0.0,0.9457728,0.8918046,48057984,624753792,26.706288814544678,101700
13,0.6304761904761905,0.4185191793041927,0.6304761904761905,0.4360563999913267,0.5891069620541061,0.6304761904761905,0.469,0.6304761904761905,0.6304761904761905,0.45647185152327036,0.5995866875493883,0.0,0.6923766816143497,0.5776699029126213,0.5558408215661104,0.0,0.772,0.238,0.866,0.0,0.9073477,0.8932973,48057984,672811776,26.7342746257782,101700
14,0.5871428571428572,0.3794478527607362,0.5871428571428572,0.4158435411942967,0.558285631128169,0.5871428571428572,0.45875,0.5871428571428572,0.5871428571428572,0.4428777629617283,0.5981241382108121,0.0,0.7406103286384976,0.5683760683760684,0.4625246548323471,0.0,0.631,0.266,0.938,0.0,0.89038604,0.99154407,48057984,720869760,27.019463062286377,101700
15,0.6490476190476191,0.41140901312036504,0.6490476190476191,0.4298674691675372,0.5891541733408058,0.6490476190476191,0.44925,0.6490476190476191,0.6490476190476191,0.49484372508973684,0.6226763680167566,0.0,0.6358658453114305,0.6590909090909091,0.6844181459566075,0.0,0.929,0.174,0.694,0.0,0.8670572,0.8589709,48057984,768927744,26.750184774398804,101700
16,0.6523809523809524,0.45609366684406594,0.6523809523809524,0.46655195842905495,0.6201347550043305,0.6523809523809524,0.49275,0.6523809523809524,0.6523809523809524,0.4762109379345638,0.6225972350025348,0.0,0.7100646352723915,0.6111111111111112,0.5836680053547524,0.0,0.769,0.33,0.872,0.0,0.84984624,0.8738036,48057984,816985728,26.62067222595215,101700
17,0.6,0.39427237140306304,0.6,0.429212628485803,0.5696596392591933,0.6,0.468,0.6,0.6,0.5363188076620834,0.6212192412916365,0.2015163869439251,0.7305122494432071,0.600896860986547,0.4805327868852459,0.3333333333333333,0.656,0.268,0.938,0.01,0.8088805,0.9653745,48057984,865043712,26.75059700012207,101700
18,0.6680952380952381,0.46799694689783,0.6680952380952381,0.4802323681758934,0.6305850783981116,0.6680952380952381,0.495,0.6680952380952381,0.6680952380952381,0.7375186645492836,0.6763820868671251,0.25327542390678914,0.6907301066447908,0.6157024793388429,0.6436420722135008,1.0,0.842,0.298,0.82,0.02,0.833233,0.82586586,48057984,913101696,26.645745038986206,101700
19,0.6776190476190476,0.483206106870229,0.6776190476190476,0.5230924855254295,0.6445332067440842,0.6776190476190476,0.5195,0.6776190476190476,0.6776190476190476,0.6797844034726448,0.6734299777555965,0.38916693453526063,0.6959349593495935,0.6329113924050633,0.656957928802589,0.7333333333333333,0.856,0.3,0.812,0.11,0.81771934,0.80801487,48057984,961159680,26.640215635299683,101700
