epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.64042,1.5728505,48057984,48057984,27.308341026306152,101700
1,0.20238095238095238,-0.046875,0.20238095238095238,0.11075506408846408,0.10548101341758484,0.20238095238095238,0.2125,0.20238095238095238,0.20238095238095238,0.09308468112662995,0.08865207726345709,0.0,0.0,0.16423357664233576,0.20810514786418402,0.0,0.0,0.09,0.76,0.0,1.5359247,1.5723444,48057984,96115968,26.30614733695984,101700
2,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.4678388,1.571295,48057984,144173952,27.393543481826782,101700
3,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.6117461,1.5755894,48057984,192231936,26.271845817565918,101700
4,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.5388267,1.5698602,48057984,240289920,26.22332215309143,101700
5,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.5088958,1.5681136,48057984,288347904,29.74254274368286,101700
6,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.4918386,1.5682315,48057984,336405888,27.956720113754272,101700
7,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.5263357,1.5662553,48057984,384463872,28.322506189346313,101700
8,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.5783908,1.5628761,48057984,432521856,28.567833185195923,101700
9,0.28285714285714286,0.044676030811055645,0.28285714285714286,0.1604966945835438,0.18188471540995246,0.28285714285714286,0.28025,0.28285714285714286,0.28285714285714286,0.378238448202477,0.5213622546613297,0.0,0.6767676767676768,0.5818181818181818,0.25436793422404935,0.0,0.067,0.064,0.99,0.0,1.5398971,1.5210192,48057984,480579840,27.94654607772827,101700
