epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.25523809523809526,-0.023177570093458,0.25523809523809526,0.1370903010033445,0.17561713648670169,0.25523809523809526,0.23725,0.25523809523809526,0.25523809523809526,0.15986111111111112,0.24986772486772485,0.0,0.41,0.0,0.22944444444444445,0.0,0.123,0.0,0.826,0.0,1.2842166,1.2337384,48057984,48057984,29.16576385498047,101700
1,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.2838289,1.2210956,48057984,96115968,26.024601697921753,101700
2,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.1811373,1.2229034,48057984,144173952,25.726724863052368,101700
3,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.1839005,1.220732,48057984,192231936,25.109673976898193,101700
4,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.1845965,1.2202538,48057984,240289920,24.590598821640015,101700
5,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.1662515,1.2237183,48057984,288347904,25.351046323776245,101700
6,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.2097069,1.2196257,48057984,336405888,25.777318716049194,101700
7,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.1381773,1.212332,48057984,384463872,24.47475552558899,101700
8,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.2357895,1.2044908,48057984,432521856,25.68139147758484,101700
9,0.33666666666666667,0.09699027627720336,0.33666666666666667,0.21164300926710022,0.2698660638505594,0.33666666666666667,0.309,0.33666666666666667,0.33666666666666667,0.38554365361924925,0.5430390062131558,0.0,0.7385892116182573,0.5285714285714286,0.27501397428731134,0.0,0.178,0.074,0.984,0.0,1.1588321,1.116575,48057984,480579840,24.51166272163391,101700
10,0.3638095238095238,0.11884422110552773,0.3638095238095238,0.22453922478492086,0.2965946145471709,0.3638095238095238,0.322,0.3638095238095238,0.3638095238095238,0.5089448563132773,0.6267641575912252,0.10039287862560331,0.7032967032967034,0.9090909090909091,0.29005847953216374,0.13333333333333333,0.256,0.02,0.992,0.02,1.0744164,1.1351335,48057984,528637824,25.48551297187805,101700
11,0.6147619047619047,0.39629011051490703,0.6147619047619047,0.4356381694611352,0.5700335018935374,0.6147619047619047,0.46675,0.6147619047619047,0.6147619047619047,0.7177507424082766,0.6555225596321487,0.267161391562385,0.6821917808219178,0.6713286713286714,0.5174825174825175,1.0,0.747,0.192,0.888,0.04,1.0348606,0.9151411,48057984,576695808,24.527908086776733,101700
12,0.5466666666666666,0.3599077898376718,0.5466666666666666,0.4999500855168886,0.5436987632897804,0.5466666666666666,0.535,0.5466666666666666,0.5466666666666666,0.5072673733647927,0.603257667397808,0.5052710247558768,0.7513416815742398,0.40585774058577406,0.5634588563458857,0.308411214953271,0.42,0.582,0.808,0.33,0.85477924,0.83585787,48057984,624753792,25.79640007019043,101700
13,0.6295238095238095,0.4347299588278034,0.6295238095238095,0.4943955217977909,0.6102720113846809,0.6295238095238095,0.5065000000000001,0.6295238095238095,0.6295238095238095,0.6189386901921633,0.6335887236279087,0.36848690982826077,0.7186512118018967,0.5175202156334232,0.5729166666666666,0.6666666666666666,0.682,0.384,0.88,0.08,0.8464686,0.82222694,48057984,672811776,26.414056539535522,101700
14,0.6123809523809524,0.41468926553672314,0.6123809523809524,0.5517436059900536,0.6006032513448758,0.6123809523809524,0.5965,0.6123809523809524,0.6123809523809524,0.5476694707351488,0.614371912491065,0.5613526802886404,0.6955665024630542,0.5404411764705882,0.5723172628304821,0.38235294117647056,0.706,0.294,0.736,0.65,0.89115906,0.7690232,48057984,720869760,26.5302951335907,101700
15,0.6109523809523809,0.4282715185444367,0.6109523809523809,0.5767250010708886,0.6104101414459036,0.6109523809523809,0.6267499999999999,0.6109523809523809,0.6109523809523809,0.5541708204459667,0.6232983029588431,0.6112904929527523,0.7333333333333333,0.4781609195402299,0.5899843505477308,0.4152046783625731,0.627,0.416,0.754,0.71,0.7139074,0.7072301,48057984,768927744,26.056577444076538,101700
16,0.6038095238095238,0.4274854184415754,0.6038095238095238,0.6019325888886539,0.611294735517903,0.6038095238095238,0.621,0.6038095238095238,0.6038095238095238,0.608501246273832,0.6522195800492789,0.6171475764934077,0.7464387464387464,0.42098765432098767,0.7151767151767152,0.5514018691588785,0.524,0.682,0.688,0.59,0.70822465,0.70616573,48057984,816985728,26.173169136047363,101700
17,0.58,0.40241974512018064,0.58,0.5849244001166309,0.5826101965064857,0.58,0.6075,0.58,0.58,0.6010338485358488,0.6400109943151122,0.5955986824091921,0.7470686767169179,0.4,0.6781193490054249,0.5789473684210527,0.446,0.684,0.75,0.55,0.7030836,0.6882668,48057984,865043712,25.785472631454468,101700
18,0.5642857142857143,0.39148747506096204,0.5642857142857143,0.562830122003817,0.5679000851735967,0.5642857142857143,0.6445000000000001,0.5642857142857143,0.5642857142857143,0.5551545654168608,0.6374810829416161,0.6294897270006331,0.7760141093474426,0.41840490797546015,0.6271844660194175,0.39901477832512317,0.44,0.682,0.646,0.81,0.76756,0.7069044,48057984,913101696,27.485491514205933,101700
