epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,2.084589,2.024942,85436416,85436416,46.60321879386902,101700
1,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.9621366,2.0316668,85436416,170872832,46.76734781265259,101700
2,0.23750594954783436,-0.0006246096189881367,0.23750594954783436,0.09596153846153846,0.09134844213378245,0.23750594954783436,0.2495,0.23750594954783436,0.23750594954783436,0.059404761904761905,0.05654903560662723,0.0,0.0,0.0,0.23761904761904762,0.0,0.0,0.0,0.998,0.0,1.9238114,2.007131,85436416,256309248,45.13667416572571,101700
3,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.9402943,1.9685436,85436416,341745664,44.67228627204895,101700
4,0.24940504521656354,0.008950703233218782,0.24940504521656354,0.11060860200528339,0.11855070586441387,0.24940504521656354,0.25475,0.24940504521656354,0.24940504521656354,0.2369020838266635,0.39384231520166246,0.0,0.7073170731707317,0.0,0.24029126213592233,0.0,0.029,0.0,0.99,0.0,1.9512634,1.9714483,85436416,427182080,44.80299687385559,101700
5,0.2498810090433127,0.016898004507005515,0.2498810090433127,0.14677453928886852,0.11937128918502476,0.2498810090433127,0.2743514851485149,0.2498810090433127,0.2498810090433127,0.335643723296535,0.2159215054529778,0.0,0.0,0.24156479217603913,0.5555555555555556,0.5454545454545454,0.0,0.988,0.05,0.0594059405940594,1.9195788,1.8349416,85436416,512618496,45.81227493286133,101700
6,0.3436458829128986,0.1661105060533914,0.3436458829128986,0.3368439154403535,0.2398508600625419,0.3436458829128986,0.5273960396039604,0.3436458829128986,0.3436458829128986,0.509313835618849,0.66617214242632,0.2078476847620969,1.0,0.3167062549485352,0.42230347349177333,0.2982456140350877,0.006,0.8,0.462,0.8415841584158416,1.9463946,1.6120558,85436416,598054912,45.10312843322754,101700
7,0.5102332222751071,0.31592210368771856,0.5102332222751071,0.5102500162489063,0.5182792730861306,0.5102332222751071,0.5981460396039604,0.5102332222751071,0.5102332222751071,0.516023587184084,0.5925404994604226,0.577582025629399,0.7014925373134329,0.3637400228050171,0.6533333333333333,0.34552845528455284,0.423,0.638,0.49,0.8415841584158416,1.4824858,1.4311422,85436416,683491328,46.138678789138794,101700
8,0.5435506901475488,0.3609823736139245,0.5435506901475488,0.5463719809264027,0.5528335877169915,0.5435506901475488,0.6389727722772277,0.5435506901475488,0.5435506901475488,0.563865773102628,0.6409362708579809,0.6140348104427512,0.7386363636363636,0.3812636165577342,0.7585139318885449,0.3770491803278688,0.455,0.7,0.49,0.9108910891089109,1.4137284,1.3348157,85436416,768927744,48.767436027526855,101700
9,0.6116135173726797,0.43058832125758295,0.6116135173726797,0.584712585919794,0.6146834332586624,0.6116135173726797,0.6691237623762376,0.6116135173726797,0.6116135173726797,0.5600627866369183,0.6310506068238019,0.6454654332510639,0.7228381374722838,0.46750524109014674,0.6596638655462185,0.3902439024390244,0.652,0.446,0.628,0.9504950495049505,1.2022158,1.2472942,85436416,854364160,48.77798104286194,101700
10,0.675392670157068,0.5051616956013782,0.675392670157068,0.670827996517262,0.6697699017077399,0.675392670157068,0.7039727722772278,0.675392670157068,0.675392670157068,0.6520100059582358,0.6689341516307286,0.6790173242695846,0.7126546146527117,0.5181598062953995,0.7383367139959433,0.6388888888888888,0.749,0.428,0.728,0.9108910891089109,1.1602149,1.1402072,85436416,939800576,48.78955364227295,101700
11,0.6834840552118039,0.5185040443296158,0.6834840552118039,0.6888126217168451,0.6752749233213123,0.6834840552118039,0.6846435643564357,0.6834840552118039,0.6834840552118039,0.7071918997643833,0.6779773772294332,0.6594457468612976,0.7325933400605449,0.5356200527704486,0.6676970633693973,0.8928571428571429,0.726,0.406,0.864,0.7425742574257426,1.0439233,1.1241713,85436416,1025236992,47.32388186454773,101700
12,0.6487386958591147,0.48313763269170185,0.6487386958591147,0.6407065132918854,0.6521069038760247,0.6487386958591147,0.7078737623762377,0.6487386958591147,0.6487386958591147,0.6126922534350935,0.6660161003542743,0.6931011360533299,0.7386877828054299,0.49094202898550726,0.7313432835820896,0.4897959183673469,0.653,0.542,0.686,0.9504950495049505,1.0753831,1.1731749,85436416,1110673408,46.24726104736328,101700
13,0.6477867682056164,0.4676588927302229,0.6477867682056164,0.625643410744024,0.6247265169770223,0.6477867682056164,0.6723465346534653,0.6477867682056164,0.6477867682056164,0.6547715923579183,0.6692796151495114,0.6030733354864714,0.7272727272727273,0.6850828729281768,0.5375,0.6692307692307692,0.72,0.248,0.86,0.8613861386138614,0.96370167,1.2074507,85436416,1196109824,45.79925465583801,101700
14,0.7134697762970015,0.5543000393264049,0.7134697762970015,0.7127410328921477,0.7005048438444655,0.7134697762970015,0.7227722772277227,0.7134697762970015,0.7134697762970015,0.7178256313706393,0.7025260636970914,0.6874674478087022,0.7162872154115587,0.6,0.7585551330798479,0.7964601769911505,0.818,0.384,0.798,0.8910891089108911,1.1343393,1.0791821,85436416,1281546240,45.163193225860596,101700
15,0.6730128510233222,0.5217405566600397,0.6730128510233222,0.709190474421539,0.6718683144912325,0.6730128510233222,0.7295965346534653,0.6730128510233222,0.6730128510233222,0.7028658130887775,0.6895271718032876,0.715120875663961,0.7733160621761658,0.5035087719298246,0.6732522796352584,0.8613861386138614,0.597,0.574,0.886,0.8613861386138614,1.0216539,1.0562706,85436416,1366982656,44.80600118637085,101700
16,0.7029985721085198,0.5524783744509767,0.7029985721085198,0.6779362157106348,0.6956777548350798,0.7029985721085198,0.7383490099009902,0.7029985721085198,0.7029985721085198,0.656567533129717,0.7030323506724074,0.7097245469422216,0.7579051383399209,0.6228571428571429,0.7066189624329159,0.5388888888888889,0.767,0.436,0.79,0.9603960396039604,0.98227847,1.091495,85436416,1452419072,45.232372522354126,101700
17,0.6925273679200381,0.5476418145840909,0.6925273679200381,0.7203923753162818,0.6934459775548669,0.6925273679200381,0.7524232673267327,0.6925273679200381,0.6925273679200381,0.6988671735072494,0.7046539840166224,0.7396546592365373,0.7803398058252428,0.5111876075731497,0.7334494773519163,0.7704918032786885,0.643,0.594,0.842,0.9306930693069307,0.9861189,1.0591668,85436416,1537855488,44.87548756599426,101700
18,0.7120418848167539,0.567681799274677,0.7120418848167539,0.7330868669731065,0.7090650119874856,0.7120418848167539,0.7374207920792079,0.7120418848167539,0.7120418848167539,0.7347045354013566,0.711908243635099,0.7229807209479182,0.7657266811279827,0.5610278372591007,0.7184466019417476,0.8936170212765957,0.706,0.524,0.888,0.8316831683168316,0.87788177,1.0090907,85436416,1623291904,45.43983507156372,101700
19,0.7196573060447407,0.568439480727818,0.7196573060447407,0.7146258147943503,0.7075803176152367,0.7196573060447407,0.7384727722772277,0.7196573060447407,0.7196573060447407,0.7122296695761063,0.7128600045201475,0.7062829580877832,0.7291857273559011,0.6549520766773163,0.7346221441124781,0.7301587301587301,0.797,0.41,0.836,0.9108910891089109,0.9629214,1.0050828,85436416,1708728320,46.7027587890625,101700
20,0.6872917658257972,0.5415480839839397,0.6872917658257972,0.7235761302670284,0.6889206523379283,0.6872917658257972,0.7331955445544553,0.6872917658257972,0.6872917658257972,0.7273670452412111,0.7077278187474269,0.7244504442418147,0.7843388960205392,0.5056,0.7173553719008264,0.9021739130434783,0.611,0.632,0.868,0.8217821782178217,0.992874,1.0381933,85436416,1794164736,46.66459894180298,101700
21,0.6663493574488338,0.5059899681952746,0.6663493574488338,0.7152434727496961,0.6760935335976507,0.6663493574488338,0.7037945544554456,0.6663493574488338,0.6663493574488338,0.7507155845026215,0.7082751439541539,0.7009988774955224,0.7328519855595668,0.463130659767141,0.855072463768116,0.9518072289156626,0.609,0.716,0.708,0.7821782178217822,0.8468293,1.1019208,85436416,1879601152,46.55907940864563,101700
22,0.6768205616373155,0.531131752076595,0.6768205616373155,0.7256897592477844,0.682571816238952,0.6768205616373155,0.7415965346534653,0.6768205616373155,0.6768205616373155,0.7318130160002865,0.7176441076762112,0.7318787948423144,0.7825484764542936,0.46293888166449937,0.8117647058823529,0.87,0.565,0.712,0.828,0.8613861386138614,0.8922087,1.0343693,85436416,1965037568,46.64473295211792,101700
23,0.681104236078058,0.5371790235081373,0.681104236078058,0.7316552170801491,0.684255569808958,0.681104236078058,0.7510222772277227,0.681104236078058,0.681104236078058,0.7314228674731406,0.7138100778649614,0.7390043397301561,0.7848275862068965,0.475,0.7747747747747747,0.8910891089108911,0.569,0.684,0.86,0.8910891089108911,0.78414094,1.0234001,85436416,2050473984,46.175456047058105,101700
24,0.6830080913850547,0.5398993231985749,0.6830080913850547,0.7269384265111024,0.687991003588172,0.6830080913850547,0.7312945544554454,0.6830080913850547,0.6830080913850547,0.74933075395426,0.7248882244616435,0.7231927242129086,0.7991573033707865,0.4723684210526316,0.7853211009174312,0.9404761904761905,0.569,0.718,0.856,0.7821782178217822,0.8889094,1.0105996,85436416,2135910400,46.002888917922974,101700
25,0.6839600190385531,0.5397002678854536,0.6839600190385531,0.7082049787165094,0.6804987553899797,0.6839600190385531,0.7543737623762377,0.6839600190385531,0.6839600190385531,0.6860148501052519,0.7011757854405064,0.7343494418327524,0.80078125,0.5653061224489796,0.627972027972028,0.75,0.615,0.554,0.898,0.9504950495049505,0.897249,1.0923856,85436416,2221346816,46.15242075920105,101700
26,0.7544026653974298,0.617176349114762,0.75440266539743,0.7623383856173389,0.7423012669235226,0.7544026653974298,0.7656732673267327,0.7544026653974298,0.7544026653974298,0.7756692359712387,0.7475973182265623,0.7333001288530299,0.7397737162750218,0.6772151898734177,0.8071833648393195,0.8785046728971962,0.85,0.428,0.854,0.9306930693069307,1.0033195,0.9802992,85436416,2306783232,45.854931116104126,101700
27,0.7106139933365064,0.5719591075064847,0.7106139933365064,0.7515926731837608,0.7168448946498344,0.7106139933365064,0.7489207920792079,0.7106139933365064,0.7106139933365064,0.7663647144341396,0.7359909273982055,0.7444535290482549,0.7889022919179735,0.5022091310751104,0.8198019801980198,0.9545454545454546,0.654,0.682,0.828,0.8316831683168316,0.885424,1.0021322,85436416,2392219648,45.34582757949829,101700
28,0.7439314612089482,0.6086230907037345,0.7439314612089482,0.7683857318046632,0.7433654737387397,0.7439314612089482,0.7610717821782178,0.7439314612089482,0.7439314612089482,0.776290138350813,0.743106400472613,0.7513794361121232,0.7565725413826679,0.5912863070539419,0.8309859154929577,0.9263157894736842,0.777,0.57,0.826,0.8712871287128713,0.8219625,0.9602234,85436416,2477656064,45.389403343200684,101700
