epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,0.8799117,0.76518375,85436416,85436416,85.54308009147644,101700
1,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,0.78309786,0.77216953,85436416,170872832,61.07913565635681,101700
2,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,0.7802032,0.77910274,85436416,256309248,62.821269035339355,101700
3,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,0.7784045,0.77590007,85436416,341745664,60.96653723716736,101700
4,0.38505473584007616,0.17018489539468828,0.38505473584007616,0.28203330489781353,0.3231006864755253,0.38505473584007616,0.37050000000000005,0.38505473584007616,0.38505473584007616,0.35654012191759715,0.5143492676833707,0.0,0.7351351351351352,0.32386363636363635,0.36716171617161714,0.0,0.136,0.456,0.89,0.0,0.77798396,0.7179804,85436416,427182080,54.160109519958496,101700
5,0.3798191337458353,0.15824000526406912,0.3798191337458353,0.31830388309121893,0.3415777679613065,0.3798191337458353,0.38057920792079203,0.3798191337458353,0.3798191337458353,0.43783807451134577,0.5470032450348937,0.28639668593964324,0.7591240875912408,0.4163265306122449,0.3102766798418972,0.265625,0.208,0.204,0.942,0.16831683168316833,0.7453532,0.79401267,85436416,512618496,61.682974338531494,101700
6,0.5321275583055688,0.3456757150641879,0.5321275583055688,0.514391414149742,0.5426132768961089,0.5321275583055688,0.5921435643564357,0.5321275583055688,0.5321275583055688,0.5087411882690518,0.6055330496880068,0.5837148222125075,0.7578253706754531,0.3925233644859813,0.5734126984126984,0.3112033195020747,0.46,0.588,0.578,0.7425742574257426,0.660692,0.4446837,85436416,598054912,63.655951261520386,101700
7,0.6306520704426464,0.4457979416991519,0.6306520704426464,0.5831381507461968,0.6251531786673409,0.6306520704426464,0.6212920792079208,0.6306520704426464,0.6306520704426464,0.5663425918500288,0.6300264469040529,0.5983487307010882,0.7327141382868937,0.49184782608695654,0.6013179571663921,0.4394904458598726,0.71,0.362,0.73,0.6831683168316832,0.44918787,0.3879574,85436416,683491328,62.65112328529358,101700
8,0.569728700618753,0.3617211614882724,0.569728700618753,0.4629956444409508,0.5534179723445025,0.569728700618753,0.5878490099009901,0.569728700618753,0.569728700618753,0.5335262941085139,0.6369156042042038,0.48839920044711665,0.7197508896797153,0.7076923076923077,0.48418491484184917,0.22247706422018348,0.809,0.184,0.398,0.9603960396039604,0.40534765,0.44516087,85436416,768927744,58.87664198875427,101700
9,0.6653974297953356,0.4834770700305052,0.6653974297953356,0.6005655998971099,0.6425599097905998,0.6653974297953356,0.6611212871287129,0.6653974297953356,0.6653974297953356,0.6198383707711047,0.6745675377032951,0.6016130446076664,0.7163793103448276,0.6855670103092784,0.6247755834829444,0.45263157894736844,0.831,0.266,0.696,0.8514851485148515,0.39446086,0.33608326,85436416,854364160,59.87920260429382,101700
