epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.4847671,1.3879133,85436416,85436416,162.66634583473206,101700
1,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3913379,1.414438,85436416,170872832,46.433799743652344,101700
2,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3853667,1.399449,85436416,256309248,44.872397899627686,101700
3,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3887458,1.3761195,85436416,341745664,45.20873737335205,101700
4,0.37363160399809614,0.18623940533925565,0.37363160399809614,0.3420308869923095,0.2723820711339707,0.37363160399809614,0.4497574257425743,0.37363160399809614,0.37363160399809614,0.47385303019368835,0.5666032047190144,0.1905049813287936,0.7272727272727273,0.2896057347670251,0.575503355704698,0.30303030303030304,0.008,0.808,0.686,0.297029702970297,1.3696761,1.1806091,85436416,427182080,42.69710111618042,101700
5,0.47310804378867205,0.27833797932760096,0.47310804378867205,0.42879339948045925,0.4463091672014392,0.47310804378867205,0.47620544554455446,0.47310804378867205,0.47310804378867205,0.5070481586814992,0.592612381782565,0.40514610745897256,0.7932098765432098,0.3362282878411911,0.48366013071895425,0.41509433962264153,0.257,0.542,0.888,0.21782178217821782,1.1620806,1.0777425,85436416,512618496,46.72117829322815,101700
6,0.5797239409804855,0.38973420365208866,0.5797239409804855,0.5393853427938324,0.5769361910372188,0.5797239409804855,0.5414826732673267,0.5797239409804855,0.5797239409804855,0.6120748045182606,0.6224512233205995,0.5052848603577216,0.7562408223201175,0.3969849246231156,0.5569782330345711,0.7380952380952381,0.515,0.474,0.87,0.3069306930693069,1.0626704,0.9252181,85436416,598054912,45.1785523891449,101700
7,0.6420752022846263,0.4535923246064534,0.6420752022846263,0.580579487592612,0.6227881613677657,0.6420752022846263,0.6343193069306932,0.6420752022846263,0.6420752022846263,0.5828589213989486,0.640777095071983,0.5812434072350928,0.716789667896679,0.5796460176991151,0.5892857142857143,0.44571428571428573,0.777,0.262,0.726,0.7722772277227723,0.952297,0.88404137,85436416,683491328,43.42147636413574,101700
8,0.6078058067586863,0.41817414338824177,0.6078058067586863,0.5457252966677347,0.6074006695549611,0.6078058067586863,0.6347227722772277,0.6078058067586863,0.6078058067586863,0.539706215429012,0.6293005432975266,0.599795192555044,0.7310344827586207,0.5342857142857143,0.585812356979405,0.3076923076923077,0.742,0.374,0.512,0.9108910891089109,0.88365567,0.874308,85436416,768927744,45.13563871383667,101700
9,0.6316039980961446,0.45802708974690975,0.6316039980961446,0.5907097933375356,0.6329775158921158,0.6316039980961446,0.6667722772277227,0.6316039980961446,0.6316039980961446,0.5676485440091946,0.6485878804151661,0.6447011401792685,0.7670329670329671,0.5259259259259259,0.5863309352517986,0.391304347826087,0.698,0.426,0.652,0.8910891089108911,0.83528376,0.82476485,85436416,854364160,43.74215316772461,101700
