epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.4867907,1.382906,96115968,96115968,50.27819108963013,101700
1,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.392652,1.3780367,96115968,192231936,50.0086715221405,101700
2,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3847641,1.3937087,96115968,288347904,49.50021004676819,101700
3,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3861233,1.3667327,96115968,384463872,49.67234444618225,101700
4,0.35364112327463115,0.15134694275760974,0.35364112327463115,0.2784273575410847,0.2568475532202718,0.35364112327463115,0.3769009900990099,0.35364112327463115,0.35364112327463115,0.4368669453309625,0.5111704829983683,0.11906269091472699,0.5882352941176471,0.2716656422864167,0.6522727272727272,0.23529411764705882,0.01,0.884,0.574,0.039603960396039604,1.3741436,1.1325719,96115968,480579840,50.10519003868103,101700
5,0.4997620180866254,0.29854295606440895,0.4997620180866254,0.4379524505290312,0.4861596639273599,0.4997620180866254,0.47250495049504954,0.4997620180866254,0.4997620180866254,0.4942377991692362,0.5825894347318651,0.40678237135718576,0.7780126849894292,0.36013986013986016,0.4541832669322709,0.38461538461538464,0.368,0.412,0.912,0.19801980198019803,1.2195783,1.1018682,96115968,576695808,49.41321110725403,101700
6,0.632555925749643,0.42731567773345847,0.632555925749643,0.5369214041892134,0.5936342595664964,0.632555925749643,0.5534356435643565,0.632555925749643,0.632555925749643,0.5998913041780762,0.6269906573473574,0.4607670275399322,0.6987522281639929,0.5673758865248227,0.5523560209424084,0.581081081081081,0.784,0.16,0.844,0.42574257425742573,1.0782127,0.9436088,96115968,672811776,49.45137977600098,101700
7,0.5863874345549738,0.3873357073443112,0.5863874345549738,0.5043681051261006,0.5818329861308845,0.5863874345549738,0.6032722772277228,0.5863874345549738,0.5863874345549738,0.5189473930872643,0.6184530182641877,0.5483599583487084,0.7264061010486177,0.5591836734693878,0.5352422907488987,0.254957507082153,0.762,0.274,0.486,0.8910891089108911,0.99065036,0.9503832,96115968,768927744,49.69750905036926,101700
8,0.6711089957163255,0.49117578096660386,0.6711089957163255,0.6311608642019428,0.6527365162834737,0.6711089957163255,0.6253143564356436,0.6711089957163255,0.6711089957163255,0.6727283533533533,0.662755449404664,0.582636754699088,0.7194444444444444,0.5625,0.6251851851851852,0.7837837837837838,0.777,0.306,0.844,0.5742574257425742,0.9253686,0.82496685,96115968,865043712,49.455066442489624,101700
9,0.6558781532603523,0.47645351742773345,0.6558781532603523,0.6119817032835586,0.6474537783206628,0.6558781532603523,0.6665965346534654,0.6558781532603523,0.6558781532603523,0.5980168540413338,0.6544571568627189,0.6364489650080604,0.7214484679665738,0.5578635014836796,0.657258064516129,0.45549738219895286,0.777,0.376,0.652,0.8613861386138614,0.864248,0.81497395,96115968,961159680,49.78870129585266,101700
10,0.6677772489290814,0.4969734326833597,0.6677772489290814,0.6382009508791777,0.6562504756690822,0.6677772489290814,0.6828712871287128,0.6677772489290814,0.6677772489290814,0.6282598924849758,0.6668747135564647,0.6476975982270539,0.7406679764243614,0.5993265993265994,0.6072555205047319,0.5657894736842105,0.754,0.356,0.77,0.8514851485148515,0.86452365,0.7880493,96115968,1057275648,50.00229072570801,101700
11,0.5530699666825322,0.3461717935444357,0.5530699666825322,0.4796591890878772,0.5446578971307432,0.5530699666825322,0.5938737623762376,0.5530699666825322,0.5530699666825322,0.5463672773966753,0.6409440375785601,0.512872545735633,0.7364583333333333,0.7795275590551181,0.38291605301914583,0.2865671641791045,0.707,0.198,0.52,0.9504950495049505,0.8379813,0.9587487,96115968,1153391616,49.949058294296265,101700
12,0.6910994764397905,0.5264400861441731,0.6910994764397905,0.6626727490909621,0.6747843488184962,0.6910994764397905,0.7013217821782178,0.6910994764397905,0.6910994764397905,0.6632015058614301,0.6882667919722939,0.6586241880849041,0.7338262476894639,0.648854961832061,0.6504065040650406,0.6197183098591549,0.794,0.34,0.8,0.8712871287128713,0.8476032,0.7308106,96115968,1249507584,49.70885705947876,101700
13,0.6592099000475964,0.49207736224732856,0.6592099000475964,0.6200736401719446,0.6524300846245851,0.6592099000475964,0.6897227722772278,0.6592099000475964,0.6592099000475964,0.6082141082141083,0.6733032654022659,0.6558704403574847,0.7671517671517671,0.6296296296296297,0.5714285714285714,0.46464646464646464,0.738,0.374,0.736,0.9108910891089109,0.7521955,0.77959573,96115968,1345623552,49.48084354400635,101700
14,0.6406473108043789,0.4696136827034252,0.6406473108043789,0.5950136925635741,0.6393423197252219,0.6406473108043789,0.6803985148514852,0.6406473108043789,0.6406473108043789,0.5806970632271908,0.6616959305230359,0.650159090827947,0.7645811240721103,0.6048632218844985,0.5687285223367697,0.38461538461538464,0.721,0.398,0.662,0.9405940594059405,0.740405,0.81505203,96115968,1441739520,49.9051570892334,101700
15,0.7125178486435031,0.5539830000927881,0.7125178486435031,0.7028771349181313,0.6979839366986533,0.7125178486435031,0.7126460396039603,0.7125178486435031,0.7125178486435031,0.7157139183259699,0.7057713144440168,0.6777180886128964,0.7250889679715302,0.6527777777777778,0.7051724137931035,0.7798165137614679,0.815,0.376,0.818,0.8415841584158416,0.7305693,0.6739899,96115968,1537855488,49.56586956977844,101700
16,0.6515944788196097,0.465854692854605,0.6515944788196097,0.5648762667054135,0.6189201560341375,0.6515944788196097,0.6670990099009901,0.6515944788196097,0.6515944788196097,0.6403176756641249,0.7081164621417743,0.565748517328678,0.7096774193548387,0.8611111111111112,0.620253164556962,0.3702290076335878,0.836,0.186,0.686,0.9603960396039604,0.71920335,0.81287396,96115968,1633971456,49.564916372299194,101700
17,0.7125178486435031,0.5575066888110218,0.7125178486435031,0.6815897549197392,0.6945916955924233,0.7125178486435031,0.7264480198019801,0.7125178486435031,0.7125178486435031,0.6882574430449532,0.7149506709114539,0.6801143164710469,0.7394429469901168,0.7148760330578512,0.6868686868686869,0.6118421052631579,0.823,0.346,0.816,0.9207920792079208,0.73761487,0.6926572,96115968,1730087424,49.662230491638184,101700
18,0.7039504997620181,0.5585640941106051,0.7039504997620181,0.7209725500323876,0.6992665314210367,0.7039504997620181,0.7447475247524752,0.7039504997620181,0.7039504997620181,0.7078842818467717,0.7049452604783303,0.7239996853065384,0.7790178571428571,0.5642201834862385,0.6757990867579908,0.8125,0.698,0.492,0.888,0.900990099009901,0.66777086,0.6747742,96115968,1826203392,49.666173696517944,101700
19,0.7244169443122322,0.5668721433629886,0.7244169443122322,0.6941511292476029,0.6939340943644974,0.7244169443122322,0.7138712871287128,0.7244169443122322,0.7244169443122322,0.7476141791141951,0.7356274890215078,0.6430939486056726,0.7245409015025042,0.7869822485207101,0.6971153846153846,0.7818181818181819,0.868,0.266,0.87,0.8514851485148515,0.6462557,0.65278095,96115968,1922319360,49.43553113937378,101700
20,0.723465016658734,0.5782742382941382,0.723465016658734,0.7212077457783809,0.7107081714193106,0.723465016658734,0.7402970297029703,0.723465016658734,0.723465016658734,0.7286371859156671,0.7225492613945371,0.7063152244417731,0.7614410905550146,0.6801346801346801,0.6711711711711712,0.8018018018018018,0.782,0.404,0.894,0.8811881188118812,0.64273787,0.66445595,96115968,2018435328,49.643808364868164,101700
21,0.7163255592574964,0.5742673325461459,0.7163255592574964,0.7151514804580468,0.7090818562345769,0.7163255592574964,0.7492227722772277,0.7163255592574964,0.7163255592574964,0.6998229888398528,0.7156459900236982,0.7250896241607708,0.781414994720169,0.6263440860215054,0.672782874617737,0.71875,0.74,0.466,0.88,0.9108910891089109,0.63160664,0.66442996,96115968,2114551296,49.476739168167114,101700
