epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.4684652,1.3900911,85436416,85436416,43.50851249694824,101700
1,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.3875512,1.3959278,85436416,170872832,42.60655331611633,101700
2,0.23798191337458352,0.0,0.23798191337458352,0.09611687812379853,0.0914963142539729,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05949547834364588,0.05663539109342777,0.0,0.0,0.0,0.23798191337458352,0.0,0.0,0.0,1.0,0.0,1.388654,1.4158862,85436416,256309248,40.715545892715454,101700
3,0.23798191337458352,0.00011860527332718807,0.23798191337458352,0.09615384615384615,0.09153150514407059,0.23798191337458352,0.25,0.23798191337458352,0.23798191337458352,0.05952380952380952,0.05666236032728179,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3912389,1.3889953,85436416,341745664,43.04818677902222,101700
4,0.39171822941456447,0.1863809275048588,0.39171822941456447,0.3749921443256886,0.33787747907328236,0.39171822941456447,0.428980198019802,0.39171822941456447,0.39171822941456447,0.5308256266873765,0.538757102679482,0.3131118316293821,0.6193548387096774,0.289875173370319,0.6140724946695096,0.6,0.096,0.836,0.576,0.2079207920792079,1.375554,1.1981728,85436416,427182080,43.89217209815979,101700
5,0.49167063303188957,0.3108162148315916,0.49167063303188957,0.5187198949815569,0.47992000405949287,0.49167063303188957,0.6010940594059406,0.49167063303188957,0.49167063303188957,0.5524415898499447,0.6224334145932116,0.5570827153943452,0.7736389684813754,0.3397790055248619,0.6352705410821643,0.46107784431137727,0.27,0.738,0.634,0.7623762376237624,1.2658169,0.933811,85436416,512618496,43.69978070259094,101700
6,0.5102332222751071,0.32765407319108275,0.5102332222751071,0.5215760006872312,0.5040317385498067,0.5102332222751071,0.6171212871287128,0.5102332222751071,0.5102332222751071,0.5190834895696551,0.5977398215631711,0.5851916158694349,0.7785087719298246,0.3943452380952381,0.47347994825355755,0.43,0.355,0.53,0.732,0.8514851485148515,0.9700767,0.9425254,85436416,598054912,41.376874685287476,101700
7,0.5544978581627796,0.37384406853487917,0.5544978581627796,0.5172589936343468,0.5698562843489601,0.5544978581627796,0.6251980198019802,0.5544978581627796,0.5544978581627796,0.5091513114119824,0.6191244502548312,0.6049924366326624,0.7757909215955984,0.477859778597786,0.51875,0.26420454545454547,0.564,0.518,0.498,0.9207920792079208,0.85163933,0.9260139,85436416,683491328,40.71764349937439,101700
8,0.6273203236554021,0.4597008042990539,0.6273203236554021,0.6376926286747362,0.6247991934137384,0.6273203236554021,0.6875965346534653,0.6273203236554021,0.6273203236554021,0.6153992478963091,0.648394292197087,0.6668161412524594,0.766042780748663,0.4847870182555781,0.5803324099722992,0.6304347826086957,0.573,0.478,0.838,0.8613861386138614,0.8789558,0.8008023,85436416,768927744,41.39868879318237,101700
9,0.6506425511661114,0.4937889493422619,0.6506425511661114,0.6520488342014986,0.6540415491585965,0.6506425511661114,0.7179232673267327,0.6506425511661114,0.6506425511661114,0.621788983464631,0.6762485839348645,0.7063622293036065,0.7806451612903226,0.49589490968801314,0.6765249537892791,0.5340909090909091,0.605,0.604,0.732,0.9306930693069307,0.7136284,0.76676226,85436416,854364160,41.6595413684845,101700
