epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fallow,precision_misc.,precision_protein_crops,precision_rapeseed,recall_fallow,recall_misc.,recall_protein_crops,recall_rapeseed,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.4766666666666667,0.0028515878159429686,0.4766666666666667,0.16438338315370246,0.3103045823752813,0.4766666666666667,0.251,0.4766666666666667,0.4766666666666667,0.20265423242467717,0.3066429823962105,0.0,0.47728359636537543,0.0,0.3333333333333333,0.0,0.998,0.0,0.006,0.0,1.4844612,1.3878623,48057984,48057984,25.606608390808105,101700
1,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.403501,1.3904384,48057984,96115968,25.56946635246277,101700
2,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3838792,1.389806,48057984,144173952,25.31126856803894,101700
3,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3900629,1.3903205,48057984,192231936,26.588874340057373,101700
4,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3830388,1.3863474,48057984,240289920,23.95235824584961,101700
5,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3823907,1.386102,48057984,288347904,24.169123888015747,101700
6,0.23809523809523808,0.0,0.23809523809523808,0.09615384615384615,0.09157509157509157,0.23809523809523808,0.25,0.23809523809523808,0.23809523809523808,0.05952380952380952,0.056689342403628114,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,1.0,0.0,1.3905206,1.3822627,48057984,336405888,24.04399061203003,101700
7,0.29714285714285715,0.06540027137042048,0.29714285714285715,0.18660503578963428,0.20531797774857183,0.29714285714285715,0.29625,0.29714285714285715,0.29714285714285715,0.32826669958901483,0.48504874509298623,0.0,0.7241379310344828,0.31512605042016806,0.27380281690140845,0.0,0.063,0.15,0.972,0.0,1.375037,1.3561116,48057984,384463872,23.941890239715576,101700
8,0.45904761904761904,0.2337637309693582,0.45904761904761904,0.3798491579367258,0.4622611278744587,0.45904761904761904,0.40075,0.45904761904761904,0.45904761904761904,0.4713209752988906,0.5773826717508727,0.24780251874728193,0.6897233201581028,0.29707792207792205,0.7109826589595376,0.1875,0.349,0.732,0.492,0.03,1.3480347,1.2402269,48057984,432521856,24.78413677215576,101700
9,0.4585714285714286,0.26791353671623486,0.4585714285714286,0.3505350821773939,0.3951072071976294,0.4585714285714286,0.443,0.4585714285714286,0.4585714285714286,0.42023706545408673,0.5863509881288619,0.0,0.7817258883248731,0.3310104529616725,0.5682119205298013,0.0,0.154,0.76,0.858,0.0,1.2618098,1.1248108,48057984,480579840,24.58665657043457,101700
10,0.46190476190476193,0.27369000979431934,0.46190476190476193,0.37984346490578696,0.4093977705281192,0.46190476190476193,0.45575,0.46190476190476193,0.46190476190476193,0.47248213518871834,0.6006609243078049,0.2819246348480652,0.7783018867924528,0.33418803418803417,0.5956204379562043,0.18181818181818182,0.165,0.782,0.816,0.06,1.0985881,1.0492804,48057984,528637824,24.63127303123474,101700
11,0.4747619047619048,0.2891296341762828,0.4747619047619048,0.4225702731198261,0.4325150342288942,0.4747619047619048,0.486,0.4747619047619048,0.4747619047619048,0.5060042725311652,0.6069362613090316,0.3829069168606785,0.782258064516129,0.34990791896869244,0.5704225352112676,0.32142857142857145,0.194,0.76,0.81,0.18,1.0385628,1.0449272,48057984,576695808,24.80119037628174,101700
12,0.48428571428571426,0.29369565217391314,0.48428571428571426,0.4237804100886036,0.45120795889972276,0.48428571428571426,0.47875,0.48428571428571426,0.48428571428571426,0.5075107288520428,0.6035196948815249,0.38816564014781324,0.8069620253164557,0.38430311231393777,0.461,0.37777777777777777,0.255,0.568,0.922,0.17,0.9885466,1.0771838,48057984,624753792,24.828681468963623,101700
13,0.49523809523809526,0.31279328229192394,0.49523809523809526,0.4767320413443648,0.49469356913814616,0.49523809523809526,0.57525,0.49523809523809526,0.49523809523809526,0.4810255033206204,0.5881883884073404,0.5540676108473362,0.7543478260869565,0.40822320117474303,0.5014577259475219,0.2600732600732601,0.347,0.556,0.688,0.71,1.0608776,1.0228512,48057984,672811776,24.798606634140015,101700
14,0.5638095238095238,0.3657346346610393,0.5638095238095238,0.49241230261619967,0.5543729095274622,0.5638095238095238,0.542,0.5638095238095238,0.5638095238095238,0.5020219910512214,0.5977816848390016,0.4989169417132663,0.7346938775510204,0.50187265917603,0.4813979706877114,0.29012345679012347,0.576,0.268,0.854,0.47,1.0022397,1.0561342,48057984,720869760,24.311880111694336,101700
15,0.611904761904762,0.41664678414397216,0.611904761904762,0.5405900616327597,0.5958120387397642,0.611904761904762,0.56,0.611904761904762,0.611904761904762,0.5851428112585098,0.6407614084906451,0.510861000577188,0.7286486486486486,0.6445497630331753,0.4948453608247423,0.4725274725274725,0.674,0.272,0.864,0.43,0.99085206,0.98564285,48057984,768927744,23.883558750152588,101700
16,0.5676190476190476,0.38038604016377464,0.5676190476190476,0.528444115001468,0.5733615818708924,0.5676190476190476,0.60125,0.5676190476190476,0.5676190476190476,0.5159439290512354,0.6102386760045055,0.5873317198671204,0.746684350132626,0.5148514851485149,0.49291784702549574,0.3093220338983051,0.563,0.416,0.696,0.73,0.9339123,0.95032394,48057984,816985728,23.949300050735474,101700
17,0.4514285714285714,0.2638753651411879,0.4514285714285714,0.4066894310262953,0.4891938854809553,0.4514285714285714,0.534,0.4514285714285714,0.4514285714285714,0.45749761326873384,0.5922533909211496,0.4801703259860258,0.7719298245614035,0.5661016949152542,0.3488888888888889,0.14307004470938897,0.528,0.334,0.314,0.96,0.93376493,1.0481843,48057984,865043712,24.775765419006348,101700
18,0.6261904761904762,0.45288905114334077,0.6261904761904762,0.6041828908863369,0.6268046668419304,0.6261904761904762,0.6094999999999999,0.6261904761904762,0.6261904761904762,0.6210686752623937,0.6501149195234694,0.5966215996538459,0.7543160690571049,0.46677471636953,0.6280487804878049,0.6351351351351351,0.568,0.576,0.824,0.47,1.0848529,0.8850043,48057984,913101696,24.67514419555664,101700
19,0.6390476190476191,0.45426494788809646,0.6390476190476191,0.5830081013826068,0.6252461429892477,0.6390476190476191,0.635,0.6390476190476191,0.6390476190476191,0.5845747080802448,0.6466724102425366,0.5938653893711713,0.7265625,0.6081632653061224,0.56752655538695,0.436046511627907,0.744,0.298,0.748,0.75,0.8769313,0.8660483,48057984,961159680,24.872678995132446,101700
20,0.6266666666666667,0.4598956795590986,0.6266666666666667,0.6149459353908525,0.6320777272843114,0.6266666666666667,0.6715,0.6266666666666667,0.6266666666666667,0.5908239265217365,0.657438596343937,0.6662080547860636,0.7700394218134035,0.47702060221870046,0.6511194029850746,0.46511627906976744,0.586,0.602,0.698,0.8,0.8368137,0.81639135,48057984,1009217664,23.664400815963745,101700
21,0.6033333333333334,0.4182960893854749,0.6033333333333334,0.5494356799761535,0.6068331183745432,0.6033333333333334,0.6367499999999999,0.6033333333333334,0.6033333333333334,0.5438909635937768,0.6355636364710775,0.6105633557479011,0.7382478632478633,0.6,0.5317604355716878,0.3055555555555556,0.691,0.39,0.586,0.88,0.8046358,0.84441596,48057984,1057275648,23.619245052337646,101700
22,0.6785714285714286,0.5105655686761964,0.6785714285714286,0.6465461601097773,0.6644856797848165,0.6785714285714286,0.6715,0.6785714285714286,0.6785714285714286,0.6553585108614333,0.680825037044942,0.6362989589249003,0.7397260273972602,0.6444444444444445,0.6101449275362318,0.6271186440677966,0.756,0.348,0.842,0.74,0.80789226,0.7808662,48057984,1105333632,23.76145911216736,101700
23,0.5657142857142857,0.38187451587916355,0.5657142857142857,0.5363007368113567,0.5758063138935501,0.5657142857142857,0.63575,0.5657142857142857,0.5657142857142857,0.5283889226651367,0.6239769201341048,0.6122918997909755,0.7672872340425532,0.5871313672922251,0.4339622641509434,0.32517482517482516,0.577,0.438,0.598,0.93,0.78719246,0.83731854,48057984,1153391616,25.561864614486694,101700
24,0.6528571428571428,0.49425173439048564,0.6528571428571428,0.6552283164602675,0.6517628553853159,0.6528571428571428,0.68725,0.6528571428571428,0.6528571428571428,0.6423927612937569,0.673846146303903,0.6766720313220482,0.7823218997361477,0.5328185328185329,0.6022566995768688,0.6521739130434783,0.593,0.552,0.854,0.75,0.8464483,0.74357414,48057984,1201449600,26.248793601989746,101700
25,0.6638095238095238,0.4923645826200096,0.6638095238095238,0.6354656275353288,0.6523577456775649,0.6638095238095238,0.67725,0.6638095238095238,0.6638095238095238,0.6368150497396712,0.6734877449853723,0.6441240129143444,0.7313883299798792,0.6666666666666666,0.5867052023121387,0.5625,0.727,0.36,0.812,0.81,0.7943723,0.73877984,48057984,1249507584,25.430550813674927,101700
26,0.6247619047619047,0.46408446142884896,0.6247619047619047,0.6395222011407069,0.6279296706987226,0.6247619047619047,0.6945,0.6247619047619047,0.6247619047619047,0.6219420049936584,0.6697863105289297,0.6835716774511594,0.7824773413897281,0.44850948509485095,0.6853526220614828,0.5714285714285714,0.518,0.662,0.758,0.84,0.7053774,0.7269772,48057984,1297565568,25.07691788673401,101700
27,0.550952380952381,0.3592506309454475,0.550952380952381,0.4941226241964152,0.5676470032810222,0.550952380952381,0.6025,0.550952380952381,0.550952380952381,0.5152072944620669,0.6272552073418396,0.5650872899166481,0.7575057736720554,0.6794425087108014,0.3940520446096654,0.22982885085574573,0.656,0.39,0.424,0.94,0.7444479,0.87845886,48057984,1345623552,25.127660274505615,101700
