epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.0751823171190136,0.0,0.0751823171190136,0.010757720008821331,0.010514274123349921,0.0751823171190136,0.07692307692307693,0.0751823171190136,0.0751823171190136,0.005783255163001046,0.0056523808073839265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0751823171190136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8809261,2.8251162,277698304,277698304,176.828204870224,102285
1,0.015036463423802722,0.0,0.015036463423802722,0.0022790334619088044,0.000445491842790985,0.015036463423802722,0.07692307692307693,0.015036463423802722,0.015036463423802722,0.0011566510326002093,0.00022609523229535707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015036463423802722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3745413,2.8213682,277698304,555396608,172.98532509803772,102285
2,0.07435531163070445,0.0022232139892861547,0.07435531163070445,0.01216965672580535,0.011034008296253006,0.07435531163070445,0.07792307692307691,0.07435531163070445,0.07435531163070445,0.006694118189976931,0.005977881315728007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009389671361502348,0.07763386510819775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.983,0.0,0.0,0.0,0.0,0.0,2.7842603,2.8237586,277698304,833094912,170.50134086608887,102285
3,0.10164649274490639,0.052981582949540806,0.10164649274490639,0.05707377072951191,0.0655473107336595,0.10164649274490639,0.13673073078845194,0.10164649274490639,0.10164649274490639,0.15469654252059503,0.27392927070364986,0.0,0.0,0.0,0.125,0.0,0.14302769818529132,1.0,0.0161541455819385,0.13517338995046002,0.5536480686695279,0.0,0.0,0.0,0.0380517503805175,0.0,0.0,0.0015,0.0,0.599,0.0009995002498750624,0.415,0.382,0.129,0.0,0.0,0.0,0.25,2.5667667,2.6593714,277698304,1110793216,165.56230425834656,102285
4,0.11803623787685137,0.07233624828713181,0.11803623787685137,0.10841021881626413,0.1311019836271147,0.11803623787685137,0.1972223888055972,0.11803623787685137,0.11803623787685137,0.15669322451046985,0.24333163382915654,0.0,0.2773109243697479,0.0,0.2336448598130841,0.05580693815987934,0.1853846153846154,0.5215311004784688,0.046560111188325225,0.2112676056338028,0.0,0.06426332288401254,0.35294117647058826,0.07088989441930618,0.017411369834277324,0.066,0.0,0.125,0.185,0.241,0.2178910544727636,0.335,0.135,0.0,0.164,0.03,0.235,0.83,2.485106,2.4083521,277698304,1388491520,176.9320571422577,102285
5,0.2794526727313736,0.21361617840836578,0.2794526727313736,0.19610921070009424,0.3076536412411779,0.2794526727313736,0.2713808672586783,0.2794526727313736,0.2794526727313736,0.2761870370326732,0.45858216539602553,0.14073753327769817,0.39970717423133234,0.03767123287671233,0.4360421369450715,0.07434944237918216,0.13457330415754923,0.5462184873949579,0.040973111395646605,0.229607250755287,0.6677367576243981,0.05555555555555555,0.77390527256479,0.13636363636363635,0.05772811918063315,0.273,0.11,0.5795,0.1,0.123,0.09745127436281859,0.8,0.152,0.208,0.002,0.433,0.03,0.62,2.256389,2.2426486,277698304,1666189824,179.2191653251648,102285
6,0.32305841666040147,0.2638143123063881,0.32305841666040147,0.2333297201945993,0.336897092408464,0.32305841666040147,0.34099517548917846,0.32305841666040147,0.32305841666040147,0.3182212692224074,0.5140824149413827,0.24146486863981803,0.4352126607319486,0.05635062611806798,0.7126334519572953,0.14893617021276595,0.20704845814977973,0.7011173184357542,0.045229244114002476,0.20293122886133033,0.6571428571428571,0.14583333333333334,0.6350086655112651,0.08571428571428572,0.10371819960861056,0.22,0.63,0.4005,0.035,0.094,0.12543728135932034,0.73,0.18,0.138,0.224,0.916,0.21,0.53,1.9671836,2.0476527,277698304,1943888128,171.89822626113892,102285
7,0.39425607097210735,0.3433741904806884,0.39425607097210735,0.2865305848242621,0.41692209371668226,0.39425607097210735,0.4198757736516357,0.39425607097210735,0.39425607097210735,0.3726381670526159,0.5902385934758976,0.27345101938099414,0.6410256410256411,0.07435653002859867,0.7927314026121521,0.20238095238095238,0.2644628099173554,0.7044410413476263,0.04672897196261682,0.2700534759358289,0.5454545454545454,0.21767241379310345,0.87699203187251,0.0736,0.13439635535307518,0.4,0.78,0.698,0.085,0.032,0.22988505747126436,0.75,0.101,0.048,0.404,0.8805,0.46,0.59,1.9252386,1.8447927,277698304,2221586432,165.19893765449524,102285
8,0.41853995940154876,0.368120321122847,0.41853995940154876,0.31909610824875234,0.44052362740348483,0.41853995940154876,0.44365007880675045,0.41853995940154876,0.41853995940154876,0.40845313644249587,0.6503051897569659,0.35057707379469555,0.6654778887303852,0.16574585635359115,0.8888888888888888,0.1524822695035461,0.24466192170818504,0.875,0.04909560723514212,0.42369477911646586,0.6078431372549019,0.21473951715374842,0.8584195672624647,0.08574610244988864,0.07809523809523809,0.4665,0.6,0.704,0.215,0.275,0.09795102448775612,0.665,0.211,0.0775,0.338,0.9125,0.385,0.82,1.7391394,1.7513771,277698304,2499284736,172.93279910087585,102285
9,0.43793699721825424,0.38617333060711523,0.43793699721825424,0.3228326203373778,0.4506119215499189,0.43793699721825424,0.4418786952677508,0.43793699721825424,0.43793699721825424,0.40365607117316166,0.624994543551724,0.3020610957091959,0.6266397578203835,0.1471861471861472,0.9075255102040817,0.19553072625698323,0.2177650429799427,0.8105263157894737,0.04523876012287071,0.32372093023255816,0.5299145299145299,0.3737704918032787,0.8713886300093197,0.09176470588235294,0.10655737704918032,0.621,0.68,0.7115,0.175,0.076,0.1539230384807596,0.81,0.348,0.031,0.228,0.935,0.195,0.78,1.6727245,1.7594355,277698304,2776983040,174.54350686073303,102285
