epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.007518231711901361,0.0,0.007518231711901361,0.001148019952586776,0.00011220404017463415,0.007518231711901361,0.07692307692307693,0.007518231711901361,0.007518231711901361,0.0005783255163001046,5.652380807383927e-05,0.0,0.0,0.007518231711901361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0792763,2.589696,277698304,277698304,169.7843017578125,102285
1,0.015036463423802722,0.0,0.015036463423802722,0.0022790334619088044,0.000445491842790985,0.015036463423802722,0.07692307692307693,0.015036463423802722,0.015036463423802722,0.0011566510326002093,0.00022609523229535707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015036463423802722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5944235,2.5845568,277698304,555396608,160.35719108581543,102285
2,0.007518231711901361,0.0,0.007518231711901361,0.001148019952586776,0.00011220404017463415,0.007518231711901361,0.07692307692307693,0.007518231711901361,0.007518231711901361,0.0005783255163001046,5.652380807383927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518231711901361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5818696,2.5824783,277698304,833094912,161.36362075805664,102285
3,0.14352304338019697,0.07021560892725864,0.14352304338019697,0.08623476142535866,0.10167230452876867,0.14352304338019697,0.15969196171145195,0.14352304338019697,0.14352304338019697,0.22470653908793534,0.3812526777776146,0.0,1.0,0.0,0.25242424242424244,0.0625,0.1423515532835234,0.9,0.04337794185509922,0.15864406779661017,0.0,0.07510148849797023,0.19345238095238096,0.09333333333333334,0.0,0.0005,0.0,0.4165,0.005,0.362,0.008995502248875561,0.47,0.234,0.0,0.444,0.065,0.07,0.0,2.4427488,2.284686,277698304,1110793216,163.53971886634827,102285
4,0.30140590933012557,0.22611385777178405,0.30140590933012557,0.18668845990547742,0.29032440167476325,0.30140590933012557,0.24405562603313727,0.30140590933012557,0.30140590933012557,0.2540479331640503,0.398045948735335,0.0,0.39076923076923076,0.0,0.42907801418439717,0.05333333333333334,0.1962540716612378,0.40014445648248465,0.0701219512195122,0.1905842314237096,0.5860323886639676,0.3333333333333333,0.5420450059218318,0.08582089552238806,0.025106218617226728,0.0635,0.0,0.0605,0.06,0.241,0.5537231384307846,0.115,0.336,0.2895,0.002,0.6865,0.115,0.65,1.9572442,2.0442686,277698304,1388491520,166.04587244987488,102285
5,0.3740320276670927,0.3010057838953629,0.3740320276670927,0.23323865739062025,0.35313081191854684,0.3740320276670927,0.3134106023911122,0.3740320276670927,0.3740320276670927,0.32598909588345804,0.5116415729196062,0.19465469588170345,0.890625,0.12666666666666668,0.4833520389075945,0.06255012028869286,0.2111111111111111,0.5134493670886076,0.050892267019167214,0.4583333333333333,0.5198135198135199,0.20141342756183744,0.5816326530612245,0.07777777777777778,0.060240963855421686,0.0285,0.19,0.646,0.39,0.095,0.3243378310844578,0.385,0.044,0.446,0.114,0.8265,0.035,0.55,1.87851,1.859235,277698304,1666189824,164.08433175086975,102285
6,0.40290203744079395,0.34150348713804923,0.402902037440794,0.2896087529154806,0.41899692538470024,0.40290203744079395,0.3892219082766309,0.40290203744079395,0.40290203744079395,0.32189607224968037,0.5149483153624649,0.32492604339922676,0.5820391627278866,0.06818181818181818,0.6619411123227917,0.0970873786407767,0.23415046491969568,0.6642651296829971,0.07832167832167833,0.23042168674698796,0.45251396648044695,0.19366852886405958,0.75,0.06632324533161622,0.1057347670250896,0.431,0.63,0.607,0.15,0.277,0.2303848075962019,0.28,0.153,0.1215,0.208,0.867,0.515,0.59,1.8053175,1.6327997,277698304,1943888128,165.7227852344513,102285
7,0.46229606796481465,0.4046571292943657,0.46229606796481465,0.3347657539842675,0.46519685817042206,0.46229606796481465,0.4359517933341021,0.46229606796481465,0.46229606796481465,0.37019162492915325,0.5806172147918158,0.3579501053317631,0.7257501744591766,0.1832797427652733,0.6785871964679911,0.10599078341013825,0.219756999471738,0.7002762430939227,0.061037639877924724,0.365819209039548,0.536697247706422,0.21958925750394945,0.8331814038286235,0.07747747747747748,0.10504774897680765,0.52,0.57,0.7685,0.345,0.416,0.25337331334332835,0.3,0.259,0.0585,0.278,0.914,0.215,0.77,1.5949413,1.6070629,277698304,2221586432,159.51056361198425,102285
8,0.4785354484625216,0.4223003884517508,0.4785354484625216,0.3574658987221735,0.5118841192447579,0.4785354484625216,0.42867645023642026,0.4785354484625216,0.4785354484625216,0.3908172715952196,0.6145572586547471,0.37606820438762933,0.7055412371134021,0.11422413793103449,0.9638336347197106,0.15432098765432098,0.23702830188679244,0.5133789670192906,0.062436548223350256,0.3347788378143972,0.6561561561561562,0.2567049808429119,0.8547204399633364,0.08768267223382047,0.1398176291793313,0.5475,0.53,0.533,0.125,0.201,0.4122938530734633,0.615,0.386,0.2185,0.402,0.9325,0.21,0.46,1.3318772,1.6129005,277698304,2499284736,164.81463074684143,102285
9,0.5345462747161868,0.48355314471806854,0.5345462747161868,0.3914146989897772,0.5549343163011384,0.5345462747161868,0.48310242955445354,0.5345462747161868,0.5345462747161868,0.42283938075141564,0.6431327564474622,0.39965245155890605,0.7759620453347391,0.1745152354570637,0.8779989790709546,0.18181818181818182,0.26151761517615174,0.6358490566037736,0.06776765375854214,0.3764458464773922,0.591337099811676,0.37857142857142856,0.9319659829914958,0.08512467755803955,0.15803814713896458,0.736,0.63,0.86,0.09,0.193,0.33683158420789605,0.595,0.358,0.157,0.318,0.9315,0.495,0.58,1.4862108,1.380526,277698304,2776983040,163.56930804252625,102285
