epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.015110509697789806,0.0,0.015110509697789806,0.0022900893818467694,0.00044985743157161396,0.015110509697789806,0.07692307692307693,0.015110509697789806,0.015110509697789806,0.0011623468998299851,0.00022832750332699977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015110509697789806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3862371,3.13092,656863296,656863296,404.98189520835876,102285
1,0.35460832957450006,0.2898828755430298,0.3546083295745,0.24231678009156365,0.37031196227315727,0.35460832957450006,0.34222057467981687,0.35460832957450006,0.35460832957450006,0.29872732496239984,0.4830029747706443,0.2399717627464541,0.53045013239188,0.0766721044045677,0.6360093530787218,0.06060606060606061,0.2077922077922078,0.553464499572284,0.047455032529659394,0.26501766784452296,0.6039603960396039,0.16129032258064516,0.5848303393213573,0.08895705521472393,0.0669500531349628,0.3005,0.47,0.408,0.12,0.04795204795204795,0.3235,0.6169154228855721,0.15,0.183,0.03,0.879,0.29,0.63,3.1061416,2.1806011,656863296,1313726592,355.57302737236023,102285
2,0.49398586678694933,0.43830560913464456,0.49398586678694933,0.3371970582091532,0.47040556373474385,0.49398586678694933,0.4516604912500435,0.49398586678694933,0.49398586678694933,0.3904669073812957,0.6092567982616403,0.3127837294833935,0.74581589958159,0.15334773218142547,0.7132442284325637,0.12302839116719243,0.22186103210077204,0.7777777777777778,0.07246376811594203,0.3900414937759336,0.5068493150684932,0.3022222222222222,0.8869358669833729,0.07098381070983811,0.11149825783972125,0.713,0.71,0.8805,0.195,0.5454545454545454,0.175,0.2736318407960199,0.094,0.0185,0.408,0.9335,0.285,0.64,2.2050877,1.6413901,656863296,1970589888,353.62135457992554,102285
3,0.4838370169899263,0.43555591735624144,0.4838370169899263,0.3636279725782779,0.5002710660256716,0.4838370169899263,0.47482546940239256,0.4838370169899263,0.4838370169899263,0.4565787150507505,0.6875248354667478,0.34215625737606953,0.8835286009648519,0.11940298507462686,0.9346590909090909,0.40476190476190477,0.2470254957507082,0.7712765957446809,0.051479062620053785,0.29069767441860467,0.5894736842105263,0.4295612009237875,0.9481630598892803,0.0871313672922252,0.1783625730994152,0.641,0.8,0.8225,0.085,0.4355644355644356,0.145,0.6666666666666666,0.3,0.028,0.372,0.942,0.325,0.61,1.8389142,1.5793331,656863296,2627453184,354.5999104976654,102285
4,0.5241317095173658,0.4746013706968173,0.5241317095173658,0.37386308095372595,0.5143472160857938,0.5241317095173658,0.5007195473871708,0.5241317095173658,0.5241317095173658,0.4335614494808043,0.6818067562974482,0.35416112315131626,0.8492626979792464,0.15856236786469344,0.9375,0.12,0.23158640226628896,0.8068783068783069,0.0797872340425532,0.44625407166123776,0.581081081081081,0.3591331269349845,0.8918291550603529,0.053164556962025315,0.12125984251968504,0.7775,0.75,0.8325,0.45,0.6533466533466533,0.1525,0.29850746268656714,0.274,0.0215,0.464,0.9605,0.105,0.77,1.6508191,1.4780669,656863296,3284316480,354.07563853263855,102285
5,0.5263118328070967,0.478942267231798,0.5263118328070967,0.39627097919159293,0.5349028804215734,0.5263118328070967,0.5129910428262897,0.5263118328070967,0.5263118328070967,0.49091774336686755,0.726017835716262,0.3860123901306397,0.9015384615384615,0.11764705882352941,0.9326370757180157,0.48333333333333334,0.24112933994658528,0.7557603686635944,0.058365758754863814,0.41208791208791207,0.74,0.45549738219895286,0.9767318878900053,0.12063492063492064,0.1865671641791045,0.7325,0.84,0.893,0.145,0.6313686313686314,0.164,0.5970149253731343,0.225,0.0555,0.522,0.9235,0.19,0.75,1.6203749,1.4412377,656863296,3941179776,354.79940915107727,102285
6,0.5381145692377086,0.490765908934245,0.5381145692377086,0.40130059392895856,0.5358754729511109,0.5381145692377086,0.5339041557371064,0.5381145692377086,0.5381145692377086,0.46107779425789036,0.7021944688910661,0.4136903468481059,0.8870179250407387,0.16973415132924335,0.9481566820276498,0.13810741687979539,0.23515109412990623,0.8220640569395018,0.0817490494296578,0.5637342908438061,0.49572649572649574,0.49521988527724664,0.9498011928429424,0.0654627539503386,0.1420863309352518,0.8165,0.83,0.823,0.54,0.6763236763236763,0.1155,0.21393034825870647,0.314,0.058,0.518,0.9555,0.29,0.79,1.5788026,1.4378407,656863296,4598043072,349.34911823272705,102285
7,0.5350323259660201,0.4891286018398341,0.5350323259660201,0.40503396704670813,0.5267214015302573,0.5350323259660201,0.5581919811914071,0.5350323259660201,0.5350323259660201,0.45461352225771,0.6923126968116601,0.41089350692043825,0.9218846869187849,0.15151515151515152,0.9409853817000542,0.15454545454545454,0.2463075586446568,0.7865168539325843,0.0880503144654088,0.4415322580645161,0.5,0.4890756302521008,0.9407153356197943,0.07671601615074024,0.1721311475409836,0.7435,0.85,0.869,0.51,0.5664335664335665,0.105,0.48756218905472637,0.438,0.02,0.582,0.96,0.285,0.84,1.515563,1.4196324,656863296,5254906368,347.95350098609924,102285
8,0.5513456623064201,0.5044194231255749,0.5513456623064201,0.4297398044964558,0.5619864223946704,0.5513456623064201,0.5410193159309118,0.5513456623064201,0.5513456623064201,0.48829901978908674,0.7168123515244382,0.45907295451585456,0.9144862795149968,0.11513583441138421,0.9521865889212828,0.29891304347826086,0.2631578947368421,0.7902542372881356,0.08917197452229299,0.393455098934551,0.6128048780487805,0.6617210682492581,0.9390541199414919,0.08754623921085081,0.23,0.7165,0.89,0.8165,0.275,0.6593406593406593,0.1865,0.417910447761194,0.517,0.1005,0.446,0.963,0.355,0.69,1.4973539,1.4000802,656863296,5911769664,354.5938022136688,102285
9,0.5414975191700496,0.49615408437188036,0.5414975191700496,0.4253896728661876,0.5505894415656479,0.5414975191700496,0.5601614265948366,0.5414975191700496,0.5414975191700496,0.4842790971365859,0.7307326437449477,0.4662069249754147,0.9571843251088534,0.15841584158415842,0.9506449803701627,0.2528301886792453,0.2622392507449979,0.7780429594272077,0.07506702412868632,0.5143513203214696,0.6886792452830188,0.46734397677793904,0.9217098943323727,0.0875,0.18161925601750548,0.6595,0.8,0.8475,0.335,0.6153846153846154,0.163,0.5572139303482587,0.448,0.073,0.644,0.9595,0.35,0.83,1.4687614,1.4199625,656863296,6568632960,354.53498101234436,102285
