epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.07239512855209743,0.021058656781508978,0.07239512855209743,0.03612869588302334,0.040803468167757234,0.07239512855209743,0.11643879924132507,0.07239512855209743,0.07239512855209743,0.04711227991061226,0.07125955859211623,0.0,0.0,0.0,0.0,0.03044341495698213,0.06748466257668712,0.0,0.01532033426183844,0.1041513592946363,0.18691588785046728,0.0,0.1953125,0.01283147989734816,0.0,0.0,0.0,0.0,0.69,0.02197802197802198,0.0,0.05472636815920398,0.567,0.08,0.0,0.025,0.075,0.0,2.6875987,2.345763,656863296,656863296,481.82848930358887,102285
1,0.3440835964516614,0.2813274149677172,0.3440835964516614,0.2343547417469799,0.3350065689823611,0.3440835964516614,0.3448935945417002,0.3440835964516614,0.3440835964516614,0.3111524303958503,0.4999723396283992,0.2107685299640188,0.5673575129533679,0.086,0.5017667844522968,0.08321775312066575,0.21026894865525672,0.6674641148325359,0.04581757040773434,0.31186440677966104,0.5714285714285714,0.1718146718146718,0.6845502218636547,0.08450704225352113,0.05892399658411614,0.3285,0.43,0.639,0.3,0.17182817182817184,0.1395,0.5422885572139303,0.092,0.004,0.178,0.8485,0.12,0.69,2.2811642,1.4128165,656863296,1313726592,400.4459128379822,102285
2,0.462787550744249,0.406773562693697,0.462787550744249,0.33504519580471853,0.44812114352268473,0.462787550744249,0.42385911600836973,0.462787550744249,0.462787550744249,0.41439734356314006,0.6384513293180104,0.2962432020565557,0.7569284064665127,0.2550335570469799,0.9541666666666667,0.14395886889460155,0.19749776586237713,0.7408906882591093,0.06010230179028133,0.5042918454935622,0.5853658536585366,0.23580786026200873,0.7519500780031201,0.07692307692307693,0.12424849699398798,0.6555,0.38,0.687,0.28,0.6623376623376623,0.0915,0.23383084577114427,0.235,0.012,0.324,0.964,0.365,0.62,1.4709556,1.1248087,656863296,1970589888,400.56754064559937,102285
3,0.5369117425950984,0.4870016016831791,0.5369117425950984,0.3955328350702359,0.5280474623148309,0.5369117425950984,0.49971134013326896,0.5369117425950984,0.5369117425950984,0.4580259551813382,0.6993751709342102,0.3790594883625867,0.8348723519826181,0.22758620689655173,0.9204059829059829,0.21030042918454936,0.21998762376237624,0.8021108179419525,0.07259953161592506,0.4780292942743009,0.6694214876033058,0.38412698412698415,0.9248046875,0.09137055837563451,0.1187214611872146,0.7685,0.66,0.8615,0.245,0.7102897102897103,0.152,0.30845771144278605,0.359,0.0405,0.484,0.947,0.18,0.78,1.2374711,0.9135447,656863296,2627453184,403.7011616230011,102285
4,0.5229288828747557,0.4738550805112218,0.5229288828747557,0.3968723971936562,0.5212049748206613,0.5229288828747557,0.49501679529808124,0.5229288828747557,0.5229288828747557,0.47411373554338676,0.7112599239485764,0.36678004762902167,0.9364739471805853,0.4,0.9436046511627907,0.12433862433862433,0.2256932256932257,0.7579185520361991,0.06974858069748581,0.5467091295116773,0.7230769230769231,0.36774193548387096,0.8348465196714224,0.10619469026548672,0.12713178294573643,0.656,0.36,0.8115,0.47,0.6423576423576424,0.1675,0.42786069651741293,0.515,0.0235,0.456,0.9655,0.12,0.82,1.0531161,0.9635155,656863296,3284316480,392.9898614883423,102285
5,0.5431514058036385,0.4964626575467036,0.5431514058036385,0.43282896770038765,0.5538086361477115,0.5431514058036385,0.5278456191722551,0.5431514058036385,0.5431514058036385,0.49818220518255046,0.7308580342166933,0.4343525006808516,0.9375,0.34394904458598724,0.9521367521367521,0.31313131313131315,0.23686214775323686,0.7167300380228137,0.0675596971461852,0.5167910447761194,0.7590361445783133,0.46785714285714286,0.9297903461725987,0.09565217391304348,0.13937282229965156,0.675,0.54,0.8355,0.31,0.6213786213786214,0.1885,0.5771144278606966,0.554,0.063,0.524,0.9535,0.22,0.8,1.0079491,0.894722,656863296,3941179776,393.0230166912079,102285
6,0.5798376184032477,0.5328983361188794,0.5798376184032477,0.4513431046270053,0.5857027632647352,0.5798376184032477,0.5510111392625744,0.5798376184032477,0.5798376184032477,0.48532495639870454,0.7195332544948844,0.4648188280107487,0.9478324761204996,0.28688524590163933,0.9186338523355098,0.22777777777777777,0.25071109305160505,0.684957426679281,0.0946372239747634,0.43091859596713966,0.7692307692307693,0.48330058939096265,0.9384842519685039,0.08571428571428572,0.19014084507042253,0.645,0.7,0.9145,0.41,0.6163836163836164,0.362,0.44776119402985076,0.577,0.085,0.492,0.9535,0.15,0.81,0.9744938,0.80363095,656863296,4598043072,395.20190024375916,102285
7,0.6326116373477673,0.5865822555204401,0.6326116373477673,0.4906695289627727,0.639638532074008,0.6326116373477673,0.5544515924182973,0.6326116373477673,0.6326116373477673,0.5235369918674126,0.7230897795621993,0.4730693586463374,0.8629845990440786,0.24503311258278146,0.9342309684101502,0.48214285714285715,0.25492909028017985,0.6759639048400328,0.1696969696969697,0.46847635726795095,0.7581699346405228,0.6385869565217391,0.9530703944083874,0.15436241610738255,0.20833333333333334,0.8125,0.74,0.902,0.27,0.7362637362637363,0.412,0.27860696517412936,0.535,0.232,0.47,0.9545,0.115,0.75,0.93946767,0.7338548,656863296,5254906368,383.45840215682983,102285
8,0.5832205683355887,0.5348054742431693,0.5832205683355887,0.4566627710472879,0.585797959453222,0.5832205683355887,0.5335734946263074,0.5832205683355887,0.5832205683355887,0.5074154263121287,0.7198687708643814,0.42139668601701147,0.9276190476190476,0.26071428571428573,0.9406688241639698,0.452991452991453,0.21363754213119004,0.7045790251107829,0.14720812182741116,0.4558938329430133,0.6910112359550562,0.5263157894736842,0.9631525076765609,0.11210762331838565,0.20050125313283207,0.7305,0.73,0.872,0.265,0.8231768231768232,0.2385,0.14427860696517414,0.584,0.123,0.56,0.941,0.125,0.8,0.97893816,0.8221506,656863296,5911769664,384.7004849910736,102285
9,0.5757029018192753,0.5299576133161299,0.5757029018192753,0.4563543198611686,0.5826561079543329,0.5757029018192753,0.5601488320328734,0.5757029018192753,0.5757029018192753,0.5000385845181371,0.7314994974725996,0.4699279501414985,0.9323979591836735,0.32195121951219513,0.936965811965812,0.2807017543859649,0.23878326996197718,0.7517361111111112,0.07716535433070866,0.5273052820053715,0.7319587628865979,0.5016949152542373,0.9329446064139941,0.10689655172413794,0.16,0.731,0.66,0.877,0.4,0.6273726273726273,0.2165,0.48756218905472637,0.589,0.1065,0.592,0.96,0.155,0.88,0.93075323,0.8230468,656863296,6568632960,429.72878098487854,102285
10,0.6158472410163885,0.5703328298220731,0.6158472410163885,0.48537863440116547,0.6160580871035588,0.6158472410163885,0.5639759224701819,0.6158472410163885,0.6158472410163885,0.5159007362563932,0.7284546526871932,0.48714675832853355,0.9235550031075201,0.29515418502202645,0.935717988595127,0.31645569620253167,0.26563039723661486,0.7217659137577002,0.20689655172413793,0.44163424124513617,0.7327823691460055,0.6115288220551378,0.9357038480272771,0.11177644710578842,0.20810810810810812,0.743,0.67,0.9025,0.375,0.7682317682317682,0.3515,0.208955223880597,0.681,0.133,0.488,0.9605,0.28,0.77,0.9248118,0.74751097,656863296,7225496256,403.54973435401917,102285
11,0.6123891144188843,0.5658095037937179,0.6123891144188843,0.48946415657005765,0.6180407334899551,0.6123891144188843,0.5504998906566071,0.6123891144188843,0.6123891144188843,0.5417050900854357,0.7424720803404872,0.45845179120097757,0.9004376367614879,0.358974358974359,0.9527777777777777,0.425,0.22308892355694226,0.6962962962962963,0.16428571428571428,0.6063157894736843,0.7593457943925234,0.676923076923077,0.9444990176817288,0.14220183486238533,0.19201995012468828,0.823,0.7,0.8575,0.255,0.8571428571428571,0.282,0.22885572139303484,0.576,0.1625,0.528,0.9615,0.155,0.77,0.8191675,0.7649946,656863296,7882359552,395.36650681495667,102285
12,0.5645015787099684,0.5170421626903328,0.5645015787099684,0.45185986596402344,0.557513594592738,0.5645015787099684,0.5377457211751127,0.5645015787099684,0.5645015787099684,0.5144992704368502,0.7393368118427658,0.4321583271668569,0.9583333333333334,0.3904109589041096,0.9525669642857143,0.30845771144278605,0.22219093213179386,0.7846153846153846,0.11172161172161173,0.4426229508196721,0.7350993377483444,0.5252918287937743,0.9403714565004888,0.10133843212237094,0.2154696132596685,0.6555,0.57,0.8535,0.31,0.7882117882117882,0.1785,0.3034825870646766,0.729,0.0555,0.54,0.962,0.265,0.78,0.8920739,0.85289073,656863296,8539222848,412.514036655426,102285
13,0.6126146444143737,0.5669648020863256,0.6126146444143737,0.4832952808689183,0.616448950234779,0.6126146444143737,0.5645331109762798,0.6126146444143737,0.6126146444143737,0.5131925560394751,0.7293896762506596,0.49614094295207334,0.9399869536855838,0.21194029850746268,0.9295918367346939,0.37967914438502676,0.2609475951184494,0.7119140625,0.14634146341463414,0.4238921001926782,0.7433862433862434,0.6033653846153846,0.9441699604743083,0.13286713286713286,0.24342105263157895,0.7205,0.71,0.911,0.355,0.7262737262737263,0.3645,0.26865671641791045,0.66,0.1405,0.502,0.9555,0.285,0.74,0.8610089,0.7433375,656863296,9196086144,390.39367938041687,102285
14,0.5725454818824237,0.5278050491999986,0.5725454818824237,0.4554797391970244,0.5793748814671922,0.5725454818824237,0.57797761060218,0.5725454818824237,0.5725454818824237,0.4960731719748678,0.727145541539713,0.5008992017025441,0.9501915708812261,0.16283524904214558,0.9225741578682756,0.2393617021276596,0.26774330641733957,0.7752525252525253,0.08224442736356649,0.5626566416040101,0.6306954436450839,0.4967532467532468,0.9521197007481297,0.1043956043956044,0.3021276595744681,0.744,0.85,0.9175,0.45,0.6293706293706294,0.1535,0.5323383084577115,0.449,0.1315,0.612,0.9545,0.38,0.71,0.8512504,0.84791327,656863296,9852949440,386.2668573856354,102285
15,0.6028416779431665,0.5564256264889442,0.6028416779431665,0.49061561662098285,0.6171278828809512,0.6028416779431665,0.5613563489705855,0.6028416779431665,0.6028416779431665,0.5392912874143865,0.7429005066837219,0.4876316989012177,0.9418158567774936,0.21158690176322417,0.9502118644067796,0.488,0.22667398463227223,0.702002355712603,0.1099290780141844,0.5375275938189845,0.7295081967213115,0.6716417910447762,0.9658511722731906,0.14576271186440679,0.3302752293577982,0.7365,0.84,0.897,0.305,0.8251748251748252,0.298,0.30845771144278605,0.487,0.178,0.54,0.9475,0.215,0.72,0.9006107,0.7875196,656863296,10509812736,411.21345376968384,102285
16,0.5855510449556458,0.5406562216118052,0.5855510449556458,0.47243690557550916,0.6013105573960258,0.5855510449556458,0.5756049912582633,0.5855510449556458,0.5855510449556458,0.5120886891018225,0.7427794988475689,0.513337032312546,0.9625706214689266,0.20385674931129477,0.9542234332425068,0.24269662921348314,0.2651975683890577,0.7506925207756233,0.0857392825896763,0.4840103716508211,0.7234567901234568,0.648578811369509,0.9444990176817288,0.10483870967741936,0.28679245283018867,0.6815,0.74,0.8755,0.54,0.6973026973026973,0.271,0.48756218905472637,0.56,0.1465,0.502,0.9615,0.26,0.76,0.8614744,0.8246905,656863296,11166676032,386.61190581321716,102285
