epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.06141933543827996,0.002713859668572627,0.06141933543827996,0.03518950728828286,0.0390345833892618,0.06141933543827996,0.12313279028663644,0.06141933543827996,0.06141933543827996,0.1167788880667831,0.20592751670469886,0.0,0.0,0.0056925996204933585,0.14193548387096774,0.032249606712113264,0.06520704426463589,1.0,0.0,0.11663066954643629,0.0,0.0,0.13200723327305605,0.0,0.024402907580477674,0.0,0.03,0.011,0.615,0.27372627372627373,0.001,0.0,0.054,0.0,0.0,0.146,0.0,0.47,2.9391596,2.5520637,656863296,656863296,542.8831896781921,102285
1,0.36137422943918207,0.2976647478992218,0.36137422943918207,0.22793454374850391,0.33441989571211567,0.36137422943918207,0.35083357228305556,0.36137422943918207,0.36137422943918207,0.32831372695540045,0.5224270655945144,0.1726414924044531,0.48908918406072105,0.05550581915846016,0.6410703897614892,0.08849557522123894,0.18665607625099284,0.7925925925925926,0.05555555555555555,0.1984126984126984,0.5,0.3709677419354839,0.7379252414951701,0.07633587786259542,0.07547169811320754,0.5155,0.62,0.551,0.15,0.4695304695304695,0.0535,0.23880597014925373,0.025,0.003,0.046,0.8785,0.45,0.56,2.494508,1.7323778,656863296,1313726592,335.4772918224335,102285
2,0.4914298601714028,0.43932224182653934,0.4914298601714028,0.36578257289816035,0.5100324264914677,0.4914298601714028,0.47090472271700745,0.4914298601714028,0.4914298601714028,0.42979024961366535,0.6661935883384161,0.391290156168905,0.8027613412228797,0.12932604735883424,0.9020501138952164,0.15384615384615385,0.21519461077844312,0.7824773413897281,0.05918367346938776,0.3627329192546584,0.5644283121597096,0.4411764705882353,0.9344845099035043,0.11013986013986014,0.12947189097103917,0.6105,0.71,0.792,0.19,0.5744255744255744,0.1295,0.43283582089552236,0.292,0.1555,0.24,0.92,0.315,0.76,1.8064103,1.3626927,656863296,1970589888,333.6480321884155,102285
3,0.5477371823785897,0.49774921510323156,0.5477371823785897,0.3997990686411456,0.5473968498747123,0.5477371823785897,0.5039693127385435,0.5477371823785897,0.5477371823785897,0.47220831137588554,0.7031295580640233,0.37285823843698235,0.8413566739606126,0.14522058823529413,0.9235294117647059,0.42,0.21821970824650194,0.7389312977099237,0.08101571946795647,0.41482444733420026,0.7125748502994012,0.38929088277858176,0.9687665431445209,0.115,0.16997792494481237,0.769,0.79,0.8635,0.105,0.7322677322677322,0.242,0.3333333333333333,0.319,0.0595,0.538,0.915,0.115,0.77,1.5338125,1.1752943,656863296,2627453184,333.41204738616943,102285
4,0.5757029018192753,0.5274837180536154,0.5757029018192753,0.4337089795471576,0.5843370002996647,0.5757029018192753,0.533507320846012,0.5757029018192753,0.5757029018192753,0.48179706930641825,0.7082211461981183,0.45213958146228334,0.8373524884556183,0.14590747330960854,0.9349081364829396,0.35877862595419846,0.24024226110363392,0.7404371584699454,0.10164424514200299,0.5098901098901099,0.6666666666666666,0.4816955684007707,0.9632505175983437,0.09271523178807947,0.189873417721519,0.816,0.82,0.8905,0.235,0.7132867132867133,0.271,0.3383084577114428,0.232,0.159,0.5,0.9305,0.28,0.75,1.307033,1.0868802,656863296,3284316480,343.9211835861206,102285
5,0.5205232295895355,0.4732977766943002,0.5205232295895355,0.39564438350872866,0.52172112888761,0.5205232295895355,0.5217472103097821,0.5205232295895355,0.5205232295895355,0.4782574220390866,0.7154409848294653,0.3861995005793068,0.927916120576671,0.1571969696969697,0.9461451247165533,0.4024390243902439,0.23187907935417382,0.7633333333333333,0.06310096153846154,0.472630173564753,0.6346153846153846,0.3897849462365591,0.9634961439588688,0.10778443113772455,0.15702479338842976,0.708,0.83,0.8345,0.165,0.6743256743256744,0.1145,0.5223880597014925,0.354,0.033,0.58,0.937,0.27,0.76,1.3024988,1.1954162,656863296,3941179776,331.4253809452057,102285
6,0.5060893098782138,0.4590131630737315,0.5060893098782138,0.3964413104010357,0.5060655328204173,0.5060893098782138,0.5230399864200094,0.5060893098782138,0.5060893098782138,0.48439794171076894,0.7203012336491007,0.3610072384249,0.9194461925739459,0.24024024024024024,0.9563191613278975,0.32298136645962733,0.21147540983606558,0.7102803738317757,0.05772151898734177,0.6718061674008811,0.6296296296296297,0.32014388489208634,0.983906770255272,0.11173184357541899,0.16149068322981366,0.7305,0.8,0.821,0.26,0.6443556443556444,0.076,0.5671641791044776,0.305,0.017,0.712,0.8865,0.2,0.78,1.2103341,1.2242266,656863296,4598043072,329.27008628845215,102285
7,0.5384904525635242,0.4905585935662813,0.5384904525635242,0.4111370143227847,0.5314426405228263,0.5384904525635242,0.5306012496879317,0.5384904525635242,0.5384904525635242,0.48942578972341677,0.7282610446149479,0.3787554672703525,0.9172165566886623,0.13291139240506328,0.950974930362117,0.40559440559440557,0.2119028556178276,0.8242424242424242,0.08225108225108226,0.47844827586206895,0.640625,0.40869565217391307,0.9849462365591398,0.12992125984251968,0.19480519480519481,0.7645,0.84,0.8535,0.29,0.7932067932067932,0.136,0.3781094527363184,0.333,0.0205,0.658,0.916,0.165,0.75,1.1784611,1.1467427,656863296,5254906368,327.088543176651,102285
8,0.5525484889490302,0.5048948765184804,0.5525484889490302,0.42778059054729173,0.5477186555705986,0.5525484889490302,0.5393340784741474,0.5525484889490302,0.5525484889490302,0.5108560412624364,0.7364199656477288,0.4186798478436851,0.9071925754060325,0.1686746987951807,0.9415825809877855,0.4888888888888889,0.2140985324947589,0.7713310580204779,0.08447488584474885,0.5934664246823956,0.6777251184834123,0.4755747126436782,0.989247311827957,0.1162280701754386,0.21264367816091953,0.782,0.84,0.8865,0.22,0.8161838161838162,0.113,0.3681592039800995,0.327,0.0715,0.662,0.92,0.265,0.74,1.1890697,1.0779678,656863296,5911769664,336.14532685279846,102285
9,0.5490903623515261,0.5028623701132746,0.5490903623515261,0.4291822525762447,0.5555003027612239,0.5490903623515261,0.5497080571552443,0.5490903623515261,0.5490903623515261,0.49326402838835864,0.7340074624564782,0.435041160557254,0.9455737704918032,0.1456140350877193,0.9484864577801381,0.36318407960199006,0.22686567164179106,0.7660455486542443,0.07311977715877438,0.505464480874317,0.684931506849315,0.46189024390243905,0.9837013669821241,0.10136986301369863,0.20618556701030927,0.721,0.83,0.893,0.365,0.6833166833166833,0.185,0.5223880597014925,0.37,0.05,0.606,0.9355,0.185,0.8,1.1496402,1.0882127,656863296,6568632960,339.83106303215027,102285
