epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.030446549391069014,-0.0015700318777316369,0.030446549391069014,0.024671746592548307,0.013327312834629826,0.030446549391069014,0.11659433601224646,0.030446549391069014,0.030446549391069014,0.018291619213493145,0.013702945139780001,0.0,0.0,0.0,0.0,0.05215123859191656,0.0,0.0,0.013157894736842105,0.06223692122669874,0.0,0.0,0.04786324786324787,0.05,0.01238174735670562,0.0,0.0,0.0,0.2,0.0,0.0,0.05472636815920398,0.207,0.0,0.0,0.014,0.15,0.89,2.8662653,2.5190847,688905408,688905408,377.28808784484863,102285
1,0.3646068260411968,0.3036884441524751,0.3646068260411968,0.24375441964132524,0.363588445215755,0.3646068260411968,0.3450653166198517,0.3646068260411968,0.3646068260411968,0.3455798966012903,0.563511917067025,0.22875287026375224,0.5960698689956332,0.059907834101382486,0.5296938399114718,0.06172839506172839,0.20561685055165496,0.7887323943661971,0.04430379746835443,0.33653846153846156,0.581151832460733,0.2608695652173913,0.8918918918918919,0.0711523588553751,0.06488156539649846,0.4095,0.39,0.718,0.05,0.4095904095904096,0.056,0.3482587064676617,0.14,0.0555,0.06,0.759,0.46,0.63,2.463973,1.731191,688905408,1377810816,368.72229385375977,102285
2,0.4981205833709217,0.44620147865897797,0.4981205833709217,0.3601257660357885,0.48495102083738045,0.4981205833709217,0.4696292297446144,0.4981205833709217,0.4981205833709217,0.42338569577207136,0.653972158743908,0.31381080652208904,0.8515193370165746,0.11538461538461539,0.8045414069456812,0.16412213740458015,0.22313203684749233,0.7802547770700637,0.05351437699680511,0.3466183574879227,0.5384615384615384,0.428,0.937125748502994,0.10105263157894737,0.16028708133971292,0.6165,0.69,0.9035,0.215,0.6533466533466533,0.1225,0.3333333333333333,0.287,0.007,0.428,0.939,0.24,0.67,1.8391285,1.2994792,688905408,2066716224,366.88402819633484,102285
3,0.5190948729514359,0.4694436596106445,0.5190948729514359,0.37833837331050985,0.49940432064770796,0.5190948729514359,0.4936676520953215,0.5190948729514359,0.5190948729514359,0.4082377328243708,0.599846199217389,0.0,0.8360128617363344,0.1945288753799392,0.922784121805329,0.25316455696202533,0.21105043366527465,0.7891566265060241,0.06610942249240122,0.4319695528068506,0.0,0.4397031539888683,0.9531806615776082,0.09486166007905138,0.11456859971711457,0.78,0.64,0.8485,0.2,0.6563436563436563,0.0655,0.43283582089552236,0.454,0.0,0.474,0.9365,0.12,0.81,1.4116851,1.2534391,688905408,2755621632,345.3322627544403,102285
4,0.5366862125996091,0.4866157854088955,0.5366862125996091,0.39122878015485296,0.5153508323188313,0.5366862125996091,0.5115052383513922,0.5366862125996091,0.5366862125996091,0.46367148856511303,0.6668452942813997,0.3021838581782309,0.8264545002486325,0.12859304084720122,0.9307813319349764,0.4657534246575342,0.20894708128750683,0.7794117647058824,0.0921595598349381,0.4030612244897959,0.4,0.5518072289156627,0.9734375,0.10818713450292397,0.15913555992141454,0.831,0.85,0.8875,0.17,0.7652347652347652,0.106,0.3333333333333333,0.316,0.003,0.458,0.9345,0.185,0.81,1.4170463,1.1651493,688905408,3444527040,355.49393105506897,102285
5,0.5339046759885732,0.487988816764483,0.5339046759885732,0.4095532824323235,0.5381756090246476,0.5339046759885732,0.5326865709873747,0.5339046759885732,0.5339046759885732,0.4703029627873742,0.716982678875277,0.4229825752788914,0.8925373134328358,0.25769230769230766,0.9188775510204081,0.0988909426987061,0.2598509052183174,0.8110599078341014,0.06762028608582575,0.4618874773139746,0.6352941176470588,0.49510763209393344,0.9811929070392262,0.07296137339055794,0.16096579476861167,0.7475,0.67,0.9005,0.535,0.4875124875124875,0.088,0.5174129353233831,0.509,0.081,0.506,0.913,0.17,0.8,1.3320159,1.141631,688905408,4133432448,354.1933329105377,102285
6,0.5401443391971132,0.4917364060925493,0.5401443391971132,0.4041354928566717,0.5355857242127617,0.5401443391971132,0.5264743993090721,0.5401443391971132,0.5401443391971132,0.49305781870249044,0.7242705212178476,0.3793193616662427,0.8985422740524781,0.11195928753180662,0.9353002070393375,0.41964285714285715,0.2152155047729245,0.7534246575342466,0.09032258064516129,0.4226289517470882,0.7076923076923077,0.6253369272237197,0.9721649484536082,0.10238095238095238,0.15514018691588785,0.7705,0.88,0.9035,0.235,0.7432567432567433,0.165,0.417910447761194,0.254,0.023,0.464,0.943,0.215,0.83,1.3585894,1.103245,688905408,4822337856,356.13131189346313,102285
7,0.557510148849797,0.5108821263085221,0.557510148849797,0.4307850520750164,0.5600293524841158,0.557510148849797,0.54515348142099,0.557510148849797,0.557510148849797,0.5028152913352691,0.7364591996231667,0.4419856037977976,0.9199266503667481,0.15135135135135136,0.9211700545364403,0.4392523364485981,0.23323222109875294,0.8021680216802168,0.0727130570758405,0.46251441753171857,0.7119341563786008,0.5185873605947955,0.9846153846153847,0.11963882618510158,0.1994949494949495,0.7525,0.84,0.929,0.235,0.6913086913086913,0.148,0.4626865671641791,0.401,0.0865,0.558,0.928,0.265,0.79,1.283419,1.0716947,688905408,5511243264,346.6850564479828,102285
8,0.5622462787550744,0.5130427086516531,0.5622462787550744,0.4211594069639914,0.5678596500960955,0.5622462787550744,0.5184462055357578,0.5622462787550744,0.5622462787550744,0.5264177383846923,0.7281994341412867,0.3910010088529195,0.9069331667707683,0.09533678756476684,0.9328621908127208,0.64,0.22901183594825214,0.7329032258064516,0.1724137931034483,0.32875368007850836,0.7083333333333334,0.7276422764227642,0.989685124864278,0.13114754098360656,0.2484076433121019,0.726,0.92,0.924,0.08,0.8311688311688312,0.284,0.2736318407960199,0.335,0.0765,0.358,0.9115,0.24,0.78,1.2444898,1.073606,688905408,6200148672,350.82897996902466,102285
9,0.5322507893549843,0.48489257602667857,0.5322507893549843,0.41212532666758267,0.5319528123938989,0.5322507893549843,0.5381966615474079,0.5322507893549843,0.5322507893549843,0.5156509696386116,0.739884354085961,0.40885968188266036,0.9310113864701942,0.10532150776053215,0.9288597376387487,0.5205479452054794,0.23402340234023403,0.7909090909090909,0.07480653482373173,0.40601503759398494,0.7025641025641025,0.6769662921348315,0.990770901194354,0.1111111111111111,0.23055555555555557,0.695,0.95,0.9205,0.19,0.7792207792207793,0.087,0.43283582089552236,0.324,0.0685,0.482,0.9125,0.325,0.83,1.2618406,1.1127602,688905408,6889054080,339.5494601726532,102285
