epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.1503646342380272,0.0,0.1503646342380272,0.02010929401296044,0.03930844630756871,0.1503646342380272,0.07692307692307693,0.1503646342380272,0.1503646342380272,0.011566510326002092,0.022609523229535706,0.0,0.1503646342380272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929454,2.2505546,277698304,277698304,161.32658767700195,102285
1,0.17442297571611157,0.028276508417888313,0.17442297571611157,0.04128843004083816,0.08072857597474799,0.17442297571611157,0.0892095682927767,0.17442297571611157,0.17442297571611157,0.026899840083072928,0.052595747798942466,0.0,0.0,0.0,0.0,0.0,0.0,0.18019931383760823,0.0,0.0,0.0,0.0,0.16949860724233984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551224387806097,0.0,0.0,0.0,0.0,0.6085,0.0,0.0,2.1861656,2.2485757,277698304,555396608,154.7862033843994,102285
2,0.3099766934816931,0.18783224433628842,0.3099766934816931,0.121466923500533,0.23745686766935933,0.3099766934816931,0.15855839387998308,0.3099766934816931,0.3099766934816931,0.13113083390281222,0.25634109565984137,0.0,0.3416149068322981,0.0,0.34682909351486924,0.0,0.0,0.19123189843285063,0.0,0.0,0.3943866440842003,0.0,0.4306382978723404,0.0,0.0,0.0275,0.0,0.484,0.0,0.0,0.4817591204397801,0.0,0.0,0.815,0.0,0.253,0.0,0.0,2.1889095,2.0012789,277698304,833094912,155.31722450256348,102285
3,0.4911660777385159,0.40509745301812805,0.4911660777385159,0.23989031318336684,0.44519480546287055,0.4911660777385159,0.26078587629262295,0.4911660777385159,0.4911660777385159,0.23844629734963887,0.4260132417384545,0.0,0.4829482948294829,0.0,0.4901390236016812,0.0,0.2265625,0.41483918128654973,0.0,0.3070539419087137,0.5402731983042864,0.0,0.6379857256145915,0.0,0.0,0.439,0.0,0.758,0.0,0.174,0.567216391804098,0.0,0.074,0.5735,0.0,0.8045,0.0,0.0,1.9825443,1.5944153,277698304,1110793216,152.1838722229004,102285
4,0.4745507856552139,0.38511894093396193,0.4745507856552139,0.22547701736989562,0.42121299967579745,0.4745507856552139,0.25166382193518627,0.4745507856552139,0.4745507856552139,0.2736311037477885,0.4815135885476827,0.0,0.7326315789473684,0.0,0.45523759516933576,0.0,0.058823529411764705,0.31069182389937106,0.0,0.2762836185819071,0.5601503759398496,0.25,0.9133858267716536,0.0,0.0,0.174,0.0,0.867,0.0,0.003,0.7406296851574213,0.0,0.226,0.447,0.002,0.812,0.0,0.0,1.5271226,1.5199466,277698304,1388491520,161.02742528915405,102285
5,0.5763476430343584,0.5068205714993799,0.5763476430343584,0.29930973011891776,0.5336361937794428,0.5763476430343584,0.3166737592742091,0.5763476430343584,0.5763476430343584,0.31441804912924953,0.5246050153455518,0.0,0.6528095020557332,0.0,0.5364902506963788,0.0,0.24461343472750316,0.4793840039741679,0.0,0.3904639175257732,0.5862516212710766,0.375,0.8224219084296106,0.0,0.0,0.7145,0.0,0.963,0.0,0.193,0.48225887056471767,0.0,0.303,0.452,0.048,0.961,0.0,0.0,1.4641268,1.3104821,277698304,1666189824,157.7629520893097,102285
6,0.6213818509886475,0.5618956944766216,0.6213818509886475,0.34096801549324646,0.595152561690238,0.6213818509886475,0.3542085880136855,0.6213818509886475,0.6213818509886475,0.3353446163065508,0.5776095421146178,0.0,0.7780360255665311,0.0,0.7847724372607401,0.0,0.2814569536423841,0.48507776376628836,0.0,0.3910060975609756,0.5718460789089138,0.24279835390946503,0.824486301369863,0.0,0.0,0.6695,0.0,0.9225,0.0,0.255,0.5767116441779111,0.0,0.513,0.587,0.118,0.963,0.0,0.0,1.2960633,1.1674364,277698304,1943888128,161.88181591033936,102285
7,0.6434854522216374,0.5884027019555638,0.6434854522216374,0.3652340855864834,0.6189838717561067,0.6434854522216374,0.37671360473609344,0.6434854522216374,0.6434854522216374,0.3965095288147117,0.6099744961126627,0.0,0.7516309412861137,0.0,0.7592295345104334,0.25,0.27692307692307694,0.6021577882670263,0.0,0.4552238805970149,0.5507246376811594,0.35962145110410093,0.899112564222326,0.0,0.25,0.8065,0.0,0.946,0.005,0.378,0.44627686156921537,0.0,0.488,0.627,0.228,0.9625,0.0,0.01,1.1750175,1.0798365,277698304,2221586432,163.22696185112,102285
8,0.6513795955191339,0.596991456550976,0.6513795955191339,0.36850510490893584,0.6234196408134726,0.6513795955191339,0.38028981663014644,0.6513795955191339,0.6513795955191339,0.40503622555760305,0.6174391296328915,0.0,0.7763157894736842,0.0,0.8276315789473684,0.3333333333333333,0.31204644412191584,0.6066536203522505,0.0,0.38515228426395937,0.5294964028776978,0.33574007220216606,0.8863741339491917,0.0,0.2727272727272727,0.767,0.0,0.9435,0.005,0.215,0.46476761619190404,0.0,0.607,0.736,0.186,0.9595,0.0,0.06,1.1425004,1.0737499,277698304,2499284736,163.96757531166077,102285
9,0.6605518382076535,0.6082309231212646,0.6605518382076535,0.38913656335629443,0.6444089354529284,0.6605518382076535,0.39443849229231537,0.6605518382076535,0.6605518382076535,0.4308148526217432,0.6398458282981978,0.0,0.8346927678085916,0.0,0.8132815868909012,0.3333333333333333,0.28582866293034426,0.5254163014899211,0.0,0.4775993237531699,0.5728245695672406,0.4327485380116959,0.967725143154607,0.0,0.35714285714285715,0.7675,0.0,0.943,0.005,0.357,0.5992003998001,0.0,0.565,0.6155,0.296,0.9295,0.0,0.05,0.9918115,1.0427468,277698304,2776983040,151.71011424064636,102285
