epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.027019724398811132,0.0,0.027019724398811132,0.010523546435148644,0.0014217166218790389,0.027019724398811132,0.2,0.027019724398811132,0.027019724398811132,0.0054039448797622265,0.0007300655065877096,0.0,0.0,0.0,0.027019724398811132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.154028,1.9387974,80097600,80097600,46.24383234977722,101765
1,0.5406646852202107,0.0,0.5406646852202107,0.14037179936864258,0.37947037359720853,0.5406646852202107,0.2,0.5406646852202107,0.5406646852202107,0.10813293704404214,0.29231830184426955,0.0,0.0,0.0,0.0,0.0,0.5406646852202107,0.0,0.0,0.0,0.0,1.0,1.9382501,1.9321268,80097600,160195200,45.908469915390015,101765
2,0.5406646852202107,0.0,0.5406646852202107,0.14037179936864258,0.37947037359720853,0.5406646852202107,0.2,0.5406646852202107,0.5406646852202107,0.10813293704404214,0.29231830184426955,0.0,0.0,0.0,0.0,0.0,0.5406646852202107,0.0,0.0,0.0,0.0,1.0,1.973665,1.9299748,80097600,240292800,49.73029041290283,101765
3,0.6017292623615239,0.38942239461545725,0.6017292623615239,0.2967153602857255,0.6123251723941846,0.6017292623615239,0.3285218390804598,0.6017292623615239,0.6017292623615239,0.29661231989901815,0.6305654689712835,0.0,0.0,0.0,0.027160493827160494,0.5816696914700544,0.8742314141978759,0.0,0.0,0.22,0.641,0.7816091954022989,1.7838888,1.8295512,80097600,320390400,48.44462537765503,101765
4,0.5828154552823561,0.3389542362685669,0.5828154552823561,0.26458057438416505,0.5686930314569567,0.5828154552823561,0.3243060469765117,0.5828154552823561,0.5828154552823561,0.31397672648426644,0.6265658714990329,0.0,0.0,0.04312938816449348,0.03333333333333333,0.6763848396501457,0.8170360712733594,0.0,0.43,0.02,0.232,0.9395302348825587,1.7443349,1.7265167,80097600,400488000,48.96299886703491,101765
5,0.34666306403674685,0.22111275425517118,0.34666306403674685,0.25612721894249735,0.3779064409025195,0.34666306403674685,0.4229797101449275,0.34666306403674685,0.34666306403674685,0.35619944291416933,0.7143249514454992,0.0,0.0,0.1004566210045662,0.042337507453786526,0.6479591836734694,0.9902439024390244,0.0,0.44,0.71,0.762,0.2028985507246377,1.7406476,1.5526614,80097600,480585600,46.5082643032074,101765
6,0.4990543096460416,0.3335871437019595,0.4990543096460416,0.3202254068400846,0.5664444026648178,0.4990543096460416,0.4645423288355822,0.4990543096460416,0.4990543096460416,0.3588257502402296,0.7105836638816744,0.0,0.0,0.08168316831683169,0.05930232558139535,0.6914765906362546,0.9616666666666667,0.0,0.66,0.51,0.576,0.5767116441779111,1.5865686,1.4972038,80097600,560683200,46.42523741722107,101765
7,0.587138611186166,0.3975360367568208,0.587138611186166,0.3619321962857007,0.6284235186648184,0.587138611186166,0.4777162418790605,0.587138611186166,0.587138611186166,0.4488478820612659,0.7558503254907483,0.39281928459357857,0.42105263157894735,0.09656084656084656,0.07074569789674952,0.7425287356321839,0.9133514986376022,0.128,0.73,0.37,0.323,0.8375812093953023,1.7204728,1.5097072,80097600,640780800,46.18167567253113,101765
8,0.6238854363685491,0.43690834460764405,0.6238854363685491,0.4036773461248737,0.6580241299979707,0.6238854363685491,0.49861459270364816,0.6238854363685491,0.6238854363685491,0.441211074030582,0.7425155703549504,0.452404736216065,0.36103896103896105,0.12093862815884476,0.08571428571428572,0.7307692307692307,0.9075942644715879,0.278,0.67,0.33,0.361,0.8540729635182409,1.5831301,1.4425931,80097600,720878400,46.92958974838257,101765
9,0.5182383139691975,0.3534473653321325,0.5182383139691975,0.3692718474696859,0.5972460428188641,0.5182383139691975,0.5344349825087458,0.5182383139691975,0.5182383139691975,0.4572978468860379,0.7780213842024714,0.466846507579328,0.41836734693877553,0.11204481792717087,0.07411504424778761,0.7132352941176471,0.9687267311988086,0.164,0.8,0.67,0.388,0.6501749125437282,1.3272542,1.4077781,80097600,800976000,46.26588463783264,101765
10,0.5963253174817617,0.4232800965758907,0.5963253174817617,0.413712624182919,0.6513955610601634,0.5963253174817617,0.551023888055972,0.5963253174817617,0.5963253174817617,0.45685922965709846,0.761384072923572,0.509679532447857,0.4135593220338983,0.13153153153153152,0.09470304975922954,0.7014681892332789,0.9430340557275542,0.244,0.73,0.59,0.43,0.7611194402798601,1.4444277,1.3814569,80097600,881073600,50.40534329414368,101765
11,0.5698459875709267,0.4040883920569689,0.5698459875709267,0.42038953566026704,0.6313467640485524,0.5698459875709267,0.5481308345827087,0.5698459875709267,0.5698459875709267,0.4656009014558771,0.7805939091121508,0.5327424854683519,0.35792349726775957,0.1566265060240964,0.08870967741935484,0.7649667405764967,0.9597780859916782,0.524,0.52,0.66,0.345,0.6916541729135433,1.3626454,1.359992,80097600,961171200,51.11322736740112,101765
12,0.560659281275331,0.39554783702220864,0.560659281275331,0.4141657666164056,0.6306363730269829,0.560659281275331,0.5524351824087956,0.560659281275331,0.560659281275331,0.4533833754262872,0.7658297541644374,0.5318841789526976,0.38073394495412843,0.1314878892733564,0.08256880733944955,0.7226386806596702,0.9494875549048316,0.332,0.76,0.54,0.482,0.6481759120439781,1.2699201,1.2973974,80097600,1041268800,47.23666787147522,101765
13,0.5195893001891381,0.36349663639870444,0.5195893001891381,0.40634616183637673,0.6026456964446093,0.5195893001891381,0.5612433783108446,0.5195893001891381,0.5195893001891381,0.4667128946773791,0.7809076674889738,0.5358305065389737,0.4173441734417344,0.14442013129102846,0.0759493670886076,0.7332339791356185,0.9626168224299065,0.308,0.66,0.78,0.492,0.5662168915542228,1.301909,1.31376,80097600,1121366400,45.63614106178284,101765
14,0.5857876249662254,0.41277049081237915,0.5857876249662254,0.41686930691520985,0.6418345523874934,0.5857876249662254,0.5562249875062469,0.5857876249662254,0.5857876249662254,0.4609665665659282,0.7647952734949861,0.5277775253820651,0.4036697247706422,0.14090019569471623,0.09090909090909091,0.7341513292433538,0.935202492211838,0.352,0.72,0.6,0.359,0.7501249375312344,1.2415302,1.349499,80097600,1201464000,48.05881977081299,101765
15,0.5717373682788436,0.406264176426661,0.5717373682788436,0.43139849426580923,0.6321160893224252,0.5717373682788436,0.559231684157921,0.5717373682788436,0.5717373682788436,0.4749009756887189,0.7788926164550075,0.5413081721015512,0.3767123287671233,0.19047619047619047,0.08924205378973105,0.7707423580786026,0.9473319473319474,0.55,0.48,0.73,0.353,0.6831584207896052,1.2108979,1.3917315,80097600,1281561600,49.532575607299805,101765
16,0.5865982166981897,0.41110700895944585,0.5865982166981897,0.39828711100759107,0.6369598665166418,0.5865982166981897,0.5663221389305347,0.5865982166981897,0.5865982166981897,0.45606109464276046,0.7589171722097681,0.4937939449135295,0.41284403669724773,0.11142857142857143,0.12162162162162163,0.6907407407407408,0.9436705027256208,0.18,0.78,0.72,0.373,0.7786106946526736,1.2697347,1.3264279,80097600,1361659200,47.772239685058594,101765
17,0.4647392596595515,0.3149350379348336,0.46473925965955154,0.3784043170063693,0.5551008357349275,0.4647392596595515,0.5492499750124937,0.4647392596595515,0.4647392596595515,0.45958069427054865,0.7804078946527195,0.5206059999968096,0.3971631205673759,0.1340782122905028,0.06810344827586207,0.7285974499089253,0.9699612403100775,0.336,0.72,0.79,0.4,0.5002498750624688,1.3778949,1.3501111,80097600,1441756800,47.57019925117493,101765
18,0.5376925155363416,0.3753293192725131,0.5376925155363416,0.4012225011958689,0.6140469652497021,0.5376925155363416,0.5580372813593204,0.5376925155363416,0.5376925155363416,0.456283282266505,0.7715720326209986,0.5301655901087334,0.4155124653739612,0.11210762331838565,0.09115646258503401,0.6987381703470031,0.9639016897081413,0.3,0.75,0.67,0.443,0.6271864067966016,1.1292533,1.2695858,80097600,1521854400,47.15428042411804,101765
19,0.5733585517427722,0.41115578587189994,0.5733585517427722,0.4359399524755657,0.6449512235506807,0.5733585517427722,0.5539342328835583,0.5733585517427722,0.5733585517427722,0.4754363853105487,0.7798306915273291,0.5332051172202288,0.398,0.1891891891891892,0.08481675392670157,0.7515527950310559,0.9536231884057971,0.398,0.42,0.81,0.484,0.657671164417791,1.2200491,1.3594124,80097600,1601952000,46.09648156166077,101765
20,0.5944339367738449,0.4318552114685209,0.5944339367738449,0.4367333352659564,0.6574979000053306,0.5944339367738449,0.5646324837581209,0.5944339367738449,0.5944339367738449,0.4665296027452044,0.7726512626112076,0.5444375136703501,0.4262295081967213,0.15012722646310434,0.09327846364883402,0.7048567870485679,0.9581560283687943,0.312,0.59,0.68,0.566,0.6751624187906047,1.1923461,1.3126965,80097600,1682049600,49.081780195236206,101765
21,0.61659011078087,0.45270991865241883,0.61659011078087,0.45157292067197685,0.6723448998361081,0.61659011078087,0.5747266366816592,0.61659011078087,0.61659011078087,0.47145134411484513,0.7745857176433978,0.5606826461176374,0.38653846153846155,0.17295597484276728,0.10574018126888217,0.7393939393939394,0.9526281635301752,0.402,0.55,0.7,0.488,0.7336331834082959,1.2637094,1.3362176,80097600,1762147200,49.41161847114563,101765
22,0.429613617941097,0.28980591861504346,0.429613617941097,0.3602067368352647,0.5090019523728507,0.429613617941097,0.522663468265867,0.429613617941097,0.429613617941097,0.4564814296929799,0.774804371193001,0.47052193315720864,0.41295546558704455,0.14823529411764705,0.05767844268204758,0.6875699888017918,0.9759679572763685,0.204,0.63,0.8,0.614,0.36531734132933535,1.192831,1.3635089,80097600,1842244800,49.162779808044434,101765
23,0.5595784922993785,0.39880529016026167,0.5595784922993785,0.4187435901577411,0.6300345540021856,0.5595784922993785,0.5750368815592204,0.5595784922993785,0.5595784922993785,0.4579415809510759,0.7717972976420162,0.5484317820544244,0.3962765957446808,0.13872832369942195,0.09366754617414248,0.688,0.9730354391371341,0.298,0.72,0.71,0.516,0.631184407796102,1.2875319,1.2402124,80097600,1922342400,48.959758043289185,101765
24,0.5403944879762227,0.37170480410115414,0.5403944879762227,0.40164514513330596,0.612897097555608,0.5403944879762227,0.5137340329835082,0.5403944879762227,0.5403944879762227,0.4608986187715006,0.7712545637111595,0.4771161088399629,0.34471544715447155,0.17751479289940827,0.07844990548204159,0.7521186440677966,0.9516943042537851,0.424,0.3,0.83,0.355,0.6596701649175413,1.1969857,1.4478867,80097600,2002440000,49.030455350875854,101765
25,0.49283977303431503,0.33628069071827504,0.49283977303431503,0.3763707001581844,0.5774132569783721,0.49283977303431503,0.5612432783608196,0.49283977303431503,0.49283977303431503,0.45960531696302703,0.7776104052851763,0.5012560249133331,0.4225941422594142,0.12897822445561138,0.07734806629834254,0.6931818181818182,0.9759243336199485,0.202,0.77,0.84,0.427,0.567216391804098,1.2499099,1.3115281,80097600,2082537600,46.74581980705261,101765
26,0.6298297757362875,0.4673004663144663,0.6298297757362875,0.45713825939090513,0.6799873566973181,0.6298297757362875,0.5945257371314343,0.6298297757362875,0.6298297757362875,0.47260363747957645,0.7705779035441439,0.5707769269187922,0.4316353887399464,0.16708229426433915,0.11896551724137931,0.6841448189762797,0.9611901681759379,0.322,0.67,0.69,0.548,0.7426286856571714,1.2028154,1.2194941,80097600,2162635200,47.34820199012756,101765
27,0.5657930289111051,0.40324408076017026,0.5657930289111051,0.42229367031365983,0.6349431760787652,0.5657930289111051,0.5823324337831085,0.5657930289111051,0.5657930289111051,0.46694502585738934,0.7779030959973335,0.5571162035373479,0.4147465437788018,0.1384928716904277,0.09811320754716982,0.7197231833910035,0.9636493228795439,0.36,0.68,0.78,0.416,0.6756621689155422,1.2371294,1.252443,80097600,2242732800,48.425129890441895,101765
28,0.5355309375844366,0.3731903412880714,0.5355309375844366,0.4066508105114862,0.5988717022640759,0.5355309375844366,0.5798342828585706,0.5355309375844366,0.5355309375844366,0.47521200900292176,0.7925389232891242,0.5438532859457681,0.345679012345679,0.17585301837270342,0.08928571428571429,0.7976190476190477,0.9676232523914643,0.504,0.67,0.8,0.268,0.6571714142928535,1.1513674,1.2936852,80097600,2322830400,48.715986490249634,101765
29,0.5233720616049716,0.36316117897478006,0.5233720616049716,0.40041354444654836,0.5866788509877824,0.5233720616049716,0.5712374812593703,0.5233720616049716,0.5233720616049716,0.4666170846941279,0.7854330807661113,0.5386417851907416,0.35141800246609123,0.16414141414141414,0.08670520231213873,0.7565217391304347,0.9742990654205608,0.57,0.65,0.75,0.261,0.6251874062968515,1.2836161,1.2733808,80097600,2402928000,48.2019522190094,101765
30,0.4887868143744934,0.33326687227698915,0.4887868143744934,0.3780694958948526,0.5719801673502983,0.4887868143744934,0.5700412793603199,0.4887868143744934,0.4887868143744934,0.4677730345558059,0.7909818498897107,0.5238329093553316,0.40425531914893614,0.11737089201877934,0.08413926499032882,0.7620253164556962,0.9710743801652892,0.342,0.75,0.87,0.301,0.5872063968015993,1.149796,1.2942947,80097600,2483025600,48.547741651535034,101765
31,0.4982437179140773,0.34215094096895327,0.4982437179140773,0.391700229535995,0.5663465729302016,0.4982437179140773,0.5690419790104948,0.4982437179140773,0.4982437179140773,0.47223513049376376,0.7952409295068998,0.5332470061079614,0.3380614657210402,0.1742627345844504,0.08094262295081968,0.7881619937694704,0.979746835443038,0.572,0.65,0.79,0.253,0.5802098950524738,1.0857708,1.2779473,80097600,2563123200,49.25456690788269,101765
32,0.4936503647662794,0.3397620080479331,0.4936503647662794,0.3871421186876114,0.5702706538854415,0.4936503647662794,0.5739421289355322,0.4936503647662794,0.4936503647662794,0.4742429795263451,0.7987567912224287,0.5377571974990095,0.3926282051282051,0.13333333333333333,0.07905544147843943,0.7947214076246334,0.9714765100671141,0.49,0.76,0.77,0.271,0.5787106446776612,1.1439178,1.2607216,80097600,2643220800,48.90143609046936,101765
33,0.534179951364496,0.37439599363936515,0.534179951364496,0.41033226158787955,0.5957611134187254,0.534179951364496,0.5915360319840082,0.534179951364496,0.534179951364496,0.4774891143983244,0.7944666315574341,0.555464012097309,0.3526448362720403,0.17525773195876287,0.09385863267670916,0.7952522255192879,0.9704321455648218,0.56,0.68,0.81,0.268,0.63968015992004,1.1717625,1.2266257,80097600,2723318400,48.11123013496399,101765
34,0.5768711159146177,0.3989602712876832,0.5768711159146177,0.39758648213337555,0.6205132766762357,0.5768711159146177,0.5699203398300849,0.5768711159146177,0.5768711159146177,0.46492964109525536,0.7717222822858811,0.5027100873743272,0.3388235294117647,0.16464891041162227,0.0988235294117647,0.7852564102564102,0.9370958259847149,0.288,0.68,0.84,0.245,0.7966016991504248,1.233084,1.3469839,80097600,2803416000,45.999945640563965,101765
35,0.6825182383139692,0.5160316885490706,0.6825182383139692,0.4867206238370764,0.694826993181552,0.6825182383139692,0.6058092953523239,0.6825182383139692,0.6825182383139692,0.503152032714317,0.7773892413942909,0.570946240746546,0.3923512747875354,0.16279069767441862,0.2545454545454545,0.7738693467336684,0.9322033898305084,0.554,0.7,0.56,0.308,0.9070464767616192,1.3681663,1.2396333,80097600,2883513600,47.390053272247314,101765
36,0.5622804647392596,0.40590044832784955,0.5622804647392596,0.43638676992061676,0.6348062282294163,0.5622804647392596,0.5825386306846576,0.5622804647392596,0.5622804647392596,0.4706158777075065,0.7828685754585095,0.5694500545546042,0.39611650485436894,0.1729106628242075,0.0896551724137931,0.7166900420757363,0.9777070063694268,0.408,0.6,0.78,0.511,0.6136931534232883,1.3280764,1.1983743,80097600,2963611200,46.47177839279175,101765
37,0.5693055930829506,0.41160924446855873,0.5693055930829506,0.4320873487799514,0.6367659551667113,0.5693055930829506,0.6069325337331335,0.5693055930829506,0.5693055930829506,0.4787858530988043,0.7962459396007704,0.5817400321511296,0.3837011884550085,0.15315315315315314,0.10651629072681704,0.7730061349693251,0.9775524981897176,0.452,0.68,0.85,0.378,0.6746626686656672,1.1434028,1.2325404,80097600,3043708800,48.42309498786926,101765
38,0.5987570926776546,0.43170369926124375,0.5987570926776546,0.43177254547840194,0.644742533894001,0.5987570926776546,0.6117225387306346,0.5987570926776546,0.5987570926776546,0.475437970852638,0.7834491578075811,0.5686489066006454,0.3572621035058431,0.15904139433551198,0.12888198757763975,0.7728459530026109,0.9591584158415841,0.428,0.73,0.83,0.296,0.7746126936531734,1.1171038,1.2321568,80097600,3123806400,48.97360849380493,101765
39,0.5487706025398541,0.3890894505405874,0.5487706025398541,0.41492167951030334,0.6211916998460247,0.5487706025398541,0.5959341329335331,0.5487706025398541,0.5487706025398541,0.4712459122969605,0.7864264465886802,0.5624389602161595,0.4142538975501114,0.13537906137184116,0.0988095238095238,0.7365269461077845,0.9712601326455417,0.372,0.75,0.83,0.369,0.6586706646676662,1.0907953,1.2619624,80097600,3203904000,50.26761555671692,101765
40,0.6995406646852202,0.543219895776081,0.6995406646852202,0.5087304335294148,0.7223732604515177,0.6995406646852202,0.6326114942528736,0.6995406646852202,0.6995406646852202,0.503775848652481,0.7818730093519959,0.6114688642385585,0.4090121317157712,0.19254658385093168,0.21764705882352942,0.7521079258010118,0.947565543071161,0.472,0.62,0.74,0.446,0.8850574712643678,0.98110723,1.2151586,80097600,3284001600,51.002527475357056,101765
41,0.5649824371791408,0.39979942983761196,0.5649824371791408,0.4086956453731812,0.6298970181956697,0.5649824371791408,0.5966275862068966,0.5649824371791408,0.5649824371791408,0.4789862409737896,0.7855372413080182,0.5405783794304155,0.49473684210526314,0.11016949152542373,0.11796982167352538,0.707983193277311,0.9640718562874252,0.282,0.78,0.86,0.337,0.7241379310344828,1.0934397,1.202676,80097600,3364099200,50.211939334869385,101765
42,0.6009186706295596,0.44321092152117403,0.6009186706295596,0.4564618668702745,0.6605466683018327,0.6009186706295596,0.6165307346326837,0.6009186706295596,0.6009186706295596,0.4774436979998793,0.7837670271813831,0.6001451936137576,0.3927958833619211,0.17679558011049723,0.11925287356321838,0.7230046948356808,0.9753694581280788,0.458,0.64,0.83,0.462,0.6926536731634183,1.1995441,1.1613982,80097600,3444196800,49.68657565116882,101765
43,0.6760335044582545,0.5150454518629909,0.6760335044582545,0.4886094349460016,0.6960099399174741,0.6760335044582545,0.637311744127936,0.6760335044582545,0.6760335044582545,0.5065886816444743,0.7925226569504574,0.6028575989206852,0.38968481375358166,0.1738095238095238,0.2204968944099379,0.8,0.9489521762493284,0.544,0.73,0.71,0.32,0.8825587206396801,1.0858998,1.2084966,80097600,3524294400,49.871293783187866,101765
44,0.6041610375574169,0.44514543638385584,0.6041610375574169,0.44701274697018645,0.6630789833892033,0.6041610375574169,0.6183252373813093,0.6041610375574169,0.6041610375574169,0.4886708777720637,0.8008089655846444,0.5858635984420688,0.4050387596899225,0.16624685138539042,0.11513583441138421,0.7817047817047817,0.9752281616688396,0.418,0.66,0.89,0.376,0.7476261869065467,0.9963786,1.2250996,80097600,3604392000,50.15391755104065,101765
45,0.6598216698189678,0.5046144850187515,0.6598216698189678,0.4852613567823786,0.7043692577964177,0.6598216698189678,0.6147237381309345,0.6598216698189678,0.6598216698189678,0.4866631625283673,0.7822808083318356,0.5994135021975027,0.4267241379310345,0.18461538461538463,0.14202334630350194,0.7116788321167883,0.9682741116751269,0.396,0.6,0.73,0.585,0.7626186906546727,1.0123863,1.1676567,80097600,3684489600,50.57554292678833,101765
46,0.6471223993515266,0.4879859850174515,0.6471223993515266,0.47269405665700603,0.6926996802990204,0.6471223993515266,0.6218219890054973,0.6471223993515266,0.6471223993515266,0.4815131790586844,0.7794881735202546,0.5986991755052768,0.4051172707889126,0.16752577319587628,0.150093808630394,0.7200577200577201,0.9647713226205191,0.38,0.65,0.8,0.499,0.7801099450274862,1.1270381,1.1681448,80097600,3764587200,47.03550672531128,101765
47,0.6752229127262902,0.5136346451686118,0.6752229127262902,0.48549435627088666,0.6957311990633281,0.6752229127262902,0.6419114442778611,0.6752229127262902,0.6752229127262902,0.50434584658943,0.7902253360354933,0.6046987663492217,0.4096,0.1748768472906404,0.20103092783505155,0.7911547911547911,0.9450666666666667,0.512,0.71,0.78,0.322,0.8855572213893054,1.1361632,1.18839,80097600,3844684800,46.654650926589966,101765
48,0.6630640367468252,0.49676368840949026,0.6630640367468252,0.4712532986042988,0.679375199109072,0.6630640367468252,0.6256117941029486,0.6630640367468252,0.6630640367468252,0.494427629933247,0.781609487591533,0.5806780828046147,0.37656903765690375,0.1834319526627219,0.19148936170212766,0.7752808988764045,0.9453668987680771,0.54,0.62,0.81,0.276,0.8820589705147426,1.151572,1.1694908,80097600,3924782400,48.73583126068115,101765
49,0.5539043501756282,0.39857435861295387,0.5539043501756282,0.4214541958284306,0.6251836821236569,0.5539043501756282,0.6057399300349825,0.5539043501756282,0.5539043501756282,0.4732217465886979,0.7851961032337004,0.5580166943498029,0.44363636363636366,0.14951456310679612,0.09725400457665904,0.6928746928746928,0.9828291087489779,0.244,0.77,0.85,0.564,0.6006996501749126,1.0899944,1.2286707,80097600,4004880000,47.540438175201416,101765
