Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.556742851489067,0.694136719805458,0.612223374676417,0.11822271776873491,0.0270197243988111,0.5960551202377736,0.6392866792758714,0.6792758713861119,0.7181842745203999
kappa,0.4246700789499003,0.5414156667718208,0.4496960264312737,0.11166315957441715,-0.0011429834153107,0.4267188532670691,0.4765784464940646,0.5174804520882688,0.5678003723720912
f1_micro,0.556742851489067,0.694136719805458,0.612223374676417,0.11822271776873491,0.0270197243988111,0.5960551202377736,0.6392866792758714,0.6792758713861119,0.7181842745203999
f1_macro,0.5075153819303149,0.5160223114888299,0.4386470421284212,0.09003440465968374,0.0105235464351486,0.421619887316454,0.4593162855715466,0.4912774581418289,0.5276349474210572
f1_weighted,0.5563362694186014,0.7229878645572024,0.648395723229742,0.12267712444732201,0.001421716621879,0.6454273809262271,0.6815598188755557,0.7037237838993136,0.7382572245874843
recall_micro,0.556742851489067,0.694136719805458,0.612223374676417,0.11822271776873491,0.0270197243988111,0.5960551202377736,0.6392866792758714,0.6792758713861119,0.7181842745203999
recall_macro,0.6077697307785593,0.6690144927536232,0.588203763709543,0.09464074650270712,0.1996001999000499,0.5771253373313343,0.6156138930534732,0.6399091454272863,0.6690144927536232
recall_weighted,0.556742851489067,0.694136719805458,0.612223374676417,0.11822271776873491,0.0270197243988111,0.5960551202377736,0.6392866792758714,0.6792758713861119,0.7181842745203999
precision_micro,0.556742851489067,0.694136719805458,0.612223374676417,0.11822271776873491,0.0270197243988111,0.5960551202377736,0.6392866792758714,0.6792758713861119,0.7181842745203999
precision_macro,0.5241729012343299,0.5142613674233424,0.4732768498544573,0.08849216045234752,0.0054039448797622,0.4699776904010903,0.4913662553638181,0.5081980917490361,0.5345008603557415
precision_weighted,0.6388834571213216,0.7917490673028429,0.7560228070370238,0.13708769376377328,0.0007300655065877,0.774111153662433,0.7832849175871,0.7960271606067598,0.8136556684579953
gmean,0.7347918756423102,0.6455922904429207,0.5324444876463805,0.14237796135219732,0.0,0.5248814683559603,0.5746856461717468,0.6056785687075338,0.6455922904429207
precision_fodder,0.6271860095389508,0.4514851485148515,0.41826339705492366,0.0989490735348537,0.0,0.3936507936507936,0.4202898550724637,0.4621513944223107,0.7777777777777778
precision_orchards,0.2820236813778256,0.1932114882506527,0.14347023859354804,0.04048380136865347,0.0,0.1304347826086956,0.1475095785440613,0.1633165829145728,0.218978102189781
precision_protein_crops,0.2928608650338718,0.2102564102564102,0.16222901370537438,0.07716852572878428,0.0,0.1098430813124108,0.1489001692047377,0.2219321148825065,0.3856209150326797
precision_temp._meadows,0.5594332196273943,0.7694805194805194,0.7274194169331958,0.1420533930959776,0.0,0.7053140096618358,0.7528089887640449,0.7799607072691552,0.8744769874476988
precision_vegetables,0.8593607305936073,0.9468732706142778,0.9150021829852448,0.1739920071677611,0.0,0.9402116402116402,0.9511085844229676,0.9618620302860348,0.980884109916368
recall_fodder,0.263,0.456,0.3497849462365591,0.14214214023923574,0.0,0.248,0.372,0.434,0.642
recall_orchards,0.5745614035087719,0.74,0.6764516129032258,0.1811895786023838,0.0,0.62,0.73,0.79,0.85
recall_protein_crops,0.8632872503840245,0.82,0.7345161290322579,0.13628228479912613,0.0,0.69,0.76,0.81,1.0
recall_temp._meadows,0.7106666666666667,0.474,0.4114516129032259,0.146323459152855,0.0,0.322,0.443,0.509,0.685
recall_vegetables,0.6273333333333333,0.855072463768116,0.7688145174724471,0.18274466641202772,0.0,0.7451274362818591,0.8075962018990505,0.8830584707646177,0.99800099950025
epoch,,73.0,46.0,26.99073915253156,0.0,23.0,46.0,69.0,92.0
trainloss,,0.34486347,0.48910256935483876,0.1610862548277951,0.30230644,0.40200529,0.44636714,0.51595026,1.3866833
valloss,,0.44316277,0.5165394575268817,0.1182970139785862,0.39655608,0.45261657,0.4825774,0.53891015,1.0248337
FLOPs_per_epoch,,80097600.0,80097600.0,0.0,80097600.0,80097600.0,80097600.0,80097600.0,80097600.0
cumulative_FLOPs,,5927222400.0,3764587200.0,2161893428.3438106,80097600.0,1922342400.0,3764587200.0,5606832000.0,7449076800.0
runtime_per_epoch,,43.02748537063599,44.68269072296799,1.4975276217533688,42.48460102081299,43.40851664543152,44.63336491584778,45.52116966247559,48.59585380554199
Params,,101765.0,101765.0,0.0,101765.0,101765.0,101765.0,101765.0,101765.0
Statistical Parity Difference,-0.1301920716385057,,,,,,,,
Error Rate Ratio,1.3099384772225358,,,,,,,,
Disparate Impact,0.7755085432780925,,,,,,,,
True Positive Rate (Privileged),0.5799422104502769,,,,,,,,
True Positive Rate (Unprivileged),0.4497501388117712,,,,,,,,
False Positive Rate (Privileged),0.4200577895497231,,,,,,,,
False Positive Rate (Unprivileged),0.5502498611882287,,,,,,,,
Accuracy (Privileged),0.5799422104502769,,,,,,,,
Accuracy (Unprivileged),0.4497501388117712,,,,,,,,
F1 Macro (Privileged),0.509486184219182,,,,,,,,
F1 Macro (Unprivileged),0.4096789696131739,,,,,,,,
F1 Macro Difference,0.0998072146060081,,,,,,,,
