epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.5401242907322346,0.00017428018158160974,0.5401242907322346,0.14065894185654665,0.37951780777882155,0.5401242907322346,0.19999980019980018,0.5401242907322346,0.5401242907322346,0.308058409951325,0.5624382868179547,0.0,0.0,0.0,0.0,1.0,0.5402920497566251,0.0,0.0,0.0,0.000999000999000999,0.999,2.3669388,2.1076307,218933440,218933440,109.99196672439575,101765
1,0.6479329910834909,0.4725494328739618,0.6479329910834909,0.3773159490269932,0.6686944423829488,0.6479329910834909,0.4801709290709291,0.6479329910834909,0.6479329910834909,0.47278354287789287,0.7744192739092433,0.2921650075792592,0.5555555555555556,0.10018552875695733,0.08277404921700224,0.6814345991561181,0.9439679817038308,0.02,0.54,0.37,0.6453546453546454,0.8255,2.1581664,1.603687,218933440,437866880,110.0644359588623,101765
2,0.5857876249662254,0.4211448626140174,0.5857876249662254,0.41116634183584067,0.640395434124341,0.5857876249662254,0.568475124875125,0.5857876249662254,0.5857876249662254,0.47249133324363735,0.7739461919130085,0.48483740904308564,0.47794117647058826,0.1525,0.09529411764705882,0.6734913793103449,0.9632299927901946,0.13,0.61,0.81,0.6243756243756243,0.668,1.7122564,1.5732839,218933440,656800320,111.0744993686676,101765
3,0.5887597946500945,0.42548288459930117,0.5887597946500945,0.42943711680817775,0.6466490577818609,0.5887597946500945,0.5654741258741259,0.5887597946500945,0.5887597946500945,0.46702375403771085,0.7691722316857166,0.5215202395251598,0.450199203187251,0.16993464052287582,0.09673518742442563,0.6422018348623854,0.9760479041916168,0.226,0.52,0.8,0.6293706293706294,0.652,1.4165894,1.5268164,218933440,875733760,114.31494736671448,101765
4,0.48392326398270735,0.3369500608890009,0.48392326398270735,0.3978534653813404,0.5735968329538239,0.48392326398270735,0.5780136863136863,0.48392326398270735,0.48392326398270735,0.47482723166277074,0.7945723365530776,0.5479690608849438,0.44527363184079605,0.145748987854251,0.07423208191126279,0.7224080267558528,0.9864734299516909,0.358,0.72,0.87,0.43156843156843155,0.5105,1.4656693,1.7475622,218933440,1094667200,116.05673170089722,101765
5,0.47635774115104024,0.32360690401077996,0.47635774115104024,0.370992894698089,0.560921702631419,0.47635774115104024,0.5652062937062936,0.47635774115104024,0.47635774115104024,0.4727474769009736,0.7834360124481662,0.4947207020828055,0.5144508670520231,0.1288135593220339,0.07685738684884715,0.6661931818181818,0.9774223894637818,0.178,0.76,0.9,0.46853146853146854,0.5195,1.3301635,1.6657012,218933440,1313600640,112.02393794059753,101765
6,0.4890570116184815,0.3389261053963937,0.4890570116184815,0.3905441465851524,0.5765768473936338,0.4890570116184815,0.5842150849150849,0.4890570116184815,0.4890570116184815,0.4706024938530039,0.7897848390144239,0.5394553596185058,0.4461538461538462,0.13263525305410123,0.08176100628930817,0.7071547420965059,0.9853076216712581,0.29,0.76,0.91,0.4245754245754246,0.5365,1.3054779,1.7249513,218933440,1532534080,112.89202356338501,101765
7,0.6038908403134288,0.44429207454974495,0.6038908403134288,0.4469358227043447,0.6650614283944769,0.6038908403134288,0.6209016983016984,0.6038908403134288,0.6038908403134288,0.48985279634103324,0.7899238543162819,0.5844477171340648,0.5049180327868853,0.13636363636363635,0.1240768094534712,0.7235294117647059,0.9603760913364674,0.308,0.75,0.84,0.4915084915084915,0.715,1.3445346,1.4096032,218933440,1751467520,114.17071104049683,101765
8,0.5247230478249122,0.3669127483361917,0.5247230478249122,0.414703147161671,0.597012989437883,0.5247230478249122,0.5858324675324675,0.5247230478249122,0.5247230478249122,0.4690292558154141,0.7803343276001244,0.5570899962952777,0.36874051593323215,0.18633540372670807,0.08893280632411067,0.7268817204301076,0.9742558326629123,0.486,0.6,0.9,0.33766233766233766,0.6055,1.323317,1.5753043,218933440,1970400960,116.88166689872742,101765
9,0.609294785193191,0.4520435764753873,0.609294785193191,0.4577687674351072,0.6681111149095462,0.609294785193191,0.6314178821178821,0.609294785193191,0.609294785193191,0.4918882134786046,0.7961369410980981,0.6057187657046846,0.45962732919254656,0.15955056179775282,0.12061711079943899,0.7513711151736746,0.9682749504296101,0.444,0.71,0.86,0.41058941058941056,0.7325,1.2944373,1.3675712,218933440,2189334400,114.58472394943237,101765
10,0.5906511753580114,0.43496376804291803,0.5906511753580114,0.44840108157356473,0.6566845752052363,0.5906511753580114,0.6195116883116883,0.5906511753580114,0.5906511753580114,0.4829485638423578,0.7932713205032891,0.596929292203842,0.45052631578947366,0.15056179775280898,0.11372549019607843,0.7163695299837926,0.9835596854896355,0.428,0.67,0.87,0.44155844155844154,0.688,1.2604175,1.4182885,218933440,2408267840,110.05289316177368,101765
11,0.6436098351796812,0.48677463674013166,0.6436098351796812,0.47484834573148393,0.6881089898921234,0.6436098351796812,0.6376186813186813,0.6436098351796812,0.6436098351796812,0.48939201123692533,0.7901950488813219,0.6151203100336406,0.41765704584040747,0.15777262180974477,0.16205533596837945,0.7359855334538878,0.9734895191122072,0.492,0.68,0.82,0.4065934065934066,0.7895,1.1488864,1.2722208,218933440,2627201280,111.33693099021912,101765
12,0.6136179410970009,0.45821428136356346,0.6136179410970009,0.4567829053563218,0.6745839190708555,0.6136179410970009,0.6361108891108891,0.6136179410970009,0.6136179410970009,0.493705281563204,0.8010620192656853,0.602419979590164,0.48091603053435117,0.1419624217118998,0.13073713490959665,0.7335526315789473,0.9813581890812251,0.378,0.68,0.94,0.44555444555444557,0.737,1.1970195,1.3620656,218933440,2846134720,114.90212535858154,101765
13,0.5614698730072953,0.40868077359974087,0.5614698730072953,0.4347982656512608,0.6361099073450702,0.5614698730072953,0.6277188811188811,0.5614698730072953,0.5614698730072953,0.49070424431328696,0.8068230690592966,0.5962637343686864,0.45594713656387664,0.14048059149722736,0.10630841121495327,0.7689393939393939,0.9818456883509834,0.414,0.76,0.91,0.40559440559440557,0.649,1.2938238,1.472914,218933440,3065068160,111.60198879241943,101765
14,0.6500945690353959,0.49419491815643524,0.6500945690353959,0.47050145548609257,0.6982453359569178,0.6500945690353959,0.6480056943056944,0.6500945690353959,0.6500945690353959,0.5042209085964331,0.8031321248526767,0.6041936386771282,0.49523809523809526,0.14885496183206107,0.1518324607329843,0.7564102564102564,0.9687687687687687,0.312,0.78,0.87,0.47152847152847155,0.8065,1.2269481,1.258708,218933440,3284001600,115.37586736679077,101765
15,0.5493109970278303,0.39696842529727294,0.5493109970278303,0.4272854260785531,0.6272066759410391,0.5493109970278303,0.6132975024975025,0.5493109970278303,0.5493109970278303,0.4912126762005795,0.8012219265589445,0.5750665397895094,0.5373665480427047,0.14177693761814744,0.09656652360515021,0.6885906040268457,0.9917627677100495,0.302,0.75,0.9,0.5124875124875125,0.602,1.2083852,1.5710127,218933440,3502935040,114.69170999526978,101765
16,0.6314509592002162,0.47101429608677514,0.6314509592002162,0.4581788866982558,0.6794708592253121,0.6314509592002162,0.6246236763236763,0.6314509592002162,0.6314509592002162,0.4892142457822487,0.7935201338524484,0.5904539873933159,0.42073170731707316,0.16,0.135258358662614,0.764,0.9660811629315567,0.414,0.64,0.89,0.38161838161838163,0.7975,1.2949485,1.2711761,218933440,3721868480,112.57595252990723,101765
17,0.6765738989462308,0.522023963014312,0.6765738989462308,0.49008198317179713,0.7121403161022483,0.6765738989462308,0.6561162837162836,0.6765738989462308,0.6765738989462308,0.5081819867370837,0.8002763440211965,0.6214172814860287,0.47685185185185186,0.16027088036117382,0.17922606924643583,0.7604355716878403,0.9641255605381166,0.412,0.71,0.88,0.41858141858141856,0.86,1.0970726,1.1905493,218933440,3940801920,113.25777983665466,101765
18,0.6646852202107538,0.5102115224512729,0.6646852202107538,0.48397285629250375,0.7038346332926491,0.6646852202107538,0.6509214785214785,0.6646852202107538,0.6646852202107538,0.5050750302314715,0.8044315565418529,0.6184907885795338,0.4425287356321839,0.17098445595854922,0.16100178890876565,0.7797619047619048,0.9710982658959537,0.462,0.66,0.9,0.3926073926073926,0.84,1.2890697,1.2356138,218933440,4159735360,114.2432370185852,101765
19,0.575249932450689,0.4198592179608781,0.575249932450689,0.42748670683620027,0.6486023538226147,0.575249932450689,0.6268174825174826,0.575249932450689,0.575249932450689,0.5106746247256375,0.8207360065103744,0.5683846414692975,0.5775862068965517,0.12913385826771653,0.10839160839160839,0.7522768670309654,0.9859845830413455,0.268,0.82,0.93,0.4125874125874126,0.7035,1.189672,1.4749181,218933440,4378668800,114.11206269264221,101765
20,0.6514455552553364,0.49766783256625535,0.6514455552553364,0.4789629834059167,0.7020866304123269,0.6514455552553364,0.6496032967032968,0.6514455552553364,0.6514455552553364,0.5099908489545399,0.806256301883853,0.6168421178448598,0.5370919881305638,0.15481171548117154,0.14451827242524917,0.7423312883435583,0.9712009803921569,0.362,0.74,0.87,0.4835164835164835,0.7925,1.1150625,1.314475,218933440,4597602240,112.9162003993988,101765
21,0.6395568765198595,0.4879891233049888,0.6395568765198595,0.47562915380291776,0.6951008470890528,0.6395568765198595,0.6582130869130868,0.6395568765198595,0.6395568765198595,0.5107264600997687,0.8157701125034953,0.6264963523916739,0.5122549019607843,0.14395393474088292,0.14653784219001612,0.7685512367491166,0.9823343848580441,0.418,0.75,0.91,0.43456543456543456,0.7785,1.1144366,1.3321246,218933440,4816535680,114.48607897758484,101765
22,0.6638746284787895,0.5144261719682721,0.6638746284787895,0.49411394967687094,0.7112675200498875,0.6638746284787895,0.6715144855144854,0.6638746284787895,0.6638746284787895,0.5222084015337611,0.8198707363228214,0.6429339174741614,0.5333333333333333,0.14028776978417265,0.17718940936863545,0.7853211009174312,0.974910394265233,0.464,0.78,0.87,0.4275724275724276,0.816,1.1384945,1.2663205,218933440,5035469120,116.91312551498413,101765
