epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.5403944879762227,0.0,0.5403944879762227,0.1403262585511314,0.3791576831967884,0.5403944879762227,0.2,0.5403944879762227,0.5403944879762227,0.10807889759524454,0.29202620263508383,0.0,0.0,0.0,0.0,0.0,0.5403944879762227,0.0,0.0,0.0,0.0,1.0,1.143437,0.86966205,218933440,218933440,138.6651771068573,101765
1,0.4112402053499054,0.2541411942280766,0.4112402053499054,0.28152145591209454,0.4888474308758967,0.4112402053499054,0.4723748251748252,0.4112402053499054,0.4112402053499054,0.44883611147759517,0.7892828376866763,0.35725890683012107,0.34328358208955223,0.07597535934291581,0.06637931034482758,0.782608695652174,0.9759336099585062,0.138,0.74,0.77,0.1258741258741259,0.588,0.9020537,0.5525644,218933440,437866880,111.83764123916626,101765
2,0.6792758713861119,0.5123241992972635,0.6792758713861119,0.4539712898802965,0.7002245409597385,0.6792758713861119,0.5590659340659341,0.6792758713861119,0.6792758713861119,0.4843924427993338,0.7620729044530183,0.4827613439624724,0.48366013071895425,0.20434782608695654,0.12208258527827648,0.6784630940343782,0.9334085778781038,0.148,0.47,0.68,0.6703296703296703,0.827,0.55464,0.4270792,218933440,656800320,111.86620473861694,101765
3,0.5779519048905701,0.41697872780311684,0.5779519048905701,0.42808214229959624,0.6421623778902084,0.5779519048905701,0.5810789210789211,0.5779519048905701,0.5779519048905701,0.4882217424286889,0.7840062074612482,0.5273717125753705,0.5306122448979592,0.1676300578034682,0.09216101694915255,0.6917808219178082,0.958924570575056,0.208,0.58,0.87,0.6053946053946054,0.642,0.4761176,0.44340277,218933440,875733760,105.59872341156006,101765
4,0.5077006214536611,0.3558830215857576,0.5077006214536611,0.405268450514143,0.5884548711467179,0.5077006214536611,0.5652847152847154,0.5077006214536611,0.5077006214536611,0.47988911159668557,0.7872878042845248,0.5295424646480141,0.5252918287937743,0.1491442542787286,0.07597173144876325,0.670150987224158,0.9788867562380038,0.27,0.61,0.86,0.5764235764235764,0.51,0.38713747,0.48911393,218933440,1094667200,104.6612319946289,101765
5,0.5763307214266414,0.4153614347983161,0.5763307214266414,0.42810862536786853,0.6445371593616986,0.5763307214266414,0.5900997002997004,0.5763307214266414,0.5763307214266414,0.4765673265639586,0.7821189110523805,0.5542098153163304,0.47766323024054985,0.1440501043841336,0.09854014598540146,0.69432918395574,0.9682539682539683,0.278,0.69,0.81,0.5014985014985015,0.671,0.40516758,0.41889226,218933440,1313600640,110.5195574760437,101765
6,0.5771413131586057,0.4180608885141961,0.5771413131586057,0.4277422457072193,0.6405216506933228,0.5771413131586057,0.6030825174825175,0.5771413131586057,0.5771413131586057,0.47970055911661236,0.7825753540163131,0.5440607262922829,0.4766355140186916,0.16397228637413394,0.09977064220183486,0.6853146853146853,0.972809667673716,0.204,0.71,0.87,0.5874125874125874,0.644,0.38215232,0.42331553,218933440,1532534080,107.00665640830994,101765
7,0.4706835990272899,0.32654743421416244,0.4706835990272899,0.392024302757539,0.5614869108674361,0.4706835990272899,0.5690983016983018,0.4706835990272899,0.4706835990272899,0.4806892329299181,0.7958314651658052,0.527866680039045,0.4745762711864407,0.15022421524663676,0.07033639143730887,0.7313218390804598,0.9769874476987448,0.28,0.67,0.92,0.5084915084915085,0.467,0.40000176,0.4823457,218933440,1751467520,106.39111185073853,101765
8,0.5336395568765199,0.38217603641218856,0.5336395568765199,0.42024144991910894,0.6155934087986364,0.5336395568765199,0.598199100899101,0.5336395568765199,0.5336395568765199,0.48611433365452783,0.7982694664174286,0.5691700526174613,0.5186335403726708,0.1254355400696864,0.09257265877287406,0.7152974504249292,0.9786324786324786,0.334,0.72,0.86,0.5044955044955045,0.5725,0.35790783,0.46412826,218933440,1970400960,106.80630373954773,101765
9,0.47095379627127804,0.3303357554041467,0.47095379627127804,0.4003573254045486,0.5571944397045075,0.47095379627127804,0.5726839160839161,0.47095379627127804,0.47095379627127804,0.49149693518925364,0.8010942214549132,0.5347529621032857,0.5444839857651246,0.15384615384615385,0.07013574660633484,0.7085365853658536,0.9804822043628014,0.306,0.62,0.93,0.5804195804195804,0.427,0.3688336,0.49481398,218933440,2189334400,108.45266056060791,101765
