epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.4201567144015131,0.19966847443827074,0.4201567144015131,0.2422523458500236,0.48315353641676795,0.4201567144015131,0.27122267732267735,0.4201567144015131,0.4201567144015131,0.39725123314461797,0.6558088014779155,0.0,0.5555555555555556,0.0,0.024528301886792454,0.6660929432013769,0.7400793650793651,0.02,0.0,0.39,0.3866133866133866,0.5595,1.7472916,1.4474983,256312320,256312320,602.266271352768,101765
1,0.601999459605512,0.42604889305196303,0.601999459605512,0.3863879429455488,0.6483249645121896,0.601999459605512,0.5329156843156844,0.601999459605512,0.601999459605512,0.46891015719081286,0.7758884594396236,0.433305999230115,0.4636363636363636,0.11793214862681745,0.08875739644970414,0.7301038062283737,0.9441210710128056,0.102,0.73,0.6,0.42157842157842157,0.811,1.4746732,1.0771143,256312320,512624640,130.1419153213501,101765
2,0.6182112942447987,0.45150277064093935,0.6182112942447987,0.42457719274969924,0.6675857098899669,0.6182112942447987,0.5814977022977024,0.6182112942447987,0.6182112942447987,0.4781132108763635,0.778882647578219,0.5144379785457369,0.4943181818181818,0.12754158964879853,0.12006319115323855,0.687248322147651,0.9613947696139477,0.174,0.69,0.76,0.5114885114885115,0.772,1.1632673,0.97094965,256312320,768936960,126.12392663955688,101765
3,0.5576871115914618,0.4013844598042765,0.5576871115914618,0.43088020945973254,0.6330522651683175,0.5576871115914618,0.5849891108891109,0.5576871115914618,0.5576871115914618,0.48493404712516563,0.789635487688867,0.5504508531803255,0.4844290657439446,0.17613636363636365,0.08431372549019608,0.7061068702290076,0.9736842105263158,0.28,0.62,0.86,0.5544455544455544,0.6105,0.99432755,1.0893601,256312320,1025249280,124.94835066795349,101765
4,0.606863009997298,0.4476025905962403,0.606863009997298,0.44574349167054195,0.6649735904940816,0.606863009997298,0.6058821178821179,0.606863009997298,0.606863009997298,0.4879865727892391,0.7862241031686366,0.5676606932224892,0.5303643724696356,0.146,0.11394302848575712,0.6812933025404158,0.9683321604503871,0.262,0.73,0.76,0.5894105894105894,0.688,0.99532616,0.99392617,256312320,1281561600,129.03190851211548,101765
5,0.6519859497433126,0.4955856090272298,0.6519859497433126,0.478139325411534,0.7005054382881177,0.6519859497433126,0.6037785214785215,0.6519859497433126,0.6519859497433126,0.4945776434279889,0.7863582018443039,0.5772800109279284,0.4857142857142857,0.19540229885057472,0.12071535022354694,0.7069767441860465,0.9640795381654907,0.34,0.51,0.81,0.6073926073926074,0.7515,0.97436935,0.9031597,256312320,1537873920,131.8006613254547,101765
6,0.6041610375574169,0.43793617372632154,0.6041610375574169,0.4500472489863953,0.6598616554870014,0.6041610375574169,0.5734268731268731,0.6041610375574169,0.6041610375574169,0.4899150405681894,0.7861160803807334,0.5455196879932045,0.3622950819672131,0.25668449197860965,0.09681227863046045,0.7754237288135594,0.9583596214511041,0.442,0.48,0.82,0.36563436563436563,0.7595,0.9225316,0.938298,256312320,1794186240,127.82616424560547,101765
7,0.514455552553364,0.3666765257972755,0.514455552553364,0.4154086738690167,0.5988369282362408,0.514455552553364,0.6067955044955045,0.514455552553364,0.514455552553364,0.49375202743706137,0.8037099008597176,0.565731474826805,0.5454545454545454,0.1434108527131783,0.08600182982616651,0.7096336499321574,0.9842592592592593,0.3,0.74,0.94,0.5224775224775224,0.5315,1.0285319,1.1909976,256312320,2050498560,128.99787664413452,101765
8,0.5482302080518778,0.39469539045556856,0.5482302080518778,0.43027420221212614,0.6292976402499266,0.5482302080518778,0.5946078921078921,0.5482302080518778,0.5482302080518778,0.4867908096607814,0.8000100263637108,0.5664774617819407,0.4597402597402597,0.17150395778364116,0.08452041785375118,0.7317460317460317,0.9864433811802232,0.354,0.65,0.89,0.46053946053946054,0.6185,0.9597557,1.0697584,256312320,2306810880,125.78928303718567,101765
9,0.621183463928668,0.4648390258110282,0.621183463928668,0.4589197202173538,0.6799669378150477,0.621183463928668,0.6295070929070928,0.621183463928668,0.621183463928668,0.4928868104485746,0.799127404193142,0.5993597451763809,0.4704370179948586,0.14285714285714285,0.13082706766917293,0.7463884430176565,0.9739243807040417,0.366,0.7,0.87,0.4645354645354645,0.747,0.9305573,0.9201099,256312320,2563123200,123.53415966033936,101765
10,0.5968657119697379,0.4410710672502234,0.5968657119697379,0.4458830837864284,0.6618844059838566,0.5968657119697379,0.6183895104895105,0.5968657119697379,0.5968657119697379,0.49011010716435377,0.7958147594678171,0.5733023453100602,0.48727272727272725,0.16541353383458646,0.10839160839160839,0.7053571428571429,0.984115523465704,0.268,0.66,0.93,0.5524475524475524,0.6815,0.83073413,0.98790056,256312320,2819435520,125.56305885314941,101765
11,0.6463118076195623,0.49362930067018795,0.6463118076195623,0.47350830263162297,0.7002512925486093,0.6463118076195623,0.6364863136863137,0.6463118076195623,0.6463118076195623,0.512016349765162,0.8092880137484408,0.5953349546624638,0.5610687022900763,0.165374677002584,0.12849162011173185,0.7257653061224489,0.979381443298969,0.294,0.64,0.92,0.5684315684315684,0.76,0.88644964,0.90759414,256312320,3075747840,130.7034409046173,101765
12,0.6276681977843827,0.47333520799269935,0.6276681977843827,0.4629869073392082,0.6846997694609142,0.6276681977843827,0.6563036963036962,0.6276681977843827,0.6276681977843827,0.5084096327127341,0.8084887614694745,0.6081044168173164,0.5490909090909091,0.13598673300165837,0.1498371335504886,0.7259036144578314,0.9812297734627832,0.302,0.82,0.92,0.48151848151848153,0.758,0.8245983,0.9236091,256312320,3332060160,129.12842392921448,101765
13,0.6344231288840854,0.4833438608705989,0.6344231288840854,0.4680028869276967,0.6914701493849512,0.6344231288840854,0.6385757242757244,0.6344231288840854,0.6344231288840854,0.5164556872838704,0.8149573000366519,0.5929991040923809,0.5919282511210763,0.1590909090909091,0.12361111111111112,0.7240977881257276,0.9835503769705277,0.264,0.7,0.89,0.6213786213786214,0.7175,0.85863966,0.9575215,256312320,3588372480,124.85869216918945,101765
14,0.6719805457984328,0.5214441456334764,0.6719805457984328,0.4953442551498098,0.7191710830149463,0.6719805457984328,0.6405919080919081,0.6719805457984328,0.6719805457984328,0.5137091244413107,0.8075429668338286,0.6119138847911653,0.49606299212598426,0.20279720279720279,0.13452914798206278,0.7641242937853108,0.9710319855159928,0.378,0.58,0.9,0.5404595404595405,0.8045,0.80804235,0.85663176,256312320,3844684800,126.50989603996277,101765
15,0.7052148068089705,0.5598545897072151,0.7052148068089705,0.5239003900520525,0.7405589559467379,0.7052148068089705,0.6590883116883117,0.7052148068089705,0.7052148068089705,0.5255155139948335,0.8067320353704471,0.6341407855441484,0.4883720930232558,0.24892703862660945,0.16007194244604317,0.7605442176870748,0.9696622781911849,0.42,0.58,0.89,0.5584415584415584,0.847,0.8181055,0.7915118,256312320,4100997120,129.49654912948608,101765
16,0.6273980005403945,0.47183024400824924,0.6273980005403945,0.45772393635176006,0.6852442178819357,0.6273980005403945,0.6403140859140859,0.6273980005403945,0.6273980005403945,0.5071012229228843,0.8145728536338914,0.596505667916784,0.5045592705167173,0.13904761904761906,0.13304721030042918,0.7832422586520947,0.975609756097561,0.332,0.73,0.93,0.42957042957042957,0.78,0.83890116,0.92056733,256312320,4357309440,126.9036648273468,101765
17,0.6136179410970009,0.4653939389164218,0.6136179410970009,0.4685930224129719,0.6797189516870801,0.6136179410970009,0.6538797202797203,0.6136179410970009,0.6136179410970009,0.5222128075496657,0.8229316806704468,0.6134469367944818,0.608,0.16268980477223427,0.11633663366336634,0.7350427350427351,0.9889948642699926,0.304,0.75,0.94,0.6013986013986014,0.674,0.79782313,1.0196067,256312320,4613621760,131.47283101081848,101765
18,0.686841394217779,0.5428069290220024,0.686841394217779,0.5020834882845209,0.7294031915011273,0.686841394217779,0.6538631368631368,0.686841394217779,0.686841394217779,0.5287753259755714,0.8196936868105809,0.6101233896601693,0.592,0.18566775244299674,0.1501597444089457,0.7287234042553191,0.9873257287705957,0.296,0.57,0.94,0.6843156843156843,0.779,0.8400168,0.846172,256312320,4869934080,130.5749351978302,101765
19,0.7138611186165901,0.5685354777985105,0.7138611186165901,0.511662395044046,0.748069167282218,0.7138611186165901,0.6370847152847153,0.7138611186165901,0.7138611186165901,0.5312501608046407,0.8163327419250561,0.6012306959113354,0.5709677419354838,0.1984126984126984,0.1527777777777778,0.7683089214380826,0.9657836644591612,0.354,0.5,0.88,0.5764235764235764,0.875,0.7996306,0.7614255,256312320,5126246400,124.17299342155457,101765
20,0.6757633072142664,0.5298669756003375,0.6757633072142664,0.49766241846277265,0.7212810089720361,0.6757633072142664,0.6638693306693307,0.6757633072142664,0.6757633072142664,0.5383485594866719,0.8249783111638586,0.6175460815965486,0.6574074074074074,0.18487394957983194,0.14592933947772657,0.7163198247535597,0.9872122762148338,0.284,0.66,0.95,0.6533466533466533,0.772,0.87221634,0.865727,256312320,5382558720,125.85546064376831,101765
21,0.7600648473385572,0.6287287814588973,0.7600648473385573,0.5697110014977727,0.7786057258022309,0.7600648473385572,0.6899749250749251,0.7600648473385572,0.7600648473385572,0.5548220744463732,0.8171360300853228,0.667258492286904,0.5561097256857855,0.21897810218978103,0.26605504587155965,0.769041769041769,0.9639257294429708,0.446,0.6,0.87,0.6253746253746254,0.9085,0.7649506,0.67248696,256312320,5638871040,129.24607253074646,101765
22,0.7457443934071872,0.6078057957706453,0.7457443934071872,0.565639693397605,0.7619509235980919,0.7457443934071872,0.6876026973026972,0.7457443934071872,0.7457443934071872,0.5510190380050631,0.8117834820567574,0.6690198250137103,0.4793814432989691,0.20307692307692307,0.3188976377952756,0.795751633986928,0.95798755186722,0.558,0.66,0.81,0.4865134865134865,0.9235,0.8212759,0.67035466,256312320,5895183360,125.3052966594696,101765
23,0.6171305052688463,0.46680448524121876,0.6171305052688463,0.46769106434772273,0.6815795462727603,0.6171305052688463,0.6586126873126873,0.6171305052688463,0.6171305052688463,0.5126268795843434,0.8212396127506829,0.6272474490607363,0.5326633165829145,0.12561174551386622,0.14553990610328638,0.7734513274336283,0.9858681022880216,0.424,0.77,0.93,0.43656343656343655,0.7325,0.83988875,0.9977496,256312320,6151495680,128.44475388526917,101765
24,0.7106187516887328,0.570652674883301,0.7106187516887327,0.5253375619719819,0.7480132556746613,0.7106187516887328,0.6906767232767234,0.7106187516887328,0.7106187516887328,0.5471347738029181,0.8293281224926042,0.6541571549109904,0.6305970149253731,0.16279069767441862,0.20601851851851852,0.7561274509803921,0.9801401869158879,0.338,0.77,0.89,0.6163836163836164,0.839,0.82245016,0.80398387,256312320,6407808000,124.40556025505066,101765
25,0.7027830316130775,0.5629561687259073,0.7027830316130775,0.5219983238196753,0.7431591203207155,0.7027830316130775,0.6796645354645354,0.7027830316130775,0.7027830316130775,0.5485752321044413,0.8307432719443665,0.6439744278082254,0.6613545816733067,0.195906432748538,0.16225749559082892,0.7393675027262814,0.9839901477832512,0.332,0.67,0.92,0.6773226773226774,0.799,0.72487915,0.83632636,256312320,6664120320,129.42685461044312,101765
26,0.7227776276681978,0.5799097053225934,0.7227776276681978,0.54716778105519,0.7460189330053554,0.7227776276681978,0.6937158841158841,0.7227776276681978,0.7227776276681978,0.5502656535708603,0.8181722816254249,0.664858618128403,0.5058139534883721,0.15079365079365079,0.3346456692913386,0.7943396226415095,0.9657353716394307,0.522,0.76,0.85,0.4205794205794206,0.916,0.74886584,0.7063324,256312320,6920432640,122.7016716003418,101765
27,0.740070251283437,0.6081986873349456,0.740070251283437,0.5642886545833445,0.7681005583392261,0.740070251283437,0.6932609390609391,0.740070251283437,0.740070251283437,0.55236217103862,0.8197914046731392,0.6741950071506314,0.5782828282828283,0.2599118942731278,0.20412844036697247,0.7412140575079872,0.9782736347621844,0.458,0.59,0.89,0.6953046953046953,0.833,0.7469181,0.721695,256312320,7176744960,122.00845956802368,101765
28,0.7081869764928398,0.5686752487459514,0.7081869764928398,0.5354474472486445,0.7443885229620143,0.7081869764928398,0.7049004995004994,0.7081869764928398,0.7081869764928398,0.538712481159671,0.8265145743739348,0.6836393840272558,0.5149105367793241,0.17814726840855108,0.2156398104265403,0.8084415584415584,0.9764232317423807,0.518,0.75,0.91,0.4975024975024975,0.849,0.7170111,0.7856403,256312320,7433057280,122.01029396057129,101765
