epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.02837071061875169,0.00024827035191510305,0.02837071061875169,0.01154175809285925,0.004115922842705198,0.02837071061875169,0.20049999999999998,0.02837071061875169,0.02837071061875169,0.13041565123206064,0.3384782020037909,0.0,0.0,0.0,0.027078256160303276,0.0,0.625,0.0,0.0,1.0,0.0,0.0025,1.7668412,1.5987604,218933440,218933440,217.4982395172119,101765
1,0.6095649824371792,0.4298448784713801,0.6095649824371792,0.3550580506310186,0.6431213352577688,0.6095649824371792,0.47299070929070924,0.6095649824371792,0.6095649824371792,0.4200880341194881,0.741863675666548,0.22946749114819517,0.3,0.09733124018838304,0.06951871657754011,0.6889168765743073,0.9446733372572101,0.006,0.62,0.39,0.5464535464535465,0.8025,1.5977216,1.1253816,218933440,437866880,105.74213719367981,101765
2,0.5609294785193191,0.3989009130639285,0.5609294785193191,0.4103284423649239,0.6294616849647978,0.5609294785193191,0.5752915084915085,0.5609294785193191,0.5609294785193191,0.4744653999744779,0.7801266317244183,0.518040556383436,0.4846938775510204,0.14455445544554454,0.0875995449374289,0.6899618805590851,0.9655172413793104,0.19,0.73,0.77,0.5424575424575424,0.644,1.168917,1.066991,218933440,656800320,106.66678977012634,101765
3,0.5355309375844366,0.381975798625352,0.5355309375844366,0.42561896612572847,0.6121300143136467,0.5355309375844366,0.5878935064935065,0.5355309375844366,0.5355309375844366,0.4697335756520095,0.7816559830913011,0.5659521664089487,0.4168618266978923,0.17379679144385027,0.08519269776876268,0.687741935483871,0.9850746268656716,0.356,0.65,0.84,0.5324675324675324,0.561,0.9685332,1.168298,218933440,875733760,105.76088261604309,101765
4,0.5779519048905701,0.4199216141477041,0.5779519048905701,0.4348218667204745,0.640330903305916,0.5779519048905701,0.5879697302697304,0.5779519048905701,0.5779519048905701,0.4831031181468097,0.782579000929446,0.5449183545185486,0.5042735042735043,0.175,0.09246575342465753,0.6707818930041153,0.9729944400317713,0.236,0.63,0.81,0.6513486513486514,0.6125,0.9699008,1.0828246,218933440,1094667200,102.39002442359924,101765
5,0.6184814914887868,0.46228701900172753,0.6184814914887868,0.4563778146325369,0.6774209935194953,0.6184814914887868,0.6156851148851148,0.6184814914887868,0.6184814914887868,0.4905355073486562,0.7931986340861147,0.5810953929038225,0.4966442953020134,0.1523809523809524,0.11944444444444445,0.7090012330456227,0.9752066115702479,0.296,0.64,0.86,0.5744255744255744,0.708,0.95787,0.9818366,218933440,1313600640,102.79775190353394,101765
6,0.6179410970008106,0.4633517455737046,0.6179410970008106,0.4748314744443885,0.6771420661885358,0.6179410970008106,0.6198813186813188,0.6179410970008106,0.6179410970008106,0.494875503146209,0.7885863071306548,0.597422163948798,0.4630541871921182,0.21923076923076923,0.11013767209011265,0.7105263157894737,0.9714285714285714,0.376,0.57,0.88,0.5934065934065934,0.68,0.9026271,0.98171717,218933440,1532534080,102.89016318321228,101765
7,0.5738989462307484,0.4203504328891471,0.5738989462307484,0.4476046803344296,0.6460661432213033,0.5738989462307484,0.6223078921078921,0.5738989462307484,0.5738989462307484,0.4888648828720351,0.7980570878529252,0.5954735396274115,0.44685466377440347,0.1763085399449036,0.10215053763440861,0.7364217252396166,0.9825889477668432,0.412,0.64,0.95,0.46053946053946054,0.649,0.8914788,1.061751,218933440,1751467520,105.12964868545532,101765
8,0.6201026749527154,0.46547672475133894,0.6201026749527154,0.47301692739759876,0.6773938067928829,0.6201026749527154,0.6328036963036963,0.6201026749527154,0.6201026749527154,0.4914053442863068,0.7921144389385998,0.6128453429067933,0.43333333333333335,0.19281045751633988,0.12448700410396717,0.7303030303030303,0.9760928961748634,0.468,0.59,0.91,0.48151848151848153,0.7145,0.8886023,1.0035661,218933440,1970400960,101.85746693611145,101765
9,0.6130775466090246,0.4523987708959113,0.6130775466090246,0.444377541591552,0.6678206692843763,0.6130775466090246,0.6310242757242758,0.6130775466090246,0.6130775466090246,0.4897413074149658,0.7936313650544643,0.5797467960244066,0.47720364741641336,0.11080332409972299,0.16955684007707128,0.7124060150375939,0.9787367104440275,0.314,0.8,0.88,0.3786213786213786,0.7825,0.8523277,0.9546259,218933440,2189334400,105.97262835502625,101765
