Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.6002770357178193,0.7254796001080789,0.6284294491500534,0.10292770256646347,0.0272899216427992,0.6024047554714942,0.650364766279384,0.68454471764388,0.7560118886787355
kappa,0.47864608001857,0.5845098248942109,0.4731020554413266,0.10047666386068003,0.0001350803728217,0.4403386052735564,0.4896244083964306,0.5355530510381755,0.619812484222858
f1_micro,0.6002770357178193,0.7254796001080789,0.6284294491500534,0.10292770256646347,0.0272899216427992,0.6024047554714942,0.650364766279384,0.68454471764388,0.7560118886787355
f1_macro,0.5538864851102592,0.5435141577563424,0.4550791220044092,0.08102168841576617,0.0107261159892738,0.43296479785243347,0.4710298601367412,0.5018149603333575,0.5499099105792858
f1_weighted,0.6115355858107981,0.7507529592264759,0.6706259934745337,0.1054478972731088,0.0019622153184917,0.6574418547434593,0.6946915925579874,0.7239505504623923,0.7674816765965666
recall_micro,0.6002770357178193,0.7254796001080789,0.6284294491500534,0.10292770256646347,0.0272899216427992,0.6024047554714942,0.650364766279384,0.68454471764388,0.7560118886787355
recall_macro,0.6467990945104697,0.6916112943528235,0.6103299054820418,0.0874139778397295,0.2000999500249875,0.5902727636181909,0.6397233383308346,0.6633164417791104,0.6951098450774612
recall_weighted,0.6002770357178193,0.7254796001080789,0.6284294491500534,0.10292770256646347,0.0272899216427992,0.6024047554714942,0.650364766279384,0.68454471764388,0.7560118886787355
precision_micro,0.6002770357178193,0.7254796001080789,0.6284294491500534,0.10292770256646347,0.0272899216427992,0.6024047554714942,0.650364766279384,0.68454471764388,0.7560118886787355
precision_macro,0.5448423248845755,0.5327506466800138,0.49176745286511553,0.05710878390629385,0.1826725573038949,0.47884290926021456,0.5069384798767103,0.5200934139714475,0.5647590281616998
precision_weighted,0.6597995571650627,0.8093620414749882,0.7870652474990716,0.05622985171672692,0.3717861563860429,0.7815427511422806,0.7996118705738761,0.810662685232683,0.8303900296133327
gmean,0.7627403317748197,0.6689835649918943,0.5536234088151287,0.14275921519633653,0.0,0.5378783318610096,0.5940276798706179,0.6295771959733839,0.6689835649918943
precision_fodder,0.6296675191815857,0.4695481335952848,0.47169014588543884,0.11035922645592497,0.0,0.4328574184835038,0.4695431472081218,0.5199254634018765,1.0
precision_orchards,0.2768411712511091,0.2134146341463414,0.15399383213491513,0.040939464166670894,0.0,0.1396652887976474,0.1552062868369351,0.1810052420598211,0.2327586206896551
precision_protein_crops,0.3404669260700389,0.2365591397849462,0.14971667612644557,0.06111902339923894,0.0,0.10924426450742235,0.1512027491408934,0.1939255189255189,0.2936802973977695
precision_temp._meadows,0.6118286879673691,0.7737556561085973,0.7211231765659617,0.12620616785420385,0.0,0.7089559782453942,0.7421965317919075,0.7673164982252689,0.8421052631578947
precision_vegetables,0.8654073199527745,0.9704756697648989,0.9623134336128166,0.03630093728792295,0.6124578091439091,0.9599712745792743,0.967551622418879,0.9750432705143668,1.0
recall_fodder,0.4103333333333333,0.478,0.3296869565217393,0.14363271662304394,0.0,0.246,0.338,0.411,0.962
recall_orchards,0.6842105263157895,0.7,0.674521739130435,0.17356046258404453,0.0,0.63,0.72,0.785,0.92
recall_protein_crops,0.8064516129032258,0.88,0.7864347826086957,0.15441565746641656,0.0,0.76,0.83,0.87,1.0
recall_temp._meadows,0.6,0.513,0.5078869565217392,0.1483029003997284,0.0,0.4395,0.53,0.6034999999999999,0.815
recall_vegetables,0.733,0.887056471764118,0.7531190926275989,0.14812256154181,0.0004997501249375,0.7106446776611695,0.7816091954022989,0.8540729635182409,0.9975012493753124
epoch,,96.0,58.0,33.34166562526033,1.0,29.5,58.0,86.5,115.0
trainloss,,0.6893672,0.9014039418260874,0.19721627401329267,0.652764,0.78154128,0.86037374,0.94989742,1.7959882
valloss,,0.8244657,0.9611853294782613,0.15677882814452124,0.8008955,0.8677423,0.9123272,0.9948324,1.617303
FLOPs_per_epoch,,80097600.0,80097600.0,0.0,80097600.0,80097600.0,80097600.0,80097600.0,80097600.0
cumulative_FLOPs,,7689369600.0,4645660800.0,2670587396.585852,80097600.0,2362879200.0,4645660800.0,6928442400.0,9211224000.0
runtime_per_epoch,,45.75797319412232,44.27904170699742,1.5284991397419245,41.98127341270447,43.01390206813812,44.04410266876221,45.260921478271484,48.31804418563843
Params,,101765.0,101765.0,0.0,101765.0,101765.0,101765.0,101765.0,101765.0
Statistical Parity Difference,-0.1595183562440161,,,,,,,,
Error Rate Ratio,1.4296236922706869,,,,,,,,
Disparate Impact,0.7462735605203374,,,,,,,,
True Positive Rate (Privileged),0.6287021430291355,,,,,,,,
True Positive Rate (Unprivileged),0.4691837867851194,,,,,,,,
False Positive Rate (Privileged),0.3712978569708644,,,,,,,,
False Positive Rate (Unprivileged),0.5308162132148806,,,,,,,,
Accuracy (Privileged),0.6287021430291355,,,,,,,,
Accuracy (Unprivileged),0.4691837867851194,,,,,,,,
F1 Macro (Privileged),0.5556571648018213,,,,,,,,
F1 Macro (Unprivileged),0.440109532516819,,,,,,,,
F1 Macro Difference,0.1155476322850022,,,,,,,,
