epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
1,0.027289921642799243,0.00013508037282172758,0.027289921642799243,0.010726115989273885,0.0019622153184917163,0.027289921642799243,0.2000999500249875,0.027289921642799243,0.027289921642799243,0.2054054054054054,0.5413949480418002,0.0,0.0,0.0,0.02702702702702703,0.0,1.0,0.0,0.0,1.0,0.0,0.0004997501249375312,1.7959882,1.617303,80097600,80097600,46.89510464668274,101765
2,0.42393947581734664,0.2200448211700161,0.42393947581734664,0.20112758913983192,0.41566745147522843,0.42393947581734664,0.3011456271864068,0.42393947581734664,0.42393947581734664,0.22649499045013588,0.5356982138093328,0.0,0.18884962701217117,0.0,0.0,0.0,0.9436253252385083,0.962,0.0,0.0,0.0,0.543728135932034,1.6225877,1.6110923,80097600,160195200,44.52939558029175,101765
3,0.575249932450689,0.16350061580338682,0.575249932450689,0.20826265610746492,0.44847841595649124,0.575249932450689,0.25270024987506245,0.575249932450689,0.575249932450689,0.18267255730389492,0.37178615638604295,0.0,0.3009049773755656,0.0,0.0,0.0,0.6124578091439091,0.266,0.0,0.0,0.0,0.9975012493753124,1.6133306,1.6041294,80097600,240292800,42.91331696510315,101765
4,0.10618751688732775,0.050237779797180804,0.10618751688732775,0.09803455669124995,0.06771810029975972,0.10618751688732775,0.2838998500749625,0.10618751688732775,0.10618751688732775,0.3963205679878591,0.7599826094377959,0.0,0.28383838383838383,0.0,0.031097789434245036,0.6666666666666666,1.0,0.562,0.0,0.83,0.026,0.0014992503748125937,1.6054468,1.4931804,80097600,320390400,42.38655424118042,101765
5,0.6557687111591461,0.46574444538741877,0.6557687111591461,0.3455659826313605,0.659830971481112,0.6557687111591461,0.40571434282858576,0.6557687111591461,0.6557687111591461,0.3369252888606205,0.6714865744326112,0.0,0.0,0.07339449541284404,0.04150943396226415,0.6666666666666666,0.9030558482613277,0.0,0.4,0.11,0.662,0.8565717141429285,1.4729762,1.2958053,80097600,400488000,45.3415744304657,101765
6,0.6492839773034315,0.47129356981818993,0.6492839773034315,0.3681629609103181,0.6579394188150869,0.6492839773034315,0.45152243878060966,0.6492839773034315,0.6492839773034315,0.5525501355364375,0.8202180920417403,0.1712145072589938,1.0,0.10738255033557047,0.06998158379373849,0.6538139145012574,0.9315726290516206,0.002,0.32,0.38,0.78,0.7756121939030485,1.3211216,1.2631083,80097600,480585600,44.503480195999146,101765
7,0.5984868954336666,0.42513539357059804,0.5984868954336666,0.36415142260239797,0.6245012736802594,0.5984868954336666,0.4631343328335832,0.5984868954336666,0.5984868954336666,0.4319867454050737,0.7409563491192475,0.1994672404375448,0.3333333333333333,0.16339869281045752,0.06570155902004454,0.6432517758484609,0.954248366013072,0.004,0.25,0.59,0.815,0.656671664167916,1.2007214,1.2383596,80097600,560683200,48.17612314224243,101765
8,0.587138611186166,0.417207459452006,0.587138611186166,0.3710123529748427,0.6267558335106752,0.587138611186166,0.5086331834082959,0.587138611186166,0.587138611186166,0.4876204927511904,0.7859674212564481,0.3309632609585103,0.6190476190476191,0.11403508771929824,0.08115183246073299,0.6688679245283019,0.955,0.026,0.52,0.62,0.709,0.6681659170414792,1.1456022,1.1842372,80097600,640780800,44.63533902168274,101765
9,0.6309105647122399,0.44146631214704046,0.6309105647122399,0.4058032443914977,0.6655537330491542,0.6309105647122399,0.47151474262868565,0.6309105647122399,0.6309105647122399,0.44631898670263903,0.7377984830081064,0.4257602437235346,0.3968871595330739,0.15019762845849802,0.07142857142857142,0.7170731707317073,0.8960084033613446,0.204,0.38,0.48,0.441,0.8525737131434283,1.0876025,1.2697574,80097600,720878400,43.96211099624634,101765
10,0.5195893001891381,0.3587455600797018,0.5195893001891381,0.37822921968426765,0.5830208577914153,0.5195893001891381,0.520447976011994,0.5195893001891381,0.5195893001891381,0.43438441133883376,0.7527781811899698,0.4517119213026025,0.3384615384615385,0.14,0.06766917293233082,0.6565176022835395,0.9692737430167597,0.132,0.63,0.63,0.69,0.52023988005997,1.1660397,1.0842755,80097600,800976000,44.471548557281494,101765
