epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_fodder,precision_orchards,precision_protein_crops,precision_temp._meadows,precision_vegetables,recall_fodder,recall_orchards,recall_protein_crops,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.5406646852202107,0.0,0.5406646852202107,0.14037179936864258,0.37947037359720853,0.5406646852202107,0.2,0.5406646852202107,0.5406646852202107,0.10813293704404214,0.29231830184426955,0.0,0.0,0.0,0.0,0.0,0.5406646852202107,0.0,0.0,0.0,0.0,1.0,1.3392303,1.1752287,80097600,80097600,43.80765438079834,101765
1,0.6703593623345042,0.3584919171078389,0.6703593623345042,0.27354423393214233,0.5864305219538253,0.6703593623345042,0.2974006996501749,0.6703593623345042,0.6703593623345042,0.26692360383409774,0.5424777267084072,0.0,0.0,0.0,0.0,0.6621983914209115,0.672419627749577,0.0,0.0,0.0,0.494,0.9930034982508745,1.1288182,0.95295775,80097600,160195200,43.31087064743042,101765
2,0.7341259119156984,0.5126666024344029,0.7341259119156984,0.3120836359652504,0.6563208772826685,0.7341259119156984,0.34710194902548724,0.7341259119156984,0.7341259119156984,0.2836186205366447,0.5936595405258254,0.0,0.0,0.0,0.0,0.6398305084745762,0.7782625942086474,0.0,0.0,0.0,0.755,0.9805097451274363,0.88519293,0.7903921,80097600,240292800,43.412896156311035,101765
3,0.7492569575790327,0.5644387043625018,0.7492569575790325,0.3224869334054249,0.6791619074138233,0.7492569575790327,0.3695075462268866,0.7492569575790327,0.7492569575790327,0.2913933703605748,0.6309205693708376,0.0,0.0,0.0,0.0,0.5797738693467337,0.8771929824561403,0.0,0.0,0.0,0.923,0.9245377311344328,0.73989266,0.75106794,80097600,320390400,44.7403130531311,101765
4,0.7541205079708186,0.5721810672614627,0.7541205079708188,0.32455777024018223,0.6831598459175382,0.7541205079708186,0.37160679660169915,0.7541205079708186,0.7541205079708186,0.29306699201763964,0.6336400133987219,0.0,0.0,0.0,0.0,0.5864471184293857,0.8788878416588124,0.0,0.0,0.0,0.926,0.9320339830084957,0.74147546,0.74332434,80097600,400488000,44.083415031433105,101765
5,0.7587138611186166,0.580333377268268,0.7587138611186167,0.32663578320410913,0.6873270366448223,0.7587138611186166,0.3741063468265867,0.7587138611186166,0.7587138611186166,0.2949542666465409,0.637674989709183,0.0,0.0,0.0,0.0,0.5903919089759798,0.8843794242567249,0.0,0.0,0.0,0.934,0.9365317341329336,0.68560815,0.7349648,80097600,480585600,45.58194851875305,101765
6,0.7565522831667117,0.5781288210952226,0.7565522831667117,0.32586875319533093,0.6861837896455009,0.7565522831667117,0.37390704647676165,0.7565522831667117,0.7565522831667117,0.29468813391189164,0.6388226897656352,0.0,0.0,0.0,0.0,0.5834885164494104,0.8899521531100478,0.0,0.0,0.0,0.94,0.9295352323838081,0.6704675,0.7343774,80097600,560683200,44.750940799713135,101765
7,0.7643880032423669,0.5843378513945662,0.7643880032423669,0.3283275884447729,0.6896779948483821,0.7643880032423669,0.3732037981009495,0.7643880032423669,0.7643880032423669,0.2955553252264254,0.6327664291767761,0.0,0.0,0.0,0.0,0.6145479265805575,0.8632286995515696,0.0,0.0,0.0,0.904,0.9620189905047476,0.6656361,0.7162247,80097600,640780800,44.93903136253357,101765
8,0.7665495811942719,0.589843414800769,0.7665495811942719,0.32963848002544605,0.692293978985761,0.7665495811942719,0.3756041979010495,0.7665495811942719,0.7665495811942719,0.29685312420351895,0.6369344186538711,0.0,0.0,0.0,0.0,0.612109115103127,0.8721565059144677,0.0,0.0,0.0,0.92,0.9580209895052474,0.57293123,0.7037337,80097600,720878400,44.704824686050415,101765
9,0.7665495811942719,0.5851016912580511,0.7665495811942719,0.3385280998409036,0.6954791763458698,0.7665495811942719,0.37530274862568713,0.7665495811942719,0.7665495811942719,0.41470071916866635,0.7094620908790947,0.0,0.5909090909090909,0.0,0.0,0.6357711803041275,0.8468233246301131,0.026,0.0,0.0,0.878,0.9725137431284357,0.6230075,0.6907473,80097600,800976000,43.84762644767761,101765
