epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.13109935332157555,0.037084133025342525,0.13109935332157555,0.06841390471855426,0.03940635857902119,0.13109935332157555,0.22833333333333336,0.13109935332157555,0.13109935332157555,0.04023552098945131,0.023188597117503602,0.0,0.0,0.0,0.08838821490467938,0.0,0.0,0.15302491103202848,0.0,0.0,0.51,0.0,0.0,0.86,3.1051548,2.6793733,37379328,37379328,22.483994245529175,101830
1,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.680704,2.677588,37379328,74758656,23.696420907974243,101830
2,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7593024,2.6727204,37379328,112137984,23.509431838989258,101830
3,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6628513,2.6719623,37379328,149517312,23.827241897583008,101830
4,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5637853,2.6735907,37379328,186896640,21.680109977722168,101830
5,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6613362,2.669869,37379328,224275968,21.239748239517212,101830
6,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.567778,2.6681724,37379328,261655296,21.303993463516235,101830
7,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.60638,2.6658325,37379328,299034624,21.37141489982605,101830
8,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5842814,2.6645494,37379328,336413952,23.458272695541382,101830
9,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7187817,2.6598935,37379328,373793280,21.106360912322998,101830
