Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.7390707255664912,0.7737955346650999,0.6648539338124779,0.1632327734037558,0.0581668625146886,0.6930082256169212,0.726792009400705,0.7454465334900118,0.7837837837837838
kappa,0.673118068612176,0.7139473321191654,0.5875507419004996,0.1762798965756095,0.0,0.6121743954287366,0.6568343969820093,0.6772932465498259,0.7262887136308952
f1_micro,0.7390707255664911,0.7737955346650999,0.6648539338124779,0.1632327734037558,0.0581668625146886,0.6930082256169212,0.726792009400705,0.7454465334900118,0.7837837837837838
f1_macro,0.6528878699132324,0.7411427729947886,0.6224267796435833,0.17073401486413775,0.0183231538034425,0.6512478920509147,0.6837318689253653,0.7072795167071784,0.7451501875662557
f1_weighted,0.7473368406113873,0.7740271914448065,0.6562682519331073,0.1803278571650451,0.006394802208722,0.6954789080107993,0.7238655013908343,0.7401818898142968,0.7806982158416108
recall_micro,0.7390707255664912,0.7737955346650999,0.6648539338124779,0.1632327734037558,0.0581668625146886,0.6930082256169212,0.726792009400705,0.7454465334900118,0.7837837837837838
recall_macro,0.68711340178403,0.7557532591984732,0.650401460245707,0.13664202426233052,0.1666666666666666,0.6670342877113253,0.6976600543071854,0.7193683190681806,0.7576434823704017
recall_weighted,0.7390707255664912,0.7737955346650999,0.6648539338124779,0.1632327734037558,0.0581668625146886,0.6930082256169212,0.726792009400705,0.7454465334900118,0.7837837837837838
precision_micro,0.7390707255664912,0.7737955346650999,0.6648539338124779,0.1632327734037558,0.0581668625146886,0.6930082256169212,0.726792009400705,0.7454465334900118,0.7837837837837838
precision_macro,0.6458517047974978,0.7340726433390738,0.6528261565659662,0.17086116360374626,0.0096944770857814,0.6666838077239886,0.7190317564808215,0.7369135913434481,0.7772282580699755
precision_weighted,0.7694009984848872,0.7830165918766533,0.6969691118386763,0.1698943701568181,0.0033833838948026,0.7232340734460747,0.7583633716227869,0.774203966610442,0.799882452739931
gmean,0.8069406327999866,0.7424036992300066,0.5952185668626085,0.18447732957778443,0.0,0.6167704570609088,0.661195335345512,0.6820872242103106,0.7424036992300066
precision_wheat,0.91328,0.8663594470046083,0.782789742465356,0.2574268977009642,0.0,0.816220222560912,0.8835377358490566,0.9131541077969648,0.9699248120300752
precision_fodder,0.7222946544980443,0.86,0.8297545832328816,0.1701358220321458,0.0,0.8381063470356367,0.8677963677963678,0.8961261540581508,1.0
precision_misc.,0.7287641268683923,0.5483870967741935,0.5329466160446347,0.20001208250530547,0.0,0.450095785440613,0.5790446841294299,0.6666666666666666,0.8888888888888888
precision_orchards,0.2127937336814621,0.5806451612903226,0.4867831402833132,0.13307612732748167,0.0,0.4719471500721501,0.5197014925373135,0.5527539597475288,0.6683937823834197
precision_protein_crops,0.4254766031195841,0.8229571984435797,0.6855064875164314,0.20402762013557166,0.0,0.7100223088363506,0.7465482432175837,0.7812710437710438,0.8627002288329519
precision_vegetables,0.8725011106175034,0.7260869565217392,0.5991763698531792,0.17720965277847167,0.0,0.5605460431041827,0.6487465093163782,0.7199283559577677,0.8105263157894737
recall_wheat,0.9513333333333334,0.9353233830845772,0.7762929538354739,0.2743767737191119,0.0,0.8171641791044776,0.8731343283582089,0.914179104477612,0.9800995024875622
recall_fodder,0.7386666666666667,0.6866267465069861,0.5609942904887896,0.14128490888405731,0.0,0.5459081836327345,0.5858283433133733,0.6307385229540918,0.8003992015968064
recall_misc.,0.6663333333333333,0.5151515151515151,0.35059901338971106,0.13403966997288194,0.0,0.2828282828282828,0.33838383838383834,0.3939393939393939,1.0
recall_orchards,0.3574561403508772,0.7164179104477612,0.6792201781788733,0.2280638368505775,0.0,0.6492537313432836,0.7437810945273632,0.8097014925373134,0.9203980099502488
recall_protein_crops,0.7542242703533026,0.846,0.7206511627906979,0.2670050789312866,0.0,0.7545,0.83,0.8674999999999999,0.93
recall_vegetables,0.6546666666666666,0.835,0.8146511627906977,0.11186596679975454,0.0,0.785,0.84,0.8625,1.0
epoch,,66.0,42.5,24.969981978367546,0.0,21.25,42.5,63.75,85.0
trainloss,,0.8315927,1.0918327387209301,0.3984269551323154,0.7690959,0.8660256575,0.92411074,1.0958475,2.4645681
valloss,,0.8713521,1.1069792082558143,0.34934704287742985,0.79791754,0.9161149825,0.966258175,1.06473955,2.180379
FLOPs_per_epoch,,69418752.0,69418752.0,0.0,69418752.0,69418752.0,69418752.0,69418752.0,69418752.0
cumulative_FLOPs,,4651056384.0,3019715712.0,1733384986.400765,69418752.0,1544567232.0,3019715712.0,4494864192.0,5970012672.0
runtime_per_epoch,,36.85536694526672,35.81674538656723,0.769844471590135,34.628578662872314,35.158053278923035,35.48637318611145,36.35972720384598,37.34434413909912
Params,,101830.0,101830.0,0.0,101830.0,101830.0,101830.0,101830.0,101830.0
Statistical Parity Difference,-0.2248849317411125,,,,,,,,
Error Rate Ratio,2.134139687756779,,,,,,,,
Disparate Impact,0.7194945370605513,,,,,,,,
True Positive Rate (Privileged),0.8017131979695431,,,,,,,,
True Positive Rate (Unprivileged),0.5768282662284305,,,,,,,,
False Positive Rate (Privileged),0.1982868020304568,,,,,,,,
False Positive Rate (Unprivileged),0.4231717337715694,,,,,,,,
Accuracy (Privileged),0.8017131979695431,,,,,,,,
Accuracy (Unprivileged),0.5768282662284305,,,,,,,,
F1 Macro (Privileged),0.6753644120765347,,,,,,,,
F1 Macro (Unprivileged),0.44867424055138,,,,,,,,
F1 Macro Difference,0.2266901715251547,,,,,,,,
