epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11750881316098707,0.0,0.11750881316098707,0.03505082369435682,0.024712684155833244,0.11750881316098707,0.16666666666666666,0.11750881316098707,0.11750881316098707,0.019584802193497845,0.01380832117050377,0.0,0.0,0.0,0.0,0.0,0.0,0.11750881316098707,0.0,0.0,0.0,0.0,0.0,1.0,2.4645681,2.180379,69418752,69418752,37.13119077682495,101830
1,0.12690951821386603,0.03505168169630124,0.12690951821386603,0.06864189482367557,0.03843892350608414,0.12690951821386603,0.23271043771043773,0.12690951821386603,0.12690951821386603,0.040314069365976146,0.022674799200453215,0.0,0.0,0.0,0.096875,0.0,0.0,0.14500941619585686,0.0,0.0,0.6262626262626263,0.0,0.0,0.77,2.2132378,2.1661088,69418752,138837504,36.45783066749573,101830
2,0.058166862514688604,0.0,0.058166862514688604,0.018323153803442533,0.0063948022087220125,0.058166862514688604,0.16666666666666666,0.058166862514688604,0.058166862514688604,0.009694477085781434,0.003383383894802686,0.0,0.0,0.0,0.058166862514688604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1776347,2.165216,69418752,208256256,35.180808305740356,101830
3,0.345475910693302,0.18659689349810504,0.345475910693302,0.19724327704300407,0.23396945747385095,0.345475910693302,0.31643444153453987,0.345475910693302,0.345475910693302,0.23002013313973266,0.2398035797500429,0.0,0.0,0.4926289926289926,0.16494845360824742,0.5,0.0,0.22254335260115607,0.0,0.8003992015968064,0.32323232323232326,0.004975124378109453,0.0,0.77,2.2220645,2.1603713,69418752,277675008,35.13303256034851,101830
4,0.12103407755581669,0.0063516890747512544,0.12103407755581669,0.04575660715766644,0.030790010025384368,0.12103407755581669,0.1740660093953507,0.12103407755581669,0.12103407755581669,0.19716751356898235,0.3122678050302977,0.0,0.0,1.0,0.06060606060606061,0.0,0.0,0.12239902080783353,0.0,0.003992015968063872,0.04040404040404041,0.0,0.0,1.0,2.1981194,2.1535978,69418752,347093760,35.84985113143921,101830
5,0.282021151586369,0.1758702056714686,0.282021151586369,0.19164271806381591,0.22524152608088818,0.282021151586369,0.33859762760021944,0.282021151586369,0.282021151586369,0.1964536193898648,0.26272413480289014,0.0,0.0,0.7373417721518988,0.10517799352750809,0.09523809523809523,0.0,0.24096385542168675,0.0,0.46506986027944114,0.6565656565656566,0.009950248756218905,0.0,0.9,2.1757474,2.0151863,69418752,416512512,35.9925742149353,101830
6,0.3537015276145711,0.2295720548887732,0.3537015276145711,0.31657528919421,0.3493098479473847,0.3537015276145711,0.3773341197899693,0.3537015276145711,0.3537015276145711,0.35757443095696057,0.44760534063261076,0.31282542539150876,0.2537313432835821,0.7658862876254181,0.16580310880829016,0.3172043010752688,0.3945945945945946,0.24822695035460993,0.1691542288557214,0.45708582834331335,0.32323232323232326,0.2935323383084577,0.146,0.875,2.019357,1.808223,69418752,485931264,35.41404151916504,101830
7,0.3701527614571093,0.25286439436998065,0.3701527614571093,0.3328816656197889,0.35284195251888745,0.3701527614571093,0.4142217372882759,0.3701527614571093,0.3701527614571093,0.3891444269908273,0.46642981437244646,0.31699212124485776,0.3359375,0.768361581920904,0.22633744855967078,0.3805309734513274,0.3925233644859813,0.2311756935270806,0.21393034825870647,0.5429141716566867,0.5555555555555556,0.21393034825870647,0.084,0.875,1.880122,1.6789396,69418752,555350016,35.24340462684631,101830
8,0.4136310223266745,0.29634692754833547,0.4136310223266745,0.3696922349496965,0.423391893944107,0.4136310223266745,0.43911868694391704,0.4136310223266745,0.4136310223266745,0.45734499411430657,0.5606002579984755,0.3706002849796991,0.5238095238095238,0.8488888888888889,0.15647921760391198,0.3258426966292135,0.5492227979274611,0.3398268398268398,0.10945273631840796,0.3812375249500998,0.6464646464646465,0.2885572139303483,0.424,0.785,1.7218394,1.6877322,69418752,624768768,35.18524098396301,101830
9,0.43419506462984725,0.31412954418584405,0.43419506462984725,0.37318097292056773,0.42952385246727126,0.43419506462984725,0.44482352361461314,0.43419506462984725,0.43419506462984725,0.47910958982996116,0.5674534370377005,0.29387878821969565,0.5714285714285714,0.8154362416107382,0.24752475247524752,0.4120603015075377,0.5648148148148148,0.26339285714285715,0.01990049751243781,0.48502994011976047,0.5050505050505051,0.4079601990049751,0.366,0.885,1.5938611,1.5970886,69418752,694187520,35.15117859840393,101830
10,0.4706227967097532,0.36901984036037616,0.47062279670975316,0.44840820992093083,0.45725144175204824,0.4706227967097532,0.5244290911618644,0.4706227967097532,0.4706227967097532,0.47611232003571297,0.5675003089691711,0.4661793761104299,0.37267080745341613,0.8233438485804416,0.2647058823529412,0.48412698412698413,0.5753424657534246,0.33648393194706994,0.5970149253731343,0.5209580838323353,0.36363636363636365,0.6069651741293532,0.168,0.89,1.5442939,1.5124984,69418752,763606272,34.89312481880188,101830
11,0.45475910693301996,0.3602182812136707,0.45475910693301996,0.4397339228961655,0.4331539126465716,0.45475910693301996,0.5407158621096417,0.45475910693301996,0.45475910693301996,0.48262629487653913,0.5899277531022499,0.4689199315770577,0.35697940503432496,0.8781512605042017,0.225130890052356,0.3544973544973545,0.6086956521739131,0.47230320699708456,0.7761194029850746,0.4171656686626746,0.43434343434343436,0.6666666666666666,0.14,0.81,1.4475743,1.5692137,69418752,833025024,36.02945065498352,101830
12,0.5417156286721504,0.4445399806445053,0.5417156286721504,0.5176333034030511,0.5464375150423209,0.5417156286721504,0.5678524917600348,0.5417156286721504,0.5417156286721504,0.5514744269961708,0.6402747134356837,0.5205120525613363,0.754601226993865,0.75,0.24742268041237114,0.34393638170974156,0.753731343283582,0.4591549295774648,0.6119402985074627,0.47305389221556887,0.24242424242424243,0.8606965174129353,0.404,0.815,1.3945478,1.5104536,69418752,902443776,37.334465742111206,101830
13,0.6222091656874266,0.5328389319530049,0.6222091656874266,0.5938238692446199,0.6265521623058667,0.6222091656874266,0.6287681037743599,0.6222091656874266,0.6222091656874266,0.594114079441053,0.6674795570093878,0.6115440084029634,0.6192307692307693,0.8387096774193549,0.4482758620689655,0.4942084942084942,0.7160804020100503,0.4481792717086835,0.8009950248756219,0.5708582834331337,0.3939393939393939,0.6368159203980099,0.57,0.8,1.4159138,1.2900107,69418752,971862528,37.110684394836426,101830
14,0.636310223266745,0.5450685438443539,0.636310223266745,0.5965194233609361,0.6399209103175058,0.636310223266745,0.6174672345343988,0.636310223266745,0.636310223266745,0.6052090663736532,0.6690324758741707,0.58470051266169,0.8296703296703297,0.7488789237668162,0.36363636363636365,0.5,0.741424802110818,0.4476439790575916,0.7512437810945274,0.6666666666666666,0.2828282828282828,0.5870646766169154,0.562,0.855,1.3049173,1.2219331,69418752,1041281280,37.20713925361633,101830
15,0.6110458284371327,0.520888143137731,0.6110458284371327,0.5776670521913049,0.6189797248318619,0.6110458284371327,0.62357305049181,0.6110458284371327,0.6110458284371327,0.5798416247012131,0.6697610506119934,0.6072244082178563,0.5389221556886228,0.8757961783439491,0.2561576354679803,0.5421686746987951,0.684331797235023,0.5816733067729084,0.8955223880597015,0.5489021956087824,0.5252525252525253,0.44776119402985076,0.594,0.73,1.2543323,1.3065174,69418752,1110700032,37.098833084106445,101830
16,0.6645123384253819,0.5764905315864358,0.6645123384253819,0.6362494861064306,0.6652832648219471,0.6645123384253819,0.6462777698033754,0.6645123384253819,0.6645123384253819,0.6569777301845209,0.6881325991617875,0.6197466106489986,0.8770053475935828,0.7804232804232805,0.5818181818181818,0.5135135135135135,0.6843137254901961,0.5047923322683706,0.8159203980099502,0.5888223552894212,0.32323232323232326,0.6616915422885572,0.698,0.79,1.2950263,1.1357881,69418752,1180118784,37.19166111946106,101830
17,0.6956521739130435,0.612285679606954,0.6956521739130435,0.654756515323682,0.6948097932330927,0.6956521739130435,0.6601702756103954,0.6956521739130435,0.6956521739130435,0.6564345676085342,0.6990187518483785,0.6409241326780086,0.835,0.7398373983739838,0.45555555555555555,0.5941176470588235,0.7463312368972747,0.5677655677655677,0.8308457711442786,0.7265469061876247,0.41414141414141414,0.5024875621890548,0.712,0.775,1.1898649,1.0339395,69418752,1249537536,37.23275661468506,101830
18,0.6621621621621622,0.5815986339589794,0.6621621621621622,0.6326221547926947,0.6644059395326002,0.6621621621621622,0.6677248280463045,0.6621621621621622,0.6621621621621622,0.6382456392644856,0.7051106385071646,0.6419076766466174,0.7238493723849372,0.8040201005025126,0.5142857142857142,0.473015873015873,0.8097982708933718,0.5045045045045045,0.8606965174129353,0.6387225548902196,0.36363636363636365,0.7412935323383084,0.562,0.84,1.1708905,1.1303039,69418752,1318956288,36.42768907546997,101830
19,0.6792009400705052,0.600011191002434,0.6792009400705052,0.6452688083672723,0.6812031237064544,0.6792009400705052,0.670582774598549,0.6792009400705052,0.6792009400705052,0.6737213811020544,0.7296130790665847,0.6297870956954746,0.9065934065934066,0.8675078864353313,0.5283018867924528,0.4573002754820937,0.7473684210526316,0.5352564102564102,0.8208955223880597,0.5489021956087824,0.2828282828282828,0.8258706467661692,0.71,0.835,1.1217258,1.1331019,69418752,1388375040,35.11331033706665,101830
