epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11633372502937721,-0.0013339081003820308,0.11633372502937721,0.03481012658227848,0.024542979964003626,0.11633372502937721,0.165,0.11633372502937721,0.11633372502937721,0.01945754716981132,0.013718599649690709,0.0,0.0,0.0,0.0,0.0,0.0,0.11674528301886793,0.0,0.0,0.0,0.0,0.0,0.99,1.9440796,1.6578853,69418752,69418752,51.5376763343811,101830
1,0.11750881316098707,0.0,0.11750881316098707,0.03505082369435682,0.024712684155833244,0.11750881316098707,0.16666666666666666,0.11750881316098707,0.11750881316098707,0.019584802193497845,0.01380832117050377,0.0,0.0,0.0,0.0,0.0,0.0,0.11750881316098707,0.0,0.0,0.0,0.0,0.0,1.0,1.6457264,1.6430612,69418752,138837504,34.160112619400024,101830
2,0.11750881316098707,0.0,0.11750881316098707,0.03505082369435682,0.024712684155833244,0.11750881316098707,0.16666666666666666,0.11750881316098707,0.11750881316098707,0.019584802193497845,0.01380832117050377,0.0,0.0,0.0,0.0,0.0,0.0,0.11750881316098707,0.0,0.0,0.0,0.0,0.0,1.0,1.6388175,1.6466025,69418752,208256256,33.39597249031067,101830
3,0.14571092831962398,0.03181574551159405,0.14571092831962398,0.07471014492753623,0.0527910897665151,0.14571092831962398,0.20643034825870646,0.14571092831962398,0.14571092831962398,0.04937195305285313,0.03489938312604938,0.0,0.0,0.0,0.0,0.15240641711229946,0.0,0.1438253012048193,0.0,0.0,0.0,0.2835820895522388,0.0,0.955,1.6323993,1.6427603,69418752,277675008,33.520185470581055,101830
4,0.11750881316098707,0.04749193886729064,0.11750881316098707,0.07933428239039922,0.0480865533136881,0.11750881316098707,0.24318181818181817,0.11750881316098707,0.11750881316098707,0.0535525620707871,0.03352539475325943,0.0,0.0,0.0,0.07131537242472266,0.0,0.0,0.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.55,1.6332504,1.656026,69418752,347093760,34.64784574508667,101830
5,0.31139835487661577,0.19087924787137422,0.31139835487661577,0.24153509422801775,0.2690502172359701,0.31139835487661577,0.328188911638505,0.31139835487661577,0.31139835487661577,0.2503338204052649,0.288615188117555,0.0,0.3,0.6610978520286396,0.08547008547008547,0.16449086161879894,0.0,0.2909441233140655,0.04477611940298507,0.5528942115768463,0.30303030303030304,0.31343283582089554,0.0,0.755,1.6272578,1.5076616,69418752,416512512,33.49613428115845,101830
6,0.3172737955346651,0.20539155596644187,0.3172737955346651,0.27027125350707676,0.2813380528623094,0.3172737955346651,0.35821531864659045,0.3172737955346651,0.3172737955346651,0.3414388499917805,0.4370210970437152,0.1301421096175113,0.2777777777777778,0.8403755868544601,0.05,0.1881720430107527,0.2857142857142857,0.4065934065934066,0.3482587064676617,0.35728542914171657,0.010101010101010102,0.8706467661691543,0.008,0.555,1.4930243,1.4276905,69418752,485931264,33.48947310447693,101830
7,0.31551116333725027,0.20769959850141284,0.31551116333725027,0.3015106199194996,0.28444129342403934,0.31551116333725027,0.3965596768170278,0.31551116333725027,0.31551116333725027,0.36800541848367724,0.4562608385337676,0.29156054653015984,0.272,0.8135593220338984,0.2275449101796407,0.278125,0.375,0.24180327868852458,0.3383084577114428,0.2874251497005988,0.3838383838383838,0.4427860696517413,0.042,0.885,1.3995602,1.2561395,69418752,555350016,34.49016761779785,101830
8,0.37132784958871917,0.2614890253783312,0.3713278495887192,0.3469895096215734,0.35305446174124966,0.37132784958871917,0.42685744642179535,0.37132784958871917,0.37132784958871917,0.4099338209564414,0.5075434064372655,0.34270833821228475,0.32195121951219513,0.7872340425531915,0.21511627906976744,0.3656387665198238,0.52,0.2496626180836707,0.3283582089552239,0.4431137724550898,0.37373737373737376,0.4129353233830846,0.078,0.925,1.2215043,1.1698747,69418752,624768768,35.16683483123779,101830
9,0.4318448883666275,0.32553729896750905,0.4318448883666275,0.4047089485522913,0.4268210369640566,0.4318448883666275,0.47419893455964596,0.4318448883666275,0.4318448883666275,0.4668275512087137,0.5794984674487885,0.4201964347656413,0.4268292682926829,0.7823343848580442,0.21176470588235294,0.3920863309352518,0.704,0.2839506172839506,0.3482587064676617,0.49500998003992014,0.36363636363636365,0.5422885572139303,0.176,0.92,1.1467848,1.1159372,69418752,694187520,35.4948468208313,101830
