epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.29435957696827264,0.00019662470701942159,0.29435957696827264,0.07584014532243415,0.1339456385659442,0.29435957696827264,0.16666666666666666,0.29435957696827264,0.29435957696827264,0.04908877131099353,0.086698499741978,0.0,0.0,0.2945326278659612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0632067,1.785686,74758656,74758656,38.93023657798767,101830
1,0.058166862514688604,0.0,0.058166862514688604,0.018323153803442533,0.0063948022087220125,0.058166862514688604,0.16666666666666666,0.058166862514688604,0.058166862514688604,0.009694477085781434,0.003383383894802686,0.0,0.0,0.0,0.058166862514688604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8015362,1.8039944,74758656,149517312,35.6398561000824,101830
2,0.058166862514688604,0.0,0.058166862514688604,0.018323153803442533,0.0063948022087220125,0.058166862514688604,0.16666666666666666,0.058166862514688604,0.058166862514688604,0.009694477085781434,0.003383383894802686,0.0,0.0,0.0,0.058166862514688604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7960707,1.7968845,74758656,224275968,36.38105654716492,101830
3,0.058166862514688604,0.0,0.058166862514688604,0.018323153803442533,0.0063948022087220125,0.058166862514688604,0.16666666666666666,0.058166862514688604,0.058166862514688604,0.009694477085781434,0.003383383894802686,0.0,0.0,0.0,0.058166862514688604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7967291,1.7979987,74758656,299034624,36.36563158035278,101830
4,0.22737955346650998,0.12689756115068063,0.22737955346650998,0.15383452503411166,0.17324796334679934,0.22737955346650998,0.3022644609770358,0.22737955346650998,0.22737955346650998,0.18602573180541707,0.2697600185471057,0.0,0.0,0.8181818181818182,0.1026936026936027,0.0,0.0,0.19527896995708155,0.0,0.2874251497005988,0.6161616161616161,0.0,0.0,0.91,1.7903453,1.7835419,74758656,373793280,35.95442819595337,101830
5,0.3584018801410106,0.20821291272459574,0.35840188014101065,0.21572493914303714,0.2605515289249216,0.3584018801410106,0.3198567031473011,0.3584018801410106,0.3584018801410106,0.3609748260312764,0.43140252264937173,0.09404088937592853,0.6,0.525706940874036,0.07865168539325842,0.18333333333333332,0.5,0.2781569965870307,0.014925373134328358,0.8163672654690619,0.21212121212121213,0.05472636815920398,0.006,0.815,1.7778636,1.5325121,74758656,448551936,36.80019736289978,101830
6,0.36603995299647474,0.237423216333012,0.36603995299647474,0.29107940792620735,0.31754095211282535,0.36603995299647474,0.36818174069469983,0.36603995299647474,0.36603995299647474,0.33125390236524627,0.38438790028066394,0.21611796069149405,0.2916666666666667,0.66,0.1564625850340136,0.40384615384615385,0.24390243902439024,0.23164556962025318,0.17412935323383086,0.6586826347305389,0.23232323232323232,0.208955223880597,0.02,0.915,1.5786059,1.4600756,74758656,523310592,35.88191771507263,101830
7,0.34606345475910694,0.24400838072433417,0.34606345475910694,0.32655983829084456,0.30633398078262025,0.34606345475910694,0.43839952177658853,0.34606345475910694,0.34606345475910694,0.3535101445889348,0.42004762287502884,0.28113614445904805,0.3042071197411003,0.7882882882882883,0.1760299625468165,0.32068965517241377,0.23529411764705882,0.296551724137931,0.46766169154228854,0.34930139720558884,0.47474747474747475,0.4626865671641791,0.016,0.86,1.4615895,1.4326954,74758656,598069248,34.859222412109375,101830
8,0.35605170387779084,0.2513853483757873,0.35605170387779084,0.3444034936952763,0.34168796890699393,0.35605170387779084,0.43072536714600346,0.35605170387779084,0.35605170387779084,0.4117801118111281,0.5226394914029668,0.37209352524830586,0.36213991769547327,0.8466666666666667,0.1306122448979592,0.27586206896551724,0.5103448275862069,0.34505494505494505,0.43781094527363185,0.25349301397205587,0.32323232323232326,0.6368159203980099,0.148,0.785,1.3414092,1.3783902,74758656,672827904,34.79704689979553,101830
9,0.43595769682726204,0.3207275140028859,0.43595769682726204,0.3924189469579645,0.43181373836016473,0.43595769682726204,0.45432594858526576,0.43595769682726204,0.43595769682726204,0.452905649264757,0.541729551154684,0.3947506650285821,0.45794392523364486,0.7535885167464115,0.19678714859437751,0.46564885496183206,0.5688622754491018,0.2746031746031746,0.24378109452736318,0.6287425149700598,0.494949494949495,0.3034825870646766,0.19,0.865,1.3073796,1.2895005,74758656,747586560,36.745238304138184,101830
