epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11750881316098707,0.0,0.11750881316098707,0.03505082369435682,0.024712684155833244,0.11750881316098707,0.16666666666666666,0.11750881316098707,0.11750881316098707,0.019584802193497845,0.01380832117050377,0.0,0.0,0.0,0.0,0.0,0.0,0.11750881316098707,0.0,0.0,0.0,0.0,0.0,1.0,2.1105967,1.7868224,69418752,69418752,145.0845181941986,101830
1,0.14277320799059928,0.04681628891329326,0.14277320799059928,0.10266812726429482,0.06172231440549357,0.14277320799059928,0.2474055228905975,0.14277320799059928,0.14277320799059928,0.07337088542893351,0.045351093280343015,0.0,0.0,0.0,0.10927835051546392,0.1796116504854369,0.0,0.1513353115727003,0.0,0.0,0.5353535353535354,0.18407960199004975,0.0,0.765,1.8029778,1.7989477,69418752,138837504,35.9314239025116,101830
2,0.29435957696827264,0.0009823509172518508,0.29435957696827264,0.07903163715265625,0.13504014809054962,0.29435957696827264,0.1680175003528297,0.29435957696827264,0.29435957696827264,0.08243959929286977,0.09836277054898152,0.0,0.0,0.2946375957572186,0.2,0.0,0.0,0.0,0.0,0.998003992015968,0.010101010101010102,0.0,0.0,0.0,1.7949535,1.7923377,69418752,208256256,32.875086069107056,101830
3,0.136310223266745,0.030004291810550643,0.136310223266745,0.0733443213380948,0.03969761036720187,0.136310223266745,0.22138888888888889,0.136310223266745,0.136310223266745,0.04671495059608253,0.024309707010598782,0.0,0.0,0.0,0.14537444933920704,0.0,0.0,0.13491525423728815,0.0,0.0,0.3333333333333333,0.0,0.0,0.995,1.7979162,1.7990849,69418752,277675008,33.011479139328,101830
4,0.058166862514688604,-3.738723350599216e-05,0.058166862514688604,0.018333333333333333,0.006398354876615746,0.058166862514688604,0.16666666666666666,0.058166862514688604,0.058166862514688604,0.009700176366843033,0.003385372950590342,0.0,0.0,0.0,0.0582010582010582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7902739,1.8024979,69418752,347093760,33.59979748725891,101830
5,0.23266745005875442,0.1222161671207993,0.23266745005875442,0.15076551518384515,0.20577132329332906,0.23266745005875442,0.24996769088086454,0.23266745005875442,0.23266745005875442,0.1769143473615095,0.23087730279257712,0.0,0.0,0.6228813559322034,0.06763698630136987,0.0,0.0,0.3709677419354839,0.0,0.5868263473053892,0.797979797979798,0.0,0.0,0.115,1.7874979,1.756695,69418752,416512512,32.98609209060669,101830
6,0.3654524089306698,0.1963895763575486,0.3654524089306698,0.24978718368975708,0.28513072824879204,0.3654524089306698,0.30068844521119076,0.3654524089306698,0.3654524089306698,0.2808886595133306,0.34200032159645544,0.1339166486766521,0.22727272727272727,0.4701492537313433,0.03954802259887006,0.12745098039215685,0.35714285714285715,0.463768115942029,0.29850746268656714,0.8802395209580839,0.0707070707070707,0.06467661691542288,0.01,0.48,1.7393048,1.5841665,69418752,485931264,32.692010164260864,101830
7,0.27320799059929496,0.17757382453988446,0.27320799059929496,0.25764142603303947,0.2102714213501411,0.27320799059929496,0.404573233602146,0.27320799059929496,0.27320799059929496,0.30734412578872056,0.365874874604302,0.16683247474498822,0.2821917808219178,0.8505747126436781,0.18207282913165265,0.20078740157480315,0.05263157894736842,0.27580645161290324,0.5124378109452736,0.14770459081836326,0.6565656565656566,0.2537313432835821,0.002,0.855,1.6191161,1.4844562,69418752,555350016,32.97641372680664,101830
8,0.3754406580493537,0.2665672663118738,0.3754406580493537,0.35887362407086826,0.3763760199415678,0.3754406580493537,0.4362577815874357,0.3754406580493537,0.3754406580493537,0.43155518342937604,0.539688698244119,0.3817013708142197,0.37058823529411766,0.8130081300813008,0.1992619926199262,0.3712574850299401,0.5845070422535211,0.2507082152974504,0.31343283582089554,0.3992015968063872,0.5454545454545454,0.30845771144278605,0.166,0.885,1.3854442,1.3686707,69418752,624768768,33.174094915390015,101830
9,0.4236192714453584,0.31557625183694293,0.4236192714453584,0.391935632347951,0.3980274518224603,0.4236192714453584,0.4681616280479897,0.4236192714453584,0.4236192714453584,0.4631538247178786,0.5634477042358462,0.3747663938861999,0.3425196850393701,0.7620320855614974,0.26717557251908397,0.4739583333333333,0.6666666666666666,0.2665706051873199,0.43283582089552236,0.5688622754491018,0.35353535353535354,0.4527363184079602,0.076,0.925,1.3141972,1.2789602,69418752,694187520,32.754162549972534,101830
