epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
1,0.11757789535567313,0.0,0.11757789535567313,0.03506926179203928,0.0247402199591106,0.11757789535567313,0.16666666666666666,0.11757789535567313,0.11757789535567313,0.01959631589261219,0.013824561476269622,0.0,0.0,0.0,0.0,0.0,0.0,0.11757789535567313,0.0,0.0,0.0,0.0,0.0,1.0,2.0720532,1.7997935,37379328,37379328,20.45078182220459,101830
2,0.2827748383303939,0.058387831395330325,0.2827748383303939,0.15757894896960833,0.1873845904584228,0.2827748383303939,0.21166666666666667,0.2827748383303939,0.2827748383303939,0.15155768605403522,0.15590639246156696,0.0,0.14673913043478262,0.33078880407124683,0.1590909090909091,0.0,0.0,0.2727272727272727,0.27,0.78,0.07,0.0,0.0,0.15,1.8067445,1.7907991,37379328,74758656,20.15718388557434,101830
3,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8035058,1.7946723,37379328,112137984,20.276378631591797,101830
4,0.11757789535567313,0.0,0.11757789535567313,0.03506926179203928,0.0247402199591106,0.11757789535567313,0.16666666666666666,0.11757789535567313,0.11757789535567313,0.01959631589261219,0.013824561476269622,0.0,0.0,0.0,0.0,0.0,0.0,0.11757789535567313,0.0,0.0,0.0,0.0,0.0,1.0,1.7969527,1.7931231,37379328,149517312,20.528910398483276,101830
5,0.11757789535567313,0.0,0.11757789535567313,0.03506926179203928,0.0247402199591106,0.11757789535567313,0.16666666666666666,0.11757789535567313,0.11757789535567313,0.01959631589261219,0.013824561476269622,0.0,0.0,0.0,0.0,0.0,0.0,0.11757789535567313,0.0,0.0,0.0,0.0,0.0,1.0,1.7968838,1.7902489,37379328,186896640,19.91069197654724,101830
6,0.058788947677836566,0.0,0.058788947677836566,0.018508236165093468,0.006528478365112334,0.058788947677836566,0.16666666666666666,0.058788947677836566,0.058788947677836566,0.009798157946306094,0.0034561403690674054,0.0,0.0,0.0,0.058788947677836566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7953994,1.7909225,37379328,224275968,20.44900345802307,101830
7,0.14109347442680775,0.04761245971776673,0.14109347442680775,0.07298437832565072,0.04225237166505657,0.14109347442680775,0.24333333333333332,0.14109347442680775,0.14109347442680775,0.042930626332436626,0.024846609382585563,0.0,0.0,0.0,0.09252669039145907,0.0,0.0,0.16505706760316066,0.0,0.0,0.52,0.0,0.0,0.94,1.79241,1.7890131,37379328,261655296,22.309370040893555,101830
8,0.059376837154614934,0.0005879110649562591,0.059376837154614934,0.020176893311221668,0.007702034604559019,0.059376837154614934,0.16749999999999998,0.059376837154614934,0.059376837154614934,0.17647058823529413,0.12103606874848705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.005,1.7885994,1.787331,37379328,299034624,19.372638463974,101830
9,0.07172251616696061,0.012508543509488046,0.07172251616696061,0.051864754751002634,0.03000133613405144,0.07172251616696061,0.18416666666666667,0.07172251616696061,0.07172251616696061,0.13355393437441546,0.09072657790226105,0.0,0.0,0.0,0.0593881223755249,0.0,0.0,0.7419354838709677,0.0,0.0,0.99,0.0,0.0,0.115,1.7860945,1.7839886,37379328,336413952,20.234281301498413,101830
10,0.13756613756613756,0.06421433127790777,0.13756613756613756,0.11307987401453824,0.1336350701942203,0.13756613756613756,0.223,0.13756613756613756,0.13756613756613756,0.24276894295741677,0.3153234156938481,0.0,0.0,0.8384615384615385,0.06496062992125984,0.0,0.0,0.5531914893617021,0.0,0.218,0.99,0.0,0.0,0.13,1.7812339,1.7757114,37379328,373793280,20.45557951927185,101830
11,0.24456202233980012,0.13798862632508835,0.24456202233980012,0.24602127566865006,0.24261452373618847,0.24456202233980012,0.3029946773120426,0.24456202233980012,0.24456202233980012,0.3541298221722675,0.4541063942856402,0.20517090516397687,0.17582417582417584,0.8047337278106509,0.08607594936708861,0.13414634146341464,0.38095238095238093,0.543046357615894,0.56,0.272,0.34,0.22,0.015968063872255488,0.41,1.7718161,1.7405556,37379328,411172608,20.633204221725464,101830
12,0.37213403880070545,0.20678179238074446,0.37213403880070545,0.25445411357653974,0.29229785449791623,0.37213403880070545,0.3201553559547572,0.37213403880070545,0.37213403880070545,0.2662440441605565,0.32624661503987895,0.0,0.24796747967479674,0.4837310195227766,0.1,0.0,0.3333333333333333,0.43243243243243246,0.305,0.892,0.29,0.0,0.033932135728542916,0.4,1.7289118,1.6099193,37379328,448551936,20.67822527885437,101830
13,0.3556731334509112,0.22921123287603273,0.3556731334509112,0.274850935741434,0.301330442681022,0.3556731334509112,0.362496007984032,0.3556731334509112,0.3556731334509112,0.32887534792732503,0.4090524107663931,0.1852772753017216,0.1797752808988764,0.6506024096385542,0.14432989690721648,0.36363636363636365,0.4,0.23490813648293962,0.08,0.648,0.28,0.26,0.011976047904191617,0.895,1.6118883,1.4872063,37379328,485931264,19.642387866973877,101830
14,0.39271017048794826,0.27819716583407517,0.39271017048794826,0.3429350349936005,0.34864451866556073,0.39271017048794826,0.42565868263473056,0.39271017048794826,0.39271017048794826,0.37390589585741374,0.4375366575700532,0.2750912704696454,0.2680965147453083,0.7236842105263158,0.2777777777777778,0.3201058201058201,0.35294117647058826,0.3008298755186722,0.5,0.55,0.15,0.605,0.023952095808383235,0.725,1.5155731,1.4272422,37379328,523310592,19.763192415237427,101830
15,0.3509700176366843,0.23342628208660765,0.3509700176366843,0.28986378439914323,0.3155109972510514,0.3509700176366843,0.391647371922821,0.3509700176366843,0.3509700176366843,0.4578427009948019,0.5218065700296114,0.23487951010791475,0.3037974683544304,0.7424657534246575,0.20948616600790515,0.8181818181818182,0.453125,0.22,0.24,0.542,0.53,0.045,0.05788423153692615,0.935,1.405433,1.4354165,37379328,560689920,20.150701999664307,101830
16,0.328042328042328,0.22303097536988348,0.328042328042328,0.3156399528014285,0.30021540217422155,0.328042328042328,0.4116407185628743,0.328042328042328,0.328042328042328,0.41061940902285804,0.531296504218546,0.33337259484251114,0.2733333333333333,0.7660818713450293,0.2122905027932961,0.26932668329177056,0.6724137931034483,0.2702702702702703,0.41,0.262,0.38,0.54,0.07784431137724551,0.8,1.4258463,1.3730541,37379328,598069248,20.341756582260132,101830
17,0.38271604938271603,0.26883814838649467,0.38271604938271603,0.36283466789430413,0.3860100339232857,0.38271604938271603,0.42593878908848964,0.38271604938271603,0.38271604938271603,0.4490029217950915,0.5507030842142534,0.36802886781516236,0.4351851851851852,0.775438596491228,0.25668449197860965,0.36645962732919257,0.6344827586206897,0.22576687116564417,0.235,0.442,0.48,0.295,0.18363273453093812,0.92,1.2999722,1.392813,37379328,635448576,19.69389796257019,101830
18,0.3592004703115814,0.2572948015963781,0.3592004703115815,0.35025106461378513,0.3446038799373671,0.3592004703115814,0.44545475715236194,0.3592004703115814,0.3592004703115814,0.4322218897610964,0.5589629568365404,0.38931654703649793,0.3235294117647059,0.8245614035087719,0.1991869918699187,0.2606060606060606,0.68,0.30544747081712065,0.55,0.282,0.49,0.43,0.13572854291417166,0.785,1.3723735,1.3136135,37379328,672827904,20.168468475341797,101830
19,0.46149323927101704,0.34795294227929974,0.4614932392710171,0.4316542797540536,0.4685837622120988,0.46149323927101704,0.4739021956087825,0.46149323927101704,0.46149323927101704,0.48578284152748874,0.5739473891917924,0.4352824041957799,0.5327868852459017,0.7541899441340782,0.2956521739130435,0.40384615384615385,0.6533333333333333,0.274888558692422,0.325,0.54,0.34,0.42,0.2934131736526946,0.925,1.3024402,1.2931094,37379328,710207232,19.45596742630005,101830
20,0.5067607289829512,0.3945769217553099,0.5067607289829512,0.4726037396243112,0.5163379062975418,0.5067607289829512,0.5074850299401197,0.5067607289829512,0.5067607289829512,0.48609284332273317,0.578877054158295,0.4938449001807047,0.5257142857142857,0.7924528301886793,0.22289156626506024,0.35251798561151076,0.6176470588235294,0.4053333333333333,0.46,0.42,0.37,0.49,0.5449101796407185,0.76,1.2289348,1.2182415,37379328,747586560,19.259559869766235,101830
21,0.5243974132863022,0.4213711576369593,0.5243974132863022,0.48648431716501306,0.5249339630938016,0.5243974132863022,0.5353662674650699,0.5243974132863022,0.5243974132863022,0.5333414950957376,0.6131295693611778,0.478124267482986,0.5148936170212766,0.7641509433962265,0.4473684210526316,0.3884297520661157,0.7256317689530686,0.3595744680851064,0.605,0.486,0.17,0.705,0.40119760479041916,0.845,1.1718777,1.2130104,37379328,784965888,20.579772233963013,101830
22,0.60435038212816,0.4999253015458648,0.60435038212816,0.5560992008232376,0.6021798023708913,0.60435038212816,0.5693216899534265,0.60435038212816,0.60435038212816,0.5736975645257908,0.6223489435764616,0.5349674458120873,0.6904761904761905,0.6932270916334662,0.4098360655737705,0.5306122448979592,0.6750629722921915,0.44297082228116713,0.58,0.696,0.25,0.52,0.5349301397205589,0.835,1.1088299,1.141929,37379328,822345216,21.095125436782837,101830
23,0.5408583186360965,0.44081074971998035,0.5408583186360965,0.5094196272487095,0.5475517928057807,0.5408583186360965,0.5573709248170327,0.5408583186360965,0.5408583186360965,0.5115170327717256,0.607767583174128,0.5366171342138112,0.453781512605042,0.7566137566137566,0.20108695652173914,0.42578125,0.708029197080292,0.5238095238095238,0.81,0.572,0.37,0.545,0.3872255489021956,0.66,1.1516222,1.098942,37379328,859724544,21.54412531852722,101830
24,0.5743680188124632,0.4779607505349579,0.5743680188124632,0.5399844375156111,0.5707712481928366,0.5743680188124632,0.5893496340652029,0.5743680188124632,0.5743680188124632,0.5532661614518956,0.6265441688578511,0.5449894157825429,0.455470737913486,0.8054711246200608,0.4166666666666667,0.4940239043824701,0.6706231454005934,0.4773413897280967,0.895,0.53,0.25,0.62,0.45109780439121755,0.79,1.1352143,1.0956306,37379328,897103872,19.16222858428955,101830
25,0.5843621399176955,0.4846662755763832,0.5843621399176955,0.5454992935547073,0.5926263906047758,0.5843621399176955,0.5708283433133733,0.5843621399176955,0.5843621399176955,0.5706595030109742,0.645312451552647,0.5386488548823095,0.8549618320610687,0.7317073170731707,0.26,0.436426116838488,0.7288135593220338,0.41204819277108434,0.56,0.6,0.26,0.635,0.5149700598802395,0.855,1.0763303,1.1129066,37379328,934483200,20.76983952522278,101830
26,0.6449147560258671,0.5488681790398842,0.6449147560258671,0.5991488931695073,0.6417996166928304,0.6449147560258671,0.6102737857618098,0.6449147560258671,0.6449147560258671,0.5957559643220879,0.6447545882364497,0.5825398376987019,0.6731517509727627,0.7333333333333333,0.3924050632911392,0.53125,0.6679764243614931,0.5764192139737991,0.865,0.638,0.31,0.51,0.6786427145708582,0.66,1.1037781,1.0293983,37379328,971862528,20.595481395721436,101830
27,0.6225749559082893,0.5236624239939283,0.6225749559082893,0.5823305218860092,0.6244369193254085,0.6225749559082893,0.5996111111111111,0.6225749559082893,0.6225749559082893,0.5758926696238706,0.6367134667064392,0.5839639000904535,0.6463878326996197,0.7621483375959079,0.2962962962962963,0.5478723404255319,0.6410748560460653,0.5615763546798029,0.85,0.596,0.4,0.515,0.6666666666666666,0.57,1.0698138,1.0079403,37379328,1009241856,21.177582025527954,101830
