epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_fodder,precision_misc.,precision_orchards,precision_protein_crops,precision_vegetables,recall_wheat,recall_fodder,recall_misc.,recall_orchards,recall_protein_crops,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2945326278659612,0.0,0.2945326278659612,0.07584014532243415,0.13402438379731746,0.2945326278659612,0.16666666666666666,0.2945326278659612,0.2945326278659612,0.04908877131099353,0.08674946887762879,0.0,0.0,0.0,0.0,0.0,0.2945326278659612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0451324,1.6882596,37379328,37379328,20.198286533355713,101830
1,0.29394473838918284,0.0,0.29394473838918284,0.07572315614114795,0.1335505399314779,0.29394473838918284,0.16666666666666666,0.29394473838918284,0.29394473838918284,0.048990789731530475,0.08640350922668513,0.0,0.0,0.29394473838918284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.661898,1.6662889,37379328,74758656,20.333276987075806,101830
2,0.41798941798941797,0.17533209730355492,0.41798941798941797,0.17562834820612894,0.310043265927704,0.41798941798941797,0.236771124417831,0.41798941798941797,0.41798941798941797,0.13963763843562552,0.2465045673827311,0.0,0.0,0.4464720194647202,0.0,0.0,0.391353811149033,0.0,0.0,0.734,0.0,0.0,0.6866267465069861,0.0,1.6368719,1.6596336,37379328,112137984,20.461143016815186,101830
3,0.3333333333333333,0.05570271779916869,0.3333333333333333,0.11783155194031518,0.20794490014547104,0.3333333333333333,0.1889500998003992,0.3333333333333333,0.3333333333333333,0.12266420215728972,0.2165812430240782,0.0,0.0,0.3238973008558262,0.0,0.0,0.41208791208791207,0.0,0.0,0.984,0.0,0.0,0.1497005988023952,0.0,1.6268857,1.6679156,37379328,149517312,19.901114463806152,101830
4,0.345679012345679,0.07318153758185852,0.345679012345679,0.12668130984436457,0.22357981467870178,0.345679012345679,0.195938123752495,0.345679012345679,0.345679012345679,0.13246335776149235,0.23389481086682953,0.0,0.0,0.32978014656895405,0.0,0.0,0.465,0.0,0.0,0.99,0.0,0.0,0.18562874251497005,0.0,1.6322433,1.6656176,37379328,186896640,19.802736043930054,101830
5,0.42915931804820695,0.19124183307373166,0.42915931804820695,0.1778799394541465,0.314005388552982,0.42915931804820695,0.2431450432468397,0.42915931804820695,0.42915931804820695,0.14265795175432247,0.25184964334078125,0.0,0.0,0.4335596508244423,0.0,0.0,0.4223880597014925,0.0,0.0,0.894,0.0,0.0,0.564870259481038,0.0,1.6563582,1.6453607,37379328,224275968,19.48638367652893,101830
6,0.4091710758377425,0.16262881371374394,0.4091710758377425,0.17552731853579315,0.3098646895727875,0.4091710758377425,0.2316872920825017,0.4091710758377425,0.4091710758377425,0.1764343456144943,0.31137089811536744,0.0,0.0,0.7197452229299363,0.0,0.0,0.33886085075702954,0.0,0.0,0.452,0.0,0.0,0.93812375249501,0.0,1.6512347,1.626168,37379328,261655296,20.202184438705444,101830
7,0.4432686654908877,0.21111700965849045,0.4432686654908877,0.18778530494599724,0.331486560631177,0.4432686654908877,0.25108782435129745,0.4432686654908877,0.4432686654908877,0.15101928584242774,0.2665722810591269,0.0,0.0,0.5245231607629428,0.0,0.0,0.3815925542916236,0.0,0.0,0.77,0.0,0.0,0.7365269461077845,0.0,1.5859631,1.5570672,37379328,299034624,19.49414086341858,101830
8,0.4591416813639036,0.23355862474287392,0.4591416813639036,0.19659478681950593,0.34703774362534245,0.4591416813639036,0.26005256154357953,0.4591416813639036,0.4591416813639036,0.16360354223433243,0.2887677334644738,0.0,0.0,0.5983333333333334,0.0,0.0,0.3832879200726612,0.0,0.0,0.718,0.0,0.0,0.8423153692614771,0.0,1.4993898,1.4791409,37379328,336413952,20.191110134124756,101830
9,0.46325690770135214,0.23946176086879878,0.46325690770135214,0.19498971667801124,0.3442182535713192,0.46325690770135214,0.2624105123087159,0.46325690770135214,0.46325690770135214,0.1553967896789679,0.2743174082252435,0.0,0.0,0.5088383838383839,0.0,0.0,0.4235423542354235,0.0,0.0,0.806,0.0,0.0,0.7684630738522954,0.0,1.4159366,1.4156976,37379328,373793280,20.011110067367554,101830
10,0.466196355085244,0.2481299489539106,0.466196355085244,0.21904372531943936,0.36176618533967825,0.466196355085244,0.27255921490352625,0.466196355085244,0.466196355085244,0.22832996867944588,0.3298180480454295,0.0,0.0,0.5345080763582967,0.0,0.4146341463414634,0.42083758937691523,0.0,0.0,0.728,0.0,0.085,0.8223552894211577,0.0,1.3575063,1.3814853,37379328,411172608,21.084298610687256,101830
11,0.49794238683127573,0.3049409274382624,0.49794238683127573,0.305801405282198,0.42804798125027116,0.49794238683127573,0.326061876247505,0.49794238683127573,0.49794238683127573,0.3612020243556771,0.4336831331474946,0.0,0.0,0.5735294117647058,0.0,0.44680851063829785,0.43918191603875134,0.7076923076923077,0.0,0.702,0.0,0.21,0.8143712574850299,0.23,1.3150114,1.3545525,37379328,448551936,20.13609743118286,101830
12,0.5185185185185185,0.36274941220598866,0.5185185185185185,0.3729630809607373,0.47844748721826746,0.5185185185185185,0.39875848303393213,0.5185185185185185,0.5185185185185185,0.42606467186271857,0.5034553391900533,0.0,0.4117647058823529,0.6717391304347826,0.0,0.3595166163141994,0.47700394218134035,0.6363636363636364,0.035,0.618,0.0,0.595,0.7245508982035929,0.42,1.2585039,1.3115236,37379328,485931264,20.773120403289795,101830
13,0.49206349206349204,0.3462180074041056,0.49206349206349204,0.3935376881061075,0.4733560017993312,0.49206349206349204,0.4182684630738523,0.49206349206349204,0.49206349206349204,0.4332700123688364,0.5314671781193084,0.0,0.4307692307692308,0.8203125,0.0,0.36018957345971564,0.45849802371541504,0.5298507462686567,0.28,0.42,0.0,0.76,0.6946107784431138,0.355,1.2476351,1.3217825,37379328,523310592,20.074121952056885,101830
14,0.5414462081128748,0.39912856931297735,0.5414462081128748,0.38485647242850135,0.49692835895184284,0.5414462081128748,0.4267571523619427,0.5414462081128748,0.5414462081128748,0.4014787716377817,0.5011202969383891,0.0,0.3,0.7181818181818181,0.0,0.4261744966442953,0.5155367231638418,0.4489795918367347,0.015,0.632,0.0,0.635,0.7285429141716567,0.55,1.2213675,1.2477316,37379328,560689920,19.720260620117188,101830
