epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.10135267594589296,0.002100400214218201,0.10135267594589296,0.02801859316445639,0.024161980251084597,0.10135267594589296,0.14407142857142857,0.10135267594589296,0.10135267594589296,0.11121467972531804,0.27626962929594456,0.0,0.09850275807722617,0.0,0.0,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0085,2.3916037,2.1323438,106799360,106799360,63.77971863746643,101895
1,0.10056851597725935,0.0017408569394196105,0.10056851597725935,0.02742478941279111,0.02260780434135751,0.10056851597725935,0.14378571428571427,0.10056851597725935,0.10056851597725935,0.12329337714629518,0.3094659171812282,0.0,0.0983477576711251,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,1.0,0.0,0.0,0.0,0.0,0.0,0.0065,1.9479154,2.1239166,106799360,213598720,64.40393781661987,101895
2,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0949259,2.1114054,106799360,320398080,65.0984423160553,101895
3,0.3754165849833366,0.07831034116861146,0.3754165849833366,0.10962895065646185,0.24531856531998333,0.3754165849833366,0.18435714285714286,0.3754165849833366,0.3754165849833366,0.09397788147206641,0.19224507137770547,0.0,0.13333333333333333,0.0,0.0,0.0,0.07502679528403002,0.0,0.4494850416871015,0.024,0.0,0.0,0.0,0.35,0.0,0.9165,2.1419594,2.119516,106799360,427197440,66.50404667854309,101895
4,0.3828661046853558,0.11505008844843456,0.3828661046853558,0.14463148783496038,0.2557440107177855,0.3828661046853558,0.252,0.3828661046853558,0.3828661046853558,0.10380482945054459,0.19324993877697524,0.0,0.0,0.0,0.19373219373219372,0.0,0.06598984771573604,0.0,0.46691176470588236,0.0,0.0,0.68,0.0,0.195,0.0,0.889,2.009143,1.93783,106799360,533996800,64.7627820968628,101895
5,0.3899235444030582,0.15387260377662604,0.3899235444030582,0.210682718297756,0.28661669790186617,0.3899235444030582,0.34035571499964307,0.3899235444030582,0.3899235444030582,0.38052551852255384,0.476882864273528,0.0,0.0,0.625,0.20848708487084872,1.0,0.08628841607565012,0.2446351931330472,0.4992679355783309,0.0,0.01999000499750125,0.565,0.01,0.365,0.57,0.8525,1.9351923,1.6427653,106799360,640796160,63.623355865478516,101895
6,0.4118800235247991,0.211640661661343,0.41188002352479913,0.27559146666058865,0.31532672658746563,0.4118800235247991,0.39399996430356243,0.4118800235247991,0.4118800235247991,0.3130559568731543,0.4589484519902049,0.0,0.21739130434782608,0.5,0.23037323037323038,0.0,0.30833333333333335,0.39285714285714285,0.5424366872005476,0.48,0.0004997501249375312,0.895,0.0,0.37,0.22,0.7925,1.5416557,1.5780625,106799360,747595520,64.22060775756836,101895
7,0.5049990198000393,0.2939745172436796,0.5049990198000393,0.3830820953246163,0.4796487495479073,0.5049990198000393,0.4508382951381452,0.5049990198000393,0.5049990198000393,0.3787566833874682,0.5246537524000328,0.3617426931486765,0.3872255489021956,0.5879732739420935,0.311046511627907,0.23423423423423423,0.3805031446540881,0.1875,0.5628140703517588,0.388,0.2638680659670165,0.535,0.52,0.605,0.06,0.784,1.5297115,1.428864,106799360,854394880,64.08123135566711,101895
8,0.538717898451284,0.37689483333648277,0.538717898451284,0.4370325734231697,0.5420748797983962,0.538717898451284,0.5241887627614764,0.538717898451284,0.538717898451284,0.41751427879437314,0.6066014442399984,0.47856561298603334,0.3134461264470169,0.6764427625354777,0.3341645885286783,0.2465753424657534,0.4012345679012346,0.25748502994011974,0.6932515337423313,0.704,0.35732133933033483,0.67,0.18,0.65,0.43,0.678,1.3071191,1.3049489,106799360,961194240,63.95741057395935,101895
9,0.6267398549304058,0.4818468551137213,0.6267398549304058,0.5130812042418104,0.6370793231014633,0.6267398549304058,0.5885294495609338,0.6267398549304058,0.6267398549304058,0.4908455840446369,0.670822879433361,0.5535305410948232,0.44781553398058255,0.6833236490412551,0.3687150837988827,0.38596491228070173,0.5212765957446809,0.23348017621145375,0.7953431372549019,0.738,0.5877061469265368,0.66,0.22,0.735,0.53,0.649,1.2234721,1.2242689,106799360,1067993600,66.64796328544617,101895
10,0.6100764555969418,0.43808396832034946,0.6100764555969418,0.5132838105982065,0.5775724730887201,0.6100764555969418,0.5655501177982437,0.6100764555969418,0.6100764555969418,0.5286049527225208,0.6744724922799353,0.5181301982048055,0.5868465430016864,0.8291666666666667,0.5555555555555556,0.24719101123595505,0.6056338028169014,0.2740740740740741,0.6017670157068062,0.696,0.2983508245877061,0.375,0.44,0.86,0.37,0.9195,1.2562311,1.2034787,106799360,1174792960,68.01582717895508,101895
