epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0871968,1.8541492,106799360,106799360,61.19605302810669,101895
1,0.1335032346598706,0.04211867540217551,0.1335032346598706,0.06182844913219989,0.13898682254983377,0.1335032346598706,0.174,0.1335032346598706,0.1335032346598706,0.09211423430927437,0.2367434304568675,0.0,0.0,0.0,0.0455394675385334,0.0,0.0,0.0,0.5992601726263872,0.0,0.0,0.975,0.0,0.0,0.0,0.243,1.7685165,1.8484646,106799360,213598720,59.855637550354004,101895
2,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7848251,1.848217,106799360,320398080,62.48359727859497,101895
3,0.3013134679474613,0.10165620235723316,0.3013134679474613,0.12096853622718466,0.24328317225940857,0.3013134679474613,0.2087857142857143,0.3013134679474613,0.3013134679474613,0.10653420196311687,0.21367657503998744,0.0,0.0,0.0,0.16770186335403728,0.0,0.05536181342632956,0.0,0.5226757369614512,0.0,0.0,0.135,0.0,0.635,0.0,0.6915,1.9118513,1.8169566,106799360,427197440,62.80086588859558,101895
4,0.3420897863164086,0.140385989224744,0.3420897863164086,0.20328540861183705,0.27953885303033715,0.3420897863164086,0.30528571428571427,0.3420897863164086,0.3420897863164086,0.17320052569429714,0.2469227313346496,0.0,0.2549800796812749,0.0,0.0389344262295082,0.20261437908496732,0.07480314960629922,0.1016260162601626,0.5394456289978679,0.128,0.0,0.19,0.62,0.19,0.25,0.759,1.796797,1.4618953,106799360,533996800,63.09196591377258,101895
5,0.4063909037443639,0.15164798854409933,0.4063909037443639,0.23583009799815693,0.2943322416086105,0.4063909037443639,0.3327847861783394,0.4063909037443639,0.4063909037443639,0.2902243939154906,0.49055307188518016,0.0,0.2222222222222222,0.6666666666666666,0.27897838899803534,0.25862068965517243,0.13034623217922606,0.0,0.4747365576871116,0.108,0.012993503248375811,0.71,0.3,0.32,0.0,0.8785,1.4831824,1.3357929,106799360,640796160,60.966637134552,101895
6,0.41286022348559104,0.22675048891503258,0.41286022348559104,0.29641500252124153,0.34028716571442225,0.41286022348559104,0.41392667951738416,0.41286022348559104,0.41286022348559104,0.4381886470817464,0.5604417299811085,0.2426655745899717,0.22395833333333334,0.6794871794871795,0.18733509234828497,0.5555555555555556,0.5972222222222222,0.2488479262672811,0.5749142203583683,0.602,0.026486756621689155,0.71,0.05,0.215,0.54,0.754,1.1711364,1.2275245,106799360,747595520,59.89869260787964,101895
7,0.5334248186630073,0.34379176169857273,0.5334248186630073,0.4241436050726202,0.5166201310927414,0.5334248186630073,0.502835689298208,0.5334248186630073,0.5334248186630073,0.41812971647472846,0.5751677250007511,0.4536837895626589,0.4040219378427788,0.6700111482720178,0.30073349633251834,0.3090909090909091,0.41914191419141916,0.22709163346613545,0.596816976127321,0.442,0.3003498250874563,0.615,0.17,0.635,0.57,0.7875,1.2606225,1.1047882,106799360,854394880,59.86487030982971,101895
8,0.5269554989217801,0.3231169396231418,0.5269554989217801,0.39541061010504425,0.5051491545420473,0.5269554989217801,0.48119297494110086,0.5269554989217801,0.5269554989217801,0.4199521264767631,0.5828505712401593,0.43207243114853333,0.642512077294686,0.6633333333333333,0.32666666666666666,0.22279792746113988,0.3466666666666667,0.16199376947040497,0.5756944444444444,0.266,0.2983508245877061,0.245,0.43,0.78,0.52,0.829,1.1127543,1.0469636,106799360,961194240,63.759870529174805,101895
9,0.5530288178788473,0.40968160779164964,0.5530288178788473,0.4362697235003216,0.5778874497627242,0.5530288178788473,0.5608936960091383,0.5530288178788473,0.5530288178788473,0.40605272763451467,0.658268650961196,0.5309920030519272,0.36966292134831463,0.7008608321377331,0.2679425837320574,0.26595744680851063,0.3110720562390158,0.1187214611872146,0.8081517919887562,0.658,0.48825587206396803,0.56,0.5,0.885,0.26,0.575,0.9704133,0.9712738,106799360,1067993600,63.20326614379883,101895
