epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2751862014896119,0.1078443578846573,0.2751862014896119,0.1203474464060285,0.2425854672007657,0.2751862014896119,0.1913144989339019,0.2751862014896119,0.2751862014896119,0.13045677162473468,0.26626034431909057,0.0,0.11467617349970291,0.0,0.09302325581395349,0.0,0.07142857142857142,0.0,0.6340694006309149,0.772,0.0,0.05970149253731343,0.0,0.005,0.0,0.5025,2.2977364,1.9448731,368457792,368457792,183.38070631027222,101895
1,0.49784398275186204,0.34173009951257216,0.49784398275186204,0.39425436435731476,0.521809911687327,0.49784398275186204,0.5128189663164154,0.49784398275186204,0.49784398275186204,0.38068363053555565,0.6136956313697464,0.4634135528670377,0.3076923076923077,0.6988527724665392,0.33604336043360433,0.3103448275862069,0.17816683831101957,0.11724137931034483,0.7164439279488669,0.416,0.36531734132933535,0.6169154228855721,0.54,0.865,0.17,0.6165,1.9264406,1.3973573,368457792,736915584,176.44204473495483,101895
2,0.6217169737357899,0.5059951181770594,0.6217169737357899,0.5139093018167088,0.6470078105356594,0.6217169737357899,0.6301558602361933,0.6217169737357899,0.6217169737357899,0.4993348729534026,0.7716299544297742,0.5749638161211136,0.3101138647019424,0.8560677328316086,0.34988179669030733,0.3178294573643411,0.5649546827794562,0.17857142857142858,0.9179251477347341,0.926,0.4547726136931534,0.736318407960199,0.41,0.935,0.25,0.699,1.2959955,1.0909615,368457792,1105373376,175.1238238811493,101895
3,0.7702861622892984,0.6814776642882917,0.7702861622892984,0.604750586490597,0.7800626369082647,0.7702861622892984,0.6864308123123939,0.7702861622892984,0.7702861622892984,0.5808672422546335,0.8338517464788622,0.612176008485482,0.5281933256616801,0.985820895522388,0.4154228855721393,0.3880597014925373,0.6758620689655173,0.20279720279720279,0.8699146157709694,0.918,0.6601699150424788,0.8308457711442786,0.26,0.98,0.29,0.866,0.94799525,0.7231407,368457792,1473831168,172.56542372703552,101895
4,0.8169345354762838,0.7399012444466035,0.8169345354762838,0.6259004666537923,0.8251110124587335,0.8169345354762838,0.664425796163752,0.8169345354762838,0.8169345354762838,0.6751700989216506,0.8719758233471829,0.5912335201467435,0.5036045314109165,0.9197751660705161,0.8269230769230769,0.28654970760233917,0.9572192513368984,0.26,0.9721189591078067,0.978,0.8995502248875562,0.21393034825870647,0.49,0.895,0.39,0.7845,0.8521647,0.5898519,368457792,1842288960,175.9694619178772,101895
5,0.8510388083104665,0.7887636113298824,0.8510388083104665,0.6552678603427917,0.8619404382386622,0.8510388083104665,0.7267169187261381,0.8510388083104665,0.8510388083104665,0.6379579404315822,0.8899258588575265,0.6778075208969753,0.6875,0.9826718837339296,0.5740740740740741,0.26666666666666666,0.7558139534883721,0.2425531914893617,0.9564258135686707,0.968,0.8785607196401799,0.30845771144278605,0.52,0.975,0.57,0.867,0.8333749,0.50540644,368457792,2210746752,173.47852635383606,101895
6,0.8872990983927871,0.8384076751300508,0.8872990983927871,0.7181917204618867,0.8952168102936794,0.8872990983927871,0.7653002352768178,0.8872990983927871,0.8872990983927871,0.7023415620318346,0.9113171513052193,0.7203129085615476,0.7879282218597063,0.9713242961418144,0.5542168674698795,0.4696969696969697,0.8976744186046511,0.2616033755274262,0.9739467849223947,0.966,0.9310344827586207,0.6865671641791045,0.31,0.965,0.62,0.8785,0.7464327,0.4330348,368457792,2579204544,174.4308135509491,101895
7,0.9016072128577028,0.8574583605366195,0.9016072128577028,0.6967665354754685,0.9046933474988985,0.9016072128577028,0.7443445052527041,0.9016072128577028,0.9016072128577028,0.7559160093926262,0.9240202638289996,0.592161262993118,0.8546099290780141,0.9672048435923309,0.5924170616113744,0.7,0.9414634146341463,0.2616487455197133,0.9740680713128039,0.964,0.9580209895052474,0.6218905472636815,0.07,0.965,0.73,0.9015,0.60687983,0.37001047,368457792,2947662336,182.24177169799805,101895
8,0.8455507644061152,0.7826382833230979,0.8455507644061152,0.6834369988007316,0.8597465922704032,0.8455507644061152,0.7544672876781224,0.8455507644061152,0.8455507644061152,0.6563628375711367,0.8923402209967425,0.7270234947376474,0.6472919418758256,0.9911137440758294,0.6686390532544378,0.36153846153846153,0.7635658914728682,0.2116788321167883,0.9507119386637459,0.98,0.8360819590204898,0.5621890547263682,0.47,0.985,0.58,0.868,0.6680822,0.52079755,368457792,3316120128,183.16101050376892,101895
9,0.9119952959623677,0.8721114656626131,0.9119952959623677,0.7247524630420804,0.9132398903994426,0.9119952959623677,0.752816468631356,0.9119952959623677,0.9119952959623677,0.7586783490900648,0.9252320309308631,0.6571551647173662,0.7945425361155698,0.9794450154162384,0.665,0.625,0.9641025641025641,0.31100478468899523,0.9716535433070866,0.99,0.9525237381309345,0.6616915422885572,0.15,0.94,0.65,0.9255,0.69143313,0.32362416,368457792,3684577920,180.43106532096863,101895
