epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.38161505292042336,0.10448323338275767,0.38161505292042336,0.14213998400791056,0.2518841187606119,0.38161505292042336,0.24470575692963753,0.38161505292042336,0.38161505292042336,0.10220409225322871,0.18895226460063885,0.0,0.0,0.0,0.17083333333333334,0.0,0.08860759493670886,0.0,0.45598771750255884,0.0,0.0,0.6119402985074627,0.0,0.21,0.0,0.891,2.3158894,1.8860899,368457792,368457792,503.03933477401733,101895
1,0.5411603292826342,0.3686168290580272,0.5411603292826342,0.4329648130038629,0.5387819300265457,0.5411603292826342,0.536191216225576,0.5411603292826342,0.5411603292826342,0.4131224198524914,0.6037501146469926,0.49660716563242935,0.41113490364025695,0.7116935483870968,0.3333333333333333,0.3416149068322981,0.2641221374045801,0.19117647058823528,0.6387816387816387,0.384,0.35282358820589704,0.5970149253731343,0.55,0.865,0.26,0.7445,1.8873818,1.2222095,368457792,736915584,179.6157042980194,101895
2,0.7520580164641317,0.6467230126428127,0.7520580164641317,0.5711835191041903,0.7534899037057291,0.7520580164641317,0.6419732825484912,0.7520580164641317,0.7520580164641317,0.5750966197317782,0.7911241434304097,0.544491031578746,0.6429752066115703,0.9343907714491708,0.5248618784530387,0.3793103448275862,0.48854961832061067,0.2669491525423729,0.7886393659180978,0.778,0.6476761619190404,0.472636815920398,0.11,0.96,0.63,0.8955,1.2678921,0.7341116,368457792,1105373376,176.9728343486786,101895
3,0.8502548020384163,0.7854002293584296,0.8502548020384163,0.6508281758243453,0.8573629114576081,0.8502548020384163,0.70924325470527,0.8502548020384163,0.8502548020384163,0.6622860717138616,0.8781330490109195,0.6070632892101291,0.7358184764991896,0.9471101417666303,0.59375,0.43333333333333335,0.7578125,0.228125,0.940053050397878,0.908,0.8680659670164917,0.472636815920398,0.13,0.97,0.73,0.886,0.95567113,0.5315095,368457792,1473831168,177.4867148399353,101895
4,0.8733829870638965,0.8172818048181972,0.8733829870638965,0.6663577514434508,0.8793615538200659,0.8733829870638965,0.7183894710427302,0.8733829870638965,0.8733829870638965,0.6886737511675598,0.8977558259116478,0.5769796028029731,0.8062283737024222,0.951937984496124,0.6078431372549019,0.36363636363636365,0.9052132701421801,0.2309941520467836,0.9548629768941429,0.932,0.9205397301349325,0.4626865671641791,0.08,0.955,0.79,0.8885,0.8253469,0.45427513,368457792,1842288960,180.92808508872986,101895
5,0.8731869854958839,0.8162547745457015,0.8731869854958839,0.6949223013977145,0.8729830221703511,0.8731869854958839,0.7299493392962367,0.8731869854958839,0.8731869854958839,0.6885654585430824,0.8834733009684556,0.650188155544593,0.8040540540540541,0.9888693614528412,0.5822784810126582,0.4523809523809524,0.7343173431734318,0.36764705882352944,0.8904109589041096,0.952,0.8435782108945528,0.6865671641791045,0.19,0.995,0.5,0.9425,0.801979,0.40054503,368457792,2210746752,176.46973991394043,101895
6,0.9012152097216778,0.8556355357126616,0.9012152097216778,0.6899341570162496,0.9001896388669367,0.9012152097216778,0.714640848019487,0.9012152097216778,0.9012152097216778,0.7082988102137572,0.9077743356958375,0.6078226914021821,0.7986798679867987,0.9668874172185431,0.6666666666666666,0.35,0.9077669902912622,0.3101851851851852,0.9579055441478439,0.968,0.9485257371314343,0.4079601990049751,0.14,0.935,0.67,0.933,0.7033058,0.3254329,368457792,2579204544,179.66992354393005,101895
7,0.8739709917679341,0.8200099766888717,0.873970991767934,0.6878236439966116,0.8879495039683463,0.8739709917679341,0.7428745797676853,0.8739709917679341,0.8739709917679341,0.6807938636381005,0.9129549695007283,0.7034309775090204,0.8120805369127517,0.9798835362625727,0.6062992125984252,0.27510917030567683,0.9353233830845771,0.1889763779527559,0.9678848283499446,0.968,0.9250374812593704,0.38308457711442784,0.63,0.94,0.48,0.874,0.6731422,0.4691208,368457792,2947662336,181.9914791584015,101895
8,0.8857310858486868,0.836019494635469,0.8857310858486868,0.706456690306364,0.8926862270701246,0.8857310858486868,0.7520092555001815,0.8857310858486868,0.8857310858486868,0.6826198818735004,0.9074993744169269,0.7069224073085716,0.7633228840125392,0.9689092762487258,0.601010101010101,0.3333333333333333,0.8628318584070797,0.27102803738317754,0.9779036827195468,0.974,0.9500249875062469,0.5920398009950248,0.33,0.975,0.58,0.863,0.6515746,0.38501883,368457792,3316120128,179.16939544677734,101895
9,0.8967071736573893,0.8513468357476064,0.8967071736573893,0.7371384536819873,0.9036352782304966,0.8967071736573893,0.7808821122487798,0.8967071736573893,0.8967071736573893,0.7139305454808101,0.9165456965348783,0.7562685883856571,0.7868589743589743,0.9825581395348837,0.6388888888888888,0.4140625,0.9142857142857143,0.2935323383084577,0.967327262988752,0.982,0.9290354822588706,0.572139303482587,0.53,0.96,0.59,0.903,0.6421295,0.3726341,368457792,3684577920,184.84296941757202,101895
