epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
1,0.33875710644971574,0.046787733831883616,0.33875710644971574,0.10327391546346108,0.2346286713792901,0.33875710644971574,0.15878571428571428,0.33875710644971574,0.33875710644971574,0.07764165436895186,0.1804847120180427,0.0,0.11088709677419355,0.0,0.0,0.0,0.0,0.0,0.43260448380846944,0.33,0.0,0.0,0.0,0.0,0.0,0.7815,2.3636863,1.9536645,106799360,106799360,61.81206464767456,101895
2,0.07978827680846892,0.019576736756854896,0.07978827680846892,0.03695609668315658,0.07308508925920015,0.07978827680846892,0.15764285714285714,0.07978827680846892,0.07978827680846892,0.09810011675260179,0.2544771274269838,0.0,0.0,0.0,0.04184100418410042,0.0,0.0,0.0,0.6448598130841121,0.0,0.0,1.0,0.0,0.0,0.0,0.1035,1.9417214,1.9580466,106799360,213598720,62.38108277320862,101895
3,0.03920799843168006,0.0,0.03920799843168006,0.010779637265206027,0.002958536006917945,0.03920799843168006,0.14285714285714285,0.03920799843168006,0.03920799843168006,0.005601142633097152,0.0015372671410186262,0.0,0.0,0.0,0.03920799843168006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9475088,1.9503739,106799360,320398080,58.75328993797302,101895
4,0.12330915506763379,0.04583220903016616,0.12330915506763379,0.059238597404745415,0.1326641829525999,0.12330915506763379,0.17285714285714285,0.12330915506763379,0.12330915506763379,0.10752617726331168,0.27948641573279465,0.0,0.0,0.0,0.04428126390743213,0.0,0.0,0.0,0.7084019769357496,0.0,0.0,0.995,0.0,0.0,0.0,0.215,1.9519345,1.9465115,106799360,427197440,58.8455491065979,101895
5,0.38247402470103903,0.10516750915164841,0.38247402470103903,0.17305659328029613,0.25622641535380947,0.38247402470103903,0.2845714285714286,0.38247402470103903,0.38247402470103903,0.14952599040041845,0.1991712876327644,0.0,0.0,0.0,0.3333333333333333,0.0,0.06695156695156695,0.18783068783068782,0.45856634468734114,0.0,0.0,0.145,0.0,0.235,0.71,0.902,1.9365743,1.7580926,106799360,533996800,61.12796664237976,101895
6,0.34973534601058615,0.1547725753549215,0.34973534601058615,0.18521246972791244,0.2726537218124261,0.34973534601058615,0.3352857142857143,0.34973534601058615,0.34973534601058615,0.18309182555217013,0.2602295511852893,0.0,0.3333333333333333,0.0,0.1264559068219634,0.0,0.07366071428571429,0.1977077363896848,0.5504850880344951,0.016,0.0,0.38,0.0,0.495,0.69,0.766,1.7418964,1.4968591,106799360,640796160,58.04400420188904,101895
7,0.33836502646539895,0.1839347457805076,0.33836502646539895,0.2164807436525888,0.2847039401021078,0.33836502646539895,0.38392850003569645,0.33836502646539895,0.33836502646539895,0.31970939258344,0.6574345218305258,0.0,0.0,1.0,0.21715076071922546,0.0,0.07107843137254902,0.3181818181818182,0.6315547378104875,0.0,0.0009995002498750624,0.785,0.0,0.725,0.49,0.6865,1.523529,1.4321152,106799360,747595520,58.255165338516235,101895
8,0.46833954126641836,0.2862604100154079,0.46833954126641836,0.3722695699841793,0.4293988277385267,0.46833954126641836,0.48191839794388525,0.46833954126641836,0.46833954126641836,0.43120722983072346,0.5737942164188945,0.37208244061368223,0.2531328320802005,0.7037037037037037,0.3495702005730659,0.5384615384615384,0.3171355498721228,0.2672811059907834,0.5891656781336496,0.606,0.1424287856071964,0.61,0.07,0.62,0.58,0.745,1.4575856,1.314199,106799360,854394880,58.122788429260254,101895
9,0.5257792589688296,0.364964038203484,0.5257792589688296,0.40663762488379307,0.5228091040885691,0.5257792589688296,0.5164780466909402,0.5257792589688296,0.5257792589688296,0.3903326386216607,0.6002936869525681,0.44073885171772964,0.34023991275899673,0.6810631229235881,0.30078125,0.27586206896551724,0.31650485436893205,0.13559322033898305,0.6822840409956076,0.624,0.3073463268365817,0.77,0.24,0.815,0.16,0.699,1.3763254,1.2166919,106799360,961194240,64.2674651145935,101895
10,0.4961772201529112,0.3407839758687844,0.4961772201529112,0.3768251410064621,0.48513940345514106,0.4961772201529112,0.5261995430856001,0.4961772201529112,0.4961772201529112,0.42998067897617004,0.6582569155856544,0.41321658814989,0.3982608695652174,0.8360323886639676,0.35858585858585856,0.4,0.17936354869816779,0.1774193548387097,0.6602027324812693,0.458,0.2063968015992004,0.71,0.08,0.93,0.55,0.749,1.1670702,1.1265472,106799360,1067993600,64.54985237121582,101895
11,0.523034699078612,0.3887975422543234,0.523034699078612,0.40314888079955213,0.5225012646497404,0.523034699078612,0.54783950881702,0.523034699078612,0.523034699078612,0.41996878884279576,0.7027782331538588,0.4591367941423456,0.3196125907990315,0.875886524822695,0.34793187347931875,0.2716049382716049,0.24081115335868186,0.12650602409638553,0.757428417071853,0.792,0.24687656171914044,0.715,0.22,0.95,0.21,0.701,1.1176447,1.0831372,106799360,1174792960,62.41623044013977,101895
12,0.658694373652225,0.5411795023581295,0.658694373652225,0.5173439661557511,0.6719867033883488,0.658694373652225,0.62617973156279,0.658694373652225,0.658694373652225,0.48975229042451246,0.7576503798750809,0.5839017491082676,0.4167459562321599,0.8848263254113345,0.36826347305389223,0.3025210084033613,0.4681933842239186,0.1511111111111111,0.8366047745358091,0.876,0.48375812093953025,0.615,0.36,0.92,0.34,0.7885,1.0312158,0.97228503,106799360,1281592320,60.498069763183594,101895
13,0.7547539698098412,0.6546156287979841,0.7547539698098412,0.5760251509975812,0.7644111723976401,0.7547539698098412,0.6496653102020418,0.7547539698098412,0.7547539698098412,0.5608911468611698,0.7993169938488112,0.5897947520228842,0.568733153638814,0.9050131926121372,0.4846153846153846,0.26804123711340205,0.6379310344827587,0.20689655172413793,0.8550074738415545,0.844,0.6856571714142928,0.315,0.26,0.925,0.66,0.858,0.8847408,0.9139436,106799360,1388391680,61.746914863586426,101895
14,0.7373064105077436,0.6386751354676183,0.7373064105077436,0.5667583668926962,0.750813839565811,0.7373064105077436,0.6630279503105589,0.7373064105077436,0.7373064105077436,0.5293689930783256,0.8119602334180867,0.6076517767082916,0.5392156862745098,0.9628458498023715,0.3527777777777778,0.2681564245810056,0.5740181268882175,0.14935064935064934,0.8592184368737475,0.88,0.6086956521739131,0.635,0.48,0.95,0.23,0.8575,0.9442668,0.89503634,106799360,1495191040,59.99673533439636,101895
15,0.8176828072926877,0.7398135987025151,0.8176828072926877,0.6590338179756087,0.8191779204593462,0.8176828072926877,0.6980199186121225,0.8176828072926877,0.8176828072926877,0.6524783551276906,0.8469548593186357,0.6240800727556316,0.5772058823529411,0.969758064516129,0.5192307692307693,0.3877551020408163,0.8362831858407079,0.4067796610169492,0.8703358208955224,0.942,0.7211394302848576,0.675,0.19,0.945,0.48,0.933,0.81388706,0.9015714,106799360,1601990400,58.32457780838013,101895
16,0.7986669280533228,0.7187936321340243,0.7986669280533228,0.6152458845361085,0.8162075361257519,0.7986669280533228,0.6868710644677661,0.7986669280533228,0.7986669280533228,0.5779216122340269,0.8517083514176211,0.6360354215097848,0.6298342541436464,0.9333719582850522,0.36176470588235293,0.2529411764705882,0.764,0.15555555555555556,0.9479836353009936,0.912,0.8050974512743628,0.615,0.43,0.955,0.28,0.811,0.8037703,0.8208224,106799360,1708789760,61.148985862731934,101895
17,0.8231719270731229,0.7502755131111133,0.8231719270731228,0.6218076720332494,0.8352865879478683,0.8231719270731229,0.6856560648247305,0.8231719270731229,0.8231719270731229,0.5917755961817993,0.8624661735885786,0.5798134065830547,0.6666666666666666,0.9662322274881516,0.3563218390804598,0.25728155339805825,0.8165938864628821,0.1506849315068493,0.9286480686695279,0.924,0.8150924537731135,0.62,0.53,0.935,0.11,0.8655,0.77576315,0.799238,106799360,1815589120,60.541244983673096,101895
18,0.8290531268378749,0.7573242242643587,0.8290531268378748,0.6403112296308902,0.8354502050146764,0.8290531268378749,0.7043714928250161,0.8290531268378749,0.8290531268378749,0.6114930567117565,0.8593579709401674,0.6340270789679425,0.7406807131280388,0.9858199753390875,0.45857988165680474,0.35789473684210527,0.5418994413407822,0.30864197530864196,0.8869346733668342,0.914,0.7991004497751124,0.775,0.34,0.97,0.25,0.8825,0.63788366,0.82804585,106799360,1922388480,58.83180260658264,101895
