epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_orchards,precision_perm._meadows,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_wheat,recall_corn,recall_orchards,recall_perm._meadows,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8463695,1.4359847,106799360,106799360,63.75180149078369,101895
1,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3787949,1.4396949,106799360,213598720,60.749696254730225,101895
2,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3738527,1.4361694,106799360,320398080,60.014601945877075,101895
3,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3559572,1.43407,106799360,427197440,58.670307636260986,101895
4,0.39207998431680063,0.0,0.3920799843168007,0.08047156336129721,0.22085902510452085,0.39207998431680063,0.14285714285714285,0.39207998431680063,0.39207998431680063,0.05601142633097152,0.15372671410186262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39207998431680063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.376054,1.4153877,106799360,533996800,58.25652503967285,101895
5,0.5028425798862968,0.18209411926416819,0.5028425798862968,0.15846377605408818,0.435006509610961,0.5028425798862968,0.1831800528307275,0.5028425798862968,0.5028425798862968,0.14216049914507084,0.39026043379535136,0.0,0.0,0.47148475909537857,0.0,0.0,0.0,0.0,0.5236387349201174,0.0,0.47926036981509246,0.0,0.0,0.0,0.0,0.803,1.3586128,1.3734231,106799360,640796160,59.4765043258667,101895
6,0.5420505783179769,0.24674642457066187,0.5420505783179769,0.17512680553135299,0.4807608125137688,0.5420505783179769,0.19744342114656957,0.5420505783179769,0.5420505783179769,0.1663454720750929,0.45663617839243054,0.0,0.0,0.4645369284876905,0.0,0.0,0.0,0.0,0.6998813760379596,0.0,0.792103948025987,0.0,0.0,0.0,0.0,0.59,1.3729391,1.3094816,106799360,747595520,60.408303022384644,101895
7,0.5712605371495785,0.3204294227800871,0.5712605371495785,0.21950231032750014,0.5299988730069555,0.5712605371495785,0.22759716570286284,0.5712605371495785,0.5712605371495785,0.22880289642962454,0.5002310401947412,0.0,0.15615615615615616,0.5293631100082713,0.23214285714285715,0.0,0.0,0.0,0.6839581517000872,0.104,0.63968015992004,0.065,0.0,0.0,0.0,0.7845,1.2648127,1.1602267,106799360,854394880,58.92339277267456,101895
8,0.6288962948441482,0.4330697829826756,0.6288962948441482,0.283272003125176,0.596667058718284,0.6288962948441482,0.3133123438280859,0.6288962948441482,0.6288962948441482,0.2736656389826272,0.5765708569264222,0.0,0.3141891891891892,0.6331987891019173,0.2331002331002331,0.0,0.0,0.0,0.7351712614870509,0.186,0.6271864067966016,0.5,0.0,0.0,0.0,0.88,1.1460292,1.0299631,106799360,961194240,61.86840605735779,101895
9,0.6555577337776907,0.4887810210875917,0.6555577337776907,0.3314333146684501,0.6235268538098672,0.6555577337776907,0.3706071607053616,0.6555577337776907,0.6555577337776907,0.3251521463821448,0.6556828689592669,0.0,0.39080459770114945,0.8628127696289906,0.34563758389261745,0.0,0.0,0.0,0.6768100734522561,0.612,0.49975012493753124,0.515,0.0,0.0,0.0,0.9675,1.0133196,0.98250353,106799360,1067993600,60.283292293548584,101895
10,0.7635757694569693,0.6314782161233964,0.7635757694569693,0.40183096936170565,0.7239846991462232,0.7635757694569693,0.41079613764546297,0.7635757694569693,0.7635757694569693,0.5140466903556392,0.7403075585803911,0.0,0.7364864864864865,0.7747053490480508,0.42201834862385323,0.0,0.8648648648648649,0.0,0.8002517834662191,0.218,0.8540729635182409,0.69,0.0,0.16,0.0,0.9535,0.9768195,0.6988492,106799360,1174792960,59.82652401924133,101895
11,0.7861203685551853,0.6734626161852307,0.7861203685551853,0.5194325097847126,0.7638390180753811,0.7861203685551853,0.5154409937888198,0.7861203685551853,0.7861203685551853,0.5786118526645894,0.7787497383773908,0.0,0.8571428571428571,0.8446601941747572,0.44481605351170567,0.0,0.64,0.46875,0.7949138638228056,0.288,0.8260869565217391,0.665,0.0,0.56,0.3,0.969,0.77785707,0.6254668,106799360,1281592320,60.9399197101593,101895
12,0.8235640070574397,0.7303649930842488,0.8235640070574397,0.5578100845107912,0.7984633802188044,0.8235640070574397,0.5615756764474905,0.8235640070574397,0.8235640070574397,0.620185659282548,0.8191388281939507,0.0,0.888,0.8005104210974053,0.47619047619047616,0.0,0.9017341040462428,0.3645833333333333,0.9102812803103782,0.222,0.9405297351324338,0.7,0.0,0.78,0.35,0.9385,0.5876869,0.5466817,106799360,1388391680,60.92260670661926,101895
