epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.013886960144424386,0.0,0.013886960144424386,0.003473186996387885,0.0003858560751437728,0.013886960144424386,0.125,0.013886960144424386,0.013886960144424386,0.0017610594533671456,0.00019564609952697076,0.0,0.0,0.0,0.014088475626937165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.549082,3.1469016,154860928,154860928,99.68962574005127,101960
1,0.01444243855020136,7.051581674266671e-05,0.01444243855020136,0.005639701555388793,0.0016131866381660315,0.01444243855020136,0.125,0.01444243855020136,0.01444243855020136,0.011654313822288044,0.005703302708493569,0.0,0.013869431213224993,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.01,0.0,0.0,3.3309684,3.122607,154860928,309721856,97.10832858085632,101960
2,0.3500902652409388,0.23680948051009265,0.3500902652409388,0.1768491044140381,0.28424194690103305,0.3500902652409388,0.2602431943056943,0.3500902652409388,0.3500902652409388,0.20878482098600656,0.3157216329286405,0.0,0.0,0.5,0.017064846416382253,0.0,0.0,0.12202688728024819,0.6792527821939587,0.3519340519974635,0.0,0.001,0.2,0.0,0.0,0.472,0.8545,0.5544455544455544,3.2671685,2.9030762,154860928,464582784,94.48771095275879,101960
3,0.40522149701430354,0.29319962971788516,0.40522149701430354,0.23988218858334714,0.3829377618406355,0.40522149701430354,0.3122162212787213,0.40522149701430354,0.40522149701430354,0.3807486332947972,0.5153910389866135,0.13683572560643367,0.5,0.2891566265060241,0.05757575757575758,0.5665467625899281,0.09648058252427184,0.36666666666666664,0.8318491356731272,0.33771353482260186,0.01,0.024,0.38,0.1575,0.318,0.044,0.794,0.7702297702297702,3.1895802,2.6299348,154860928,619443712,92.08915209770203,101960
4,0.3039855575614498,0.22997132208772741,0.3039855575614498,0.25294933041237555,0.3425206820749115,0.3039855575614498,0.35084996253746253,0.3039855575614498,0.3039855575614498,0.40419828769823835,0.6239195710257617,0.20186503776350934,0.2222222222222222,0.44753086419753085,0.030112508272667107,0.7125748502994012,0.1506276150627615,0.25268817204301075,0.975,0.4428300694883133,0.02,0.145,0.91,0.119,0.072,0.47,0.3705,0.7002997002997003,2.7001598,2.613831,154860928,774304640,90.06702280044556,101960
5,0.3938341896958756,0.30251257429940015,0.3938341896958756,0.2537485858164774,0.3590851320304445,0.3938341896958756,0.37277509990009994,0.3938341896958756,0.3938341896958756,0.3916056462657932,0.6289697826185204,0.18957179582980208,0.02030456852791878,0.5862068965517241,0.06581059390048154,0.79375,0.1836734693877551,0.2281119714115545,0.8856432566811684,0.36934441366574333,0.16,0.017,0.41,0.0635,0.054,0.766,0.7125,0.7992007992007992,2.6877284,2.3770165,154860928,929165568,92.51086902618408,101960
6,0.3841133175947785,0.2973278381492762,0.38411331759477857,0.28955765216491636,0.38993363314390345,0.3841133175947785,0.40346622127872134,0.3841133175947785,0.3841133175947785,0.37140238618264854,0.6129850664847174,0.2704421410301306,0.031746031746031744,0.3827956989247312,0.062,0.7768361581920904,0.13074204946996468,0.23237885462555066,0.9315589353612167,0.42316136114160263,0.04,0.178,0.62,0.1375,0.148,0.844,0.49,0.7702297702297702,2.2559354,2.3219566,154860928,1084026496,94.82079100608826,101960
7,0.49201499791695597,0.40731352778041285,0.49201499791695597,0.41912422058716003,0.5424418025061513,0.49201499791695597,0.49423183066933063,0.49201499791695597,0.49201499791695597,0.4851375704390889,0.6819347910512961,0.43542833818267007,0.09025270758122744,0.40676923076923077,0.05276705276705277,0.7310774710596616,0.31627906976744186,0.6884422110552764,0.9288461538461539,0.6666666666666666,0.25,0.661,0.82,0.4105,0.136,0.548,0.483,0.6453546453546454,2.3494806,2.2694788,154860928,1238887424,90.24060678482056,101960
8,0.48021108179419525,0.3992579047297079,0.48021108179419525,0.3786266154658423,0.5219891820906662,0.48021108179419525,0.4832315809190809,0.48021108179419525,0.48021108179419525,0.4511138911456062,0.6852264173781178,0.37834277431501534,0.026785714285714284,0.7272727272727273,0.08488372093023255,0.7378048780487805,0.18536585365853658,0.25877192982456143,0.9094922737306843,0.6785340314136126,0.18,0.368,0.73,0.3025,0.076,0.944,0.618,0.6473526473526473,2.3643618,2.128926,154860928,1393748352,91.48922061920166,101960
9,0.3024579919455631,0.2331013008239472,0.3024579919455631,0.32705595667398213,0.3719787155062455,0.3024579919455631,0.3807692932067932,0.3024579919455631,0.3024579919455631,0.5072058972218959,0.667444616099339,0.28348921485406614,0.13513513513513514,0.43946540880503143,0.026243093922651933,0.8155844155844156,0.2689655172413793,0.8664383561643836,0.6451187335092349,0.8606965174129353,0.05,0.559,0.95,0.157,0.234,0.506,0.2445,0.34565434565434566,2.3986382,2.6298368,154860928,1548609280,90.78136253356934,101960
