epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2777392028884877,0.0,0.2777392028884877,0.05434191935659167,0.120743050924242,0.2777392028884877,0.125,0.2777392028884877,0.2777392028884877,0.03471740036106096,0.07713906482113253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777392028884877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1818695,1.7180582,154860928,154860928,90.43804860115051,101960
1,0.013886960144424386,0.0,0.013886960144424386,0.003424188467333242,0.0003804125501828348,0.013886960144424386,0.125,0.013886960144424386,0.013886960144424386,0.0017358700180530482,0.00019284766205283135,0.0,0.0,0.0,0.013886960144424386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8948764,1.7077451,154860928,309721856,83.9049072265625,101960
2,0.32537147618386336,0.19092136941992943,0.32537147618386336,0.15092131982556053,0.2552674470103515,0.32537147618386336,0.1868966658341658,0.32537147618386336,0.32537147618386336,0.2559253084972661,0.35217502509786586,0.0,0.0,0.9,0.0030015007503751876,0.0,0.0,0.07181719260065289,0.5266739248775177,0.5459098497495827,0.0,0.009,0.06,0.0,0.0,0.132,0.9675,0.32667332667332666,1.703207,1.7062045,154860928,464582784,84.07473516464233,101960
3,0.4316067212887099,0.3136482652671596,0.4316067212887099,0.2523758939476995,0.41328342806733576,0.4316067212887099,0.32183984765234763,0.4316067212887099,0.4316067212887099,0.2504955461390509,0.441748098539676,0.0,0.0,0.0,0.03493862134088763,0.4785323965651834,0.0,0.30293159609120524,0.8811354228267297,0.30642633228840127,0.0,0.0,0.37,0.3065,0.0,0.372,0.745,0.7812187812187812,1.9052123,1.3539925,154860928,619443712,85.84226846694946,101960
4,0.4796556033884183,0.3748212398634624,0.4796556033884183,0.3217042001220466,0.4685836295711591,0.4796556033884183,0.3959677197802198,0.4796556033884183,0.4796556033884183,0.35000856623916454,0.5437411673318087,0.27432771150045965,0.04716981132075472,0.3663663663663664,0.08095238095238096,0.6075156576200418,0.18333333333333332,0.2817493692178301,0.8553696708041014,0.3776119402985075,0.15,0.122,0.34,0.291,0.044,0.67,0.7925,0.7582417582417582,1.3496435,1.2106514,154860928,774304640,89.72534346580505,101960
5,0.5175670045826969,0.4229611787406612,0.5175670045826969,0.35278870640634746,0.5061079205642482,0.5175670045826969,0.43253084415584414,0.5175670045826969,0.5175670045826969,0.3970022424616907,0.6040369144573041,0.257425638905054,0.037037037037037035,0.41383495145631066,0.07398568019093078,0.7387640449438202,0.2857142857142857,0.288021534320323,0.8211586901763224,0.5175017158544956,0.11,0.341,0.31,0.263,0.012,0.856,0.815,0.7532467532467533,1.3845545,1.0999172,154860928,929165568,88.04928278923035,101960
6,0.48423830023607833,0.4037147606744689,0.48423830023607833,0.38420366718133125,0.5298462397131729,0.48423830023607833,0.46954545454545454,0.48423830023607833,0.48423830023607833,0.4674695051888491,0.6884366088201586,0.3559629521074059,0.030120481927710843,0.644927536231884,0.11692307692307692,0.7428571428571429,0.25675675675675674,0.3477911646586345,0.9087403598971723,0.6916395222584147,0.55,0.267,0.38,0.312,0.038,0.866,0.707,0.6363636363636364,1.1912558,1.0731411,154860928,1084026496,84.19694638252258,101960
7,0.5732537147618386,0.49161610206479645,0.5732537147618386,0.4486983914650599,0.6053463122483137,0.5732537147618386,0.541980457042957,0.5732537147618386,0.5732537147618386,0.5354003345949045,0.7135633972873421,0.43262359503880055,0.05667060212514758,0.7537537537537538,0.06998813760379596,0.6987854251012146,0.6216216216216216,0.5225885225885226,0.8417618270799347,0.7180327868852459,0.48,0.502,0.59,0.4315,0.046,0.856,0.774,0.6563436563436563,1.1689034,0.9389862,154860928,1238887424,86.49703574180603,101960
8,0.579780586029718,0.49613379772712685,0.579780586029718,0.4544281350927758,0.6113044535987788,0.579780586029718,0.5448585789210789,0.579780586029718,0.579780586029718,0.498465633977892,0.6992938772444252,0.469136974341892,0.075,0.8948453608247423,0.07657142857142857,0.6749663526244953,0.23529411764705882,0.4379210779595765,0.8451977401129943,0.7479289940828402,0.36,0.434,0.67,0.5015,0.104,0.91,0.748,0.6313686313686314,0.9754813,0.91001177,154860928,1393748352,91.32735633850098,101960
9,0.6433828634911818,0.567027003600513,0.6433828634911818,0.5236785611163155,0.6757580724127221,0.6433828634911818,0.5928597027972028,0.6433828634911818,0.6433828634911818,0.5517876985534116,0.7353141102863764,0.5478094456688601,0.0998003992015968,0.8818681318681318,0.07280219780219781,0.69377990430622,0.3443223443223443,0.6531204644412192,0.8401506996770721,0.8284574468085106,0.5,0.642,0.53,0.58,0.188,0.9,0.7805,0.6223776223776224,0.8729185,0.8191937,154860928,1548609280,93.3155369758606,101960
10,0.6065824191084571,0.5340824473855501,0.6065824191084571,0.49107138201347095,0.630260530632173,0.6065824191084571,0.5866494755244755,0.6065824191084571,0.6065824191084571,0.5147100571633746,0.7412052826341284,0.539377974635819,0.08070866141732283,0.9453717754172989,0.13486005089058525,0.8165137614678899,0.20063191153238547,0.4159369527145359,0.9049025398700532,0.6187548039969254,0.41,0.623,0.53,0.356,0.254,0.95,0.766,0.8041958041958042,0.93782634,0.8100662,154860928,1703470208,88.95663523674011,101960
11,0.6256075545063186,0.5607896787781661,0.6256075545063186,0.537704299126606,0.6627759197973688,0.6256075545063186,0.6572142232767233,0.6256075545063186,0.6256075545063186,0.5875027508034403,0.789171239985048,0.5896271528495877,0.06186317321688501,0.9047619047619048,0.13228699551569506,0.8335483870967741,0.4541284403669725,0.6896046852122987,0.895124716553288,0.7287037037037037,0.85,0.779,0.59,0.323,0.198,0.942,0.7895,0.7862137862137862,0.894564,0.6985714,154860928,1858331136,87.30071306228638,101960
12,0.621302596861547,0.5521238627122662,0.621302596861547,0.5530142557889197,0.6687444426620038,0.621302596861547,0.6215420829170829,0.621302596861547,0.621302596861547,0.594350965542749,0.7746140494029408,0.5854186438777128,0.17194570135746606,0.7906523855890945,0.05314685314685315,0.8459893048128342,0.3844444444444444,0.875751503006012,0.8090561920349154,0.8238213399503722,0.38,0.812,0.76,0.3955,0.346,0.874,0.7415,0.6633366633366633,0.7813108,0.77121013,154860928,2013192064,89.759202003479,101960
13,0.645188168309957,0.5790945800945377,0.645188168309957,0.5546263984660494,0.6920985512200706,0.645188168309957,0.6719208291708292,0.645188168309957,0.645188168309957,0.5778833984053986,0.7868084527503894,0.6447839892676053,0.15577889447236182,0.9478155339805825,0.08358208955223881,0.7838953888506538,0.33131313131313134,0.5575117370892019,0.9178370786516854,0.8453333333333334,0.62,0.781,0.84,0.5695,0.328,0.95,0.6535,0.6333666333666333,0.75310564,0.6509339,154860928,2168052992,86.26155662536621,101960
14,0.7111512289959728,0.6496795771067083,0.7111512289959728,0.6019704254842531,0.7409574052938813,0.7111512289959728,0.6924678446553447,0.7111512289959728,0.7111512289959728,0.628836161600944,0.7993929797114299,0.6580403281825572,0.11143695014662756,0.8792221084953941,0.11753371868978806,0.8036853295535081,0.5378787878787878,0.9125,0.8525012893243941,0.8159311087190527,0.76,0.859,0.61,0.567,0.284,0.876,0.8265,0.7572427572427572,0.7305144,0.6144912,154860928,2322913920,84.73778057098389,101960
15,0.6718511317872518,0.6095616709879002,0.6718511317872518,0.6045958147336903,0.7166300256259212,0.6718511317872518,0.649834478021978,0.6718511317872518,0.6718511317872518,0.6650732186350723,0.8191913012455028,0.6083469264651277,0.5510204081632653,0.9420289855072463,0.05559906029757244,0.9308943089430894,0.4079173838209983,0.8616822429906542,0.8275299238302503,0.7439134355275022,0.27,0.78,0.71,0.458,0.474,0.922,0.7605,0.8241758241758241,0.68033767,0.6985967,154860928,2477774848,84.45841813087463,101960
16,0.7398972364949312,0.6854035516033326,0.7398972364949312,0.6415998469731695,0.7660993934592015,0.7398972364949312,0.6991372377622378,0.7398972364949312,0.7398972364949312,0.6557674709357862,0.8241136194515591,0.6661204671466785,0.44285714285714284,0.9553571428571429,0.10658307210031348,0.8528708133971292,0.38928067700987307,0.85451197053407,0.9511305616338439,0.6935483870967742,0.31,0.856,0.68,0.713,0.552,0.928,0.652,0.9020979020979021,0.7136757,0.5744052,154860928,2632635776,85.48276138305664,101960
17,0.7055964449382031,0.6507049910400333,0.7055964449382031,0.6358225067195289,0.7493810261672186,0.7055964449382031,0.7275783591408592,0.7055964449382031,0.7055964449382031,0.6507077404845345,0.841876569975036,0.7120642909877757,0.2887700534759358,0.9303062302006336,0.07809523809523809,0.9233870967741935,0.42035398230088494,0.9011857707509882,0.9235127478753541,0.7400508044030483,0.54,0.881,0.82,0.5725,0.57,0.912,0.652,0.8731268731268731,0.62954,0.54668224,154860928,2787496704,88.38286304473877,101960
18,0.7139286210248577,0.656671243747711,0.7139286210248577,0.6347504682433907,0.7561966241103133,0.7139286210248577,0.7294640984015984,0.7139286210248577,0.7139286210248577,0.6536067673553734,0.832551166387282,0.7116396183613455,0.22932330827067668,0.947603121516165,0.08463035019455253,0.8065934065934066,0.5067264573991032,0.8715083798882681,0.9305772230889235,0.8518918918918919,0.61,0.85,0.87,0.734,0.452,0.936,0.5965,0.7872127872127872,0.5427104,0.53491926,154860928,2942357632,85.43630266189575,101960
19,0.592834328565477,0.514634807458934,0.592834328565477,0.5268292888075392,0.6501848415441982,0.592834328565477,0.5798266733266734,0.592834328565477,0.592834328565477,0.6503304809879404,0.7863263208743756,0.5001630019205168,0.04666332162568992,0.967479674796748,0.24836601307189543,0.6261957321559971,0.5714285714285714,0.9462616822429907,0.8569284642321161,0.9393203883495146,0.93,0.714,0.38,0.4255,0.136,0.81,0.8565,0.3866133866133866,0.60787755,0.808975,154860928,3097218560,90.28704166412354,101960
20,0.744896542146924,0.6907997269886237,0.7448965421469239,0.632163854847011,0.7655660042472895,0.744896542146924,0.7200161088911089,0.744896542146924,0.744896542146924,0.6235008459734426,0.818058520541671,0.6997971772026789,0.16704805491990846,0.9733333333333334,0.1505016722408027,0.8895658796648895,0.4142640364188164,0.7745098039215687,0.892722371967655,0.7260616153205662,0.73,0.803,0.45,0.584,0.546,0.948,0.828,0.8711288711288712,0.9780823,0.5448737,154860928,3252079488,89.34987831115723,101960
21,0.7490626301902513,0.6972976756660398,0.7490626301902513,0.6611101616340229,0.7788374593403324,0.7490626301902513,0.7409507367632369,0.7490626301902513,0.7490626301902513,0.6617943879594188,0.8374415794870921,0.7264773893748198,0.3433734939759036,0.9291754756871036,0.09765625,0.9077490774907749,0.4724689165186501,0.8882466281310212,0.9048463356973995,0.7508389261744967,0.57,0.879,0.75,0.615,0.532,0.922,0.7655,0.8941058941058941,0.5687747,0.514099,154860928,3406940416,87.29719018936157,101960
22,0.6339397305929731,0.5712911952586954,0.6339397305929731,0.5779136364599116,0.6879677325591181,0.6339397305929731,0.6683332292707292,0.6339397305929731,0.6339397305929731,0.6624457579411689,0.8203020579748029,0.6027413257230775,0.052980132450331126,0.9704491725768322,0.20502092050209206,0.7154899894625922,0.782312925170068,0.8388278388278388,0.9339098208770846,0.800575263662512,0.96,0.821,0.49,0.3395,0.23,0.916,0.756,0.8341658341658341,0.5024585,0.6193069,154860928,3561801344,88.82037210464478,101960
23,0.7319816692126093,0.6768377636949001,0.7319816692126093,0.6276151801573069,0.7549025691206,0.7319816692126093,0.7335761113886113,0.7319816692126093,0.7319816692126093,0.6555705372119803,0.8363999235340522,0.6984843619165964,0.11637347767253045,0.9359916054564533,0.13470319634703196,0.9223968565815324,0.6179401993355482,0.9031620553359684,0.8417025346724055,0.7722943722943723,0.86,0.892,0.59,0.4695,0.372,0.914,0.88,0.8911088911088911,0.609087,0.5505848,154860928,3716662272,88.02383017539978,101960
24,0.7151784474378559,0.6613737564283497,0.7151784474378559,0.6257363184290953,0.7488863064674879,0.7151784474378559,0.7457593656343657,0.7151784474378559,0.7151784474378559,0.6392486930126875,0.8417853290184218,0.723083234383745,0.10615199034981906,0.9660249150622876,0.15,0.9068441064638784,0.4709090909090909,0.8644688644688645,0.9383770591824283,0.7112135176651305,0.88,0.853,0.6,0.477,0.518,0.944,0.769,0.9250749250749251,0.5136184,0.49300465,154860928,3871523200,90.4774796962738,101960
25,0.7615608943202333,0.7072222038836593,0.7615608943202333,0.6617846938814899,0.7860084465906271,0.7615608943202333,0.7404707167832167,0.7615608943202333,0.7615608943202333,0.6780988928270979,0.8351892380368396,0.7195065488231517,0.2723735408560311,0.927007299270073,0.11278195488721804,0.7612009237875289,0.6069182389937107,0.916015625,0.9354194407456724,0.8930741190765492,0.7,0.889,0.75,0.824,0.386,0.938,0.7025,0.7342657342657343,0.5244796,0.49387878,154860928,4026384128,84.40912699699402,101960
26,0.7847521177614221,0.7369882956015399,0.7847521177614221,0.6852021529612102,0.8055582578900554,0.7847521177614221,0.7491363636363636,0.7847521177614221,0.7847521177614221,0.6809323492970827,0.8426236221167447,0.7344912720879272,0.3877551020408163,0.9505907626208379,0.12321428571428572,0.8915956151035322,0.5343035343035343,0.9125248508946322,0.9112286890064668,0.7362459546925566,0.57,0.885,0.69,0.732,0.514,0.918,0.775,0.9090909090909091,0.5982952,0.5203526,154860928,4181245056,90.56167840957642,101960
27,0.603110679072351,0.5380543191139531,0.603110679072351,0.5883214084376567,0.6665101817625059,0.603110679072351,0.6358966033966034,0.603110679072351,0.603110679072351,0.678949332931627,0.8186357455589522,0.5930275493014782,0.546875,0.81282316442606,0.0448814926878467,0.9369369369369369,0.5188172043010753,0.9596412556053812,0.7974603174603174,0.8141592920353983,0.35,0.786,0.89,0.364,0.386,0.856,0.628,0.8271728271728271,0.42863786,0.7762787,154860928,4336105984,91.66303253173828,101960
28,0.7390640188862658,0.6851581335500553,0.7390640188862658,0.6317157544062335,0.7632884559356874,0.7390640188862658,0.7217558691308692,0.7390640188862658,0.7390640188862658,0.6375630519735791,0.8320598160764873,0.6957676943201054,0.22336769759450173,0.9432314410480349,0.11208406304728546,0.9307004470938898,0.4947089947089947,0.858195211786372,0.9382165605095542,0.6,0.65,0.864,0.64,0.6245,0.374,0.932,0.7365,0.9530469530469531,0.8027952,0.59598136,154860928,4490966912,87.42253756523132,101960
29,0.7698930704068879,0.7216559738858005,0.7698930704068879,0.6661599180171647,0.7930857748842155,0.7698930704068879,0.7647627372627372,0.7698930704068879,0.7698930704068879,0.6530200343176702,0.8467982916787625,0.7544351222249666,0.23948220064724918,0.9601328903654485,0.1390728476821192,0.9272058823529412,0.4370477568740955,0.8371681415929203,0.9234752589182968,0.760575296108291,0.74,0.867,0.63,0.6305,0.604,0.946,0.8025,0.8981018981018981,0.534192,0.47504967,154860928,4645827840,85.3756000995636,101960
30,0.7482294125815859,0.696589092998346,0.7482294125815859,0.6502513670435666,0.7763848965214943,0.7482294125815859,0.7581474775224775,0.7482294125815859,0.7482294125815859,0.6426234654659643,0.8369020739105455,0.7463961929597651,0.168,0.9684329199549042,0.17484662576687116,0.86608442503639,0.375,0.8252595155709342,0.9273153575615475,0.8360488798370672,0.84,0.859,0.57,0.595,0.636,0.954,0.791,0.8201798201798202,0.40073442,0.491701,154860928,4800688768,88.59593033790588,101960
31,0.7364254964588252,0.6858522497004591,0.7364254964588252,0.6620360539468769,0.7773649049124105,0.7364254964588252,0.7693286088911089,0.7364254964588252,0.7364254964588252,0.6670842298813234,0.8613276237390551,0.7612581953422857,0.2979591836734694,0.9618736383442266,0.0922722029988466,0.9289232934553132,0.41284403669724773,0.9085603112840467,0.9479472140762464,0.7862939585211902,0.73,0.883,0.8,0.66,0.63,0.934,0.6465,0.8711288711288712,0.54433906,0.4657645,154860928,4955549696,89.17847943305969,101960
32,0.7214275795028469,0.666430627461944,0.7214275795028467,0.6333000775909502,0.7576515497121635,0.7214275795028469,0.7473929820179821,0.7214275795028469,0.7214275795028469,0.6569975699765418,0.8453569843398658,0.7294376779843074,0.13119533527696792,0.981042654028436,0.10526315789473684,0.915651358950328,0.5162523900573613,0.9352818371607515,0.8535457348406988,0.8177480916030534,0.9,0.828,0.64,0.4885,0.54,0.896,0.8305,0.8561438561438561,0.3965484,0.5018615,154860928,5110410624,85.86335802078247,101960
33,0.6980974864602139,0.6432170503105817,0.6980974864602139,0.6317974979844687,0.7379750313616805,0.6980974864602139,0.7508823676323676,0.6980974864602139,0.6980974864602139,0.6499922126274834,0.8504549341690143,0.7367656742976794,0.24916943521594684,0.9794685990338164,0.08512931034482758,0.9050203527815468,0.39947437582128775,0.9119373776908023,0.9750479846449136,0.6946902654867256,0.75,0.811,0.79,0.667,0.608,0.932,0.508,0.9410589410589411,0.5105586,0.52017105,154860928,5265271552,85.9168107509613,101960
34,0.7616997639216776,0.7126742890384229,0.7616997639216775,0.6770532137067546,0.7905661264254742,0.7616997639216776,0.7731386113886114,0.7616997639216776,0.7616997639216776,0.6700609499742144,0.8528010746396073,0.7679331724419768,0.3244444444444444,0.9700460829493087,0.13059701492537312,0.9077340569877883,0.3923766816143498,0.9221556886227545,0.9388280746941404,0.7743055555555556,0.73,0.842,0.7,0.669,0.7,0.924,0.729,0.8911088911088911,0.52804035,0.4682756,154860928,5420132480,85.03738832473755,101960
