epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.3213442577419803,0.20147575226504033,0.3213442577419803,0.15777810130271921,0.2653386177015659,0.3213442577419803,0.22621832715761503,0.3213442577419803,0.3213442577419803,0.1771616663580187,0.29818252999331274,0.0,0.0,0.0,0.05,0.0,0.06699346405228758,0.18181818181818182,0.8983882270497547,0.22009345794392524,0.0,0.0,0.06,0.0,0.164,0.004008016032064128,0.6406796601699151,0.9410589410589411,2.4011786,1.8168607,416522496,416522496,347.5655930042267,101960
1,0.5099291765032634,0.43065773415196995,0.5099291765032634,0.4263865228989743,0.5591719290019582,0.5099291765032634,0.5214823378865203,0.5099291765032634,0.5099291765032634,0.4722257950083164,0.6918610539549634,0.48628068825817006,0.05176470588235294,0.6050632911392405,0.06772009029345373,0.7473560517038778,0.19298245614035087,0.4498448810754912,0.8846657929226737,0.7784090909090909,0.44,0.478,0.6,0.318,0.242,0.8717434869739479,0.6746626686656672,0.5474525474525475,1.9210542,1.3700227,416522496,833044992,219.03800702095032,101960
2,0.6439383418969588,0.5788330303088022,0.6439383418969588,0.554528316244008,0.6768788106372347,0.6439383418969588,0.6596637766903881,0.6439383418969588,0.6439383418969588,0.5722437187878683,0.7731770812207935,0.6297067815667682,0.08333333333333333,0.6559220389805097,0.10305958132045089,0.8466195761856711,0.38266384778012685,0.8186528497409327,0.9106217616580311,0.7770767613038907,0.59,0.875,0.64,0.4195,0.362,0.9498997995991983,0.7026486756621689,0.7382617382617382,1.4048398,0.9793979,416522496,1249567488,211.23393082618713,101960
3,0.6944868768226635,0.6364232977248239,0.6944868768226635,0.6223364659858219,0.7357150580985408,0.6944868768226635,0.7194142114018311,0.6944868768226635,0.6944868768226635,0.6332667829431491,0.8259117039871506,0.7101883787168057,0.23412698412698413,0.9509476031215162,0.10644677661169415,0.8523054755043228,0.2916307161345988,0.9092664092664092,0.9351032448377581,0.7863070539419087,0.59,0.853,0.71,0.5915,0.676,0.9438877755511023,0.6336831584207896,0.7572427572427572,0.9929349,0.8514354,416522496,1666089984,215.82234025001526,101960
4,0.6804610470767949,0.6232143214887254,0.6804610470767949,0.607702475397935,0.7249105071230308,0.6804610470767949,0.7354689818463468,0.6804610470767949,0.6804610470767949,0.6272552783712683,0.8326869116890894,0.7213159173404811,0.1251840942562592,0.979064039408867,0.1064891846921797,0.8658536585365854,0.35016465422612514,0.8888888888888888,0.9395017793594306,0.7628959276018099,0.85,0.795,0.64,0.497,0.638,0.9619238476953907,0.6596701649175413,0.8421578421578422,0.9173765,0.8251095,416522496,2082612480,208.10426783561707,101960
5,0.7262880155533954,0.6739843020956955,0.7262880155533954,0.6446616405404961,0.7649137642247089,0.7262880155533954,0.7699013446383947,0.7262880155533954,0.7262880155533954,0.6513479217124079,0.8493973622043995,0.7605715653443329,0.14897260273972604,0.9652551574375678,0.13320079522862824,0.8734177215189873,0.3900789177001127,0.938,0.9494809688581315,0.81237721021611,0.87,0.889,0.67,0.5865,0.692,0.9398797595190381,0.6856571714142928,0.8261738261738262,0.8124287,0.7459064,416522496,2499134976,218.82409644126892,101960
6,0.7247604499375087,0.6727384307406872,0.7247604499375087,0.6399704092584346,0.764697046346043,0.7247604499375087,0.7568942233201752,0.7247604499375087,0.7247604499375087,0.653775071613897,0.8550542712459164,0.7412234491587981,0.12054794520547946,0.9693989071038251,0.11740041928721175,0.9025239338555265,0.43333333333333335,0.9435483870967742,0.9263157894736842,0.8171318575553417,0.88,0.887,0.56,0.5185,0.676,0.9378757515030061,0.7476261869065467,0.8481518481518482,0.7834695,0.73161626,416522496,2915657472,222.3154444694519,101960
7,0.7293431467851688,0.6783582939552966,0.7293431467851688,0.6557231361057232,0.7697657988904967,0.7293431467851688,0.7759628108308427,0.7293431467851688,0.7293431467851688,0.6641877107598289,0.8594934133396065,0.7676167273498735,0.21428571428571427,0.952232606438214,0.09577114427860696,0.900907187718074,0.43516209476309226,0.9647302904564315,0.9530148786217698,0.7973977695167286,0.78,0.917,0.77,0.6455,0.698,0.9318637274549099,0.6081959020489756,0.8571428571428571,0.7427742,0.69869477,416522496,3332179968,217.77244782447815,101960
8,0.7185113178725177,0.6654800754476663,0.7185113178725175,0.6387974483625757,0.7652657697044847,0.7185113178725177,0.7487035774104773,0.7185113178725177,0.7185113178725177,0.6584752517008405,0.8544930193824557,0.7356996201437455,0.09865470852017937,0.9539267015706806,0.13024282560706402,0.8614072494669509,0.4830917874396135,0.9719222462203023,0.9567131327953045,0.8118433619866284,0.88,0.911,0.59,0.606,0.6,0.9018036072144289,0.6516741629185407,0.8491508491508492,0.6992486,0.73688024,416522496,3748702464,209.39214253425598,101960
9,0.7576725454797945,0.7090465640297521,0.7576725454797945,0.6731202842896767,0.7878084205313874,0.7576725454797945,0.776449293413577,0.7576725454797945,0.7576725454797945,0.6710286811171997,0.859032500561951,0.7696118249493896,0.26811594202898553,0.9275220372184133,0.125,0.8919089759797725,0.3933189655172414,0.9823399558498896,0.9665907365223994,0.8134328358208955,0.74,0.947,0.69,0.7055,0.73,0.8917835671342685,0.6361819090454772,0.8711288711288712,0.68074465,0.658676,416522496,4165224960,213.97530269622803,101960
10,0.7293431467851688,0.6786947700257038,0.7293431467851688,0.6469284823031064,0.7703306115536493,0.7293431467851688,0.7667011673517329,0.7293431467851688,0.7293431467851688,0.661346071377486,0.8639801123172378,0.7558533788442949,0.13198757763975155,0.9264705882352942,0.11439114391143912,0.8998579545454546,0.43803680981595094,0.9933035714285714,0.9675118858954042,0.8192090395480226,0.85,0.945,0.62,0.6335,0.714,0.8917835671342685,0.6101949025487257,0.8691308691308691,0.66313475,0.7344308,416522496,4581747456,212.34841346740723,101960
11,0.7423968893209276,0.6924677611983251,0.7423968893209276,0.6581416156343279,0.7803187202850578,0.7423968893209276,0.7793325138090841,0.7423968893209276,0.7423968893209276,0.6652884256902813,0.8596642938709542,0.7692402195305038,0.1556350626118068,0.9694656488549618,0.1118421052631579,0.8899018232819075,0.5152,0.9555555555555556,0.9535714285714286,0.771135781383433,0.87,0.889,0.68,0.6345,0.644,0.9478957915831663,0.6671664167916042,0.9020979020979021,0.6570897,0.6594803,416522496,4998269952,206.80867505073547,101960
12,0.7254547979447299,0.673039757482583,0.7254547979447299,0.656950935770025,0.7639072331543281,0.7254547979447299,0.7890977311690727,0.7254547979447299,0.7254547979447299,0.6760578537309889,0.8633795214516898,0.7770403948064533,0.1990521327014218,0.9629237288135594,0.10344827586206896,0.8334246575342465,0.46895640686922063,0.9892008639308856,0.9757751937984496,0.8756815703380589,0.84,0.909,0.87,0.7605,0.71,0.9178356713426854,0.5032483758120939,0.8021978021978022,0.6722206,0.66776186,416522496,5414792448,212.377587556839,101960
13,0.7653103735592279,0.7188630532264013,0.7653103735592279,0.6930545870330371,0.800148250776625,0.7653103735592279,0.7974556184055168,0.7653103735592279,0.7653103735592279,0.6953703694666789,0.8750967114744916,0.7897140896239087,0.3486238532110092,0.9137931034482759,0.09903381642512077,0.925512104283054,0.5014492753623189,0.9956427015250545,0.9637509850275807,0.8151571164510166,0.76,0.954,0.82,0.7455,0.692,0.9158316633266533,0.6111944027986007,0.8811188811188811,0.5849375,0.6204348,416522496,5831314944,219.80170392990112,101960
14,0.7398972364949312,0.6911737333546888,0.7398972364949312,0.677450435639145,0.7766068475831995,0.7398972364949312,0.7844031385042516,0.7398972364949312,0.7398972364949312,0.6861140705793527,0.8748672881501292,0.7733395514951822,0.3675675675675676,0.9572916666666667,0.10090556274256145,0.9271613342409802,0.37429643527204504,0.9694501018329938,0.9765217391304348,0.8157181571815718,0.68,0.919,0.78,0.681,0.798,0.9539078156312625,0.5612193903048476,0.9020979020979021,0.6052274,0.6582382,416522496,6247837440,223.23575496673584,101960
15,0.752256631023469,0.701946076501252,0.752256631023469,0.660211957293571,0.7911299350079585,0.752256631023469,0.7708422806077226,0.752256631023469,0.752256631023469,0.6787773037381329,0.8652978803929973,0.756137790504258,0.1334355828220859,0.9609856262833676,0.12089810017271158,0.8321487151448879,0.5816091954022988,0.9630390143737166,0.9689922480620154,0.8691099476439791,0.87,0.936,0.7,0.761,0.506,0.9398797595190381,0.624687656171914,0.8291708291708292,0.59235674,0.6459735,416522496,6664359936,207.94018530845642,101960
16,0.7672545479794473,0.7193374593716508,0.7672545479794473,0.6755703184600852,0.7960534268998752,0.7672545479794473,0.7892766632965206,0.7672545479794473,0.7672545479794473,0.6755379427667405,0.8600983969787958,0.7786133075823071,0.1638418079096045,0.9205426356589147,0.14855875831485588,0.8445308162132149,0.5190082644628099,0.9853862212943633,0.9772549019607844,0.8451801363193768,0.87,0.95,0.67,0.7605,0.628,0.9458917835671342,0.6226886556721639,0.8671328671328671,0.66899437,0.64456916,416522496,7080882432,214.94641613960266,101960
17,0.7890570754061936,0.7442184306221613,0.7890570754061937,0.7026341549559749,0.8151259060722928,0.7890570754061936,0.8064034767080117,0.7890570754061936,0.7890570754061936,0.699484181446625,0.8722542755180939,0.7990685229597375,0.2743682310469314,0.9506048387096774,0.12939297124600638,0.8495620814013395,0.5642737896494157,0.9854469854469855,0.9730561970746728,0.8691683569979716,0.76,0.943,0.81,0.8245,0.676,0.9498997995991983,0.6316841579210395,0.8561438561438561,0.6919286,0.57172185,416522496,7497404928,209.48541045188904,101960
18,0.7716983752256631,0.7250047700753972,0.7716983752256632,0.6973071659564772,0.8026970113625058,0.7716983752256631,0.7958409071685681,0.7716983752256631,0.7716983752256631,0.6974290863247481,0.8729008376971019,0.7901574560619236,0.3592233009708738,0.9665587918015103,0.11645962732919254,0.8740906547285954,0.434640522875817,0.9852941176470589,0.9694596711041503,0.8737060041407867,0.74,0.896,0.75,0.781,0.798,0.9398797595190381,0.6186906546726637,0.8431568431568431,0.564334,0.57546234,416522496,7913927424,216.66118574142456,101960
19,0.7828079433412026,0.7384617206674746,0.7828079433412026,0.6980472809524378,0.807923813262827,0.7828079433412026,0.7877647952844578,0.7828079433412026,0.7828079433412026,0.6876807803562093,0.8725759572775948,0.7751982317361016,0.35648148148148145,0.950852557673019,0.12949640287769784,0.9351604278074866,0.39019607843137255,0.975103734439834,0.9660537482319661,0.7981018119068162,0.77,0.948,0.54,0.6995,0.796,0.9418837675350702,0.6826586706646677,0.9240759240759241,0.5807715,0.60763824,416522496,8330449920,212.91463136672974,101960
