Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.8386455225833465,0.8340508262741286,0.7949634925832167,0.0678182746500727,0.2992639911123455,0.7848909873628662,0.8096097764199417,0.8272462158033607,0.8564088321066519
kappa,0.8121331277346685,0.7980595333757904,0.7524329252080987,0.07674579334283324,0.1982504166759431,0.7414713564994742,0.7690958753324634,0.7897464953227157,0.8232627739048954
f1_micro,0.8386455225833465,0.8340508262741286,0.7949634925832166,0.0678182746500727,0.2992639911123455,0.7848909873628662,0.8096097764199417,0.8272462158033607,0.8564088321066519
f1_macro,0.7737063042629397,0.74445511439339,0.7127741986334794,0.07165784643871331,0.1735057213670052,0.7093842705966289,0.7308413114574415,0.7437892842081121,0.7617223966081452
f1_weighted,0.8503024035494422,0.8524069381732781,0.8194660160149424,0.07014712299182917,0.2587621486763468,0.8148697509048504,0.8335156245431383,0.8481141438199997,0.8693470712544998
recall_micro,0.8386455225833465,0.8340508262741286,0.7949634925832167,0.0678182746500727,0.2992639911123455,0.7848909873628662,0.8096097764199417,0.8272462158033607,0.8564088321066519
recall_macro,0.8176325693265422,0.8513289686074916,0.8097459133542885,0.06992808098198038,0.2879857352315645,0.808770486209028,0.8298993030556222,0.8373319649202668,0.8513289686074916
recall_weighted,0.8386455225833465,0.8340508262741286,0.7949634925832167,0.0678182746500727,0.2992639911123455,0.7848909873628662,0.8096097764199417,0.8272462158033607,0.8564088321066519
precision_micro,0.8386455225833465,0.8340508262741286,0.7949634925832167,0.0678182746500727,0.2992639911123455,0.7848909873628662,0.8096097764199417,0.8272462158033607,0.8564088321066519
precision_macro,0.769802381733225,0.7211381163310713,0.7063812063861711,0.06038289408286348,0.2390279079117175,0.7013602268749541,0.7211381163310713,0.7312854293483917,0.7453987962591427
precision_weighted,0.8763594735005515,0.8923365525832345,0.8741984769196084,0.051972371554794276,0.4350638074886038,0.8794178284412353,0.88684627258007,0.8903562035899031,0.9004614000539937
gmean,0.8940710752530361,0.8466227665717722,0.7987361483443085,0.09628650660266484,0.0,0.8017814441836533,0.8231984266400101,0.8323083459553687,0.8466227665717722
precision_barley,0.9062829062829064,0.3295880149812734,0.3596897186683246,0.1175851224544231,0.0,0.2988929889298893,0.3605150214592275,0.4414893617021276,0.580952380952381
precision_corn,0.9142672274344872,0.946078431372549,0.9330401651867821,0.10322979630598544,0.0,0.941747572815534,0.953,0.9607438016528924,0.9763694951664876
precision_orchards,0.3663739021329987,0.1761904761904762,0.1352163942693862,0.03230255753432305,0.039057239057239,0.1133828996282527,0.1312803889789303,0.1508704061895551,0.2359550561797752
precision_cereals,0.8351063829787234,0.9328134373125376,0.8932474362172036,0.05878238053129927,0.4615384615384615,0.878413189077795,0.9051474840948524,0.9224941724941724,0.9573210768220616
precision_protein_crops,0.3399750933997509,0.592814371257485,0.5653503418276821,0.09987830759954888,0.0609137055837563,0.5275590551181102,0.5769230769230769,0.631578947368421,0.7378190255220418
precision_rapeseed,0.9897013388259528,0.9758064516129032,0.9586359795016646,0.101305001197262,0.1846361185983827,0.9666666666666668,0.9795501022494888,0.9876796714579056,1.0
precision_temp._meadows,0.8913043478260869,0.962468193384224,0.9573675736642266,0.01943786265905677,0.8781925343811395,0.9523219814241486,0.9614864864864864,0.9698996655518396,0.9811498586239396
