epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.29926399111234553,0.19825041667594312,0.29926399111234553,0.1735057213670052,0.2587621486763468,0.29926399111234553,0.28798573523156457,0.29926399111234553,0.29926399111234553,0.23902790791171757,0.43506380748860385,0.0,0.0,0.0,0.039057239057239054,0.46153846153846156,0.06091370558375635,0.18463611859838275,0.916077738515901,0.25,0.0,0.0,0.58,0.003,0.024,0.2745490981963928,0.5182408795602199,0.9040959040959041,2.3716445,1.8362111,357782144,357782144,465.8189866542816,101960
1,0.47618386335231216,0.39503675815521455,0.4761838633523122,0.3710328339652006,0.4968341021439603,0.47618386335231216,0.482844406256801,0.47618386335231216,0.47618386335231216,0.42600622022454493,0.6625261651155077,0.38724793434181215,0.059845559845559844,0.5491573033707865,0.05678537054860443,0.8135245901639344,0.12852664576802508,0.32168330955777463,0.8781925343811395,0.6003344481605352,0.31,0.391,0.59,0.1985,0.082,0.9038076152304609,0.6701649175412294,0.7172827172827173,1.8174034,1.4216858,357782144,715564288,184.74410033226013,101960
2,0.6279683377308707,0.5568987810000361,0.6279683377308707,0.541641287157242,0.6724898856008749,0.6279683377308707,0.6246099435856367,0.6279683377308707,0.6279683377308707,0.5644925640081174,0.753054325802491,0.5962487637874944,0.09533898305084745,0.714828897338403,0.07352941176470588,0.7296954314720813,0.3710843373493976,0.8126094570928196,0.92003046458492,0.7988235294117647,0.45,0.752,0.7,0.575,0.308,0.9298597194388778,0.6036981509245377,0.6783216783216783,1.4424745,1.0759777,357782144,1073346432,184.49047303199768,101960
3,0.6728232189973615,0.6112477319803991,0.6728232189973615,0.5801267719857831,0.7054482646660797,0.6728232189973615,0.679086411800141,0.6728232189973615,0.6728232189973615,0.5986371301958492,0.7925812214068348,0.6469587900156666,0.08798017348203221,0.7998163452708907,0.09737827715355805,0.8505516549648947,0.4380733944954128,0.8708487084870848,0.8882387361029842,0.7562097516099356,0.71,0.871,0.52,0.424,0.382,0.9458917835671342,0.7586206896551724,0.8211788211788211,1.070952,0.9007571,357782144,1431128576,180.05518245697021,101960
4,0.7368421052631579,0.6817968018397071,0.7368421052631579,0.6364286895962028,0.760311595325618,0.7368421052631579,0.7154445520467856,0.7368421052631579,0.7368421052631579,0.6303899514940678,0.811246335448881,0.6985502490306955,0.2,0.875,0.10583153347732181,0.863103953147877,0.4155653450807636,0.9473684210526315,0.8915876777251185,0.7446626814688301,0.65,0.903,0.49,0.5895,0.566,0.9018036072144289,0.7521239380309845,0.8711288711288712,0.85485786,0.76396435,357782144,1788910720,185.31799602508545,101960
5,0.7444799333425913,0.6918039229624249,0.7444799333425913,0.6467289006449037,0.7657050773505701,0.7444799333425913,0.7271942782576437,0.7444799333425913,0.7444799333425913,0.6383919854069227,0.8246070408720524,0.710461985307658,0.22846441947565543,0.8905180840664711,0.12919896640826872,0.8930817610062893,0.3779795686719637,0.9459459459459459,0.9209414604707302,0.7210056772100568,0.61,0.911,0.5,0.568,0.666,0.9118236472945892,0.7626186906546727,0.8881118881118881,0.7164503,0.74681026,357782144,2146692864,180.1592960357666,101960
6,0.7265657547562838,0.6734438553921622,0.7265657547562837,0.6394566077094157,0.7651045123536631,0.7265657547562838,0.7524570906876527,0.7265657547562838,0.7265657547562838,0.6490734876428969,0.841790489661961,0.7394464941524003,0.12898330804248861,0.9367875647668393,0.11338289962825279,0.8647380766223612,0.46048632218844987,0.9391480730223124,0.9215442092154421,0.827517447657029,0.85,0.904,0.61,0.553,0.606,0.9278557114228457,0.7396301849075462,0.8291708291708292,0.8238624,0.7377546,357782144,2504475008,177.74491715431213,101960
7,0.6985140952645466,0.6333003038564877,0.6985140952645466,0.6133631838843969,0.7415558018699728,0.6985140952645466,0.6767321086470147,0.6985140952645466,0.6985140952645466,0.6513275286674796,0.811200865429089,0.6429419385331806,0.0846968238691049,0.9727722772277227,0.19337016574585636,0.6573462125063548,0.5275590551181102,0.8971428571428571,0.9351216469120399,0.9426111908177905,0.88,0.786,0.35,0.6465,0.402,0.9438877755511023,0.7491254372813593,0.6563436563436563,0.73641866,0.7914051,357782144,2862257152,186.21355390548706,101960
8,0.7514234134148035,0.6994043515065602,0.7514234134148033,0.6513584027746107,0.7865776189332196,0.7514234134148035,0.7547719631864607,0.7514234134148035,0.7514234134148035,0.6777851071580503,0.8518305911634727,0.7314144139232116,0.1388888888888889,0.9173955296404276,0.11714770797962648,0.8206739006282124,0.6701388888888888,0.964509394572025,0.9380053908355795,0.8555211558307534,0.85,0.944,0.69,0.7185,0.386,0.9258517034068137,0.6956521739130435,0.8281718281718282,0.8234936,0.6893025,357782144,3220039296,179.91371870040894,101960
9,0.7950284682682961,0.7481650364699135,0.7950284682682962,0.6865919478222591,0.814456324248323,0.7950284682682961,0.7584394084621291,0.7950284682682961,0.7950284682682961,0.6794482711943399,0.845583556523104,0.7429139284499812,0.23631123919308358,0.9575371549893843,0.14106583072100312,0.846514352665495,0.5234248788368336,0.9775784753363229,0.8963121325494388,0.8568421052631578,0.82,0.902,0.45,0.7225,0.648,0.87374749498998,0.8380809595202399,0.8131868131868132,0.7176683,0.6095643,357782144,3577821440,184.95482659339905,101960
