epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
1,0.2777392028884877,0.0,0.2777392028884877,0.05434191935659167,0.120743050924242,0.2777392028884877,0.125,0.2777392028884877,0.2777392028884877,0.03471740036106096,0.07713906482113253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777392028884877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.373321,2.0783417,154860928,154860928,83.9865493774414,101960
2,0.14053603666157477,0.049750570923780324,0.14053603666157477,0.04692431045531127,0.04813572130631093,0.14053603666157477,0.1768794955044955,0.14053603666157477,0.14053603666157477,0.15293863152289672,0.30656026504424383,0.0,0.0,0.0,0.017971246006389777,0.0,0.0,0.0,1.0,0.2055378061767838,0.0,0.0,0.45,0.0,0.0,0.0,0.001,0.964035964035964,2.083749,2.0751991,154860928,309721856,82.82490587234497,101960
3,0.3974447993334259,0.28111491413830736,0.3974447993334259,0.21083906282637854,0.33515424091878726,0.3974447993334259,0.29564785214785216,0.3974447993334259,0.3974447993334259,0.23370730514680443,0.4205516450626008,0.0,0.03473227206946455,0.0,0.0210727969348659,0.5697211155378487,0.0,0.20673076923076922,0.7423076923076923,0.2950937950937951,0.24,0.0,0.11,0.0715,0.0,0.258,0.8685,0.8171828171828172,2.071496,1.8136642,154860928,464582784,86.52391910552979,101960
4,0.40674906263019023,0.30058431832071864,0.40674906263019023,0.2755103437504354,0.42242813783368355,0.40674906263019023,0.35139722777222776,0.40674906263019023,0.40674906263019023,0.33036319829488653,0.5452757487819877,0.0,0.015625,0.376984126984127,0.044107013738250184,0.5692055692055692,0.0,0.361003861003861,0.9483526268922529,0.32762738853503187,0.03,0.095,0.61,0.3475,0.0,0.374,0.5325,0.8221778221778222,1.8232611,1.6737127,154860928,619443712,90.31386017799377,101960
5,0.5000694348007221,0.4072196790554039,0.5000694348007221,0.37814138238888595,0.5132245926075789,0.5000694348007221,0.4336102022977023,0.5000694348007221,0.5000694348007221,0.4166375660500959,0.6207154427071889,0.38354387452638816,0.04862236628849271,0.5019305019305019,0.0425,0.7387387387387387,0.1681109185441941,0.4254658385093168,0.7760995113282986,0.6316326530612245,0.3,0.39,0.34,0.205,0.194,0.548,0.8735,0.6183816183816184,1.7069654,1.5651509,154860928,774304640,87.00487065315247,101960
6,0.5357589223718928,0.43745898737283706,0.5357589223718928,0.4081396839108695,0.5651444096786141,0.5357589223718928,0.45324119630369625,0.5357589223718928,0.5357589223718928,0.451231928476491,0.6242618592043157,0.3578207568878083,0.05531914893617021,0.5936454849498328,0.04667721518987342,0.6123456790123457,0.25735294117647056,0.5451559934318555,0.7654258031616522,0.7339331619537275,0.13,0.355,0.59,0.496,0.07,0.664,0.7505,0.5704295704295704,1.5475246,1.5220805,154860928,929165568,83.23069953918457,101960
7,0.5897791973337037,0.5054034346352692,0.5897791973337037,0.47512187448726806,0.6159122759672327,0.5897791973337037,0.5296133241758242,0.5897791973337037,0.5897791973337037,0.501424631963356,0.6825942296676091,0.4952659248360618,0.09141274238227147,0.4770075497597804,0.07240437158469945,0.7340989399293286,0.3059125964010283,0.7505938242280285,0.8448185165702262,0.7351485148514851,0.33,0.695,0.53,0.4155,0.238,0.632,0.803,0.5934065934065934,1.4243273,1.3660593,154860928,1084026496,84.33591485023499,101960
8,0.5793639772253854,0.5028941169842529,0.5793639772253854,0.4688657094993053,0.6208987197725193,0.5793639772253854,0.547475586913087,0.5793639772253854,0.5793639772253854,0.49350506621046136,0.7135199178338785,0.48236569746006125,0.07883817427385892,0.736318407960199,0.061567164179104475,0.7564308681672026,0.2337962962962963,0.45779543197616684,0.9050279329608939,0.718266253869969,0.19,0.592,0.66,0.4705,0.202,0.922,0.648,0.6953046953046953,1.5138218,1.2263268,154860928,1238887424,83.85763788223267,101960
9,0.5299263991112345,0.4476372458701253,0.5299263991112345,0.4464067153285842,0.5846393317428357,0.5299263991112345,0.48537543706293707,0.5299263991112345,0.5299263991112345,0.5449231996708213,0.7253723792402129,0.3946030190733076,0.15384615384615385,0.5,0.04283164782867341,0.7687687687687688,0.26666666666666666,0.924812030075188,0.8671662125340599,0.8352941176470589,0.06,0.814,0.72,0.384,0.28,0.492,0.6365,0.4965034965034965,1.2611783,1.3842754,154860928,1393748352,85.8774561882019,101960
10,0.6601860852659353,0.5935753252204075,0.6601860852659353,0.5485616992014575,0.679107933913194,0.6601860852659353,0.6350166083916085,0.6601860852659353,0.6601860852659353,0.5656598433733011,0.7623083130333637,0.5871183217095232,0.11676646706586827,0.6812191103789127,0.08795669824086604,0.8842544316996872,0.4192546583850932,0.8131868131868132,0.8796776050662061,0.642962962962963,0.39,0.827,0.65,0.424,0.27,0.888,0.764,0.8671328671328671,1.3807373,1.0670235,154860928,1548609280,88.70505356788635,101960
