epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_corn,precision_orchards,precision_cereals,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_corn,recall_orchards,recall_cereals,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2930148590473545,0.021149778888675308,0.2930148590473545,0.06908373360023091,0.15349808882151014,0.2930148590473545,0.131875,0.2930148590473545,0.2930148590473545,0.07073943306026019,0.15717691000752157,0.0,0.0,0.0,0.0,0.27149321266968324,0.0,0.0,0.2944222518123983,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.995,0.0,2.5859091,1.7423238,154860928,154860928,84.96584057807922,101960
1,0.40730454103596725,0.17967303581641814,0.4073045410359673,0.1312329380802753,0.2893992078426521,0.40730454103596725,0.183811500999001,0.40730454103596725,0.40730454103596725,0.17715507129539682,0.3082505082567863,0.0,0.0,0.0,0.0,0.33180987202925044,0.0,0.0,0.4700460829493088,0.6153846153846154,0.0,0.0,0.0,0.5445,0.0,0.0,0.918,0.007992007992007992,1.7483065,1.5524904,154860928,309721856,82.97395443916321,101960
2,0.5106235245104846,0.36304434809854613,0.5106235245104846,0.2212789084910992,0.4275033374588804,0.5106235245104846,0.27834059690309687,0.5106235245104846,0.5106235245104846,0.23144097105648725,0.4227946606334495,0.0,0.0,0.3333333333333333,0.0,0.4778411584028083,0.0,0.0,0.7148499210110585,0.32550335570469796,0.0,0.002,0.0,0.5445,0.0,0.0,0.905,0.7752247752247752,1.5615226,1.3492455,154860928,464582784,81.96724104881287,101960
3,0.5724204971531732,0.4356363578421011,0.5724204971531732,0.2954465487213377,0.5115739849558101,0.5724204971531732,0.31992519980019984,0.5724204971531732,0.5724204971531732,0.28064204213955835,0.47151503823580343,0.0,0.0,0.42177589852008457,0.0,0.5144435004248088,0.0,0.0,0.6351261620185923,0.6737907761529809,0.0,0.399,0.0,0.6055,0.0,0.0,0.9565,0.5984015984015985,1.337197,1.223832,154860928,619443712,81.81585931777954,101960
4,0.6496319955561728,0.5460262952143429,0.6496319955561728,0.4073839016439475,0.6193466118273434,0.6496319955561728,0.41205619380619385,0.6496319955561728,0.6496319955561728,0.4479805341624232,0.6243392900197161,0.0,0.0,0.45508474576271185,0.0,0.5770528683914511,0.3333333333333333,0.6134259259259259,0.8075523202911737,0.7973950795947902,0.0,0.537,0.0,0.7695,0.022,0.53,0.8875,0.5504495504495505,1.2322363,1.107865,154860928,774304640,82.92125821113586,101960
5,0.6511595611720594,0.5600975800677248,0.6511595611720594,0.40944496187248924,0.6106638541963115,0.6511595611720594,0.4555807317682318,0.6511595611720594,0.6511595611720594,0.4277621870409493,0.6292646570030822,0.0,0.0,0.585427135678392,0.0,0.7842696629213484,0.2857142857142857,0.5139732685297691,0.724282982791587,0.5284301606922126,0.0,0.466,0.0,0.5235,0.008,0.846,0.947,0.8541458541458542,1.0957823,1.028102,154860928,929165568,81.91504836082458,101960
6,0.7125399250104152,0.6357968881084162,0.7125399250104152,0.48554648622813285,0.6892260761620791,0.7125399250104152,0.498657967032967,0.7125399250104152,0.7125399250104152,0.511611918219838,0.6948686514473013,0.0,0.0,0.5053763440860215,0.0,0.7233809001097695,0.41509433962264153,0.877030162412993,0.8327959465684016,0.7392176529588766,0.0,0.846,0.0,0.659,0.088,0.756,0.904,0.7362637362637363,1.0057606,0.91038054,154860928,1084026496,85.02091932296753,101960
7,0.7515622830162477,0.6867621530764364,0.7515622830162476,0.504742283314523,0.7224711016762866,0.7515622830162477,0.5388308566433566,0.7515622830162477,0.7515622830162477,0.5326321980218831,0.7307676327348918,0.0,0.0,0.6603921568627451,0.0,0.7614727854855923,0.6231884057971014,0.6443514644351465,0.87279843444227,0.6988543371522095,0.0,0.842,0.0,0.7135,0.086,0.924,0.892,0.8531468531468531,0.99840397,0.7995053,154860928,1238887424,87.37721014022827,101960
8,0.774475767254548,0.7141786006135381,0.774475767254548,0.5333019028815241,0.7515234603138664,0.774475767254548,0.554579483016983,0.774475767254548,0.774475767254548,0.5423868138425387,0.7479183343069759,0.0,0.0,0.8993055555555556,0.0,0.7598039215686274,0.49122807017543857,0.6455172413793103,0.8545454545454545,0.6886942675159236,0.0,0.777,0.0,0.775,0.168,0.936,0.9165,0.8641358641358642,0.8684957,0.7382117,154860928,1393748352,84.85318160057068,101960
9,0.7958616858769615,0.7400596060937243,0.7958616858769615,0.5521121568815506,0.7694928260655542,0.7958616858769615,0.5663913586413587,0.7958616858769615,0.7958616858769615,0.5737749233293259,0.7650089689450437,0.0,0.0,0.8669314796425025,0.0,0.7627199239182121,0.5968992248062015,0.7975352112676056,0.8524137931034482,0.7136997538966365,0.0,0.873,0.0,0.802,0.154,0.906,0.927,0.8691308691308691,0.7955876,0.6623748,154860928,1548609280,82.27944469451904,101960
