epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.1388888888888889,0.0,0.1388888888888889,0.02710027100271003,0.03387533875338754,0.1388888888888889,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.0154320987654321,0.019290123456790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.601919,2.3151405,154862784,154862784,91.88405394554138,102025
1,0.027777777777777776,0.0,0.027777777777777776,0.006006006006006006,0.0015015015015015015,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0030864197530864196,0.0007716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3887806,2.3225946,154862784,309725568,94.18074440956116,102025
2,0.035555555555555556,0.008000000000000007,0.035555555555555556,0.015564642243634776,0.003891160560908694,0.035555555555555556,0.14222222222222222,0.035555555555555556,0.035555555555555556,0.008461074859730895,0.0021152687149327237,0.0,0.0,0.0,0.04241219350563287,0.0,0.0,0.0,0.03373748023194518,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.96,0.0,0.0,2.3266995,2.3061724,154862784,464588352,92.88790225982666,102025
3,0.4013888888888889,0.28417206444112275,0.4013888888888889,0.19848365242981728,0.3307763484127089,0.4013888888888889,0.2599444444444445,0.4013888888888889,0.4013888888888889,0.24320750901200297,0.42525147067063074,0.08238539090102397,0.028761061946902654,0.39285714285714285,0.030303030303030304,0.1,0.03067484662576687,0.6504992867332382,0.05718270571827057,0.5323383084577115,0.36625119846596355,0.13,0.0055,0.08,0.004,0.025,0.912,0.205,0.214,0.764,2.206428,1.9680672,154862784,619451136,89.37603807449341,102025
4,0.42055555555555557,0.32751406497312374,0.42055555555555557,0.2879377481884104,0.4339625050088166,0.42055555555555557,0.3367777777777778,0.42055555555555557,0.42055555555555557,0.3316677663629232,0.5621784504156675,0.23826981090944183,0.04819277108433735,0.6293279022403259,0.11068702290076336,0.2640449438202247,0.09653465346534654,0.814687714481812,0.0502092050209205,0.5058191584601611,0.46550652579241764,0.04,0.1545,0.145,0.094,0.39,0.5935,0.3,0.565,0.749,2.0855274,1.8022838,154862784,774313920,95.03146266937256,102025
5,0.3426388888888889,0.27368212403262693,0.3426388888888889,0.2865816596648969,0.40535516175408776,0.3426388888888889,0.3516666666666667,0.3426388888888889,0.3426388888888889,0.39984103624652323,0.6998561273171948,0.0,0.06374501992031872,0.8385321100917431,0.05475206611570248,0.1853846153846154,0.0,0.855379188712522,0.07456503728251865,0.7067307692307693,0.8194805194805195,0.16,0.2285,0.53,0.482,0.0,0.2425,0.45,0.441,0.631,1.8544852,1.8136704,154862784,929176704,95.47703289985657,102025
6,0.4152777777777778,0.3330384902272713,0.4152777777777778,0.2938762902382097,0.41296318889388517,0.4152777777777778,0.3581666666666667,0.4152777777777778,0.4152777777777778,0.3896953505657176,0.666444251398525,0.23633380624453842,0.028011204481792718,0.8717948717948718,0.07776669990029911,0.3314917127071823,0.15384615384615385,0.8440766550522648,0.06060606060606061,0.4062643942883464,0.7334004024144869,0.1,0.068,0.39,0.24,0.04,0.4845,0.29,0.882,0.729,1.7605634,1.6876462,154862784,1084039488,92.74056339263916,102025
7,0.48125,0.40657769304099145,0.48125000000000007,0.3524084612556495,0.5310073011241562,0.48125,0.4127222222222222,0.48125,0.48125,0.4237466890642291,0.7307230839180677,0.2540322792937549,0.018867924528301886,0.9499304589707928,0.05555555555555555,0.3373493975903614,0.09746109746109746,0.8695652173913043,0.07992565055762081,0.5708812260536399,0.8341836734693877,0.07,0.3415,0.01,0.28,0.595,0.44,0.43,0.894,0.654,1.6685936,1.5736184,154862784,1238902272,93.85608053207397,102025
8,0.5854166666666667,0.5143632514071761,0.5854166666666667,0.40992804158973867,0.6368320295097495,0.5854166666666667,0.47094444444444444,0.5854166666666667,0.5854166666666667,0.485930045908023,0.7745238807585965,0.0,0.1774193548387097,0.9395532194480947,0.0,0.5148514851485149,0.0867702196036422,0.8572806171648988,0.13389121338912133,0.8356713426853707,0.8279329608938547,0.11,0.715,0.0,0.104,0.81,0.4445,0.48,0.834,0.741,1.5065444,1.455045,154862784,1393765056,90.80273270606995,102025
9,0.5651388888888889,0.49256284664697836,0.5651388888888889,0.3908485997778229,0.5906377840743711,0.5651388888888889,0.46455555555555555,0.5651388888888889,0.5651388888888889,0.5066714196894861,0.7769631367762958,0.29726951049388767,0.10424710424710425,0.8897058823529411,0.06,0.7692307692307693,0.08730614589316485,0.8811074918566775,0.1755485893416928,0.7575510204081632,0.8353457738748628,0.27,0.7865,0.105,0.02,0.76,0.2705,0.28,0.928,0.761,1.401983,1.4959878,154862784,1548627840,90.20369458198547,102025
