Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.6500655900845886,0.6952777777777778,0.567214360587002,0.1525834560008048,0.0279166666666666,0.5629166666666666,0.6044444444444445,0.6540277777777778,0.7358333333333333
kappa,0.5991186607929753,0.6387767142145002,0.5015049493541105,0.16006902780120952,-0.0007784944869879,0.4887302873105449,0.5424307473970305,0.5956579080856244,0.681765367490542
f1_micro,0.6500655900845886,0.6952777777777778,0.567214360587002,0.1525834560008048,0.0279166666666666,0.5629166666666666,0.6044444444444445,0.6540277777777778,0.7358333333333333
f1_macro,0.582958459701038,0.5646396211687097,0.44716065095250496,0.13926025911589282,0.0062634918885746,0.4008236307225646,0.4905422883598884,0.5376717958938435,0.5825725737553304
f1_weighted,0.6498476254279751,0.7260505938161167,0.5924600944158632,0.16923105121636517,0.001775912879726,0.5796392584297893,0.6391472800769913,0.6869582304555789,0.7588894191721506
recall_micro,0.6500655900845886,0.6952777777777778,0.567214360587002,0.1525834560008048,0.0279166666666666,0.5629166666666666,0.6044444444444445,0.6540277777777778,0.7358333333333333
recall_macro,0.599961471779808,0.6531666666666667,0.5247882599580714,0.13479435642948062,0.1111111111111111,0.4748888888888889,0.5818333333333333,0.6074444444444445,0.6558333333333333
recall_weighted,0.6500655900845886,0.6952777777777778,0.567214360587002,0.1525834560008048,0.0279166666666666,0.5629166666666666,0.6044444444444445,0.6540277777777778,0.7358333333333333
precision_micro,0.6500655900845886,0.6952777777777778,0.567214360587002,0.1525834560008048,0.0279166666666666,0.5629166666666666,0.6044444444444445,0.6540277777777778,0.7358333333333333
precision_macro,0.5844879504901737,0.5748787042868664,0.5202022002966664,0.14614657049198518,0.0050271933015103,0.5080365662981351,0.5661220214988008,0.6066493863489394,0.6312105664977861
precision_weighted,0.663273693230963,0.8328908133653464,0.7601526938332247,0.19548420296514338,0.0031725071376381,0.7907428255336614,0.8276634499578922,0.8400598785353945,0.8693476249829823
gmean,0.7572811011207949,0.6166222141093296,0.4292549717386274,0.1588684950657883,0.0,0.3492321878372102,0.4855260792578956,0.5419593606156714,0.6166222141093296
precision_barley,0.6581175901282361,0.3383838383838384,0.3715376403787819,0.257789056644207,0.0,0.1420612813370473,0.3383838383838384,0.6417910447761194,0.825
