epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.1388888888888889,0.0,0.1388888888888889,0.02710027100271003,0.03387533875338754,0.1388888888888889,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.0154320987654321,0.019290123456790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2434287,1.856426,154862784,154862784,147.05778288841248,102025
1,0.027916666666666666,-0.0007784944869879684,0.027916666666666666,0.006263491888574602,0.0017759128797260912,0.027916666666666666,0.11122222222222221,0.027916666666666666,0.027916666666666666,0.005027193301510358,0.003172507137638126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02800336040324839,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0,1.8374438,1.855788,154862784,309725568,117.96379137039185,102025
2,0.1726388888888889,0.050542794906759725,0.1726388888888889,0.05706530804198118,0.12406224537784223,0.1726388888888889,0.15255555555555556,0.1726388888888889,0.1726388888888889,0.04555236642967084,0.10414671229707287,0.0,0.0,0.37103448275862067,0.03893681510841688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.835,0.0,0.0,0.0,0.0,0.0,0.0,1.7904061,1.8471918,154862784,464588352,116.72242045402527,102025
3,0.17972222222222223,0.11862439477349607,0.17972222222222223,0.10711097707097904,0.18343984239439687,0.17972222222222223,0.2232222222222222,0.17972222222222223,0.17972222222222223,0.20573022167166974,0.34983322881859086,0.0,0.0,0.0,0.06516679596586501,0.0,0.08941605839416059,0.8232323232323232,0.04042348411934552,0.0,0.8333333333333334,0.0,0.0,0.42,0.0,0.245,0.489,0.84,0.0,0.015,1.8517396,1.4183939,154862784,619451136,114.9775447845459,102025
4,0.2588888888888889,0.18890195474054672,0.2588888888888889,0.21093928674994447,0.29574285032041303,0.2588888888888889,0.299,0.2588888888888889,0.2588888888888889,0.3544396972642321,0.5941567382534618,0.20896796573170928,0.06818181818181818,0.5469483568075117,0.07268170426065163,0.26666666666666666,0.07553776888444222,0.8909395973154363,0.04580520732883317,0.7156862745098039,0.5075098814229249,0.09,0.1165,0.145,0.056,0.755,0.2655,0.475,0.146,0.642,1.4082488,1.3186461,154862784,774313920,118.98486161231995,102025
5,0.38972222222222225,0.3122434782608695,0.38972222222222225,0.3100517670181964,0.4388891103833009,0.38972222222222225,0.3723888888888889,0.38972222222222225,0.38972222222222225,0.37792667437719046,0.6468711148047017,0.33460649142355986,0.05985915492957746,0.7596017069701281,0.07171000788022065,0.28662420382165604,0.09225700164744646,0.8798342541436464,0.06868131868131869,0.5869565217391305,0.59581589958159,0.17,0.267,0.455,0.18,0.28,0.3185,0.375,0.594,0.712,1.3350673,1.1926165,154862784,929176704,106.59564399719238,102025
6,0.4038888888888889,0.3264193139165348,0.40388888888888896,0.3118039155344624,0.47841714688175974,0.4038888888888889,0.3669444444444444,0.4038888888888889,0.4038888888888889,0.4411989577837322,0.7276863930668533,0.27438182881382317,0.0546218487394958,0.7911301859799714,0.08267716535433071,0.34782608695652173,0.06527514231499051,0.8894736842105263,0.08827238335435057,0.7506702412868632,0.9008438818565401,0.13,0.553,0.105,0.064,0.86,0.2535,0.35,0.56,0.427,1.3576016,1.2412411,154862784,1084039488,112.91383838653564,102025
7,0.5852777777777778,0.5026453312852355,0.5852777777777778,0.3981041488169555,0.6196646414130139,0.5852777777777778,0.424,0.5852777777777778,0.5852777777777778,0.4373657853252243,0.7171060348800499,0.3398703645583173,0.08620689655172414,0.8297435897435897,0.07450980392156863,0.24489795918367346,0.12077294685990338,0.8478260869565217,0.11804613297150611,0.7200357781753131,0.8942528735632184,0.1,0.809,0.19,0.456,0.125,0.507,0.435,0.805,0.389,1.1206026,1.0592117,154862784,1238902272,118.85721063613892,102025
8,0.6001388888888889,0.5197330923750607,0.6001388888888889,0.40853505227951775,0.6387969881595491,0.6001388888888889,0.4402777777777778,0.6001388888888889,0.6001388888888889,0.44850960871919315,0.7253521164674515,0.3717246270581198,0.056363636363636366,0.89,0.0873015873015873,0.3918918918918919,0.12037037037037036,0.7967479674796748,0.10998552821997105,0.6987480438184663,0.8851774530271399,0.31,0.6675,0.11,0.232,0.26,0.686,0.38,0.893,0.424,1.147373,1.0755581,154862784,1393765056,120.31638240814209,102025
9,0.5629166666666666,0.4887302873105449,0.5629166666666666,0.4008236307225646,0.6221321582333974,0.5629166666666666,0.45316666666666666,0.5629166666666666,0.5629166666666666,0.47734226387135564,0.7647534867763793,0.29340563003927966,0.14285714285714285,0.9111691704768126,0.0784313725490196,0.42276422764227645,0.10092449922958398,0.8558139534883721,0.09175019275250579,0.7948003714020427,0.8975694444444444,0.07,0.6975,0.02,0.208,0.655,0.46,0.595,0.856,0.517,1.0544086,1.0070248,154862784,1548627840,114.44578814506531,102025
