epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.14484099430634634,0.007633702585096436,0.14484099430634634,0.037429105423102044,0.04585083810735797,0.14484099430634634,0.11672197212527048,0.14484099430634634,0.14484099430634634,0.09005029059184191,0.17948713941697633,0.0,0.0,0.5434782608695652,0.0,0.1242603550295858,0.0,0.0,0.0,0.14271399942742627,0.0,0.0,0.01249375312343828,0.0,0.042,0.0,0.0,0.0,0.996003996003996,0.0,3.0141616,2.5851812,443227968,443227968,226.66058373451233,102025
1,0.3643938341896959,0.29597250020826704,0.36439383418969584,0.29868704556191816,0.45345331013819107,0.3643938341896959,0.37248828163812003,0.3643938341896959,0.3643938341896959,0.4474228194177711,0.7554146865621282,0.253322492387743,0.06666666666666667,0.8976857490864799,0.10510510510510511,0.24,0.06727956539908066,0.8896848137535817,0.07271557271557272,0.8150087260034904,0.8726591760299626,0.18,0.3683158420789605,0.175,0.012,0.8090452261306532,0.3105,0.565,0.46653346653346656,0.466,2.6021247,2.0463629,443227968,886455936,223.9936010837555,102025
2,0.6278294681294264,0.556382839383559,0.6278294681294264,0.4284979726689539,0.6696384986054392,0.6278294681294264,0.4906422584839143,0.6278294681294264,0.6278294681294264,0.5122269266760308,0.7876473214980324,0.2792590539818596,0.14634146341463414,0.95022335673261,0.05,0.6885245901639344,0.09723320158102766,0.8070997990622907,0.12934131736526946,0.859103385178408,0.8821752265861027,0.3,0.744127936031984,0.005,0.084,0.6180904522613065,0.6025,0.54,0.938061938061938,0.584,1.9772007,1.3449234,443227968,1329683904,221.38048005104065,102025
3,0.5707540619358422,0.5043006556049228,0.5707540619358422,0.4463911552912634,0.6041302682484645,0.5707540619358422,0.5452460257074934,0.5707540619358422,0.5707540619358422,0.5647409335250612,0.8373817682308841,0.42437188710873947,0.3192771084337349,0.9264179867143587,0.07466666666666667,0.6666666666666666,0.08566895822316235,0.9230769230769231,0.1937984496124031,0.9720430107526882,0.9210526315789473,0.53,0.9060469765117442,0.14,0.112,0.8140703517587939,0.192,0.75,0.903096903096903,0.56,1.520165,1.3098755,443227968,1772911872,223.8565924167633,102025
4,0.6303291209554228,0.5651286531264197,0.6303291209554228,0.500602309163502,0.6659662532106834,0.6303291209554228,0.5749505972594654,0.6303291209554228,0.6303291209554228,0.5793210366158258,0.8236569629490114,0.44165305837190066,0.5625,0.9126679462571977,0.11494252873563218,0.527027027027027,0.09423769507803122,0.9051724137931034,0.20657894736842106,0.9765208110992529,0.9142419601837672,0.54,0.9505247376311844,0.05,0.234,0.7889447236180904,0.315,0.785,0.9140859140859141,0.597,1.3369108,1.1597235,443227968,2216139840,225.8644630908966,102025
5,0.6601860852659353,0.5993642384334832,0.6601860852659353,0.5170731789038493,0.6932026085344875,0.6601860852659353,0.6065769887451383,0.6601860852659353,0.6601860852659353,0.5958902502041163,0.8431245890540487,0.4743335417169913,0.44594594594594594,0.9620582120582121,0.11585365853658537,0.673469387755102,0.10117939168218498,0.8949880668257757,0.2985386221294363,0.9641393442622951,0.9068396226415094,0.66,0.9250374812593704,0.19,0.066,0.8190954773869347,0.375,0.715,0.9400599400599401,0.769,1.298224,1.0809121,443227968,2659367808,226.90673637390137,102025
6,0.6774059158450215,0.6166984634871985,0.6774059158450215,0.5440754378123447,0.7122064383974614,0.6774059158450215,0.6213504694997729,0.6774059158450215,0.6774059158450215,0.6021632881394531,0.837496001001183,0.5300024483934098,0.46938775510204084,0.9309512312892323,0.2214765100671141,0.6038961038961039,0.10342598577892695,0.8972677595628415,0.29296875,0.9866220735785953,0.9134734239802225,0.69,0.9635182408795602,0.165,0.186,0.8040201005025126,0.4105,0.75,0.8841158841158842,0.739,1.1944289,1.0325779,443227968,3102595776,230.34511828422546,102025
7,0.6458825163171782,0.5830827579550488,0.6458825163171782,0.5263231754991129,0.6828520051425514,0.6458825163171782,0.5977248465178557,0.6458825163171782,0.6458825163171782,0.6092285507939423,0.8352208457178236,0.45496789665050996,0.6888888888888889,0.9388154674498287,0.13043478260869565,0.5419354838709678,0.09288747346072186,0.8893387314439946,0.28623853211009176,0.9845984598459846,0.9299191374663073,0.62,0.9585207396301849,0.06,0.168,0.8793969849246231,0.3295,0.78,0.8941058941058941,0.69,1.1904882,1.0646927,443227968,3545823744,222.5171413421631,102025
8,0.6997639216775448,0.6423984212625604,0.6997639216775448,0.5646253655469032,0.7311280243773429,0.6997639216775448,0.6468521223248458,0.6997639216775448,0.6997639216775448,0.614120765232173,0.8462532999103238,0.5703408818420102,0.5104895104895105,0.9521651560926485,0.132486388384755,0.6635514018691588,0.12218370883882149,0.8937437934458788,0.357487922705314,0.986870897155361,0.9081081081081082,0.73,0.9450274862568716,0.365,0.142,0.7085427135678392,0.45,0.74,0.9010989010989011,0.84,1.1736404,0.9799897,443227968,3989051712,227.7156744003296,102025
9,0.7028190529093181,0.6457487535515318,0.7028190529093181,0.5489840356467283,0.7287619290162957,0.7028190529093181,0.6512610122910351,0.7028190529093181,0.7028190529093181,0.5800671744795982,0.8360828195213702,0.5694732291483958,0.33076923076923076,0.9359921221073363,0.13896457765667575,0.5882352941176471,0.12239089184060721,0.9100418410041841,0.30864197530864196,0.9881593110871906,0.8974093264248705,0.86,0.9500249875062469,0.255,0.18,0.6482412060301508,0.435,0.75,0.9170829170829171,0.866,1.1527704,0.9494647,443227968,4432279680,228.83431100845337,102025
