epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.07276767115678379,0.03202656020968975,0.07276767115678379,0.04895666551143631,0.044374302305499054,0.07276767115678379,0.17313816734656315,0.07276767115678379,0.07276767115678379,0.14541576294837327,0.21051097134640306,0.0,0.0,0.2727272727272727,0.044622044622044624,0.0,0.0,0.0,0.0380517503805175,0.2866741321388578,0.6666666666666666,0.0,0.0014992503748125937,0.67,0.0,0.0,0.0,0.625,0.25574425574425574,0.006,2.1018426,1.6657715,443227968,443227968,292.97208428382874,102025
1,0.4186918483543952,0.34311303600035725,0.4186918483543952,0.30839246713984747,0.46229654680239757,0.4186918483543952,0.39791139636140127,0.4186918483543952,0.4186918483543952,0.42882645464805474,0.7079146209674629,0.2333727970345471,0.0562015503875969,0.8328530259365994,0.08,0.4264705882352941,0.07664562669071236,0.8709677419354839,0.09717868338557993,0.5542560103963613,0.8648648648648649,0.29,0.4332833583208396,0.01,0.058,0.8542713567839196,0.2295,0.31,0.8521478521478522,0.544,1.6451684,0.9481936,443227968,886455936,252.0510015487671,102025
2,0.544368837661436,0.4719021615963921,0.544368837661436,0.38744670139702797,0.599839972566258,0.544368837661436,0.4519876619915457,0.544368837661436,0.544368837661436,0.5120399975461774,0.7871848199959193,0.31716795132741576,0.06716417910447761,0.9416005767844268,0.13924050632911392,0.7777777777777778,0.08463768115942029,0.8273305084745762,0.10247747747747747,0.7910447761194029,0.8770864946889226,0.18,0.6526736631684158,0.055,0.07,0.7336683417085427,0.3905,0.455,0.9530469530469531,0.578,1.0034506,0.70118994,443227968,1329683904,246.18128633499146,102025
3,0.5015970004166088,0.43634193691360157,0.5015970004166088,0.3928883352403486,0.5483601047294411,0.5015970004166088,0.48645559058356547,0.5015970004166088,0.5015970004166088,0.5314466079451424,0.8054371849826306,0.2757076695142147,0.2462686567164179,0.9749492213947191,0.10638297872340426,0.5161290322580645,0.06699062825407845,0.8123167155425219,0.19225037257824143,0.96529284164859,0.9024390243902439,0.33,0.719640179910045,0.025,0.032,0.9698492462311558,0.1385,0.645,0.8891108891108891,0.629,0.75186956,0.7243743,443227968,1772911872,248.6189317703247,102025
4,0.6081099847243439,0.5381809254238634,0.6081099847243439,0.453779724624056,0.6512257574969571,0.6081099847243439,0.5606893556577094,0.6081099847243439,0.6081099847243439,0.5218152801834381,0.8026170337720843,0.5069808765206215,0.11772665764546685,0.8937562940584088,0.12307692307692308,0.5039370078740157,0.1259259259259259,0.8874239350912779,0.1780821917808219,0.950207468879668,0.9162011173184358,0.87,0.887056471764118,0.32,0.256,0.5125628140703518,0.4375,0.52,0.9150849150849151,0.328,0.78798133,0.6784284,443227968,2216139840,252.8070023059845,102025
5,0.6658797389251493,0.6057682114209904,0.6658797389251493,0.5172612387417832,0.7121802552405578,0.6658797389251493,0.62074353535312,0.6658797389251493,0.6658797389251493,0.5679288375257576,0.835054772868822,0.5403882862851125,0.21095890410958903,0.987333755541482,0.15363881401617252,0.6237623762376238,0.10901960784313726,0.8588235294117647,0.2928416485900217,0.9785407725321889,0.8964401294498382,0.77,0.7791104447776112,0.285,0.126,0.6984924623115578,0.511,0.675,0.9110889110889111,0.831,0.75032,0.53637,443227968,2659367808,229.032639503479,102025
6,0.6108873767532287,0.5493103827689573,0.6108873767532287,0.4899586770266782,0.6455557013629137,0.6108873767532287,0.6055874981503988,0.6108873767532287,0.6108873767532287,0.5836056991907623,0.8534876840843245,0.5090950372931146,0.34146341463414637,0.971830985915493,0.09171075837742504,0.6666666666666666,0.11150442477876106,0.9311663479923518,0.2601054481546573,0.9627714581178903,0.9152317880794701,0.7,0.896551724137931,0.52,0.096,0.6331658291457286,0.2435,0.74,0.9300699300699301,0.691,0.59385717,0.5588112,443227968,3102595776,216.23860335350037,102025
7,0.5847798916817109,0.5248814310398762,0.5847798916817109,0.4647529513736267,0.6131528158431597,0.5847798916817109,0.6094059003355748,0.5847798916817109,0.5847798916817109,0.5523148951568598,0.8441226851849654,0.49785901259292875,0.19014084507042253,0.9820877084620135,0.11505681818181818,0.5520833333333334,0.09316353887399464,0.9371584699453552,0.24956672443674177,0.9563894523326572,0.895187165775401,0.81,0.7946026986506747,0.405,0.106,0.6984924623115578,0.1715,0.72,0.942057942057942,0.837,0.5710925,0.5893369,443227968,3545823744,209.62535333633423,102025
8,0.6775447854464658,0.6202086431828702,0.6775447854464658,0.5558649118661726,0.7113554696455603,0.6775447854464658,0.6614200941460817,0.6775447854464658,0.6775447854464658,0.5857732161704207,0.8443681538070823,0.6053098661553549,0.37962962962962965,0.9575569358178054,0.11890243902439024,0.5163934426229508,0.12911843276936777,0.9289405684754521,0.352112676056338,0.9804134929270947,0.9088913282107574,0.82,0.9245377311344328,0.39,0.252,0.7286432160804021,0.3595,0.75,0.9000999000999002,0.828,0.6302189,0.4600733,443227968,3989051712,216.53843331336975,102025
9,0.6507429523677267,0.5907819372171144,0.6507429523677267,0.5464532616243534,0.6926534354552096,0.6507429523677267,0.6186057603658955,0.6507429523677267,0.6507429523677267,0.6063732585238865,0.8473148630205083,0.5361226863980939,0.5739130434782609,0.9689280165717244,0.142433234421365,0.47692307692307695,0.09426681367144432,0.9135446685878963,0.3697916666666667,0.984304932735426,0.933253873659118,0.66,0.935032483758121,0.24,0.186,0.8592964824120602,0.317,0.71,0.8771228771228772,0.783,0.5489963,0.4957468,443227968,4432279680,214.26383066177368,102025
10,0.6837939175114568,0.627229912441295,0.6837939175114568,0.566116605839151,0.7192481031147626,0.6837939175114568,0.6663379833478904,0.6837939175114568,0.6837939175114568,0.5932174488909079,0.8466980709560813,0.6158809695505151,0.3132075471698113,0.9615384615384616,0.10812883435582822,0.4618181818181818,0.189453125,0.9259723964868256,0.4753521126760563,0.9759665621734587,0.927519818799547,0.83,0.9245377311344328,0.705,0.254,0.48743718592964824,0.369,0.675,0.9330669330669331,0.819,0.58185005,0.4818207,443227968,4875507648,210.51801943778992,102025
11,0.632689904179975,0.574026731232181,0.632689904179975,0.5410916092089585,0.6535083618714956,0.632689904179975,0.6410306850922787,0.632689904179975,0.632689904179975,0.603610621562368,0.851319737173856,0.5628302499055086,0.5765765765765766,0.9669421487603306,0.1301169590643275,0.4402730375426621,0.10630171865054105,0.9545454545454546,0.371571072319202,0.9568273092369478,0.9293413173652695,0.64,0.9355322338830585,0.445,0.258,0.8391959798994975,0.1785,0.745,0.952047952047952,0.776,0.5497268,0.51402783,443227968,5318735616,211.73694133758545,102025
12,0.6618525204832663,0.6048275337191462,0.6618525204832663,0.5629662951034343,0.6746444582228676,0.6618525204832663,0.6649528485841724,0.6618525204832663,0.6618525204832663,0.6007877462116711,0.8486059216169999,0.6031101903852458,0.44886363636363635,0.9494850416871016,0.11840562719812427,0.4133611691022965,0.12682481751824817,0.9577114427860697,0.4980392156862745,0.9759665621734587,0.9184322033898306,0.79,0.9675162418790605,0.505,0.396,0.6984924623115578,0.1925,0.635,0.9330669330669331,0.867,0.518877,0.47286314,443227968,5761963584,216.06744742393494,102025
13,0.6912928759894459,0.6340872815717158,0.6912928759894459,0.5753861830960391,0.7346851594872186,0.6912928759894459,0.6568536369406348,0.6912928759894459,0.6912928759894459,0.6053004154893856,0.8475623528830857,0.617158843982156,0.49032258064516127,0.9700694815606627,0.12236286919831224,0.5146443514644351,0.13863636363636364,0.9033816425120773,0.3903133903133903,0.9728033472803347,0.9451697127937336,0.76,0.9070464767616192,0.58,0.246,0.6130653266331658,0.4675,0.685,0.929070929070929,0.724,0.5360491,0.49691355,443227968,6205191552,211.97415471076965,102025
