epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.14734064713234274,0.07937441884575025,0.14734064713234274,0.10413144356001383,0.12345843489834477,0.14734064713234274,0.1991835608687032,0.14734064713234274,0.14734064713234274,0.17933097440317652,0.2575873608399989,0.0,0.0,0.3512396694214876,0.04596935376415723,0.09217707701637357,0.03553299492385787,0.0,0.0,0.6428571428571429,0.4462025316455696,0.0,0.08495752123938032,0.69,0.304,0.1407035175879397,0.0,0.0,0.008991008991008992,0.564,2.510803,2.0931487,443227968,443227968,878.7960107326508,102025
1,0.3830023607832245,0.2983380586636316,0.3830023607832245,0.25746143007369743,0.36873148684088697,0.3830023607832245,0.3399925709363943,0.3830023607832245,0.3830023607832245,0.4059379396093721,0.6550880166509239,0.19065539011189492,0.0291005291005291,0.7469135802469136,0.10980392156862745,0.6875,0.08798775822494262,0.8748651564185544,0.038461538461538464,0.3527397260273973,0.7260692464358453,0.11,0.06046976511744128,0.14,0.022,0.5778894472361809,0.4055,0.105,0.926073926073926,0.713,2.083664,1.5141753,443227968,886455936,224.5256233215332,102025
2,0.5946396333842522,0.5251484687663246,0.5946396333842522,0.4250992411376595,0.6441637298889383,0.5946396333842522,0.5023421325399506,0.5946396333842522,0.5946396333842522,0.5359699994086866,0.8071577707937003,0.32071423664920334,0.18571428571428572,0.9463741620962828,0.13043478260869565,0.7547169811320755,0.09333333333333334,0.8614762386248737,0.12180974477958237,0.8733075435203095,0.8565629228687416,0.39,0.776111944027986,0.015,0.08,0.7738693467336684,0.426,0.525,0.9020979020979021,0.633,1.6630944,1.1075689,443227968,1329683904,214.76777172088623,102025
3,0.661158172476045,0.5943564365144589,0.661158172476045,0.47135622687896983,0.6911782286347521,0.661158172476045,0.5528989000987825,0.661158172476045,0.661158172476045,0.5401727098756661,0.8062268012815755,0.4546559062870576,0.1317365269461078,0.8862559241706162,0.09905660377358491,0.6666666666666666,0.11538461538461539,0.867579908675799,0.23503325942350334,0.9538934426229508,0.9059474412171508,0.66,0.9345327336331835,0.21,0.084,0.49748743718592964,0.475,0.53,0.9300699300699301,0.655,1.2836764,0.94668394,443227968,1772911872,228.35782670974731,102025
4,0.6318566865713096,0.5699782414950763,0.6318566865713096,0.48764744373431707,0.6764859427674143,0.6318566865713096,0.605060483348588,0.6318566865713096,0.6318566865713096,0.5646690917452637,0.8401265276869265,0.5165800974318151,0.19571045576407506,0.9662201514269074,0.1195079086115993,0.684931506849315,0.10869565217391304,0.892018779342723,0.23895253682487724,0.9628865979381444,0.9130982367758187,0.73,0.8290854572713643,0.34,0.1,0.678391959798995,0.38,0.73,0.9330669330669331,0.725,1.2378966,0.9631954,443227968,2216139840,225.1815061569214,102025
5,0.6307457297597556,0.5705586394209958,0.6307457297597556,0.5083339735728165,0.6685223602249402,0.6307457297597556,0.6249643465249795,0.6307457297597556,0.6307457297597556,0.5729208528415624,0.8456871081972148,0.5330085148781449,0.268370607028754,0.9749318801089918,0.12993039443155452,0.5547445255474452,0.0958904109589041,0.9203980099502488,0.33014354066985646,0.9735449735449735,0.9083333333333333,0.84,0.8940529735132434,0.28,0.152,0.8090452261306532,0.2775,0.69,0.919080919080919,0.763,1.0841807,0.90328264,443227968,2659367808,221.0596399307251,102025
6,0.6169976392167754,0.5567141639101303,0.6169976392167754,0.4800903596998224,0.6396609974674351,0.6169976392167754,0.6146321112935255,0.6169976392167754,0.6169976392167754,0.584287765776229,0.8570486006938501,0.4591813215922249,0.28135593220338984,0.971396522714526,0.09431137724550898,0.75,0.09712722298221614,0.9430379746835443,0.27735849056603773,0.9663265306122449,0.8776758409785933,0.83,0.8655672163918041,0.315,0.042,0.7135678391959799,0.2235,0.735,0.9460539460539461,0.861,1.0199282,0.9125056,443227968,3102595776,216.2524769306183,102025
7,0.6511595611720594,0.5925139338656066,0.6511595611720594,0.5491913971248537,0.6877850043362405,0.6511595611720594,0.6260588360420354,0.6511595611720594,0.6511595611720594,0.6194509721018924,0.8540933640094187,0.5203594397812698,0.6261682242990654,0.9770544290288153,0.1392857142857143,0.5379310344827586,0.09209837781266353,0.9213483146067416,0.3842239185750636,0.9831932773109243,0.9137554585152838,0.67,0.9150424787606197,0.195,0.156,0.8844221105527639,0.287,0.755,0.935064935064935,0.837,1.0287808,0.8119416,443227968,3545823744,218.9466187953949,102025
8,0.6639355645049299,0.6053255353976821,0.6639355645049299,0.5458856442740618,0.6897424501740033,0.6639355645049299,0.6338568637182018,0.6639355645049299,0.6639355645049299,0.6015801055283612,0.8457907397280885,0.5302329344287853,0.5259259259259259,0.9525711432850724,0.13649851632047477,0.5034013605442177,0.09879518072289156,0.9361702127659575,0.37623762376237624,0.9821052631578947,0.9025157232704403,0.71,0.9535232383808095,0.23,0.148,0.8241206030150754,0.286,0.76,0.932067932067932,0.861,0.9932671,0.788163,443227968,3989051712,224.22760200500488,102025
9,0.7205943618941814,0.6659305573124241,0.7205943618941814,0.5930042702399324,0.747899276765199,0.7205943618941814,0.6717786560813238,0.7205943618941814,0.7205943618941814,0.6080944550540618,0.8390404804803789,0.618139267541862,0.5374149659863946,0.9478346456692913,0.13009708737864079,0.5307692307692308,0.141091658084449,0.9054726368159204,0.4,0.9754601226993865,0.904709748083242,0.79,0.9625187406296851,0.335,0.276,0.6884422110552764,0.455,0.76,0.9530469530469531,0.826,0.90543723,0.6976353,443227968,4432279680,218.53062748908997,102025
