epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.24218858491876127,0.137344910697333,0.24218858491876127,0.15304133499790212,0.24086988747487115,0.24218858491876127,0.18910228465002332,0.24218858491876127,0.24218858491876127,0.15828068381534555,0.2538551655998676,0.0,0.0,0.0,0.04158004158004158,0.0,0.023382272974442633,0.4825918762088975,0.03421633554083885,0.2593192868719611,0.5834363411619283,0.0,0.0,0.2,0.0,0.21608040201005024,0.499,0.155,0.15984015984015984,0.472,2.551816,2.063946,480608640,480608640,243.6160261631012,102025
1,0.4284127204554923,0.3536419474947138,0.4284127204554923,0.31539285917150806,0.46607636429376237,0.4284127204554923,0.38933248639032425,0.4284127204554923,0.4284127204554923,0.4616734185479111,0.75237033425768,0.0,0.08163265306122448,0.8203076923076923,0.0,0.5614035087719298,0.0677648820666417,0.9170731707317074,0.08467309753483387,0.7461300309597523,0.8760757314974182,0.08,0.6661669165417291,0.0,0.128,0.9095477386934674,0.094,0.395,0.7222777222777222,0.509,2.0701814,1.501458,480608640,961217280,236.38280534744263,102025
2,0.5978336342174698,0.5282671286946224,0.5978336342174698,0.4395790048396635,0.6490924580015119,0.5978336342174698,0.5180784558780158,0.5978336342174698,0.5978336342174698,0.5286286361881848,0.8061753783033482,0.4380438909297833,0.12941176470588237,0.9359810314167161,0.12222222222222222,0.6808510638297872,0.09985835694050992,0.8654404646660213,0.15117891816920942,0.8572727272727273,0.9154411764705882,0.44,0.7891054472763618,0.165,0.128,0.7085427135678392,0.447,0.545,0.942057942057942,0.498,1.5651388,1.1183826,480608640,1441825920,235.8179416656494,102025
3,0.6324121649770865,0.5683599448436883,0.6324121649770865,0.4760023585049315,0.6749905960262935,0.6324121649770865,0.590154027524915,0.6324121649770865,0.6324121649770865,0.574989958450087,0.8438733605615312,0.4833031199653869,0.21937321937321938,0.9607403252944475,0.12,0.8108108108108109,0.10833333333333334,0.896049896049896,0.2140468227424749,0.925242718446602,0.9203125,0.77,0.856071964017991,0.36,0.06,0.6532663316582915,0.431,0.64,0.952047952047952,0.589,1.2269025,1.0093621,480608640,1922434560,230.7171368598938,102025
4,0.5486737953062075,0.48674800712628186,0.5486737953062075,0.42912543928383684,0.5726157774572926,0.5486737953062075,0.5708515603450924,0.5486737953062075,0.5486737953062075,0.5714982185898232,0.8631136366058227,0.4045296528728745,0.22285714285714286,0.9723889555822329,0.06662591687041565,0.7391304347826086,0.11669128508124077,0.9663865546218487,0.19002375296912113,0.975531914893617,0.893848009650181,0.78,0.8095952023988006,0.545,0.034,0.3969849246231156,0.115,0.8,0.916083916083916,0.741,1.1344634,1.066594,480608640,2403043200,234.08799266815186,102025
5,0.6365782530204138,0.5766772013933765,0.6365782530204138,0.4975699276094272,0.6606359836189707,0.6365782530204138,0.6213234179277589,0.6365782530204138,0.6365782530204138,0.5957051542446475,0.8588708343163362,0.4801713039180587,0.3023255813953488,0.9675704412546517,0.10478359908883828,0.7586206896551724,0.10451306413301663,0.9302325581395349,0.32175925925925924,0.9645390070921985,0.9070021881838074,0.78,0.9095452273863068,0.46,0.044,0.6633165829145728,0.26,0.695,0.951048951048951,0.829,1.0691289,0.883918,480608640,2883651840,240.04484105110168,102025
6,0.6610193028746008,0.6028118234339799,0.6610193028746008,0.5433124111296093,0.6947175097679007,0.6610193028746008,0.6288746304263696,0.6610193028746008,0.6610193028746008,0.6050368112489873,0.8543200165332032,0.5278048393292903,0.47368421052631576,0.9816079873883342,0.15,0.5693430656934306,0.09505280711506392,0.9345509893455098,0.3804347826086957,0.959,0.901657458563536,0.72,0.9335332333833083,0.21,0.156,0.8592964824120602,0.307,0.7,0.958041958041958,0.816,1.0287877,0.809776,480608640,3364260480,242.10210275650024,102025
7,0.6472712123316207,0.5876310833384925,0.6472712123316207,0.5332332208312689,0.6857897605514028,0.6472712123316207,0.6212040011791732,0.6472712123316207,0.6472712123316207,0.6027805179291423,0.850129823142652,0.5240579486905091,0.5565217391304348,0.9782146652497343,0.13812154696132597,0.5396825396825397,0.09722222222222222,0.9164222873900293,0.30093457943925234,0.9757639620653319,0.9221411192214112,0.64,0.920039980009995,0.25,0.136,0.8442211055276382,0.3125,0.805,0.9250749250749251,0.758,1.0323519,0.8342454,480608640,3844869120,237.76634621620178,102025
8,0.6876822663518956,0.629796430484895,0.6876822663518956,0.5580912494196688,0.7190967034256692,0.6876822663518956,0.6428451416053895,0.6876822663518956,0.6876822663518956,0.6104048975764591,0.8483388521311656,0.5548864700255145,0.5073529411764706,0.9504950495049505,0.13769751693002258,0.5811965811965812,0.11379800853485064,0.9170506912442397,0.38213399503722084,0.9811122770199371,0.9228070175438596,0.69,0.95952023988006,0.305,0.136,0.8040201005025126,0.398,0.77,0.9340659340659341,0.789,0.9666318,0.7771651,480608640,4325477760,234.26415371894836,102025
9,0.655464518816831,0.5983257759329622,0.655464518816831,0.5521736558784941,0.6821776936482913,0.655464518816831,0.6650066248012501,0.655464518816831,0.655464518816831,0.6124285872581852,0.8595876587404362,0.5725658446921513,0.5337837837837838,0.9802392095683827,0.12155388471177944,0.5333333333333333,0.11343930635838151,0.9372693726937269,0.382830626450116,0.9891891891891892,0.9202185792349726,0.79,0.9420289855072463,0.485,0.144,0.7889447236180904,0.254,0.825,0.9140859140859141,0.842,0.91558313,0.81299627,480608640,4806086400,236.62490248680115,102025
10,0.6842105263157895,0.629167146010785,0.6842105263157895,0.5729500135926039,0.7145483984910026,0.6842105263157895,0.6830591822628995,0.6842105263157895,0.6842105263157895,0.5960228388032643,0.8488882386017509,0.6301078648098015,0.3805309734513274,0.9839829151094501,0.11961722488038277,0.48639455782312924,0.13618290258449303,0.9167842031029619,0.45454545454545453,0.9753593429158111,0.9108079748163693,0.86,0.92103948025987,0.5,0.286,0.6884422110552764,0.325,0.75,0.949050949050949,0.868,0.9297279,0.74914575,480608640,5286695040,244.6875455379486,102025
