epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.09443132898208582,0.05362559502702069,0.09443132898208581,0.07787257216315838,0.07407338470064292,0.09443132898208582,0.16973305951446654,0.09443132898208582,0.09443132898208582,0.14681718950080272,0.19942804339920941,0.0,0.0,0.0,0.03885003885003885,0.0,0.05789473684210526,0.21428571428571427,0.02825670498084291,0.5,0.4820675105485232,0.0,0.0,0.25,0.0,0.22110552763819097,0.0015,0.59,0.007992007992007992,0.457,2.4644623,2.1125119,443227968,443227968,551.5356175899506,102025
1,0.5217330926260242,0.43369412371410154,0.5217330926260242,0.3630478103404735,0.5496725869337519,0.5217330926260242,0.40399811964587123,0.5217330926260242,0.5217330926260242,0.4084309883782036,0.6746236403362625,0.34139490160710884,0.04704301075268817,0.8780804150453956,0.09554140127388536,0.3346613545816733,0.1299559471365639,0.7782705099778271,0.10677083333333333,0.4708215297450425,0.834733893557423,0.35,0.33833083458270863,0.15,0.168,0.2964824120603015,0.702,0.205,0.8301698301698301,0.596,2.1054573,1.4654359,443227968,886455936,215.99765253067017,102025
2,0.542702402444105,0.47299818581034814,0.542702402444105,0.4010136952836968,0.598449657103118,0.542702402444105,0.4753059433496476,0.542702402444105,0.542702402444105,0.5221667675643072,0.7999695852185592,0.3193227405172571,0.18584070796460178,0.9511584220413275,0.13333333333333333,0.6101694915254238,0.08259449370041998,0.8528974739970282,0.12458286985539488,0.9055555555555556,0.8533685601056803,0.21,0.7591204397801099,0.04,0.072,0.8894472361809045,0.287,0.56,0.8141858141858141,0.646,1.5499487,1.1838164,443227968,1329683904,222.39336514472961,102025
3,0.5578391890015275,0.49393926291345824,0.5578391890015275,0.4455888929800281,0.5819312017393153,0.5578391890015275,0.5303617012756112,0.5578391890015275,0.5578391890015275,0.6012136591939118,0.8496253387091275,0.36654276600816865,0.6545454545454545,0.9654036243822076,0.09523809523809523,0.6071428571428571,0.07621052631578948,0.9401709401709402,0.21299093655589124,0.9793577981651376,0.879862700228833,0.36,0.8785607196401799,0.12,0.068,0.9095477386934674,0.11,0.705,0.8531468531468531,0.769,1.2750525,0.9939848,443227968,1772911872,221.1661238670349,102025
4,0.6361616442160811,0.5734766636146811,0.6361616442160811,0.5222784236355719,0.6828264220780271,0.6361616442160811,0.5991817897061205,0.6361616442160811,0.6361616442160811,0.5983762650305043,0.8393347496346972,0.5209296258869796,0.625,0.9638297872340426,0.152,0.5255474452554745,0.09863523573200993,0.9,0.22652757078986588,0.9721329046087889,0.9217134416543574,0.6,0.9055472263868066,0.285,0.144,0.7989949748743719,0.369,0.76,0.906093906093906,0.624,1.157822,0.91380626,443227968,2216139840,216.32377219200134,102025
5,0.7333703652270518,0.6775191680814061,0.7333703652270518,0.567574115229254,0.7629961727870287,0.7333703652270518,0.6491666694988214,0.7333703652270518,0.7333703652270518,0.579069547465957,0.8274891615391118,0.5974280765351431,0.26126126126126126,0.9523068947641264,0.12213740458015267,0.5462962962962963,0.21921921921921922,0.860803324099723,0.35792349726775957,0.9875986471251409,0.9040793825799338,0.87,0.9180409795102449,0.48,0.236,0.36683417085427134,0.6215,0.655,0.8751248751248751,0.82,0.9937459,0.7767872,443227968,2659367808,223.82719492912292,102025
6,0.6592139980558256,0.6004110657522044,0.6592139980558256,0.529011706001738,0.6812114959884318,0.6592139980558256,0.6399683899194798,0.6592139980558256,0.6592139980558256,0.5894626580005005,0.8432560288582934,0.5292128764686954,0.39215686274509803,0.9599794766546947,0.12211221122112212,0.5802469135802469,0.10404624277456648,0.9238249594813615,0.3681592039800995,0.9811320754716981,0.8735059760956175,0.8,0.935032483758121,0.37,0.094,0.7236180904522613,0.285,0.74,0.935064935064935,0.877,1.0546805,0.83182037,443227968,3102595776,218.765132188797,102025
7,0.6711567837800305,0.6123376612600036,0.6711567837800305,0.5485015016902332,0.6911171836719896,0.6711567837800305,0.6431238777780105,0.6711567837800305,0.6711567837800305,0.5975674685186971,0.8391376581283232,0.5743069887376485,0.47183098591549294,0.9266187050359712,0.11263736263736264,0.6022727272727273,0.12760180995475112,0.9255663430420712,0.3393258426966292,0.9752577319587629,0.8969957081545065,0.67,0.9655172413793104,0.41,0.212,0.7085427135678392,0.286,0.755,0.945054945054945,0.836,0.9313675,0.78803456,443227968,3545823744,212.92465448379517,102025
8,0.6621302596861547,0.6044998308178975,0.6621302596861547,0.5517829904366887,0.6821587797555917,0.6621302596861547,0.6545281671487889,0.6621302596861547,0.6621302596861547,0.602336916501494,0.8477785155827866,0.5747101501733125,0.44047619047619047,0.9552088575742325,0.09991876523151909,0.5088757396449705,0.14651162790697675,0.9389312977099237,0.4551282051282051,0.9853095487932844,0.8906720160481444,0.74,0.9485257371314343,0.615,0.172,0.6331658291457286,0.246,0.71,0.938061938061938,0.888,0.9261711,0.7741154,443227968,3989051712,223.81711602210999,102025
9,0.6185252048326622,0.5597238279673205,0.6185252048326622,0.5293214341945949,0.634994306690599,0.6185252048326622,0.6277717946656831,0.6185252048326622,0.6185252048326622,0.6465302962359346,0.872055334724599,0.4881062476472451,0.7386363636363636,0.9804852320675106,0.12223858615611193,0.6349206349206349,0.09114857744994731,0.9543973941368078,0.4036458333333333,0.9852786540483701,0.9080213903743316,0.65,0.9290354822588706,0.415,0.08,0.8693467336683417,0.1465,0.775,0.936063936063936,0.849,0.8896842,0.8456416,443227968,4432279680,217.44822144508362,102025
