epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.1388888888888889,0.0,0.1388888888888889,0.02710027100271003,0.03387533875338754,0.1388888888888889,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.0154320987654321,0.019290123456790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.467437,2.202285,154862784,154862784,89.97340440750122,102025
1,0.027777777777777776,-0.00028579594169753086,0.027777777777777776,0.006020650832354977,0.0015051627080887443,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0030941551409387666,0.0007735387852346917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278473962684489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2283216,2.2000587,154862784,309725568,87.80366516113281,102025
2,0.03305555555555555,0.005428571428571449,0.03305555555555555,0.01705440271739233,0.004263600679348083,0.03305555555555555,0.1322222222222222,0.03305555555555555,0.03305555555555555,0.010174288821125532,0.002543572205281383,0.0,0.0,0.0,0.03007518796992481,0.0,0.0,0.0,0.06149341142020498,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.21,0.0,0.0,2.198966,2.1819253,154862784,464588352,86.8760757446289,102025
3,0.19069444444444444,0.12524472856240332,0.19069444444444444,0.12830941763942807,0.1377274524226936,0.19069444444444444,0.24950000000000003,0.19069444444444444,0.19069444444444444,0.18829617452933073,0.3015477714474655,0.0,0.0398406374501992,0.6595744680851063,0.05013039698638076,0.125,0.0,0.0,0.055793991416309016,0.3854692230070636,0.37885685381891754,0.1,0.0155,0.865,0.004,0.0,0.0,0.13,0.382,0.749,2.1822119,1.8329324,154862784,619451136,88.0937933921814,102025
4,0.34847222222222224,0.2524104225875854,0.34847222222222224,0.21885800942078137,0.3178318660626313,0.34847222222222224,0.297,0.34847222222222224,0.34847222222222224,0.3065526225859979,0.5204872871812318,0.0,0.028089887640449437,0.48333333333333334,0.06695278969957082,0.4090909090909091,0.08984375,0.8604651162790697,0.0,0.2893296853625171,0.5318681318681319,0.05,0.0435,0.39,0.036,0.23,0.3515,0.0,0.846,0.726,1.8479204,1.7409505,154862784,774313920,92.72668695449829,102025
5,0.3179166666666667,0.2330540366433208,0.3179166666666667,0.20324734965313312,0.27543360180845083,0.3179166666666667,0.3052222222222223,0.3179166666666667,0.3179166666666667,0.3341921763444895,0.5650654029262815,0.10907163096750967,0.008403361344537815,0.532258064516129,0.05475040257648953,0.5,0.08112094395280237,0.9333333333333333,0.04823747680890538,0.39189848706686187,0.45772751750134627,0.01,0.099,0.17,0.002,0.55,0.133,0.13,0.803,0.85,1.7795262,1.7224495,154862784,929176704,92.56062531471252,102025
6,0.41597222222222224,0.326692775224002,0.41597222222222224,0.31231953191165357,0.4981556532195208,0.41597222222222224,0.3195555555555556,0.41597222222222224,0.41597222222222224,0.42048754716831854,0.6957610690838965,0.2902646749478755,0.03488372093023256,0.6835871404399323,0.039420756234915526,0.22840236686390533,0.054460093896713614,0.8279883381924198,0.08222811671087533,0.907859078590786,0.9255583126550868,0.12,0.404,0.245,0.386,0.29,0.568,0.155,0.335,0.373,1.7184311,1.838593,154862784,1084039488,87.39120721817017,102025
7,0.5166666666666667,0.4421400661256387,0.5166666666666667,0.3924185498228144,0.576643414304644,0.5166666666666667,0.4491666666666667,0.5166666666666667,0.5166666666666667,0.45897810988529003,0.7498490035938729,0.39591311049733446,0.08415841584158416,0.881619937694704,0.06901840490797546,0.36716417910447763,0.10398050365556458,0.865021770682148,0.10101010101010101,0.7763845350052246,0.8824451410658307,0.17,0.7075,0.225,0.246,0.64,0.298,0.45,0.743,0.563,1.886945,1.4913374,154862784,1238902272,86.84082651138306,102025
8,0.5684722222222223,0.48981588543982924,0.5684722222222223,0.397939229955124,0.6139282497239872,0.5684722222222223,0.44438888888888894,0.5684722222222223,0.5684722222222223,0.44754153329445195,0.733885422816006,0.34995817059411355,0.0589171974522293,0.9581749049429658,0.052083333333333336,0.4279835390946502,0.10237849017580145,0.7862686567164179,0.12219451371571072,0.6507142857142857,0.8691588785046729,0.37,0.504,0.05,0.208,0.495,0.6585,0.245,0.911,0.558,1.4454845,1.4592273,154862784,1393765056,91.21562576293945,102025
9,0.5688888888888889,0.4938179050863274,0.5688888888888889,0.41244079896702435,0.6190349693361954,0.5688888888888889,0.46505555555555556,0.5688888888888889,0.5688888888888889,0.4577069254827317,0.7436511460763955,0.4204434847609866,0.06518010291595197,0.9390243902439024,0.0740242261103634,0.3888888888888889,0.13183279742765272,0.8295557570262919,0.14482758620689656,0.675812274368231,0.870216306156406,0.38,0.693,0.275,0.196,0.41,0.4575,0.315,0.936,0.523,1.4356261,1.4048142,154862784,1548627840,91.3051962852478,102025
10,0.5676388888888889,0.4974405198334487,0.5676388888888889,0.41450528537903225,0.6292063812101059,0.5676388888888889,0.48183333333333334,0.5676388888888889,0.5676388888888889,0.5235036299157847,0.8001205528530029,0.3342581471165833,0.12254901960784313,0.9608819345661451,0.16666666666666666,0.6507936507936508,0.08070356958096224,0.837967401725791,0.14490861618798956,0.8712273641851107,0.8758344459279038,0.25,0.6755,0.035,0.082,0.78,0.437,0.555,0.866,0.656,1.4119654,1.3520824,154862784,1703490624,91.99501490592957,102025
11,0.5534722222222223,0.4828556875150801,0.5534722222222223,0.4072388731473353,0.6075368037224155,0.5534722222222223,0.46794444444444444,0.5534722222222223,0.5534722222222223,0.46827655355603665,0.7701750729982232,0.39418620876063454,0.07167235494880546,0.9525521207764198,0.08045977011494253,0.42731277533039647,0.11047070124879924,0.8837209302325582,0.09324452901998097,0.7260902830910482,0.8689655172413793,0.21,0.6625,0.14,0.194,0.575,0.361,0.49,0.949,0.63,1.2676255,1.3844128,154862784,1858353408,90.14931750297546,102025
12,0.6080555555555556,0.5328061659726422,0.6080555555555556,0.41823195625544846,0.6385916741682948,0.6080555555555556,0.48105555555555557,0.6080555555555556,0.6080555555555556,0.47040769645150404,0.7549579405829963,0.3827024258887155,0.08137044967880086,0.8796250616674889,0.0670391061452514,0.3935483870967742,0.12221144519883609,0.8574108818011257,0.142,0.7750410509031199,0.9154228855721394,0.38,0.8915,0.06,0.244,0.63,0.457,0.355,0.944,0.368,1.2631029,1.4001617,154862784,2013216192,90.4822633266449,102025
13,0.5327777777777778,0.46201703630487656,0.5327777777777778,0.3900771776044598,0.5544335591977925,0.5327777777777778,0.4711666666666667,0.5327777777777778,0.5327777777777778,0.4988651674770728,0.7882000704118796,0.3762963183493787,0.1308016877637131,0.925,0.06540447504302926,0.6442307692307693,0.088348271446863,0.9305135951661632,0.13427561837455831,0.6969263759828449,0.8742857142857143,0.31,0.7955,0.19,0.134,0.69,0.154,0.38,0.975,0.612,1.3275115,1.3920089,154862784,2168078976,85.25679993629456,102025
14,0.61125,0.5424871619075294,0.61125,0.46107076197122443,0.6608829187144231,0.61125,0.5147777777777779,0.61125,0.61125,0.5350821755293963,0.8006808213861332,0.4256868910503079,0.40476190476190477,0.9181011997913406,0.10038610038610038,0.3602150537634409,0.09551656920077972,0.8856172140430351,0.191800878477306,0.945054945054945,0.9142857142857143,0.17,0.88,0.13,0.268,0.735,0.391,0.655,0.86,0.544,1.2168642,1.2511224,154862784,2322941760,91.04704904556274,102025
15,0.5513888888888889,0.48272755783615695,0.5513888888888889,0.4066214322873237,0.599419812502154,0.5513888888888889,0.4833888888888889,0.5513888888888889,0.5513888888888889,0.49831836590304474,0.7998959488468247,0.40689681329420135,0.12110726643598616,0.9636363636363636,0.07203389830508475,0.5416666666666666,0.10387323943661972,0.9147909967845659,0.10435779816513761,0.7641509433962265,0.8992481203007519,0.35,0.742,0.255,0.104,0.59,0.2845,0.455,0.972,0.598,1.1842241,1.3687547,154862784,2477804544,90.416916847229,102025
16,0.6825,0.6206403791014778,0.6825,0.5171173176195025,0.7156786425388398,0.6825,0.5762777777777778,0.6825,0.6825,0.5472157785190972,0.8083632915532561,0.496411241238228,0.24022346368715083,0.9225741578682756,0.10784313725490197,0.4694835680751174,0.11286503551696922,0.884871550903901,0.3558282208588957,0.9403437815975733,0.8909090909090909,0.43,0.9175,0.165,0.2,0.715,0.465,0.58,0.93,0.784,1.2117,1.1695231,154862784,2632667328,92.89465761184692,102025
17,0.6529166666666667,0.586179297465254,0.6529166666666667,0.4820038526492293,0.6955769245089337,0.6529166666666667,0.5266111111111111,0.6529166666666667,0.6529166666666667,0.5664694560746972,0.8027787614694497,0.381080290332425,0.6875,0.9520435967302452,0.10869565217391304,0.34029227557411273,0.09851169383416017,0.8550488599348535,0.21331058020477817,0.9048525214081827,0.9379699248120301,0.22,0.8735,0.025,0.326,0.695,0.525,0.625,0.951,0.499,1.1012152,1.2390622,154862784,2787530112,93.42980360984802,102025
18,0.6805555555555556,0.6208322457446662,0.6805555555555556,0.5322460689513219,0.7240927377976079,0.6805555555555556,0.6061666666666666,0.6805555555555556,0.6805555555555556,0.542310361014337,0.8128741538053038,0.5646233197205169,0.21660649819494585,0.9804041641151255,0.10786106032906764,0.3978201634877384,0.13347685683530677,0.8590381426202321,0.3507692307692308,0.9412935323383085,0.893523600439078,0.6,0.8005,0.295,0.292,0.62,0.518,0.57,0.946,0.814,1.1955223,1.1230936,154862784,2942392896,94.40269207954407,102025
19,0.64625,0.5734224091408154,0.64625,0.4402294202863933,0.6915392483470894,0.64625,0.49033333333333334,0.64625,0.64625,0.5484424430644869,0.8055467956270997,0.3476412267148151,0.06188281764318631,0.9704499664204164,0.09090909090909091,0.5448275862068965,0.2905405405405405,0.7794045876037091,0.3157894736842105,0.9330628803245437,0.9491150442477876,0.94,0.7225,0.17,0.158,0.215,0.7985,0.06,0.92,0.429,1.1138082,1.3258687,154862784,3097255680,88.79979157447815,102025
20,0.6544444444444445,0.5928560713847385,0.6544444444444445,0.5013259512948945,0.6877119851376057,0.6544444444444445,0.5943888888888889,0.6544444444444445,0.6544444444444445,0.5291689560751255,0.809525037500355,0.5225557042030653,0.23076923076923078,0.9484978540772532,0.11246200607902736,0.4295774647887324,0.11900532859680284,0.9011124845488258,0.21986970684039087,0.9187380497131931,0.8824884792626728,0.6,0.884,0.185,0.244,0.67,0.3645,0.675,0.961,0.766,1.4009603,1.1338677,154862784,3252118464,92.1256775856018,102025
