epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2777777777777778,0.0,0.2777777777777778,0.04830917874396136,0.1207729468599034,0.2777777777777778,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.0308641975308642,0.07716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.2072716,1.8571547,154862784,154862784,83.72361135482788,102025
1,0.5015277777777778,0.3212827988338194,0.5015277777777778,0.1869812413791791,0.40842745195444574,0.5015277777777778,0.2198888888888889,0.5015277777777778,0.5015277777777778,0.17623351551235805,0.36444722567750737,0.0,0.0,0.4043967280163599,0.0,0.0,0.0,0.6335216572504708,0.0,0.0,0.5481832543443917,0.0,0.791,0.0,0.0,0.0,0.841,0.0,0.0,0.347,1.8151188,1.5693018,154862784,309725568,83.2375979423523,102025
2,0.5168055555555555,0.3897532097351817,0.5168055555555555,0.2395117702966296,0.4716215316607809,0.5168055555555555,0.2796111111111111,0.5168055555555555,0.5168055555555555,0.22495087497431598,0.4630308481028417,0.0,0.0,0.5823235923022095,0.0,0.0,0.0,0.7269406392694064,0.0,0.33001422475106684,0.3852794184461608,0.0,0.4085,0.0,0.0,0.0,0.796,0.0,0.464,0.848,1.5175924,1.446051,154862784,464588352,86.68019890785217,102025
3,0.6983333333333334,0.6058672312112506,0.6983333333333334,0.3357478148989652,0.6352908391661213,0.6983333333333334,0.36488888888888893,0.6983333333333334,0.6983333333333334,0.3847130129544842,0.6323611037508757,0.0,0.0,0.7633079847908745,0.0,0.6666666666666666,0.0,0.6606081789584062,0.0,0.6545615589016829,0.7172727272727273,0.0,0.803,0.0,0.008,0.0,0.945,0.0,0.739,0.789,1.4014287,1.1160496,154862784,619451136,83.42952179908752,102025
4,0.7151388888888889,0.6306537942073933,0.7151388888888888,0.3415060011510988,0.6541358644441936,0.7151388888888889,0.37549999999999994,0.7151388888888889,0.7151388888888889,0.37885849457403764,0.6542346993034583,0.0,0.0,0.8624612202688728,0.0,0.5,0.0,0.6883021635496883,0.0,0.5476190476190477,0.8113440197287299,0.0,0.834,0.0,0.006,0.0,0.9385,0.0,0.943,0.658,1.1365136,0.9842101,154862784,774313920,83.82808375358582,102025
5,0.7313888888888889,0.654236379076593,0.7313888888888889,0.3635837516828281,0.6755754179097114,0.7313888888888889,0.3962777777777778,0.7313888888888889,0.7313888888888889,0.40582865114878064,0.6696088034346185,0.0,0.0,0.9094510469722694,0.0,0.4375,0.0,0.7065959059893859,0.2857142857142857,0.6017755231452124,0.7114210985178727,0.0,0.8035,0.0,0.056,0.0,0.932,0.01,0.949,0.816,0.9972668,0.9201737,154862784,929176704,87.30022478103638,102025
6,0.7404166666666666,0.6612263702070132,0.7404166666666666,0.37003433314725614,0.683307896915076,0.7404166666666666,0.39,0.7404166666666666,0.7404166666666666,0.41334372190755697,0.6765188986037687,0.0,0.0,0.8737446197991392,0.0,0.37383177570093457,0.0,0.6640138408304498,0.25,0.6588072122052705,0.8996960486322189,0.0,0.9135,0.0,0.08,0.0,0.9595,0.015,0.95,0.592,0.8874321,0.89362293,154862784,1084039488,87.86101722717285,102025
7,0.7688888888888888,0.6987273463373174,0.7688888888888887,0.41053190871142525,0.7166873841434802,0.7688888888888888,0.4232222222222222,0.7688888888888888,0.7688888888888888,0.43893338446985924,0.7016071638070983,0.0,0.0,0.8585034013605443,0.0,0.45454545454545453,0.0,0.6817051509769094,0.2647058823529412,0.8123348017621146,0.8786057692307693,0.0,0.9465,0.0,0.07,0.0,0.9595,0.18,0.922,0.731,0.7870107,0.8214066,154862784,1238902272,85.77591800689697,102025
8,0.7691666666666667,0.6984836497225819,0.7691666666666667,0.39073439854550623,0.7076473065972029,0.7691666666666667,0.4113888888888889,0.7691666666666667,0.7691666666666667,0.444464424587903,0.6970475618071524,0.0,0.0,0.8724090280976509,0.0,0.4375,0.0,0.6806930693069307,0.39473684210526316,0.740139211136891,0.8747016706443914,0.0,0.947,0.0,0.028,0.0,0.9625,0.075,0.957,0.733,0.76538646,0.7953196,154862784,1393765056,83.36786389350891,102025
9,0.7748611111111111,0.7068023895534911,0.7748611111111111,0.4000209710224894,0.7141835583532389,0.7748611111111111,0.4212777777777778,0.7748611111111111,0.7748611111111111,0.4613274878586393,0.7108949258942134,0.0,0.0,0.854781054512958,0.0,0.6521739130434783,0.0,0.7044686443860307,0.3333333333333333,0.747866563227308,0.8593238822246456,0.0,0.9565,0.0,0.03,0.0,0.938,0.115,0.964,0.788,0.7233379,0.7690493,154862784,1548627840,84.31434988975525,102025
10,0.7733333333333333,0.7029614368593349,0.7733333333333333,0.4194418860845778,0.721392951230334,0.7733333333333333,0.4269444444444444,0.7733333333333333,0.7733333333333333,0.4641501827890023,0.715737000559395,0.0,0.0,0.8309616213885296,0.0,0.5094339622641509,0.0,0.6643717728055077,0.3308270676691729,0.9487726787620064,0.8929845422116528,0.0,0.9635,0.0,0.054,0.0,0.965,0.22,0.889,0.751,0.7645374,0.8075325,154862784,1703490624,89.354079246521,102025
