epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.056173463655769015,0.0,0.056173463655769015,0.010637166258908627,0.005975264722451763,0.056173463655769015,0.1,0.056173463655769015,0.056173463655769015,0.005617346365576902,0.003155458019086002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056173463655769015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.712142,2.3771174,186905600,186905600,114.18174386024475,102090
1,0.056173463655769015,0.0,0.056173463655769015,0.010637166258908627,0.005975264722451763,0.056173463655769015,0.1,0.056173463655769015,0.056173463655769015,0.005617346365576902,0.003155458019086002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056173463655769015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5104911,2.379743,186905600,373811200,113.3232696056366,102090
2,0.15874620829120323,0.10647051977715594,0.15874620829120323,0.10691182477391385,0.0952965570911856,0.15874620829120323,0.22135,0.15874620829120323,0.15874620829120323,0.13117173497993706,0.18853932084946115,0.0,0.0,0.5,0.04475043029259897,0.0,0.011682242990654205,0.07252747252747253,0.5808556925308195,0.0,0.0,0.10190151145782544,0.0,0.0025,0.26,0.0,0.05,0.264,0.801,0.0,0.0,0.836,2.518884,2.1667957,186905600,560716800,115.95302367210388,102090
3,0.10998764183799573,0.05910573648203743,0.10998764183799573,0.09992808982691723,0.07573750049704193,0.10998764183799573,0.19685000000000002,0.10998764183799573,0.10998764183799573,0.2722550169533245,0.42657200585995597,0.0,0.0,0.6363636363636364,0.0853122251539138,0.07317073170731707,0.06153846153846154,0.10900473933649289,0.8711484593837535,0.05903723887375113,0.75,0.07697467717591816,0.0,0.007,0.485,0.03,0.04,0.046,0.311,0.13,0.0015,0.918,2.1121974,2.08421,186905600,747622400,116.33388805389404,102090
4,0.34703965846534096,0.25006397256123636,0.34703965846534096,0.23554946836265667,0.33831820375892085,0.34703965846534096,0.3133929785107446,0.34703965846534096,0.34703965846534096,0.27415258657664493,0.4286116365575548,0.0,0.4008559201141227,0.5059445178335535,0.08635578583765112,0.0627062706270627,0.0,0.13714285714285715,0.7346278317152104,0.15217391304347827,0.5115887062789718,0.15013006317354144,0.14042978510744628,0.1915,0.25,0.38,0.0,0.048,0.681,0.028,0.607,0.808,2.0271342,1.8924167,186905600,934528000,117.05078411102295,102090
5,0.4412987304797214,0.3453952694199359,0.44129873047972135,0.32341158142213466,0.44034735283209925,0.4412987304797214,0.37358968015992,0.4412987304797214,0.4412987304797214,0.35553706386456174,0.5466224282824217,0.3045639956943452,0.6443057722308893,0.7154811715481172,0.08743169398907104,0.13970588235294118,0.07536764705882353,0.12117903930131005,0.7905236907730673,0.11581291759465479,0.5096488453021196,0.35591397849462364,0.2063968015992004,0.342,0.16,0.19,0.41,0.222,0.634,0.104,0.8055,0.662,1.8953528,1.8061558,186905600,1121433600,119.83681344985962,102090
6,0.6004943264801708,0.5240953668382269,0.6004943264801708,0.40284393500946375,0.6232408459882162,0.6004943264801708,0.4401198150924538,0.6004943264801708,0.6004943264801708,0.4417831764338838,0.6719671941733255,0.29878408897424386,0.7694267515923567,0.6950819672131148,0.10256410256410256,0.09090909090909091,0.059602649006622516,0.14375987361769352,0.8370118845500849,0.25980392156862747,0.8314663951120163,0.6282051282051282,0.6036981509245377,0.742,0.02,0.22,0.63,0.182,0.493,0.106,0.8165,0.588,1.8677223,1.6405885,186905600,1308339200,119.84461665153503,102090
7,0.574654533198517,0.49655127049252024,0.574654533198517,0.4094231774836503,0.59522410504529,0.574654533198517,0.4379236631684159,0.574654533198517,0.574654533198517,0.4596050759413247,0.6895504357517349,0.36007228574242844,0.7972768532526475,0.9178910976663786,0.12372304199772985,0.26,0.09375,0.1718907987866532,0.8686868686868687,0.11809045226130653,0.6735915492957747,0.571150097465887,0.526736631684158,0.531,0.545,0.13,0.24,0.34,0.43,0.094,0.9565,0.586,1.8233196,1.6458666,186905600,1495244800,112.86930179595947,102090
8,0.6546455454443321,0.588933634691446,0.6546455454443321,0.4595742764609304,0.6743608469713236,0.6546455454443321,0.502468015992004,0.6546455454443321,0.6546455454443321,0.5127310667999618,0.7379430506226342,0.4119929771485954,0.8349641226353555,0.793168880455408,0.14685314685314685,0.32432432432432434,0.07661290322580645,0.20696324951644102,0.876750700280112,0.33541666666666664,0.8851978505129457,0.6470588235294118,0.63968015992004,0.836,0.21,0.12,0.76,0.214,0.313,0.322,0.906,0.704,1.611375,1.4524059,186905600,1682150400,113.55317187309265,102090
9,0.7123918660824626,0.6550315782321646,0.7123918660824626,0.5015250134504092,0.7247121571573583,0.7123918660824626,0.5227151924037982,0.7123918660824626,0.7123918660824626,0.5239489456975709,0.7483532536070648,0.4303496911915354,0.8416918429003021,0.8288846520495711,0.20567375886524822,0.3181818181818182,0.08099173553719008,0.23792486583184258,0.800747198007472,0.40105540897097625,0.9037593984962407,0.6205787781350482,0.696151924037981,0.8695,0.145,0.14,0.49,0.266,0.643,0.304,0.9015,0.772,1.4102836,1.3512019,186905600,1869056000,113.77975511550903,102090
10,0.7130659476463319,0.6554594417901813,0.7130659476463319,0.501435397798637,0.7195204102652382,0.7130659476463319,0.5374667166416792,0.7130659476463319,0.7130659476463319,0.513137913655421,0.7465523353322223,0.4495554838276908,0.8688845401174168,0.847041847041847,0.16556291390728478,0.26666666666666666,0.11346153846153846,0.2608695652173913,0.84375,0.36153846153846153,0.8563063063063063,0.5472972972972973,0.6656671664167916,0.8805,0.125,0.24,0.59,0.264,0.567,0.282,0.9505,0.81,1.4027665,1.3281257,186905600,2055961600,112.78812861442566,102090
11,0.6603752387372205,0.5987313738224823,0.6603752387372205,0.45900656745463325,0.6861257229752238,0.6603752387372205,0.5173695152423787,0.6603752387372205,0.6603752387372205,0.5169423133704876,0.7691925034010446,0.32973266036022864,0.8918128654970761,0.7766540244416351,0.1937984496124031,0.16666666666666666,0.06896551724137931,0.26327433628318586,0.8844221105527639,0.37003058103975534,0.9789734075448361,0.5748251748251748,0.6096951524237881,0.9215,0.125,0.01,0.82,0.238,0.352,0.484,0.7915,0.822,1.2550492,1.3528603,186905600,2242867200,119.96779370307922,102090
12,0.7150881923379395,0.6613207262805794,0.7150881923379396,0.5175968942052231,0.7427519542392343,0.7150881923379395,0.5584637181409295,0.7150881923379395,0.7150881923379395,0.5637206747806076,0.8015541782970066,0.47569502272409914,0.9007444168734491,0.9070480081716037,0.1798780487804878,0.3142857142857143,0.08217716115261472,0.2697841726618705,0.8881856540084389,0.439453125,0.9145978152929494,0.7410526315789474,0.7256371814092953,0.888,0.295,0.11,0.77,0.3,0.421,0.45,0.921,0.704,1.2148759,1.2614818,186905600,2429772800,112.71545171737671,102090
13,0.7500280867318279,0.7008929703465205,0.7500280867318279,0.5484970373097131,0.7664432358444029,0.7500280867318279,0.5784610944527737,0.7500280867318279,0.7500280867318279,0.5550042228442694,0.7956997697168665,0.5208153636150932,0.8826530612244898,0.9276350288411117,0.17835671342685372,0.25,0.13313609467455623,0.26631393298059963,0.827123695976155,0.46487603305785125,0.9229249011857708,0.6970227670753065,0.7781109445277361,0.8845,0.445,0.19,0.45,0.302,0.555,0.45,0.934,0.796,1.388733,1.2330167,186905600,2616678400,115.36736917495728,102090
14,0.7031794180429165,0.648996734772747,0.7031794180429165,0.5169784102282815,0.7268261596411971,0.7031794180429165,0.5669691904047977,0.7031794180429165,0.7031794180429165,0.5511810627423903,0.8003440108651145,0.5040499358665993,0.9383561643835616,0.9236148466917697,0.16489361702127658,0.3018867924528302,0.09375,0.2710163111668758,0.8800959232613909,0.41776315789473684,0.8944911297852475,0.6259426847662142,0.616191904047976,0.8585,0.31,0.16,0.63,0.432,0.367,0.508,0.958,0.83,1.3287051,1.2230393,186905600,2803584000,111.10672736167908,102090
15,0.7396921694191664,0.6906513194632233,0.7396921694191663,0.5401960562423256,0.7664953491347416,0.7396921694191664,0.5828607946026987,0.7396921694191664,0.7396921694191664,0.5841259012036799,0.8226045210257684,0.49388306730903475,0.9053664166185805,0.9605479452054795,0.18181818181818182,0.3902439024390244,0.08385744234800839,0.3225225225225225,0.872651356993737,0.4630225080385852,0.9396378269617707,0.7215909090909091,0.7841079460269865,0.8765,0.16,0.16,0.8,0.358,0.418,0.576,0.934,0.762,1.1675739,1.1774101,186905600,2990489600,115.97391200065613,102090
16,0.6720593191776205,0.6172388557580369,0.6720593191776205,0.4985476991934307,0.7128908906743996,0.6720593191776205,0.5516259870064968,0.6720593191776205,0.6720593191776205,0.5595636002949591,0.8208649279800572,0.446009045247923,0.9629258517034068,0.9544943820224719,0.16666666666666666,0.3333333333333333,0.07085201793721974,0.2064439140811456,0.8561151079136691,0.341747572815534,0.9434826883910387,0.7595744680851064,0.4802598700649675,0.8495,0.09,0.14,0.79,0.346,0.476,0.704,0.9265,0.714,1.1035581,1.2467337,186905600,3177395200,114.43527221679688,102090
17,0.7289068643972587,0.6805346588323551,0.7289068643972588,0.5359602955362338,0.7632843496403616,0.7289068643972587,0.585515592203898,0.7289068643972587,0.7289068643972587,0.5795408798067684,0.8325056370307566,0.4834846338016124,0.9386503067484663,0.9631665750412315,0.15048543689320387,0.38235294117647056,0.07477567298105683,0.3094170403587444,0.8457538994800693,0.4117647058823529,0.9759229534510433,0.7431192660550459,0.6881559220389805,0.876,0.155,0.13,0.75,0.276,0.488,0.77,0.912,0.81,1.2340612,1.1888334,186905600,3364300800,119.97172832489014,102090
18,0.7373328839456241,0.6892465681411124,0.7373328839456241,0.5461421164551188,0.7719202610573838,0.7373328839456241,0.589413068465767,0.7373328839456241,0.7373328839456241,0.5909499217537472,0.8329073792226094,0.4862545011770049,0.9272271016311167,0.96353591160221,0.18867924528301888,0.3673469387755102,0.07289879931389365,0.31569664902998235,0.8424778761061947,0.5474452554744526,0.9555669050051072,0.7286245353159851,0.7386306846576711,0.872,0.1,0.18,0.85,0.358,0.476,0.6,0.9355,0.784,1.1882684,1.1593633,186905600,3551206400,118.46998047828674,102090
19,0.7021682956971127,0.649678624462191,0.7021682956971127,0.5304586637439388,0.7391975142992032,0.7021682956971127,0.585669340329835,0.7021682956971127,0.7021682956971127,0.582518296449334,0.8304869037077259,0.49426433524433433,0.9211711711711712,0.9803801348865726,0.21428571428571427,0.234375,0.09324009324009325,0.242467718794835,0.8915187376725838,0.532293986636971,0.9172644667623147,0.7981859410430839,0.6131934032983508,0.7995,0.075,0.3,0.8,0.676,0.452,0.478,0.959,0.704,1.1104009,1.1677845,186905600,3738112000,116.64198112487793,102090
20,0.7154252331198742,0.6653833743620092,0.7154252331198742,0.5324256265431321,0.7531148811463505,0.7154252331198742,0.587512943528236,0.7154252331198742,0.7154252331198742,0.5986531076169036,0.8432582796391097,0.4934632235092592,0.9245635910224439,0.9780805687203792,0.18571428571428572,0.39285714285714285,0.06954436450839328,0.3071324599708879,0.8776758409785933,0.5669144981412639,0.9730150492994292,0.7110332749562172,0.7411294352823589,0.8255,0.26,0.11,0.87,0.422,0.287,0.61,0.9375,0.812,1.1457148,1.1513062,186905600,3925017600,113.64123177528381,102090
21,0.7512639029322548,0.7059532824335903,0.7512639029322546,0.5743891061528544,0.7764526370991088,0.7512639029322548,0.6328632683658171,0.7512639029322548,0.7512639029322548,0.5930113496169788,0.8415803851920104,0.5916416553413528,0.9357097390197326,0.9780600461893765,0.1951219512195122,0.3246753246753247,0.12343096234309624,0.3293978748524203,0.8807531380753139,0.6234042553191489,0.9677749360613811,0.5717852684144819,0.7346326836581709,0.847,0.48,0.25,0.59,0.558,0.421,0.586,0.946,0.916,1.1216017,1.1045637,186905600,4111923200,112.7387523651123,102090
22,0.7492416582406471,0.7027367002531111,0.7492416582406471,0.5724509217683232,0.7743207445871177,0.7492416582406471,0.6255131434282858,0.7492416582406471,0.7492416582406471,0.58352246878914,0.8268206351043432,0.5826344324131945,0.9294265910523,0.9797014925373134,0.20180722891566266,0.3076923076923077,0.11292962356792144,0.3213793103448276,0.860738255033557,0.5617529880478087,0.9171455938697318,0.6426512968299711,0.7371314342828585,0.8205,0.335,0.28,0.69,0.466,0.513,0.564,0.9575,0.892,1.046356,1.1028438,186905600,4298828800,115.22914910316467,102090
23,0.7259858442871587,0.6769644194419946,0.7259858442871587,0.5448671236479152,0.7506647683410711,0.7259858442871587,0.608618815592204,0.7259858442871587,0.7259858442871587,0.5915795427928571,0.832862664818208,0.5274787236508892,0.9533995416348358,0.976054732041049,0.17341977309562398,0.4090909090909091,0.13990825688073394,0.2732919254658385,0.8926940639269406,0.6003976143141153,0.9237044145873321,0.5738341968911918,0.623688155922039,0.856,0.535,0.09,0.61,0.528,0.391,0.604,0.9625,0.886,1.233897,1.1225262,186905600,4485734400,113.84963059425354,102090
24,0.7721604314122009,0.7289649886076194,0.7721604314122009,0.5868941824595467,0.7988187341665242,0.7721604314122009,0.6347107446276861,0.7721604314122009,0.7721604314122009,0.604252871497233,0.846790795793713,0.586138777793261,0.9197892271662763,0.9748083242059146,0.23076923076923078,0.21348314606741572,0.1104199066874028,0.3256616800920598,0.8587301587301587,0.655860349127182,0.9617542070372259,0.7912524850894632,0.7851074462768616,0.89,0.21,0.38,0.71,0.566,0.541,0.526,0.943,0.796,1.2104123,1.0786049,186905600,4672640000,115.51445937156677,102090
