epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11234692731153803,0.0,0.11234692731153803,0.0201999798000202,0.02269405662287406,0.11234692731153803,0.1,0.11234692731153803,0.11234692731153803,0.011234692731153803,0.012621832076344009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11234692731153803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.543325,2.1339257,186905600,186905600,150.26602983474731,102090
1,0.057072239074261316,0.006306288007929095,0.057072239074261316,0.019317000203749195,0.008055096780501482,0.057072239074261316,0.12079999999999999,0.057072239074261316,0.057072239074261316,0.010640797844054582,0.00437115355221882,0.0,0.0,0.0,0.04765450483991065,0.0,0.0,0.0,0.0,0.058753473600635174,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.888,0.0,0.0,2.1559,2.128663,186905600,373811200,113.34019804000854,102090
2,0.0685316256600382,0.01824812832998146,0.0685316256600382,0.02859842425795046,0.013511491068969197,0.0685316256600382,0.1493,0.0685316256600382,0.0685316256600382,0.10612561532051454,0.10675921630027958,0.0,0.0,0.0,0.07180254300673149,0.0,0.0,0.0,0.8823529411764706,0.04081632653061224,0.0,0.06628434249133103,0.0,0.0,0.48,0.0,0.0,0.0,0.015,0.004,0.0,0.994,2.20267,2.0449858,186905600,560716800,113.38307905197144,102090
3,0.1651499831479609,0.11247027700066203,0.1651499831479609,0.13486854323273217,0.12339439838570299,0.1651499831479609,0.23905000000000004,0.1651499831479609,0.1651499831479609,0.26190076884314134,0.39281244619776406,0.0,0.0,0.6,0.06602254428341385,0.25,0.017241379310344827,0.0784313725490196,0.7301587301587301,0.05784650630011455,0.6990291262135923,0.12027802961619825,0.0,0.0045,0.41,0.01,0.01,0.232,0.69,0.202,0.036,0.796,2.2295365,1.7544347,186905600,747622400,105.57200837135315,102090
4,0.37321649252892936,0.2828776905401773,0.3732164925289294,0.26546821258857634,0.3519252807347059,0.37321649252892936,0.33174107946026987,0.37321649252892936,0.37321649252892936,0.31155613361883805,0.4959072186415676,0.23108814515463152,0.6526508226691042,0.5454545454545454,0.11764705882352941,0.0859375,0.07777777777777778,0.11904761904761904,0.7038391224862889,0.10432190760059612,0.5382262996941896,0.17065868263473055,0.17841079460269865,0.087,0.2,0.22,0.07,0.15,0.77,0.14,0.704,0.798,1.7966996,1.6027937,186905600,934528000,107.04392099380493,102090
5,0.4360184248960791,0.36222651600700384,0.4360184248960791,0.34264609793830025,0.4809724675214172,0.4360184248960791,0.38244035482258865,0.4360184248960791,0.4360184248960791,0.40693533068520055,0.6635397546283444,0.31609659511056143,0.8674157303370786,0.7167182662538699,0.06640237859266601,0.08278145695364239,0.05025125628140704,0.09568733153638814,0.7075812274368231,0.16997167138810199,0.8091769847050255,0.5033670033670034,0.19290354822588707,0.463,0.335,0.25,0.1,0.426,0.784,0.12,0.5555,0.598,1.694797,1.5229654,186905600,1121433600,109.17526030540466,102090
6,0.533086170093248,0.4575265924849733,0.533086170093248,0.3979687502267932,0.5805448378599141,0.533086170093248,0.4303777111444279,0.533086170093248,0.533086170093248,0.4395525440185632,0.685753436280687,0.3791977852183737,0.8,0.6801166747690812,0.08893280632411067,0.18421052631578946,0.05834464043419267,0.12283136710617627,0.7876506024096386,0.24324324324324326,0.9433534743202417,0.4868421052631579,0.44577711144427784,0.6995,0.225,0.21,0.43,0.354,0.523,0.126,0.6245,0.666,1.4719048,1.4152764,186905600,1308339200,104.3309006690979,102090
7,0.6361083024379284,0.5709281061214029,0.6361083024379284,0.4492422817152435,0.6689765030324857,0.6361083024379284,0.4704214892553723,0.6361083024379284,0.6361083024379284,0.5128362668936274,0.7377844620672233,0.326304252888792,0.8304221251819505,0.85065339141257,0.10364372469635627,0.4375,0.0375,0.1736842105263158,0.7991746905089409,0.38831615120274915,0.8679334916864608,0.6395348837209303,0.5702148925537232,0.6835,0.64,0.07,0.03,0.33,0.581,0.226,0.9135,0.66,1.3697336,1.2530172,186905600,1495244800,106.46476817131042,102090
8,0.6303786091450398,0.5670863013131403,0.6303786091450398,0.46298999150280096,0.6629034326494695,0.6303786091450398,0.5122244127936032,0.6303786091450398,0.6303786091450398,0.5158094260663275,0.7697316802708227,0.4591736420382174,0.8797250859106529,0.8620309050772627,0.125,0.23880597014925373,0.08264462809917356,0.1875,0.9136212624584718,0.35575221238938054,0.9120603015075377,0.6009538950715422,0.511744127936032,0.781,0.415,0.16,0.5,0.414,0.275,0.402,0.9075,0.756,1.2736137,1.1695958,186905600,1682150400,112.61370491981506,102090
9,0.6547578923716436,0.5951932510593874,0.6547578923716436,0.4851591357396619,0.6942146643974283,0.6547578923716436,0.5364688655672164,0.6547578923716436,0.6547578923716436,0.5271878627813751,0.7790811965739632,0.4613022482508925,0.8604972375690608,0.9164619164619164,0.16279069767441862,0.273972602739726,0.07040998217468805,0.21052631578947367,0.8591549295774648,0.36988304093567254,0.926250644662197,0.6219312602291326,0.6226886556721639,0.746,0.14,0.2,0.79,0.336,0.366,0.506,0.898,0.76,1.2050043,1.1192844,186905600,1869056000,107.47718834877014,102090
