epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.13122121109987642,0.05310207989508742,0.13122121109987642,0.062422438900586776,0.056130593152748674,0.13122121109987642,0.13387684630738522,0.13122121109987642,0.13122121109987642,0.11109378170101847,0.16446229508377272,0.0,0.0,0.21052631578947367,0.0031631269769543608,0.0,0.0,0.0,0.1865530303030303,0.08443271767810026,0.3333333333333333,0.29292929292929293,0.0,0.002,0.035,0.0,0.0,0.0,0.985,0.192,0.009,0.1157684630738523,2.737855,2.4389014,485954560,485954560,251.0952389240265,102090
1,0.47837321649252895,0.3869401944629679,0.47837321649252895,0.34023686331385194,0.4970172998833575,0.47837321649252895,0.36602888150825696,0.47837321649252895,0.47837321649252895,0.39162105585268436,0.6085662994201922,0.26634909051673133,0.7968069666182874,0.4883799259009768,0.06976744186046512,0.13333333333333333,0.04697986577181208,0.11046511627906977,0.7053979871912168,0.16279069767441862,0.8467336683417085,0.5555555555555556,0.27436281859070466,0.725,0.105,0.04040404040404041,0.42,0.19,0.771,0.14,0.5055,0.48902195608782434,2.3658555,1.8194333,485954560,971909120,250.16497468948364,102090
2,0.7044152342433434,0.6430493375932117,0.7044152342433434,0.4736678326074232,0.7098441283608471,0.7044152342433434,0.48921574906613097,0.7044152342433434,0.7044152342433434,0.5002738847323747,0.7308901423123346,0.3805145605429902,0.7655729909652876,0.9222423146473779,0.11784511784511785,0.2571428571428571,0.09534368070953436,0.18461538461538463,0.8021108179419525,0.4007936507936508,0.8311461067366579,0.6259259259259259,0.8045977011494253,0.765,0.175,0.09090909090909091,0.43,0.192,0.608,0.202,0.95,0.6746506986027944,1.7322545,0.9739572,485954560,1457863680,256.6585454940796,102090
3,0.7460959442759241,0.6963452125688875,0.7460959442759241,0.5231412496163097,0.7578562271474869,0.7460959442759241,0.5543470109800843,0.7460959442759241,0.7460959442759241,0.5321599067147658,0.7829733379537506,0.439139026270141,0.8498953974895398,0.9165813715455476,0.1881720430107527,0.225,0.11219512195121951,0.2875816993464052,0.758985200845666,0.3561030235162374,0.979530403371463,0.6475548060708263,0.8120939530234883,0.8955,0.175,0.09090909090909091,0.46,0.176,0.718,0.636,0.8135,0.7664670658682635,1.4119678,0.8872859,485954560,1943818240,255.52885460853577,102090
4,0.7464329850578587,0.6989440164837855,0.7464329850578588,0.5414666664094826,0.7704502810982867,0.7464329850578587,0.5835018728568941,0.7464329850578587,0.7464329850578587,0.5555887929773691,0.8127585230970407,0.4703668292502205,0.8936170212765957,0.9740034662045061,0.1583629893238434,0.2222222222222222,0.1323943661971831,0.3037156704361874,0.790436005625879,0.46601941747572817,0.965203426124197,0.6499133448873483,0.7766116941529235,0.843,0.445,0.04040404040404041,0.47,0.376,0.562,0.672,0.9015,0.7485029940119761,1.3313472,0.8206458,485954560,2429772800,254.17826294898987,102090
5,0.7802494101786316,0.7375018889752791,0.7802494101786316,0.5839327535421419,0.7964195735827063,0.7802494101786316,0.6022296088936117,0.7802494101786316,0.7802494101786316,0.5971817736917895,0.8235319721518976,0.5264278109193024,0.897316219369895,0.9762845849802372,0.2109004739336493,0.3939393939393939,0.17197452229299362,0.2977461447212337,0.7756410256410257,0.5828092243186582,0.9563673262303399,0.708838821490468,0.768615692153923,0.8645,0.445,0.13131313131313133,0.27,0.502,0.726,0.556,0.9425,0.8163672654690619,1.1123321,0.72626805,485954560,2915727360,251.96295070648193,102090
6,0.7637344118638355,0.7181019445598471,0.7637344118638355,0.5693202700663409,0.7827318829934341,0.7637344118638355,0.6129783701190595,0.7637344118638355,0.7637344118638355,0.5942635379279259,0.8357019270431307,0.5630627863149111,0.891566265060241,0.9764512595837898,0.20300751879699247,0.20909090909090908,0.10714285714285714,0.34203655352480417,0.882494004796163,0.6417910447761194,0.9399707174231332,0.7490842490842491,0.8135932033983009,0.8915,0.405,0.23232323232323232,0.6,0.524,0.368,0.516,0.963,0.8163672654690619,1.1376855,0.6895356,485954560,3401681920,255.55872869491577,102090
7,0.7285698236153241,0.6805433219494568,0.728569823615324,0.5520488420366443,0.7592031261642722,0.7285698236153241,0.6176836548338062,0.7285698236153241,0.7285698236153241,0.5853994199161784,0.8409025545006986,0.562618740275871,0.9310113864701942,0.9826968973747017,0.15524193548387097,0.2898550724637681,0.10879284649776454,0.30652680652680653,0.8822115384615384,0.6767441860465117,0.9673635900050994,0.5535499398315282,0.6946526736631684,0.8235,0.385,0.20202020202020202,0.73,0.526,0.367,0.582,0.9485,0.9181636726546906,1.0898471,0.7711504,485954560,3887636480,261.5935757160187,102090
8,0.8126053252443546,0.7758688442922246,0.8126053252443546,0.6319401893870213,0.8267775228391913,0.8126053252443546,0.6644514103862603,0.8126053252443546,0.8126053252443546,0.6239538330137397,0.8507317998300504,0.6218296717264483,0.9248689574839837,0.970726607422896,0.29699248120300753,0.24107142857142858,0.20967741935483872,0.3435960591133005,0.8105263157894737,0.728110599078341,0.9812792511700468,0.7326892109500805,0.7936031984007996,0.9285,0.395,0.2727272727272727,0.52,0.558,0.693,0.632,0.9435,0.908183632734531,1.0070001,0.58643484,485954560,4373591040,249.36070775985718,102090
9,0.7738456353218739,0.7305561241951348,0.7738456353218739,0.588294185730665,0.7931005373477598,0.7738456353218739,0.6408250161165108,0.7738456353218739,0.7738456353218739,0.6117812296311367,0.8468173225125314,0.5864963692774342,0.9036672140120416,0.9775407074677148,0.1896551724137931,0.23170731707317074,0.13856812933025403,0.37175792507204614,0.8687782805429864,0.735897435897436,0.9506660088801184,0.7495741056218058,0.8250874562718641,0.8705,0.605,0.1919191919191919,0.6,0.516,0.384,0.574,0.9635,0.8782435129740519,1.0304472,0.6396504,485954560,4859545600,249.8528118133545,102090
