Metric,test_Highest GMean Epoch,val_Highest GMean Epoch,val_mean,val_std,val_min,val_25%,val_50%,val_75%,val_max
accuracy,0.6701716652726332,0.8267610380856084,0.7692333927167093,0.10559010465081392,0.1298730479721379,0.7722727783395124,0.7965958881024604,0.8085608358611391,0.8427143017638468
kappa,0.629203730431379,0.7915867781877135,0.7272227758300973,0.11125637753034293,0.0763760521713172,0.7291458557497118,0.7567102877162697,0.7707689065920346,0.81003883781525
f1_micro,0.6701716652726332,0.8267610380856084,0.7692333927167093,0.10559010465081392,0.1298730479721379,0.7722727783395124,0.7965958881024604,0.8085608358611391,0.8427143017638468
f1_macro,0.6172739653534453,0.6386258029895917,0.5802007037936044,0.08480827361956667,0.0755196863934228,0.5797051277633971,0.60041155427232,0.617925667802193,0.6446159555788606
f1_weighted,0.6742338912490431,0.8376855858985508,0.7868903448111301,0.11295828268331873,0.0723059859044694,0.7956116493655048,0.8134880527447446,0.8266818340300093,0.8489532215521279
recall_micro,0.6701716652726332,0.8267610380856084,0.7692333927167093,0.10559010465081392,0.1298730479721379,0.7722727783395124,0.7965958881024604,0.8085608358611391,0.8427143017638468
recall_macro,0.6431467539817286,0.6782511277431508,0.626558368892452,0.08118626494261597,0.165200284279925,0.6210775137868827,0.6524536459247241,0.660887808529504,0.6782511277431508
recall_weighted,0.6701716652726332,0.8267610380856084,0.7692333927167093,0.10559010465081392,0.1298730479721379,0.7722727783395124,0.7965958881024604,0.8085608358611391,0.8427143017638468
precision_micro,0.6701716652726332,0.8267610380856084,0.7692333927167093,0.10559010465081392,0.1298730479721379,0.7722727783395124,0.7965958881024604,0.8085608358611391,0.8427143017638468
precision_macro,0.6150422069780848,0.6546088616246982,0.6151754012758126,0.08624470940183106,0.0727111459014468,0.6131844962701043,0.6345943685674237,0.6513104816473299,0.6703421484494487
precision_weighted,0.688186497251592,0.8684598262472673,0.8408793467478028,0.10923667935113518,0.0927923435471084,0.8578092547180701,0.8644016307092108,0.8703988611139819,0.8769046150024756
gmean,0.7871176888402325,0.6347261212099395,0.5570330805675552,0.09999425881836939,0.0,0.5422410987676671,0.586945535388061,0.6073734568295088,0.6347261212099395
precision_wheat,0.763007614213198,0.921938775510204,0.8994697652008117,0.12427178463899446,0.0,0.9027820422672996,0.9206037646661982,0.9274075082449489,0.9499694935936548
precision_corn,0.8269734925720944,0.9619809904952475,0.9531929941194262,0.11208082693778301,0.2201834862385321,0.9718538804140806,0.9774571432183579,0.979867131744404,0.9830508474576272
precision_fallow,0.4790132547864507,0.2012882447665056,0.1785557735378141,0.03633947418456914,0.0,0.16781287742873557,0.1781368635172031,0.19834584548969372,0.2382271468144044
precision_misc.,0.5118230358504958,0.2647058823529412,0.2292826318314465,0.07461097427450085,0.0080945088602056,0.18306922435362802,0.2284280936454849,0.27754872563718136,0.4047619047619047
precision_orchards,0.1356628982528263,0.2277580071174377,0.1567116800529282,0.05217350946279999,0.0,0.1291797283176593,0.14811149595909612,0.17690848026868172,0.3387096774193548
precision_cereals,0.6612389380530973,0.5342789598108747,0.424185298839458,0.1349293355413524,0.0,0.3387071667927791,0.4417139927695923,0.5193520886615516,0.6813725490196079
precision_perm._meadows,0.5815602836879432,0.8817733990147784,0.8619892743196411,0.09222871162126187,0.2702620353443022,0.8634114451955739,0.8814404454357279,0.8965403216736025,0.9356913183279744
precision_protein_crops,0.3524229074889868,0.7917888563049853,0.7542305843930032,0.16988555073583111,0.0,0.7766030961252128,0.7994169096209913,0.8290983364794715,0.8952879581151832
precision_rapeseed,0.9769204271443336,0.964179104477612,0.9368922058400353,0.13281254315619315,0.0,0.9502923976608187,0.9598625824480755,0.9669447963029677,0.9824747742963356
precision_vegetables,0.8617992177314211,0.7963963963963964,0.7572438046235604,0.11400815423282573,0.2285714285714285,0.7309965531890665,0.7807252087437846,0.8237929688059723,0.8878923766816144
recall_wheat,0.8016666666666666,0.9030484757621188,0.8050528307274932,0.1726596549117169,0.0,0.7818590704647677,0.8600699650174912,0.8980509745127436,0.9450274862568716
recall_corn,0.9463333333333334,0.9615,0.886375,0.13466967162113916,0.024,0.893375,0.9105,0.9339999999999999,0.963
recall_fallow,0.4336666666666666,0.625,0.5308928571428572,0.15311643562055266,0.0,0.475,0.5525,0.64,0.72
recall_misc.,0.4473333333333333,0.2727272727272727,0.18921356421356414,0.07423923386456231,0.0404040404040404,0.1388888888888889,0.1818181818181818,0.2424242424242424,0.3737373737373737
recall_orchards,0.2894736842105263,0.64,0.6125,0.20277394489251505,0.0,0.5425,0.67,0.7525,0.86
recall_cereals,0.6226666666666667,0.452,0.4760357142857142,0.10278980570000196,0.0,0.429,0.488,0.5385,0.654
recall_perm._meadows,0.5466666666666666,0.537,0.498589285714286,0.12553257842788562,0.198,0.432,0.481,0.549,0.887
recall_protein_crops,0.7373271889400922,0.54,0.47025,0.11092671618522007,0.0,0.413,0.504,0.54,0.608
recall_rapeseed,0.9453333333333334,0.969,0.9374642857142856,0.13869921206903604,0.0,0.9595,0.9664999999999999,0.973125,0.979
recall_vegetables,0.661,0.8822355289421158,0.8592101511263186,0.1039911029659129,0.3672654690618762,0.8642714570858283,0.8872255489021956,0.9021956087824352,0.9461077844311376
epoch,,36.0,27.5,16.30950643030009,0.0,13.75,27.5,41.25,55.0
trainloss,,0.38334215,0.49864049928571424,0.30596957192824425,0.32362026,0.36923408,0.40820080000000003,0.48084728,2.1072698
valloss,,0.22997329,0.3288532300000001,0.24129761156938942,0.2089593,0.26068425,0.28030756,0.299759975,1.8495896
FLOPs_per_epoch,,485954560.0,485954560.0,0.0,485954560.0,485954560.0,485954560.0,485954560.0,485954560.0
cumulative_FLOPs,,17980318720.0,13849704960.0,7925679021.153648,485954560.0,7167829760.0,13849704960.0,20531580160.0,27213455360.0
runtime_per_epoch,,235.3909502029419,236.82840569955962,5.351347829795429,231.4731147289276,233.6919595003128,235.61767888069153,238.12173116207123,266.7873315811157
Params,,102090.0,102090.0,0.0,102090.0,102090.0,102090.0,102090.0,102090.0
Statistical Parity Difference,-0.3108880444787456,,,,,,,,
Error Rate Ratio,2.236700650763936,,,,,,,,
Disparate Impact,0.5847156926666895,,,,,,,,
True Positive Rate (Privileged),0.7486149584487535,,,,,,,,
True Positive Rate (Unprivileged),0.4377269139700079,,,,,,,,
False Positive Rate (Privileged),0.2513850415512465,,,,,,,,
False Positive Rate (Unprivileged),0.5622730860299922,,,,,,,,
Accuracy (Privileged),0.7486149584487535,,,,,,,,
Accuracy (Unprivileged),0.4377269139700079,,,,,,,,
F1 Macro (Privileged),0.6421775622725342,,,,,,,,
F1 Macro (Unprivileged),0.4532428317940356,,,,,,,,
F1 Macro Difference,0.1889347304784985,,,,,,,,
