epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.12987304797213797,0.07637605217131727,0.12987304797213797,0.07551968639342288,0.07230598590446949,0.12987304797213797,0.165200284279925,0.12987304797213797,0.12987304797213797,0.07271114590144687,0.09279234354710848,0.0,0.0,0.22018348623853212,0.0,0.008094508860205645,0.0,0.0,0.27026203534430226,0.0,0.0,0.22857142857142856,0.0,0.024,0.0,0.37373737373737376,0.0,0.0,0.887,0.0,0.0,0.36726546906187624,2.1072698,1.8495896,485954560,485954560,266.7873315811157,102090
1,0.4236602628918099,0.34113178928340093,0.4236602628918099,0.3242262625584509,0.4431136108623662,0.4236602628918099,0.36777779642205755,0.4236602628918099,0.4236602628918099,0.39962789952880656,0.614879400083747,0.27892184121556673,0.8461538461538461,0.6169031462060457,0.0755336617405583,0.21052631578947367,0.07407407407407407,0.10393772893772894,0.7545164718384697,0.16091954022988506,0.6923076923076923,0.4614065180102916,0.10444777611194403,0.5,0.23,0.04040404040404041,0.34,0.454,0.71,0.168,0.594,0.5369261477045908,1.7307504,1.1099967,485954560,971909120,231.4731147289276,102090
2,0.6607122795191551,0.5997097350487245,0.6607122795191551,0.46815295438709237,0.6900338196431265,0.6607122795191551,0.4935280166440097,0.6607122795191551,0.6607122795191551,0.49333889218833027,0.7502768866238505,0.38663774707738685,0.8368421052631579,0.9205955334987593,0.13432835820895522,0.14414414414414414,0.08955223880597014,0.17637917637917638,0.6628099173553719,0.32116788321167883,0.9175420168067226,0.7300275482093664,0.5562218890554723,0.742,0.045,0.16161616161616163,0.42,0.454,0.802,0.352,0.8735,0.5289421157684631,1.088508,0.5715258,485954560,1457863680,232.90543699264526,102090
3,0.6774519716885743,0.6204792931320052,0.6774519716885743,0.5105271818746161,0.7017223898107667,0.6774519716885743,0.5487947619231575,0.6774519716885743,0.6774519716885743,0.5223446787924684,0.7727382195806365,0.4981727725364561,0.9152542372881356,0.8514510575504181,0.19327731092436976,0.2875,0.13175675675675674,0.2154793315743184,0.8050955414012739,0.3489655172413793,0.958904109589041,0.5157629255989912,0.48575712143928035,0.8655,0.23,0.23232323232323232,0.39,0.49,0.632,0.506,0.84,0.8163672654690619,0.7562729,0.4479319,485954560,1943818240,235.01310682296753,102090
4,0.7380069655094933,0.6876077599262014,0.7380069655094932,0.5173263913971005,0.7619087019682638,0.7380069655094933,0.5272444807400328,0.7380069655094933,0.7380069655094933,0.5611774556849097,0.8057367973645326,0.3898212856645236,0.8702549575070821,0.9795427196149218,0.14055636896046853,0.2857142857142857,0.14893617021276595,0.226775956284153,0.7727771679473107,0.48253968253968255,0.9463834092058675,0.7582938388625592,0.767616191904048,0.814,0.48,0.06060606060606061,0.07,0.498,0.704,0.304,0.9355,0.6387225548902196,0.724681,0.37541848,485954560,2429772800,240.57717633247375,102090
5,0.750477474441074,0.70296808477791,0.750477474441074,0.5393082017719337,0.773377599971756,0.750477474441074,0.5632322480793717,0.750477474441074,0.750477474441074,0.5884508362058543,0.8260980326445226,0.4372022175279575,0.8954171562867215,0.9725425590334981,0.17560321715817695,0.27586206896551724,0.2564102564102564,0.24452234881682736,0.8409090909090909,0.5652173913043478,0.9684873949579832,0.6895368782161235,0.7616191904047976,0.8855,0.655,0.08080808080808081,0.1,0.558,0.555,0.312,0.922,0.8023952095808383,0.58290297,0.32507953,485954560,2915727360,234.85263538360596,102090
6,0.7376699247275587,0.6901396723212947,0.7376699247275587,0.5422335455282534,0.766590765658474,0.7376699247275587,0.6019075326562813,0.7376699247275587,0.7376699247275587,0.5824068972174785,0.8370620315015073,0.5241965334767525,0.9296977660972404,0.970489977728285,0.17293233082706766,0.2826086956521739,0.11329305135951662,0.2857142857142857,0.8474295190713101,0.7,0.9824747742963357,0.5394285714285715,0.7071464267866067,0.8715,0.345,0.13131313131313133,0.75,0.5,0.511,0.336,0.925,0.9421157684630739,0.6107484,0.3742286,485954560,3401681920,235.701491355896,102090
7,0.7410403325469048,0.6938489054110217,0.7410403325469049,0.5680972305598243,0.7698179343323512,0.7410403325469048,0.615326308724607,0.7410403325469048,0.7410403325469048,0.6078832812256112,0.8484256778194513,0.5684197841484389,0.9253028263795424,0.9763085399449036,0.17397260273972603,0.25,0.18930041152263374,0.26055194805194803,0.872,0.7651821862348178,0.9670273055126224,0.6991869918699187,0.6871564217891054,0.886,0.635,0.23232323232323232,0.46,0.642,0.436,0.378,0.9385,0.8582834331337326,0.63858914,0.3274388,485954560,3887636480,234.0674970149994,102090
8,0.785754409616897,0.7442592714714391,0.7857544096168969,0.5866243713655184,0.8062087351751213,0.785754409616897,0.6152873832952876,0.785754409616897,0.785754409616897,0.6086614037972862,0.846616050240204,0.5486952061962371,0.917095483133219,0.977607864554888,0.1674347158218126,0.234375,0.1762114537444934,0.3193166885676741,0.8186335403726708,0.7786561264822134,0.9694033656297807,0.7278797996661102,0.8015992003998001,0.895,0.545,0.15151515151515152,0.4,0.486,0.659,0.394,0.9505,0.8702594810379242,0.5242188,0.32815027,485954560,4373591040,236.65535879135132,102090
9,0.7829457364341085,0.7408723003858362,0.7829457364341085,0.5917449049832222,0.8005105391706612,0.7829457364341085,0.6308505614095511,0.7829457364341085,0.7829457364341085,0.6211930602660483,0.8528370152779636,0.5826068836410152,0.9150997150997151,0.9710068529256721,0.18833333333333332,0.23076923076923078,0.2009132420091324,0.32349726775956283,0.864957264957265,0.8317307692307693,0.9675126903553299,0.7181102362204724,0.8025987006496752,0.921,0.565,0.2727272727272727,0.44,0.592,0.506,0.346,0.953,0.9101796407185628,0.5106157,0.26852396,485954560,4859545600,234.85567331314087,102090
