epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.11605437591281878,0.05676756593781995,0.11605437591281878,0.06414132284604535,0.06535412791360858,0.11605437591281878,0.15310039920159682,0.11605437591281878,0.11605437591281878,0.057465530910965915,0.06099362177389967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110258868648131,0.0,0.0,0.06362942224484602,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0.998003992015968,2.5793707,2.2740624,491294720,491294720,507.74985671043396,102090
1,0.48556341984046736,0.3858431805310243,0.48556341984046736,0.3443461837244527,0.4974419994424254,0.48556341984046736,0.36475293332285047,0.48556341984046736,0.48556341984046736,0.37154619400305877,0.542197046466045,0.2794624062074849,0.48722044728434505,0.7056239015817223,0.11383928571428571,0.07984031936127745,0.035398230088495575,0.10526315789473684,0.7360801781737194,0.18051575931232092,0.5934799685781619,0.6782006920415224,0.4572713643178411,0.4015,0.255,0.40404040404040403,0.04,0.156,0.661,0.126,0.7555,0.3912175648702595,2.2729104,1.6625868,491294720,982589440,245.140700340271,102090
2,0.6553196270082013,0.5912385259805947,0.6553196270082013,0.4703592279097652,0.679805271114232,0.6553196270082013,0.5025148431273385,0.6553196270082013,0.6553196270082013,0.49624656682460505,0.7278923305255781,0.3500892257548991,0.8297872340425532,0.8269762299613046,0.1111111111111111,0.3283582089552239,0.09683098591549295,0.18123861566484517,0.7871794871794872,0.2968253968253968,0.8808574277168495,0.6233009708737864,0.5847076461769115,0.748,0.01,0.2222222222222222,0.55,0.398,0.614,0.374,0.8835,0.6407185628742516,1.7786808,1.0273204,491294720,1473884160,244.5559787750244,102090
3,0.7435119649477587,0.693007234964869,0.7435119649477587,0.5324536733318259,0.7588971769807176,0.7435119649477587,0.5493307046621854,0.7435119649477587,0.7435119649477587,0.541144602217947,0.782325890564386,0.456183545442456,0.833064949006978,0.9487327188940092,0.1956521739130435,0.23529411764705882,0.11428571428571428,0.24317295188556567,0.7246111619396157,0.40854700854700854,0.9466173361522199,0.7614678899082569,0.7756121939030485,0.8235,0.09,0.20202020202020202,0.4,0.374,0.792,0.478,0.8955,0.6626746506986028,1.4120114,0.862933,491294720,1965178880,244.77193760871887,102090
4,0.7390180878552972,0.6913602198380927,0.7390180878552972,0.5567383479995204,0.7665265749489432,0.7390180878552972,0.5924047858215693,0.7390180878552972,0.7390180878552972,0.5725097231677462,0.8214494521126176,0.5252641559816238,0.9239130434782609,0.9655549480590486,0.18461538461538463,0.3125,0.14929577464788732,0.2355848434925865,0.8214731585518102,0.5227722772277228,0.9620523784072689,0.6473354231974922,0.6371814092953523,0.883,0.24,0.15151515151515152,0.53,0.572,0.658,0.528,0.9,0.8243512974051896,1.2279304,0.76942277,491294720,2456473600,253.09177827835083,102090
5,0.7585664532075048,0.712949716011801,0.7585664532075048,0.5624157268109234,0.7858421859723131,0.7585664532075048,0.6033831539048113,0.7585664532075048,0.7585664532075048,0.5914381682075238,0.8303521228932192,0.5255987221097354,0.8898257448004497,0.9761376248612652,0.16231884057971013,0.375,0.10892586989409984,0.31061806656101426,0.8333333333333334,0.507223113964687,0.9727564102564102,0.7782426778242678,0.791104447776112,0.8795,0.28,0.12121212121212122,0.72,0.392,0.565,0.632,0.9105,0.7425149700598802,1.1386576,0.73394847,491294720,2947768320,253.92276096343994,102090
6,0.7509268621503202,0.7050797865086467,0.7509268621503202,0.5693697729910967,0.777132204751758,0.7509268621503202,0.6149132039995245,0.7509268621503202,0.7509268621503202,0.611716370018514,0.839419258190438,0.5390474072415222,0.9291282778171509,0.972707423580786,0.20136518771331058,0.48,0.13188976377952755,0.25726872246696036,0.8639344262295082,0.64,0.9549323985978968,0.6859375,0.6551724137931034,0.891,0.295,0.12121212121212122,0.67,0.584,0.527,0.576,0.9535,0.8762475049900199,1.0908457,0.6588194,491294720,3439063040,252.41218185424805,102090
7,0.7910347152005393,0.7497134628794306,0.7910347152005393,0.5906217027580083,0.8082251820209276,0.7910347152005393,0.6240779383715871,0.7910347152005393,0.7910347152005393,0.6126725302335052,0.8490010766410226,0.5754807315521896,0.8991683991683992,0.9648578811369509,0.17525773195876287,0.20689655172413793,0.1610738255033557,0.3553956834532374,0.8652246256239601,0.7680608365019012,0.9755080771235018,0.7552816901408451,0.8645677161419291,0.9335,0.51,0.24242424242424243,0.48,0.494,0.52,0.404,0.936,0.8562874251497006,1.0385677,0.6271511,491294720,3930357760,247.69248461723328,102090
8,0.7562071677339625,0.7113179812147155,0.7562071677339626,0.5771478201213924,0.7823689595875423,0.7562071677339625,0.6213456448059766,0.7562071677339625,0.7562071677339625,0.6167128504848555,0.8477967174784391,0.5632798110335961,0.9197930142302717,0.9794558578567463,0.16370106761565836,0.45714285714285713,0.13910761154855644,0.287378640776699,0.874251497005988,0.7002398081534772,0.9754350051177073,0.6706231454005934,0.7106446776611695,0.882,0.46,0.16161616161616163,0.53,0.592,0.438,0.584,0.953,0.9021956087824351,1.0624158,0.6253025,491294720,4421652480,256.51525712013245,102090
9,0.7526120660599933,0.7082309325733365,0.7526120660599933,0.5870148716336075,0.7838533777883653,0.7526120660599933,0.6343586519251715,0.7526120660599933,0.7526120660599933,0.6192828998004285,0.8569538344486476,0.5803013089447518,0.9488188976377953,0.9787234042553191,0.19795918367346937,0.3404255319148936,0.13752913752913754,0.26177174780526735,0.8548148148148148,0.7194805194805195,0.9745287824758023,0.7787769784172662,0.6021989005497251,0.897,0.485,0.16161616161616163,0.59,0.656,0.577,0.554,0.9565,0.8642714570858283,0.99962026,0.6623157,491294720,4912947200,246.46517872810364,102090
10,0.7866531850353893,0.7457834804552184,0.7866531850353893,0.5983162376257057,0.8079036295288778,0.7866531850353893,0.6520037506967802,0.7866531850353893,0.7866531850353893,0.6230684968014113,0.8618263441144738,0.5964538657575978,0.9202216066481994,0.9707419017763845,0.19718309859154928,0.25609756097560976,0.12399355877616747,0.3819241982507289,0.9124423963133641,0.6776859504132231,0.9818840579710145,0.8085106382978723,0.8300849575212393,0.929,0.42,0.21212121212121213,0.77,0.524,0.396,0.656,0.9485,0.8343313373253493,1.0642128,0.5552398,491294720,5404241920,256.1551034450531,102090
11,0.8011459386585776,0.7619940833176687,0.8011459386585776,0.618642925135733,0.8197160493101696,0.8011459386585776,0.6470157215803276,0.8011459386585776,0.8011459386585776,0.6338646896831016,0.8538530515601527,0.6026131943613958,0.889937106918239,0.9726980728051392,0.20572450805008943,0.3283582089552239,0.1991701244813278,0.3455233291298865,0.8432203389830508,0.7292817679558011,0.991062039957939,0.8336713995943205,0.848575712143928,0.9085,0.575,0.2222222222222222,0.48,0.548,0.597,0.528,0.9425,0.8203592814371258,0.9386658,0.59491765,491294720,5895536640,252.2262580394745,102090
12,0.7550836984608471,0.7107848612571657,0.7550836984608471,0.576996837227971,0.7802777369407442,0.7550836984608471,0.6459982393171043,0.7550836984608471,0.7550836984608471,0.6306606418109609,0.8694346754828689,0.5736936326065485,0.9476474486414844,0.9807177289769684,0.2053388090349076,0.3404255319148936,0.10733695652173914,0.3244047619047619,0.92,0.7487562189054726,0.9815573770491803,0.7504215851602024,0.7146426786606697,0.9155,0.5,0.16161616161616163,0.79,0.654,0.276,0.602,0.958,0.8882235528942116,0.9485146,0.60100245,491294720,6386831360,246.8526701927185,102090
13,0.7836198179979778,0.7430065354970063,0.7836198179979778,0.602832067425692,0.8073204579661282,0.7836198179979778,0.6552445697447048,0.7836198179979778,0.7836198179979778,0.6359305729013649,0.8638217645338557,0.586419334614259,0.9355653821857233,0.9737256962690489,0.23958333333333334,0.3902439024390244,0.11190817790530846,0.3545232273838631,0.907843137254902,0.7361702127659574,0.9752149721800708,0.7345276872964169,0.7401299350324838,0.9265,0.345,0.16161616161616163,0.78,0.58,0.463,0.692,0.964,0.9001996007984032,0.9886212,0.5401728,491294720,6878126080,249.32849502563477,102090
14,0.7854173688349624,0.7446182836551352,0.7854173688349624,0.6018972390106271,0.8095090200623785,0.7854173688349624,0.6553916989518307,0.7854173688349624,0.7854173688349624,0.6470705694497356,0.8714908166963525,0.5898535498894376,0.9268989149057681,0.9770544290288153,0.19348659003831417,0.3488372093023256,0.1262135922330097,0.3849938499384994,0.908695652173913,0.799410029498525,0.9721095334685599,0.8330058939096268,0.8110944527736131,0.9155,0.505,0.15151515151515152,0.78,0.626,0.418,0.542,0.9585,0.846307385229541,0.93286586,0.5639501,491294720,7369420800,277.02985739707947,102090
15,0.7646331872823279,0.7215266209935318,0.7646331872823278,0.5958376082697431,0.7899884263378445,0.7646331872823279,0.6528972735597363,0.7646331872823279,0.7646331872823279,0.6465159953761155,0.87407901262376,0.5875423953683532,0.9495380241648899,0.9730569948186528,0.18983957219251338,0.3191489361702128,0.17058823529411765,0.3068561872909699,0.9146341463414634,0.7908309455587392,0.9718168092601912,0.8788501026694046,0.6676661669165417,0.939,0.71,0.15151515151515152,0.58,0.734,0.375,0.552,0.9655,0.8542914171656687,0.97243017,0.56242937,491294720,7860715520,278.466673374176,102090
16,0.7988990001123469,0.7605479974812798,0.7988990001123469,0.6178355523321473,0.8204761131743256,0.7988990001123469,0.6670735901192935,0.7988990001123469,0.7988990001123469,0.6425974217006095,0.8679257154142986,0.6036282445352825,0.9293636894337419,0.9780631353665061,0.2074074074074074,0.34146341463414637,0.171875,0.3707093821510298,0.8630573248407644,0.797752808988764,0.9906298802706923,0.7756521739130435,0.7956021989005497,0.914,0.56,0.1414141414141414,0.66,0.648,0.542,0.568,0.9515,0.8902195608782435,0.87834394,0.54323053,491294720,8352010240,280.2592713832855,102090
17,0.7584541062801933,0.7146352923128223,0.7584541062801933,0.5850010399951404,0.7853258771642487,0.7584541062801933,0.6507565904672414,0.7584541062801933,0.7584541062801933,0.648291858262821,0.8754087982369532,0.5678422041799016,0.9388674388674388,0.9796926454445664,0.16259298618490967,0.3793103448275862,0.1702127659574468,0.3326732673267327,0.9305135951661632,0.7622739018087855,0.983094262295082,0.843687374749499,0.729135432283858,0.8925,0.765,0.1111111111111111,0.64,0.672,0.308,0.59,0.9595,0.8403193612774451,0.9309324,0.60222846,491294720,8843304960,289.1628940105438,102090
18,0.8051904280417931,0.7670357813311792,0.8051904280417932,0.6226670787730068,0.8220592352354696,0.8051904280417931,0.6710923052853903,0.8051904280417931,0.8051904280417931,0.6474366444397548,0.8674432402469658,0.6235053851839424,0.9335604770017035,0.966110268082954,0.23076923076923078,0.35135135135135137,0.13652482269503546,0.4133522727272727,0.9121756487025948,0.7721179624664879,0.9608910891089109,0.7975133214920072,0.8215892053973014,0.955,0.42,0.26262626262626265,0.77,0.582,0.457,0.576,0.9705,0.8962075848303394,0.9187654,0.5039772,491294720,9334599680,293.41456866264343,102090
19,0.7899112459274239,0.7501385169625674,0.7899112459274239,0.6038379011912125,0.8153365674603099,0.7899112459274239,0.6601387606505221,0.7899112459274239,0.7899112459274239,0.6293531504678781,0.8693732544017285,0.6022508311730859,0.9326710816777042,0.9767687434002112,0.1901840490797546,0.2653061224489796,0.1053921568627451,0.4559322033898305,0.8737060041407867,0.7351485148514851,0.9962785752259437,0.7621440536013401,0.8445777111444278,0.925,0.31,0.26262626262626265,0.86,0.538,0.422,0.594,0.937,0.908183632734531,0.9081736,0.5572778,491294720,9825894400,284.16653752326965,102090
20,0.7741826761038085,0.732374833585137,0.7741826761038086,0.5989981507548212,0.7934870162770832,0.7741826761038085,0.6742536639636996,0.7741826761038085,0.7741826761038085,0.6357123005177641,0.8749121896803469,0.625129424386371,0.9434194341943419,0.9792442788717403,0.1909722222222222,0.26666666666666666,0.13333333333333333,0.3682983682983683,0.9498207885304659,0.785024154589372,0.9773185483870968,0.7630252100840336,0.7666166916541729,0.92,0.55,0.32323232323232326,0.76,0.632,0.265,0.65,0.9695,0.906187624750499,0.8769522,0.5391222,491294720,10317189120,254.49865746498108,102090
21,0.78305808336142,0.7422791468162331,0.78305808336142,0.5994225661977128,0.8037098122523566,0.78305808336142,0.6664479086305151,0.78305808336142,0.78305808336142,0.6397559208047904,0.8739718914829909,0.6079459156932675,0.9352112676056338,0.9751847940865892,0.184640522875817,0.3283582089552239,0.1202435312024353,0.4660033167495854,0.9341317365269461,0.745,0.9875259875259875,0.721259842519685,0.8295852073963018,0.9235,0.565,0.2222222222222222,0.79,0.562,0.312,0.596,0.95,0.9141716566866267,0.8817991,0.5677274,491294720,10808483840,249.67115545272827,102090
22,0.787214919671947,0.7468343279708575,0.787214919671947,0.601908325889638,0.8127255950606236,0.787214919671947,0.6551627168043632,0.787214919671947,0.787214919671947,0.6517916327736927,0.8772927015579464,0.5896741627610622,0.9293419633225458,0.9715039577836412,0.1865079365079365,0.391304347826087,0.10146699266503667,0.45471349353049906,0.9193954659949622,0.745679012345679,0.993704092339979,0.8242990654205608,0.8610694652673663,0.9205,0.47,0.18181818181818182,0.83,0.492,0.365,0.604,0.947,0.8802395209580839,0.8521257,0.58797365,491294720,11299778560,278.9769837856293,102090
23,0.8182226716099315,0.7814201169673647,0.8182226716099315,0.6232653421479502,0.8262679591881578,0.8182226716099315,0.6702163252523621,0.8182226716099315,0.8182226716099315,0.663560865720745,0.8734042523698059,0.606273756278127,0.9047388781431335,0.9556993529118964,0.20333839150227617,0.35185185185185186,0.16966580976863754,0.5594405594405595,0.924433249370277,0.7923497267759563,0.9811704834605598,0.7929203539823009,0.935032483758121,0.96,0.67,0.1919191919191919,0.66,0.48,0.367,0.58,0.964,0.8942115768463074,0.8662999,0.48050013,491294720,11791073280,253.3704903125763,102090
24,0.8109201213346815,0.7737791419342087,0.8109201213346815,0.6116776933786612,0.826443730969111,0.8109201213346815,0.6563123280221621,0.8109201213346815,0.8109201213346815,0.6359096162140931,0.8663470818035383,0.5680878346851846,0.9372222222222222,0.9742647058823529,0.18681318681318682,0.24324324324324326,0.1676300578034682,0.4953271028037383,0.8853288364249579,0.8126801152737753,0.9606105366814377,0.6959761549925484,0.8430784607696152,0.9275,0.595,0.09090909090909091,0.58,0.53,0.525,0.564,0.9755,0.9321357285429142,0.8729192,0.49978796,491294720,12282368000,248.8054895401001,102090
25,0.8009212448039547,0.7621631953684606,0.8009212448039547,0.6140950961280023,0.8168195526035907,0.8009212448039547,0.6731109830677113,0.8009212448039547,0.8009212448039547,0.6468201463252993,0.8744252395424746,0.6230152754999988,0.9291553133514986,0.9617898441427853,0.2092511013215859,0.27450980392156865,0.12965964343598055,0.4629032258064516,0.9308510638297872,0.8210227272727273,0.9802231237322515,0.7688356164383562,0.8520739630184908,0.9565,0.475,0.2828282828282828,0.8,0.574,0.35,0.578,0.9665,0.8962075848303394,0.87521654,0.48586228,491294720,12773662720,250.52366042137146,102090
26,0.8163127738456353,0.7804307114974725,0.8163127738456353,0.6456205957811483,0.8357206045785874,0.8163127738456353,0.6850350456689638,0.8163127738456353,0.8163127738456353,0.6830536933788289,0.8811454196077604,0.6440937803884327,0.9343461747151384,0.9748427672955975,0.1877496671105193,0.5434782608695652,0.2048611111111111,0.45606060606060606,0.8890784982935154,0.8298507462686567,0.9826175869120655,0.8276515151515151,0.8605697151424287,0.93,0.705,0.25252525252525254,0.59,0.602,0.521,0.556,0.961,0.872255489021956,0.86025524,0.52252686,491294720,13264957440,244.710387468338,102090
27,0.8126053252443546,0.7756173762106693,0.8126053252443546,0.6241101718969163,0.830125305685656,0.8126053252443546,0.6756166137082068,0.8126053252443546,0.8126053252443546,0.6523878456852051,0.8753336260227462,0.6194548656862181,0.9118236472945892,0.9723092998955067,0.24381625441696114,0.27358490566037735,0.11372549019607843,0.5790816326530612,0.9056603773584906,0.75,0.9846782431052093,0.789198606271777,0.9095452273863068,0.9305,0.345,0.29292929292929293,0.87,0.454,0.432,0.654,0.964,0.9041916167664671,0.87963074,0.50437325,491294720,13756252160,270.91103863716125,102090
28,0.8067632850241546,0.7688757501768375,0.8067632850241546,0.6140993413773094,0.825930878125536,0.8067632850241546,0.6548693428417347,0.8067632850241546,0.8067632850241546,0.6702610901156281,0.8779796228350866,0.5858945058238649,0.9336898395721925,0.9711740041928721,0.175,0.4666666666666667,0.14563106796116504,0.4723127035830619,0.8966789667896679,0.8533834586466166,0.9693928750627195,0.8186813186813187,0.8725637181409296,0.9265,0.63,0.1414141414141414,0.6,0.58,0.486,0.454,0.966,0.8922155688622755,0.8520373,0.5370645,491294720,14247546880,263.57465171813965,102090
29,0.8103583866981238,0.773628784749653,0.8103583866981238,0.6354629714383095,0.8296604025092993,0.8103583866981238,0.692893480210539,0.8103583866981238,0.8103583866981238,0.6612536906885731,0.882050173016594,0.6560351465522181,0.9311632870864461,0.978421052631579,0.20097244732576985,0.33695652173913043,0.15546218487394958,0.47791798107255523,0.9157667386609071,0.8044077134986226,0.9856262833675564,0.8258426966292135,0.872063968015992,0.9295,0.62,0.31313131313131315,0.74,0.606,0.424,0.584,0.96,0.8802395209580839,0.8816009,0.5234246,491294720,14738841600,258.53951382637024,102090
30,0.8176609369733738,0.7819013773919941,0.8176609369733737,0.6429761527338496,0.8353572600665723,0.8176609369733738,0.6891735274668962,0.8176609369733738,0.8176609369733738,0.6664742460722074,0.8799276198896036,0.6525759879275765,0.9294055201698513,0.9680577022153529,0.2066869300911854,0.37662337662337664,0.17134831460674158,0.4740973312401884,0.9056603773584906,0.8044692737430168,0.9870934434692824,0.8413001912045889,0.8750624687656172,0.9395,0.68,0.29292929292929293,0.61,0.604,0.48,0.576,0.956,0.8782435129740519,0.8759309,0.51111454,491294720,15230136320,252.13674521446228,102090
