epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.163914166947534,0.10884813664567439,0.163914166947534,0.1121797123323851,0.10298915072329264,0.163914166947534,0.21846161843774176,0.163914166947534,0.163914166947534,0.21858669957276153,0.36592317576124395,0.0,0.21505376344086022,0.5,0.027286508337544216,0.07142857142857142,0.0,0.1,0.5,0.053712480252764615,0.5853658536585366,0.13301981860933826,0.009995002498750625,0.002,0.27,0.020202020202020204,0.0,0.038,0.838,0.204,0.012,0.7904191616766467,2.5635383,2.18712,534016000,534016000,277.1121988296509,102090
1,0.4454555667902483,0.3656988500057229,0.4454555667902483,0.3483638090359712,0.4978258948323519,0.4454555667902483,0.36070989119847624,0.4454555667902483,0.4454555667902483,0.4158930528544794,0.6525014437529606,0.2930214047130208,0.7711267605633803,0.6375496313102665,0.06327543424317618,0.1504424778761062,0.07792207792207792,0.08365608055770721,0.6929347826086957,0.20224719101123595,0.9187432286023836,0.5610328638497653,0.328335832083958,0.562,0.255,0.1717171717171717,0.12,0.432,0.765,0.072,0.424,0.47704590818363274,2.1174364,1.6962999,534016000,1068032000,265.4819030761719,102090
2,0.6231884057971014,0.5586646253703806,0.6231884057971014,0.4576336510424797,0.6611877759738883,0.6231884057971014,0.4985645755556263,0.6231884057971014,0.6231884057971014,0.5260014350026537,0.762198487344739,0.424449985263893,0.7950987066031314,0.9550898203592815,0.16954022988505746,0.3888888888888889,0.07588075880758807,0.17238749046529367,0.8641025641025641,0.37442218798151,0.8885167464114833,0.5760869565217391,0.5837081459270365,0.638,0.295,0.0707070707070707,0.56,0.452,0.337,0.486,0.9285,0.6347305389221557,1.6892416,1.0389304,534016000,1602048000,269.2815637588501,102090
3,0.7332883945624087,0.6807991454210247,0.7332883945624087,0.5323532911240794,0.7528677668119206,0.7332883945624087,0.5459840478418022,0.7332883945624087,0.7332883945624087,0.56239236604698,0.787772840927935,0.4837597619577602,0.8134556574923547,0.9765674477517416,0.18,0.3939393939393939,0.12540192926045016,0.23975155279503105,0.7787081339712919,0.43636363636363634,0.9241179313678105,0.7556179775280899,0.7976011994002998,0.771,0.36,0.13131313131313133,0.39,0.386,0.651,0.48,0.956,0.5369261477045908,1.3848989,0.8075579,534016000,2136064000,263.47727370262146,102090
4,0.7271093135602741,0.6758408167867889,0.7271093135602742,0.5387756026320853,0.7546018701372524,0.7271093135602741,0.5818441084574751,0.7271093135602741,0.7271093135602741,0.5763431645817473,0.8126369431619493,0.515553351293742,0.8530386740331491,0.9778325123152709,0.17647058823529413,0.3076923076923077,0.10687022900763359,0.2716627634660422,0.8310679611650486,0.5639269406392694,0.9381393083292743,0.7367303609341825,0.7716141929035483,0.794,0.39,0.12121212121212122,0.7,0.464,0.428,0.494,0.963,0.6926147704590818,1.2268697,0.7492666,534016000,2670080000,260.20972061157227,102090
5,0.7459835973486125,0.6990693039418779,0.7459835973486125,0.5490258302167654,0.7739845707488672,0.7459835973486125,0.6070385539810388,0.7459835973486125,0.7459835973486125,0.5848666595775892,0.8387136702088628,0.5174372385162161,0.9073337123365549,0.978273299028016,0.16666666666666666,0.21428571428571427,0.09547123623011015,0.35084745762711866,0.8502415458937198,0.6176470588235294,0.9733606557377049,0.6945392491467577,0.7976011994002998,0.8555,0.43,0.09090909090909091,0.78,0.414,0.352,0.588,0.95,0.812375249500998,1.1824099,0.72526056,534016000,3204096000,272.87922191619873,102090
6,0.7713740029210201,0.7281934343659202,0.7713740029210201,0.5870348076896386,0.7914328260323475,0.7713740029210201,0.6315691545807571,0.7713740029210201,0.7713740029210201,0.593045889039198,0.8363946625987756,0.5782941924914163,0.930327868852459,0.9667721518987342,0.22065727699530516,0.2545454545454545,0.14386792452830188,0.29132231404958675,0.8469387755102041,0.6539325842696629,0.9564140663694899,0.665680473372781,0.6806596701649176,0.9165,0.235,0.2828282828282828,0.61,0.564,0.581,0.582,0.9655,0.8982035928143712,1.0711943,0.630567,534016000,3738112000,274.0566756725311,102090
7,0.7876643073811931,0.7463578181382862,0.7876643073811931,0.5949338199325549,0.8052454794607926,0.7876643073811931,0.644357746575814,0.7876643073811931,0.7876643073811931,0.6147300763919955,0.849688429274032,0.5916162371173534,0.9060982191041554,0.9717333333333333,0.23660714285714285,0.264,0.11812297734627832,0.3735294117647059,0.8709055876685935,0.7645348837209303,0.9731645569620253,0.6686046511627907,0.8390804597701149,0.911,0.265,0.3333333333333333,0.73,0.508,0.452,0.526,0.961,0.9181636726546906,1.0082315,0.58944625,534016000,4272128000,271.52864241600037,102090
8,0.7718233906302663,0.7277132119647772,0.7718233906302663,0.5620934238251818,0.7847647406063507,0.7718233906302663,0.6320384582114678,0.7718233906302663,0.7718233906302663,0.604591511200036,0.8499701860735386,0.541864538394063,0.8993323061119671,0.9697933227344993,0.20270270270270271,0.1678832116788321,0.09142857142857143,0.4596774193548387,0.9032258064516129,0.6807610993657506,0.9669504256384577,0.7041602465331279,0.8750624687656172,0.915,0.15,0.46464646464646464,0.8,0.342,0.252,0.644,0.9655,0.9121756487025948,1.0089002,0.58638734,534016000,4806144000,268.57665634155273,102090
9,0.7948545107291316,0.754871464123201,0.7948545107291316,0.6055119790179035,0.8122125901452948,0.7948545107291316,0.637466040142694,0.7948545107291316,0.7948545107291316,0.6106020369449928,0.8441185732651236,0.5814914151563828,0.9023836549375709,0.9799554565701559,0.2303206997084548,0.225,0.15625,0.3463356973995272,0.83984375,0.7412398921832885,0.9581673306772909,0.7265238879736409,0.7946026986506747,0.88,0.395,0.18181818181818182,0.5,0.586,0.645,0.55,0.962,0.8802395209580839,1.0504802,0.59448177,534016000,5340160000,264.52775263786316,102090
