epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.15413998427143016,0.09235823460098913,0.15413998427143016,0.07868807337376091,0.06764338033716868,0.15413998427143016,0.19809487691284097,0.15413998427143016,0.15413998427143016,0.05012064631004034,0.04353707245083724,0.0,0.0,0.0,0.0,0.012283640424343942,0.0,0.0,0.2833886041603859,0.05384615384615385,0.0,0.15168806466951973,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.94,0.182,0.0,0.6367265469061876,2.563302,2.2726574,485954560,485954560,770.5779895782471,102090
1,0.35816200426918327,0.28120236110194086,0.3581620042691833,0.279798970756162,0.37683204477072474,0.35816200426918327,0.3498662275829968,0.35816200426918327,0.35816200426918327,0.3938794471744634,0.6348753912205087,0.23137146768538364,0.8571428571428571,0.5474747474747474,0.11234567901234568,0.15789473684210525,0.07407407407407407,0.09699505515405096,0.7961476725521669,0.17627118644067796,0.8681120144534779,0.2523364485981308,0.047976011994003,0.4065,0.455,0.030303030303030304,0.16,0.51,0.496,0.104,0.4805,0.8083832335329342,2.164569,1.678659,485954560,971909120,249.55829429626465,102090
2,0.6966632962588474,0.6369687331056669,0.6966632962588474,0.48365976051550347,0.7075845656505946,0.6966632962588474,0.5120757620962699,0.6966632962588474,0.6966632962588474,0.524041383387124,0.7340304915382444,0.3786442684875221,0.8418998048145738,0.7809302325581395,0.17857142857142858,0.5,0.09233449477351917,0.20210896309314588,0.7406679764243614,0.375968992248062,0.932258064516129,0.5956738768718802,0.6466766616691654,0.8395,0.05,0.10101010101010101,0.53,0.23,0.754,0.388,0.867,0.7145708582834331,1.695181,0.9630023,485954560,1457863680,244.06247425079346,102090
3,0.7082350297719358,0.6508601277906563,0.7082350297719358,0.48647643166785015,0.7243430194698962,0.7082350297719358,0.5205430981342933,0.7082350297719358,0.7082350297719358,0.5416330499849153,0.7755961606786705,0.3608092474285788,0.8263263263263263,0.9684940138626339,0.13630229419703105,0.3333333333333333,0.11559139784946236,0.2607879924953096,0.851931330472103,0.40159045725646125,0.8643533123028391,0.6576200417536534,0.8250874562718641,0.7685,0.505,0.010101010101010102,0.43,0.278,0.397,0.404,0.959,0.6287425149700598,1.3351196,0.8192985,485954560,1943818240,240.5713028907776,102090
4,0.7581170654982586,0.7119663522896469,0.7581170654982587,0.5664294756373809,0.7800948284396879,0.7581170654982586,0.6016978707797255,0.7581170654982586,0.7581170654982586,0.5786379015182745,0.8220850448274659,0.5513760628970917,0.8953488372093024,0.9671857619577308,0.20786516853932585,0.29850746268656714,0.14058355437665782,0.2748091603053435,0.853030303030303,0.5645569620253165,0.960431654676259,0.6240601503759399,0.769615192403798,0.8695,0.37,0.20202020202020202,0.53,0.504,0.563,0.446,0.9345,0.8283433133732535,1.214987,0.7037507,485954560,2429772800,242.11872100830078,102090
5,0.751937984496124,0.7059188846762694,0.751937984496124,0.5528311947569652,0.7801514400031659,0.751937984496124,0.6049370872765396,0.751937984496124,0.751937984496124,0.5850507354322486,0.8343092000536448,0.5025147480690877,0.9093036863662961,0.977107761027359,0.16666666666666666,0.2962962962962963,0.09925558312655088,0.33136094674556216,0.8309090909090909,0.533751962323391,0.9751585623678647,0.7306967984934086,0.7766116941529235,0.875,0.235,0.08080808080808081,0.8,0.448,0.457,0.68,0.9225,0.7744510978043913,1.0903586,0.71540004,485954560,2915727360,242.18597841262817,102090
6,0.7089091113358049,0.6567190085353419,0.7089091113358049,0.5427207251082559,0.739129201073025,0.7089091113358049,0.5827418669815881,0.7089091113358049,0.7089091113358049,0.5710439343848678,0.8076675016063419,0.5298131814687091,0.8872357086922474,0.9836168872085697,0.16461916461916462,0.3333333333333333,0.13657407407407407,0.23291139240506328,0.8103896103896104,0.4784,0.9055813953488372,0.7777777777777778,0.5662168915542228,0.7805,0.335,0.15151515151515152,0.59,0.552,0.624,0.598,0.9735,0.656686626746507,0.97538656,0.74092394,485954560,3401681920,242.67052149772644,102090
7,0.7068868666441973,0.6548796501975732,0.7068868666441973,0.557404780057493,0.7391377976419052,0.7068868666441973,0.6051598133885335,0.7068868666441973,0.7068868666441973,0.5876235756198686,0.8148360326268189,0.5647837246068589,0.828847481021394,0.9847378898473789,0.18043844856661045,0.2923076923076923,0.14754098360655737,0.2526002971768202,0.8363636363636363,0.639225181598063,0.9366231253023706,0.7775510204081633,0.600199900049975,0.742,0.535,0.1919191919191919,0.54,0.68,0.506,0.528,0.968,0.7604790419161677,1.146394,0.77686495,485954560,3887636480,234.07398104667664,102090
8,0.7676665543197394,0.7246228182675145,0.7676665543197394,0.583142642282016,0.7953849422167641,0.7676665543197394,0.6332221211069297,0.7676665543197394,0.7676665543197394,0.6189040871834436,0.8502504760400101,0.5451495710316453,0.9090909090909091,0.983127109111361,0.2048780487804878,0.38095238095238093,0.11855670103092783,0.30954994511525796,0.8491446345256609,0.7186046511627907,0.9804426145136387,0.7346938775510204,0.7246376811594203,0.874,0.42,0.08080808080808081,0.69,0.564,0.546,0.618,0.9525,0.8622754491017964,1.0523049,0.64682704,485954560,4373591040,243.78363180160522,102090
9,0.714975845410628,0.6651515189933725,0.7149758454106281,0.54812053089503,0.7516700054725471,0.714975845410628,0.594439517049677,0.714975845410628,0.714975845410628,0.6048405907671512,0.8467830463735765,0.5068012177608512,0.9000693962526024,0.9845869297163995,0.13944603629417382,0.25806451612903225,0.16071428571428573,0.26277955271565495,0.875,0.7313829787234043,0.9709775967413442,0.7653846153846153,0.6481759120439781,0.7985,0.73,0.08080808080808081,0.36,0.658,0.371,0.55,0.9535,0.7944111776447106,0.94649005,0.72472954,485954560,4859545600,232.6168234348297,102090
